id,data_cat,data_type
570,14,Questionnaire-based survey of approximately 370 responses
571,14,"Unique, study-specific survey sample of the Russian population"
572,2,Norwegian administrative data
573,3,esru Social Mobility Survey (emovi) 2011
574,1,Panel Study of Income Dynamics (PSID)
575,1,National Longitudinal Study of Youth 1979
576,2,Chinese Population Census
577,1,SOEP for Germany; PSID for the US
578,2,Dutch funded pension system
579,13,N/A
580,3,European Union Statistics on Income and Living (commonly EU-SILC) and International Social Survey
581,11,German historical administrative records on forced migrants and their descendants
582,6,Norwegian administrative registry data (linked across generations)
583,6,"Linked Administrative Data (exact dataset not specified, but likely government records linking parent and child earnings)"
584,1,"Panel dataset spanning 1994–2012 for rural India; also, National Sample Survey (repeated cross‐sections)"
585,3,Chile and Peru repeated cross-sectional national household surveys with retrospective modules
586,6,Canadian income tax records (linked father-son records)
587,1,restricted Panel Study of Income Dynamics; Census data; Aggregated metropolitan level statistics from IRS records
588,7,"Internationally Comparable Measures of Intergenerational Mobility (across countries, akin to panel data)"
589,11,Florence 1427 and 2011 surname-linked archival/historical dataset
590,13,N/A
591,7,New international empirical evidence (unspecified International Panel Data)
592,1,Urban China panel survey (exact data source not explicitly mentioned)
593,3,Japanese Social Stratification and Mobility (SSM) surveys
594,13,N/A
595,1,"Not specified (panel/longitudinal data spanning 30 years tracking intergenerational changes in education, wages, and occupations)"
596,11,Florence 1427 archival records linked with Florence 2011 pseudo-descendant data
597,2,Swedish income data (administrative/registry records)
598,14,"Aggregated cross‐country measures – the paper uses pre‐calculated indices (IEO and HOI) compiled from various national sources rather than relying on a single, well‐known dataset."
599,6,Linked Administrative Data: Parental and child credit bureau records (linked across generations)
600,13,N/A
601,14,Chicago calibration data from segregated-era neighborhoods
602,2,"Complete population administrative/registry data for approximately 177,000 28-year olds in the Netherlands"
603,13,N/A
604,6,Linked Administrative Data – likely U.S. tax records linked across generations (parent–child administrative records)
605,6,Dutch survey data linked with administrative income data
606,1,"NLSY79, Panel Study of Income Dynamics"
607,6,U.S. Census Bureau's Survey of Income and Program Participation (SIPP) matched to Social Security Administration (SSA) administrative earnings records; U.S. Bureau of Labor Statistics' National Longitudinal Survey of Youth (NLSY)
608,13,N/A
609,2,Rich income data drawn from administrative/registry sources (exact dataset not specified)
610,13,N/A
611,2,Swedish administrative registry data
612,2,Newly collected state-level school funding formulas data used to simulate counterfactual revenues across 20 US states
613,13,N/A
614,6,Swedish administrative registers dataset of matched father-son pairs
615,6,Linked Administrative Data (derived from tax records in the US and Canada)
616,1,"Health and Retirement Study (HRS) – a panel/longitudinal survey, and Survey of Health, Ageing and Retirement in Europe (SHARE) – international panel data"
617,2,Chilean administrative/registry data (using tax and civil records from Greater Santiago and nationwide)
618,7,"International Panel Data (country-level measures of income inequality, trust, and intergenerational mobility; no specific dataset name provided)"
619,6,Linked Administrative Data (likely using IRS tax records combined with educational and marital records aggregated by commuting zones)
620,13,N/A
621,3,Large national survey dataset with genetic markers (exact dataset name not specified)
622,6,"Linked Administrative Data from national registers (e.g. birth, educational, and tax records) for the UK and Sweden"
623,14,Rich family survey data (no specific dataset name provided)
624,13,N/A
625,3,US General Social Survey
626,3,2012 US wealth distribution
627,1,PSID
628,13,N/A
629,1,"Household, Income and Labour Dynamics Australia survey"
630,1,CHNS database
631,13,N/A
632,6,Norwegian administrative registers (linked administrative data)
633,1,United States PSID data
634,4,Opportunity Atlas
635,6,Linked Administrative Data (exact dataset not specified)
636,1,Panel Study of Income Dynamics (PSID)
637,1,Young Lives survey
638,13,N/A
639,3,Chinese National Survey Data (exact name not specified)
640,5,Experimental Questionnaire data
641,1,"The paper uses both longitudinal (panel) income data and cross‐sectional income data from ten developed economies. While the longitudinal component fits within Panel/Longitudinal Surveys (category 1), the cross‐sectional data likely come from National Survey Data (category 3). No specific dataset names are provided."
642,6,Danish linked administrative register data (using linked parental and individual records)
643,6,Linked administrative tax return data across two generations in Italy
644,13,N/A
645,4,Opportunity Atlas (i.e. intergenerational mobility data based on linked administrative records)
646,1,"For the United States, likely the Panel Study of Income Dynamics (PSID) and for Germany, the German Socio-Economic Panel (SOEP)"
647,2,Administrative data from tax returns
648,13,N/A
649,1,"Likely a panel/longitudinal dataset such as the Panel Study of Income Dynamics (PSID), though the abstract does not specify the exact dataset."
650,13,N/A
651,5,High School Remedial Education Program experimental data
652,6,"Swiss administrative data on labor income, family linkages, and census data"
653,1,Indian Human Development Survey Data set
654,13,N/A
655,2,"Swedish administrative registry data—specifically, register-based data on commuting zones and cohorts used for intergenerational mobility (Essay I), national student aid and labor market records following the Recruitment Grant repeal (Essay II), and adoption registers linking adopted children with their biological and adoptive parents (Essay III)"
656,2,Income tax data from Australia
657,6,Linked Swedish administrative register data
658,14,"Primary survey data collected from 61 households in Utmanzai, District Charsadda, Khyber Pakhtunkhwa, Pakistan"
659,2,Norwegian administrative data (registry data on labor earnings from 1993–2017)
660,6,Swedish administrative registers (linked parent-child administrative data)
661,2,Swedish administrative registers
662,13,N/A
663,2,Norwegian population-wide administrative data
664,13,N/A
665,1,China's nationally representative longitudinal household survey data
666,3,National Sample Survey
667,11,Sweden CEO dataset from 30 largest public firms (historical archival records)
668,6,"Switzerland’s linked administrative data combining labor income records, census, and survey data"
669,1,Korean Labor and Income Panel Study; Panel Study of Income Dynamics
670,1,"SOEP, PSID"
671,2,German Census Data
672,1,"It appears to use panel/longitudinal survey data; for example, in the United States studies like the Panel Study of Income Dynamics (PSID) and in South Africa data such as the National Income Dynamics Study (NIDS) are common candidates."
673,4,Opportunity Atlas (modern mobility measures via Chetty et al.) combined with county‐level archival/historical frontier experience data
674,3,Wealth and housing survey data from France
675,13,N/A
676,13,N/A
677,1,China Health and Nutrition Survey
678,3,Multiple harmonized U.S. national surveys that include father's occupation and own family income data
679,1,"The paper appears to use longitudinal, panel-type data – for instance, repeated cross‐national surveys (e.g. data from 20 European countries in 2010 and 18 in 2014) and linked panel records for intergenerational and intragenerational income and wage mobility (data comparing Germany and the United States). No specific dataset name is mentioned."
680,3,1995 and 2005 Survey of Social Stratification and Mobility (SSM)
681,3,Harmonized U.S. National Survey Data combining surveys with father's occupation and family income questions
682,6,Australian Linked Administrative Data (i.e. linked records used to track parent‐child wealth)
683,13,N/A
684,6,Chilean linked administrative records (exact dataset name not specified)
685,3,"General Social Survey; Panel Study of Income Dynamics, National Longitudinal Survey of Youth"
686,13,N/A
687,13,N/A
688,13,N/A
689,2,Estonia registry dataset on yearly earnings and background characteristics (2007-2017)
690,13,N/A
691,2,Swedish population registers (birth cohorts 1953–1955)
692,13,N/A
693,6,Norwegian administrative registers linking parental wealth and children's wages
694,13,N/A
695,14,"The abstract does not specify a particular dataset by name. It merely indicates that cross‐country data were used (e.g., data from Germany, Norway, Sweden, and the US). Without more detail, we cannot definitively classify it as panel data, administrative records, etc."
696,3,1987 National Postsecondary Student Aid Study
697,3,"The study relies on actual survey‐based data from Japan (a national survey), though the specific dataset name is not provided."
698,3,N/A
699,13,N/A
700,13,N/A
701,2,Newly collected administrative data on states' funding formulas
702,3,Spanish National Survey of Income and Living Conditions (Encuesta de Condiciones de Vida)
703,13,N/A
704,6,"Linked Administrative Data (for measuring intergenerational income mobility, typically using IRS tax records) combined with an industrial robots dataset across 722 local labor markets (which falls under Others, i.e. category 14)"
705,1,Unique residential history data with retrospective parental asset information from 141 villages in rural Bangladesh
706,1,China Health and Nutrition Survey (CHNS)
707,2,"Scandinavian administrative income data (Sweden, Denmark, Norway); United States survey data"
708,13,N/A
709,1,National Longitudinal Study of Adolescent to Adult Health
710,13,N/A
711,1,Panel Study of Income Dynamics (PSID) and National Longitudinal Study of Adolescent to Adult Health (Add Health)
712,5,Field et al. 2013 household liquidity relaxation experimental dataset
713,13,N/A
714,3,Harmonized micro data from 18 Latin American countries spanning multiple cohorts
715,6,Linked Administrative Data (using national administrative registers from Canada and Denmark)
716,1,NLSY
717,3,National Sample Survey (1983-2005)
718,3,GSS; National Survey Data; and NLS; Panel/Longitudinal Surveys
719,3,2005 Social Stratification and Social Mobility Survey Project
720,3,government survey data on personal income (and related consumer expenditure estimates)
721,6,IRS tax record–based linked administrative data (as used in Chetty et al. 2014)
722,0,European Union Statistics on Income and Living Conditions survey: 3; European Community Household Panel: 7
723,14,"Multiple datasets detected: (1) Chilean government economic statistics (e.g., national accounts data on GDP, poverty, and tax rates) which most closely aligns with Administrative/Registry Data (2) Latinobarómetro survey data, a multi‐country public opinion survey in Latin America classified as National Survey Data"
724,5,"Quasi‐experimental U.S. policy variation data (e.g., evidence on the Child Tax Credit expansion; no specific dataset name provided)"
725,13,N/A
726,6,Swiss administrative data on labor income since 1982 with family linkages across three generations
727,3,Household-level survey data from Pakistan (exact survey not specified)
728,3,European Social Survey wave 9
729,2,Danish administrative registers linking educational attainment and income trajectories for individuals born in 1960-1961
730,1,Dataset name not specified
731,1,Stockholm Prospective Cohort Study of individuals born in 1953
732,1,Cross‐sectional and longitudinal income data from advanced economies
733,5,Housing Voucher Experiment
734,1,Panel Study of Income Dynamics
735,9,Large-scale College Graduate Survey; Nationally Representative Household Survey (from China)
736,6,Linked Administrative Data from Spanish tax returns
737,1,China Health and Nutrition Survey (CHNS)
738,2,Norwegian administrative register data
739,1,China Health and Nutrition Survey; Regional Statistic Yearbooks (Administrative/Registry Data)
740,13,N/A
741,13,N/A
742,13,N/A
743,12,ACLED data; 2020 political preferences survey
744,2,Rich administrative data (administrative/registry data) from France
745,1,China Family Panel Studies (CFPS)
746,1,China Health and Nutrition Survey
747,2,"Norwegian register data on ten cohorts of high school students (including GPA, enrollment, and peer exposure data)"
748,13,N/A
749,13,N/A
750,2,Chetty et al. (2014) Administrative Tax Data; PSID (Panel Study of Income Dynamics)
751,1,China Family Panel Survey (CFPS)
752,1,Two complementary panel datasets from Poland (exact dataset names not provided)
753,14,Self-collected questionnaire dataset from Greek University students and graduates
754,1,"US birth cohorts panel data (exact dataset name not specified, but it uses longitudinal observations of early baby boomers and late generation X/early millennial cohorts)"
755,2,Chinese intergovernmental transfer records and fiscal administrative data
756,14,OECD Income and Wealth Distribution Databases; World Economic Forum
757,13,N/A
758,6,Swedish population registers linking parent and child income data
759,2,"Brazil Tax and Employment Registries; additionally, Brazil Census and Survey Data (used for predicting informal income) aligns with category 3"
760,13,N/A
761,6,Linked Administrative Data (Norwegian administrative registries)
762,2,Tax and Employment Registries; also using Census and Survey Data for predicting informal income (corresponds to category 3)
763,5,Natural/Experimental Data – variation in historical railroad track arrangements used as an instrument for city-wide segregation and its effects on intergenerational outcomes
764,2,Tax and Employment Registries; Census and Survey Data
765,3,The India Human Development Survey 2012 (IHDS-II)
766,12,Infutor data
767,1,"National Longitudinal Survey Data (United States, 1978-2006)"
768,6,administrative education data linked to tax records
769,13,N/A
770,3,US cross‐sectional income distributions (interpreted as national survey data)
771,1,PSID
772,1,PSID
773,6,"U.S. linked administrative data (e.g., IRS tax records combined with demographic and educational administrative records)"
774,14,Dataset of twins and their parents with genetic information
775,13,N/A
776,13,N/A
777,13,N/A
778,1,British birth cohorts data; Panel/Longitudinal Surveys; Repeated cross‐sectional UK data and Wealth and Assets Survey; National Survey Data
779,6,Taiwan linked administrative data (multi‐generation income records from official registries)
780,7,newly available and internationally comparable data on intergenerational elasticities of income and education
781,2,rich register data from the Netherlands linking individuals across generations
782,13,N/A
783,6,"Linked Administrative Data – likely drawn from Swedish population registers and corresponding US administrative records (e.g., IRS/SSA data) to track intergenerational labor income over time"
784,6,"Linked Administrative Data – for example, Sweden’s national register data (e.g., population registers such as LISA) linked across generations and U.S. administrative tax records linking parent and child incomes"
785,1,NLSY79 and NLSY79CY
786,6,Administrative data linked to parish records from northern Sweden
787,2,U.S. Census data – an administrative/registry source covering cohorts born between 1915 and 1984
788,1,China Family Panel Studies
789,6,Dutch municipalities records combined with tax authorities microdata and education records
790,6,Stockholm Birth Cohort Multigenerational Study
791,1,British Household Panel Survey (BHPS) and Understanding Society (UKHLS)
792,2,Graduate Career Tracking System 2010-2021
793,6,Census microdata linked with tax records
794,2,Prefecture-level administrative records on migration and income in China
795,2,roll-call votes on California education legislation matched with electoral district levels of income mobility
796,2,comprehensive register data for Swedish cohorts born 1958 to 1977 and their parents
797,3,Commissioned nationally representative survey in Georgia (2021)
798,6,Swedish administrative registers linking father‐son lifetime income records
799,1,Indonesian Family Life Survey
800,2,N/A
801,13,N/A
802,5,"Survey experiments conducted in Austria, the United States, and Germany"
803,3,Turkish Statistical Institutes Survey of Income and Living Conditions
804,14,Purposive survey dataset of 742 land development settlers from Pahang and Johor
805,2,Australian income tax data; supplemented with other administrative data encompassing within- and between-country mobility measures
806,2,French administrative data
807,1,The abstract implies the use of panel or longitudinal survey data capturing intergenerational wealth (especially housing wealth) among families in Great Britain. The exact dataset name is not specified.
808,1,"Longitudinal database tracking over 20,000 places in the USA from 1980 to 2018"
809,6,"Linked Administrative Data – for example, administrative records such as IRS tax records linked across generations combined with bank regulatory (e.g. FDIC) data"
810,6,Linked Administrative Data (immigrant landing documents linked with tax records in Canada)
811,4,Opportunity Insights project IGIM data; American Community Survey (Gini index); CDC WONDER (mortality data)
812,3,Chinese General Social Survey 2010
813,1,United States National Longitudinal Study of Adolescent Health
814,2,Norwegian high-quality register data
815,2,"Chantillon démographique permanent (EDP, INSEE's demographic panel sample)"
816,6,Administrative Canadian tax data
817,7,World Bank database
818,6,New dataset assembled from tax and other administrative sources
819,1,"Understanding Society, the UK Household Longitudinal Study"
820,6,Swedish and UK linked administrative income register data
821,2,NHIS data
822,6,N/A
823,11,Hand-collected archival/historical data on households wealth assessments in late medieval Florence
824,6,"Decennial Census, credit reports, administrative earnings"
825,1,China Family Panel Studies (CFPS)
826,1,N/A
827,6,"Brazilian linked administrative data constructed from confidential records on high school graduates, college admissions, and labor market outcomes"
828,2,German Census Data
829,3,"comprehensive database of socio-economic variables for Ethiopia, Ghana, Uganda, Malawi, and Nigeria"
830,6,"Decennial Census, credit reports, and administrative earnings"
831,14,OECD Social Mobility Integral Index and related country-level indicators
832,8,Swiss rich lists
833,1,Chinese Health and Nutrition Survey
834,3,Adult Education Survey (AES) provided by TURKSTAT
835,11,U.S. archival/historical income data (1850–1930)
836,2,Taiwan administrative records
837,6,Unique linked administrative data from the Netherlands’ population registers on children and grandchildren of immigrants and native Dutch (third generation) in 2018
838,13,N/A
839,1,Quebec Longitudinal Study of Kindergarten Children
840,3,Korean household microdata (national survey data)
841,3,Chinese Household Income Project survey data
842,1,China Health and Nutrition Survey (CHNS)
843,3,"US household survey data on income, wealth, education and time use"
844,2,administrative data for the Netherlands
845,14,Global Database of Intergenerational Mobility (GDIM)
846,14,"The paper uses multiple datasets: National Survey Data (survey data), Administrative/Registry Data (administrative data), and simulated data which does not fall under a standard category (Others)"
847,8,Swiss rich lists
848,3,CGSS
849,3,EUSILC (European Union Statistics on Income and Living Conditions)
850,11,Novel longitudinal dataset constructed from historical Swedish records (1890s–1940s)
851,5,Quasi-natural experimental data combining state-level US bank deregulation measures with individual intergenerational mobility outcomes (exact dataset name not specified)
852,6,Chetty-Hendren intergenerational mobility linked administrative data
853,2,Taiwan administrative records
854,1,"1982 Birth Cohort in the city of Pelotas, Brazil"
855,6,Norwegian administrative register data linking parental and individual records
856,7,World Bank's Global Database on Intergenerational Mobility (GDIM)
857,6,"Linked Administrative Data (county- and state-level records on overdose deaths, opioid prescription rates, and socioeconomic indicators compiled by the authors)"
858,4,Opportunity Atlas
859,2,Census tract and city-level administrative data
860,1,China Family Panel Studies (CFPS)
861,3,nationally representative Chinese household survey data
862,1,National Longitudinal Survey of Youth 1979
863,1,European Community Household Panel; European Union Statistics on Income and Living Conditions
864,3,European Values Survey
865,1,Chinese Family Panel Studies (CFPS) [Panel/Longitudinal Surveys] and macro data on digital factor participation at the city level [Others]
866,2,"Danish register data for 630,000 children and their parents"
867,13,N/A
868,6,New Zealand male birth cohort administrative records (linked administrative data)
869,6,Census microdata linked with tax records
870,6,pre-1940 US Census data linked with Social Security data via CenSoc
871,2,Norwegian administrative/registry data based on the entire registered population in Norway
872,13,N/A
873,11,Historical Census Data (digitized and record-linked parent-child links)
874,2,U.S. Census of Governments; Opportunity Atlas (by Opportunity Insights)
875,3,2018 Household Survey on Territorial Dynamics and Wellbeing
876,1,National Income Dynamics Study (NIDS) panel data for South Africa
877,12,"Satellite Imagery data (Big Data) for urban spatial patterns, complemented by intergenerational mobility measures likely derived from Opportunity Atlas"
878,6,Gautreaux Assisted Housing Program historical records linked with U.S. administrative data
879,3,"European Social Survey (Round 3, 2006)"
880,13,N/A
881,1,Household Income and Labour Dynamics in Australia (HILDA) survey
882,0,"The abstracts employ at least two distinct types of datasets. Two of the papers—the one on teenage childbearing and the one on teacher‐student gender matching—appear to use standard administrative or registry records (e.g. school performance records, teacher assignment records), which corresponds best to category 2. In contrast, the papers on intergenerational schooling effects and on mobility/assortative mating rely on explicitly Swedish data that link parents and children (typical of the high‐quality register data used in Sweden), corresponding to category 6. (No specific dataset names were provided in the abstracts.)"
883,13,N/A
884,1,NLSY (National Longitudinal Survey of Youth)
885,1,1970 British Cohort Study (BCS70)
886,13,N/A
887,13,N/A
