id,result,category,measure
365,"{""category"": 1, ""measure"": ""The paper appears to use a regression‐based approach for intergenerational income mobility (i.e. an Intergenerational Elasticity type estimate), while its analysis of social class mobility suggests the use of transition‐type (probability or matrix) measures.""}",1,"The paper appears to use a regression‐based approach for intergenerational income mobility (i.e. an Intergenerational Elasticity type estimate), while its analysis of social class mobility suggests the use of transition‐type (probability or matrix) measures."
368,"{""category"": 1, ""measure"": ""Regression coefficient estimates capturing the effect of parental education on school track choice and college attendance""}",1,Regression coefficient estimates capturing the effect of parental education on school track choice and college attendance
372,"{
  ""category"": 6,
  ""measure"": ""Calibrated structural model estimate of inheritance and intergenerational wealth mobility""
}",6,Calibrated structural model estimate of inheritance and intergenerational wealth mobility
376,"{
  ""category"": 8,
  ""measure"": ""No specific model-based intergenerational or multigenerational wealth/income/earning mobility measure is reported.""
}",8,No specific model-based intergenerational or multigenerational wealth/income/earning mobility measure is reported.
377,"{
  ""category"": 8,
  ""measure"": ""The abstract does not report any formal mobility estimates such as regression‐based elasticity or transition matrices. Instead, it focuses on descriptive concentration measures of wealth (and income) in the top one percent—emphasizing asset ownership, debt portfolios, and inheritance patterns—as a way to contextualize mobility into the top wealth group.""
}",8,"The abstract does not report any formal mobility estimates such as regression‐based elasticity or transition matrices. Instead, it focuses on descriptive concentration measures of wealth (and income) in the top one percent—emphasizing asset ownership, debt portfolios, and inheritance patterns—as a way to contextualize mobility into the top wealth group."
380,"{
  ""category"": 8,
  ""measure"": ""Model‐based measure of transitional welfare redistribution and debt overshooting outcomes derived from an overlapping generations framework""
}",8,Model‐based measure of transitional welfare redistribution and debt overshooting outcomes derived from an overlapping generations framework
387,"{
  ""category"": 8,
  ""measure"": ""The paper does not use a standard mobility measure but instead develops a theoretical model that characterizes equilibrium network structures. In this model, stability is determined by coalitions (restricted by a network distance k), intermediation decay in network benefits, and the degree of intergenerational transmission of wealth. Thus, the measure falls under ‘Others’ as it is a network‐equilibrium based approach rather than one of the conventional mobility measures.""
}",8,"The paper does not use a standard mobility measure but instead develops a theoretical model that characterizes equilibrium network structures. In this model, stability is determined by coalitions (restricted by a network distance k), intermediation decay in network benefits, and the degree of intergenerational transmission of wealth. Thus, the measure falls under ‘Others’ as it is a network‐equilibrium based approach rather than one of the conventional mobility measures."
390,"{
  ""category"": 8,
  ""measure"": ""Pareto distribution (stationary wealth distribution derived from a structural model)""
}",8,Pareto distribution (stationary wealth distribution derived from a structural model)
392,"{
  ""category"": 6,
  ""measure"": ""Structural Approaches""
}",6,Structural Approaches
402,"{
  ""category"": 4,
  ""measure"": ""Absolute (structural) mobility""
}",4,Absolute (structural) mobility
404,"{
  ""category"": 8,
  ""measure"": ""No specific empirical measure of inter/multigenerational wealth/income/earning mobility was mentioned in the abstract.""
}",8,No specific empirical measure of inter/multigenerational wealth/income/earning mobility was mentioned in the abstract.
406,"{
  ""category"": 8,
  ""measure"": ""The abstract does not specify a particular quantitative measure; no model-based estimate is described.""
}",8,The abstract does not specify a particular quantitative measure; no model-based estimate is described.
409,"{
  ""category"": 6,
  ""measure"": ""Structural mobility estimate derived from a model of human capital production (combining schooling and parental time inputs) to decompose mobility and inequality effects""
}",6,Structural mobility estimate derived from a model of human capital production (combining schooling and parental time inputs) to decompose mobility and inequality effects
410,"{""category"": 6, ""measure"": ""A structural model-based parameter quantifying intergenerational mobility (no specific name provided)""}",6,A structural model-based parameter quantifying intergenerational mobility (no specific name provided)
411,"{""category"": 6, ""measure"": ""Structural model‐based measure of intergenerational transmission along the transition path between steady states""}",6,Structural model‐based measure of intergenerational transmission along the transition path between steady states
414,"{
  ""category"": 8,
  ""measure"": ""The abstract does not specify any particular quantitative mobility measure (e.g., IGE, rank-based, transition matrices, etc.).""
}",8,"The abstract does not specify any particular quantitative mobility measure (e.g., IGE, rank-based, transition matrices, etc.)."
417,"{
  ""category"": 7,
  ""measure"": ""Supremum of a rescaled U-statistic for testing stochastic monotonicity""
}",7,Supremum of a rescaled U-statistic for testing stochastic monotonicity
422,"{
  ""category"": 6,
  ""measure"": ""Calibrated structural parameter(s) from the endogenous growth model capturing intergenerational mobility (in the context of the trade‐off between growth, inequality, and public education financing)""
}",6,"Calibrated structural parameter(s) from the endogenous growth model capturing intergenerational mobility (in the context of the trade‐off between growth, inequality, and public education financing)"
429,"{
  ""category"": 8,
  ""measure"": ""Limited economic mobility indicated by persistent wealth status across generations (i.e. evidence that the rich had rich forbears) without a clearly specified formal measure such as an elasticity or rank‐based indicator.""
}",8,Limited economic mobility indicated by persistent wealth status across generations (i.e. evidence that the rich had rich forbears) without a clearly specified formal measure such as an elasticity or rank‐based indicator.
435,"{
  ""category"": 3,
  ""measure"": ""The paper uses a structural model to derive the stationary (ergodic) wealth distribution and analyze wealth transition probabilities—including features like a thick upper tail and a mass point at the bottom—which serve as probabilistic measures of intergenerational mobility.""
}",3,The paper uses a structural model to derive the stationary (ergodic) wealth distribution and analyze wealth transition probabilities—including features like a thick upper tail and a mass point at the bottom—which serve as probabilistic measures of intergenerational mobility.
436,"{
  ""category"": 8,
  ""measure"": ""The abstract does not specify a particular, well‐defined econometric measure (such as IGE, rank‐based mobility, or transition probabilities). Instead, it generally examines the role of educational expansion on income distribution and intergenerational movements using primary data, which does not clearly fit into any of the other specified categories.""
}",8,"The abstract does not specify a particular, well‐defined econometric measure (such as IGE, rank‐based mobility, or transition probabilities). Instead, it generally examines the role of educational expansion on income distribution and intergenerational movements using primary data, which does not clearly fit into any of the other specified categories."
444,"{""category"": 1, ""measure"": ""Intergenerational Elasticity (IGE)""}",1,Intergenerational Elasticity (IGE)
445,"{
  ""category"": 8,
  ""measure"": ""The abstract does not specify any one particular estimator (such as IGE, rank‐rank slope, etc.). Instead, it reviews various approaches to assessing income mobility—examining mobility over the life cycle and among the lowest-paid jobs—without explicitly tying the discussion to one of the standard model‐based measures.""
}",8,"The abstract does not specify any one particular estimator (such as IGE, rank‐rank slope, etc.). Instead, it reviews various approaches to assessing income mobility—examining mobility over the life cycle and among the lowest-paid jobs—without explicitly tying the discussion to one of the standard model‐based measures."
446,"{
  ""category"": 8,
  ""measure"": ""Bibliometric analysis (co‐citation analysis and information visualization of dynamic networks)""
}",8,Bibliometric analysis (co‐citation analysis and information visualization of dynamic networks)
467,"{""category"": 1, ""measure"": ""Intergenerational Elasticity (IGE)""}",1,Intergenerational Elasticity (IGE)
468,"{
  ""category"": 1,
  ""measure"": ""Intergenerational Elasticity (IGE) – including extensions that capture nonlinearities (e.g., the inheritance of employers)""
}",1,"Intergenerational Elasticity (IGE) – including extensions that capture nonlinearities (e.g., the inheritance of employers)"
476,"{
  ""category"": 1,
  ""measure"": ""Odds ratios estimated from multilevel logistic regression models""
}",1,Odds ratios estimated from multilevel logistic regression models
485,"{
  ""category"": 6,
  ""measure"": ""Structural reading approach to intergenerational transfers""
}",6,Structural reading approach to intergenerational transfers
489,"{
  ""category"": 1,
  ""measure"": ""The paper appears to use a regression‐based approach—estimating how parental income (or poverty status) predicts children’s later economic outcomes (often captured via an intergenerational elasticity or similar regression coefficient)—to quantify intergenerational transmission of economic status.""
}",1,The paper appears to use a regression‐based approach—estimating how parental income (or poverty status) predicts children’s later economic outcomes (often captured via an intergenerational elasticity or similar regression coefficient)—to quantify intergenerational transmission of economic status.
497,"{
  ""category"": 8,
  ""measure"": ""The abstract does not specify a quantitative model-based measure; instead, it discusses inheritance taxation as a policy instrument without indicating a particular mobility estimate.""
}",8,"The abstract does not specify a quantitative model-based measure; instead, it discusses inheritance taxation as a policy instrument without indicating a particular mobility estimate."
498,"{
  ""category"": 3,
  ""measure"": ""Transition Matrix / Probability Measures (capturing stickiness and direction of mobility)""
}",3,Transition Matrix / Probability Measures (capturing stickiness and direction of mobility)
504,"{
  ""category"": 8,
  ""measure"": ""Not specified – the abstract does not mention a specific model-based estimate or equation, but rather describes patterns of upward mobility at the county level.""
}",8,"Not specified – the abstract does not mention a specific model-based estimate or equation, but rather describes patterns of upward mobility at the county level."
506,"{
  ""category"": 5,
  ""measure"": ""Wealth persistence across generations measured by repeated rich‐list analysis (tracking the top 0.01% share and turnover)""
}",5,Wealth persistence across generations measured by repeated rich‐list analysis (tracking the top 0.01% share and turnover)
508,"{
  ""category"": 6,
  ""measure"": ""Sibling correlations (variance decomposition using restricted maximum likelihood)""
}",6,Sibling correlations (variance decomposition using restricted maximum likelihood)
516,"{
  ""category"": 8,
  ""measure"": ""Relative concern parameters and reference group effects—measures that capture how reference group income influences effort decisions and economic satisfaction (with estimates of marginal sensitivity and the convexity/concavity of the relative concern function, as informed by prospect theory).""
}",8,"Relative concern parameters and reference group effects—measures that capture how reference group income influences effort decisions and economic satisfaction (with estimates of marginal sensitivity and the convexity/concavity of the relative concern function, as informed by prospect theory)."
517,"{
  ""category"": 1,
  ""measure"": ""Intergenerational Elasticity (IGE)""
}",1,Intergenerational Elasticity (IGE)
521,"{
  ""category"": 5,
  ""measure"": ""Multigenerational mobility measures – the study leverages three‐generation data (e.g., tracking intergenerational income/education/location outcomes) to assess mobility differences""
}",5,"Multigenerational mobility measures – the study leverages three‐generation data (e.g., tracking intergenerational income/education/location outcomes) to assess mobility differences"
522,"{
  ""category"": 6,
  ""measure"": ""A structural model that quantifies the aggregate transition effects (e.g., gross aggregate transition effect and cohort-specific redistributive effects) when switching from a uniform to an actuarially fair pension system""
}",6,"A structural model that quantifies the aggregate transition effects (e.g., gross aggregate transition effect and cohort-specific redistributive effects) when switching from a uniform to an actuarially fair pension system"
527,"{
  ""category"": 8,
  ""measure"": ""The abstract does not specify a particular mobility measure (such as an intergenerational elasticity or rank‐based measure) but mentions evidence from panel data and empirical tests rather than detailing a specific quantified mobility metric.""
}",8,The abstract does not specify a particular mobility measure (such as an intergenerational elasticity or rank‐based measure) but mentions evidence from panel data and empirical tests rather than detailing a specific quantified mobility metric.
529,"{
  ""category"": 6,
  ""measure"": ""Overlapping-generations structural model of human and social capital investment""
}",6,Overlapping-generations structural model of human and social capital investment
531,"{
  ""category"": 6,
  ""measure"": ""A simulated intergenerational wealth mobility measure derived from a structural model that generates oscillations in wealth within dynasties based on occupational choice and education investment.""
}",6,A simulated intergenerational wealth mobility measure derived from a structural model that generates oscillations in wealth within dynasties based on occupational choice and education investment.
538,"{
  ""category"": 8,
  ""measure"": ""No specific model-based mobility measure is mentioned; the paper discusses wealth transfer policies conceptually.""
}",8,No specific model-based mobility measure is mentioned; the paper discusses wealth transfer policies conceptually.
539,"{
  ""category"": 8,
  ""measure"": ""The paper does not use standard quantitative intergenerational mobility measures (such as IGE, rank‐based indices, etc.). Instead, it develops a conceptual process theory that examines how groups capture and recombine routinized social practices, which indirectly relates to mobility and stratification.""
}",8,"The paper does not use standard quantitative intergenerational mobility measures (such as IGE, rank‐based indices, etc.). Instead, it develops a conceptual process theory that examines how groups capture and recombine routinized social practices, which indirectly relates to mobility and stratification."
540,"{
  ""category"": 6,
  ""measure"": ""A structural model-based measure that generates predictions of intergenerational mobility and migrant outcomes relative to income segregation""
}",6,A structural model-based measure that generates predictions of intergenerational mobility and migrant outcomes relative to income segregation
547,"{
  ""category"": 1,
  ""measure"": ""Intergenerational Elasticity (IGE) implied""
}",1,Intergenerational Elasticity (IGE) implied
550,"{
  ""category"": 2,
  ""measure"": ""Relative inequality measures – top shares or percentile ratios""
}",2,Relative inequality measures – top shares or percentile ratios
555,"{
  ""category"": 5,
  ""measure"": ""Multigenerational mobility and transfer measures (studies of intergenerational patterns across three generations)""
}",5,Multigenerational mobility and transfer measures (studies of intergenerational patterns across three generations)
556,"{
  ""category"": 1,
  ""measure"": ""Intergenerational Elasticity (IGE) and related regression‐based estimates of intergenerational persistence""
}",1,Intergenerational Elasticity (IGE) and related regression‐based estimates of intergenerational persistence
560,"{
  ""category"": 8,
  ""measure"": ""Model‐based simulation outcomes such as savings and accumulation rates that generate long‐run distributional shifts, decumulation traps, and bounded accumulation effects""
}",8,"Model‐based simulation outcomes such as savings and accumulation rates that generate long‐run distributional shifts, decumulation traps, and bounded accumulation effects"
583,"{
  ""category"": 8,
  ""measure"": ""The study does not employ a formal quantitative mobility measure; instead, it uses qualitative assessments of wealth accumulation and entrepreneurial succession.""
}",8,"The study does not employ a formal quantitative mobility measure; instead, it uses qualitative assessments of wealth accumulation and entrepreneurial succession."
590,"{
  ""category"": 8,
  ""measure"": ""The study did not employ a specific quantitative measure (e.g. IGE, rank‐based measure, transition matrix, etc.) but rather relied on qualitative narrative analysis from focus groups to discuss intergenerational wealth transfer.""
}",8,"The study did not employ a specific quantitative measure (e.g. IGE, rank‐based measure, transition matrix, etc.) but rather relied on qualitative narrative analysis from focus groups to discuss intergenerational wealth transfer."
595,"{
  ""category"": 8,
  ""measure"": ""Downward mobility measure based on intergenerational wealth data (not explicitly specified)""
}",8,Downward mobility measure based on intergenerational wealth data (not explicitly specified)
598,"{
  ""category"": 6,
  ""measure"": ""A structural model‐based measure of intergenerational mobility dynamics (incorporating fertility differences and education cost effects)""
}",6,A structural model‐based measure of intergenerational mobility dynamics (incorporating fertility differences and education cost effects)
601,"{
  ""category"": 6,
  ""measure"": ""Structural measure of integrational mobility derived from an extended model incorporating fiscal policy effects""
}",6,Structural measure of integrational mobility derived from an extended model incorporating fiscal policy effects
606,"{
  ""category"": 8,
  ""measure"": ""The abstract does not mention any specific mobility measure, only referring generally to empirical analysis of intergenerational mobility.""
}",8,"The abstract does not mention any specific mobility measure, only referring generally to empirical analysis of intergenerational mobility."
611,"{
  ""category"": 8,
  ""measure"": ""The abstract does not specify a particular intergenerational mobility measure (such as IGE, rank‐based metrics, or transition matrices); it merely describes data linkage efforts that enable such analyses.""
}",8,"The abstract does not specify a particular intergenerational mobility measure (such as IGE, rank‐based metrics, or transition matrices); it merely describes data linkage efforts that enable such analyses."
612,"{
  ""category"": 3,
  ""measure"": ""Transition Probability Measure – quantifying the probability of an individual climbing the social ladder""
}",3,Transition Probability Measure – quantifying the probability of an individual climbing the social ladder
620,"{
  ""category"": 8,
  ""measure"": ""The paper does not use quantitative mobility estimates (e.g., IGE, transition matrices, etc.) but rather employs a normative analysis centered on the Rignano tax scheme.""
}",8,"The paper does not use quantitative mobility estimates (e.g., IGE, transition matrices, etc.) but rather employs a normative analysis centered on the Rignano tax scheme."
622,"{
  ""category"": 8,
  ""measure"": ""Decline in genetic assortative mating (used as an indicator of social mobility)""
}",8,Decline in genetic assortative mating (used as an indicator of social mobility)
623,"{
  ""category"": 1,
  ""measure"": ""Regression‐based correlation estimates obtained via fixed effects specifications (using sibling comparisons to control for household heterogeneity)""
}",1,Regression‐based correlation estimates obtained via fixed effects specifications (using sibling comparisons to control for household heterogeneity)
630,"{
  ""category"": 6,
  ""measure"": ""Structural measure in the form of a dynamic life‐cycle model estimating the effects of property tax funding on intergenerational mobility and the impact of policy interventions.""
}",6,Structural measure in the form of a dynamic life‐cycle model estimating the effects of property tax funding on intergenerational mobility and the impact of policy interventions.
633,"{
  ""category"": 8,
  ""measure"": ""The abstract does not specify an explicit measure (e.g., a regression‐based estimate, rank‐based measure, etc.), so it falls under 'Others'.""
}",8,"The abstract does not specify an explicit measure (e.g., a regression‐based estimate, rank‐based measure, etc.), so it falls under 'Others'."
640,"{
  ""category"": 1,
  ""measure"": ""Time‐interaction term model regression estimates (examining the determinants of redistribution preference)""
}",1,Time‐interaction term model regression estimates (examining the determinants of redistribution preference)
641,"{
  ""category"": 6,
  ""measure"": ""Intergenerational income mobility derived from a structural model simulation estimating welfare impacts, consumption smoothing, and inequality changes""
}",6,"Intergenerational income mobility derived from a structural model simulation estimating welfare impacts, consumption smoothing, and inequality changes"
648,"{
  ""category"": 1,
  ""measure"": ""Elasticity of household education expenditure with respect to community education expenditure (0.307 elasticity)""
}",1,Elasticity of household education expenditure with respect to community education expenditure (0.307 elasticity)
659,"{
  ""category"": 1,
  ""measure"": ""Regression-based mediation effect (indirect effect of young adult income in the association between mothers' poverty and young adults' depression)""
}",1,Regression-based mediation effect (indirect effect of young adult income in the association between mothers' poverty and young adults' depression)
663,"{
  ""category"": 6,
  ""measure"": ""Redistributive effect estimated via a calibrated structural overlapping‐generations model (transition effect of switching from uniform to actuarially fair policies)""
}",6,Redistributive effect estimated via a calibrated structural overlapping‐generations model (transition effect of switching from uniform to actuarially fair policies)
665,"{
  ""category"": 1,
  ""measure"": ""The paper primarily employs regression‐based approaches—specifically, it references the two most adopted objective measures (typically estimated using regression models such as the intergenerational elasticity) alongside a newly proposed measure of perceived inequality of opportunity estimated via a multilevel regression framework.""
}",1,"The paper primarily employs regression‐based approaches—specifically, it references the two most adopted objective measures (typically estimated using regression models such as the intergenerational elasticity) alongside a newly proposed measure of perceived inequality of opportunity estimated via a multilevel regression framework."
675,"{
  ""category"": 8,
  ""measure"": ""The paper uses a model‐derived parameter from the VES production function (within the Diamond overlapping generations framework) that affects intergenerational income/consumption inequality.""
}",8,The paper uses a model‐derived parameter from the VES production function (within the Diamond overlapping generations framework) that affects intergenerational income/consumption inequality.
676,"{
  ""category"": 6,
  ""measure"": ""Structural model capturing income distribution dynamics with multiple steady states driven by historical discrimination and spillover ratios""
}",6,Structural model capturing income distribution dynamics with multiple steady states driven by historical discrimination and spillover ratios
677,"{
  ""category"": 8,
  ""measure"": ""The abstract does not report a quantitative model or estimate but instead provides a qualitative legal and theoretical analysis of the role of family businesses in wealth inequality.""
}",8,The abstract does not report a quantitative model or estimate but instead provides a qualitative legal and theoretical analysis of the role of family businesses in wealth inequality.
681,"{
  ""category"": 8,
  ""measure"": ""Structural model estimates of the impact of credit constraints on human capital and social mobility""
}",8,Structural model estimates of the impact of credit constraints on human capital and social mobility
686,"{
  ""category"": 8,
  ""measure"": ""Comparative estimates of net worth, home equity, asset accumulation, and earnings power between indebted and non-indebted individuals""
}",8,"Comparative estimates of net worth, home equity, asset accumulation, and earnings power between indebted and non-indebted individuals"
690,"{
  ""category"": 1,
  ""measure"": ""The paper appears to use regression‐based estimates—such as estimates of intergenerational elasticity (IGE) and related sibling‐inequality regressions—to quantify social mobility.""
}",1,The paper appears to use regression‐based estimates—such as estimates of intergenerational elasticity (IGE) and related sibling‐inequality regressions—to quantify social mobility.
691,"{
  ""category"": 6,
  ""measure"": ""Structural Simulation Measures (counterfactual analysis using an overlapping‐generations dynamic general equilibrium model calibrated to neighborhood-specific technologies)""
}",6,Structural Simulation Measures (counterfactual analysis using an overlapping‐generations dynamic general equilibrium model calibrated to neighborhood-specific technologies)
696,"{
  ""category"": 8,
  ""measure"": ""The abstract does not specify a particular quantitative measure (e.g., IGE, rank mobility, etc.) for intergenerational mobility; it only references empirical analysis of inequality’s impacts without detailing a specific model-based estimate.""
}",8,"The abstract does not specify a particular quantitative measure (e.g., IGE, rank mobility, etc.) for intergenerational mobility; it only references empirical analysis of inequality’s impacts without detailing a specific model-based estimate."
704,"{
  ""category"": 6,
  ""measure"": ""A structural measure derived from a theoretical model—assessing intergenerational mobility by quantifying the effect of parental education on an individual's potential (and thus economic outcomes) in equilibrium.""
}",6,A structural measure derived from a theoretical model—assessing intergenerational mobility by quantifying the effect of parental education on an individual's potential (and thus economic outcomes) in equilibrium.
706,"{
  ""category"": 1,
  ""measure"": ""Intergenerational Elasticity (IGE)""
}",1,Intergenerational Elasticity (IGE)
707,"{
  ""category"": 8,
  ""measure"": ""Parental Monetary Transfer Amounts (annual and cumulative absolute amounts)""
}",8,Parental Monetary Transfer Amounts (annual and cumulative absolute amounts)
712,"{
  ""category"": 1,
  ""measure"": ""The study estimates the intergenerational income‐achievement association using regression coefficients (i.e. the income effect on college enrollment, graduation, and years of schooling) by comparing groups defined by MAOA variants.""
}",1,"The study estimates the intergenerational income‐achievement association using regression coefficients (i.e. the income effect on college enrollment, graduation, and years of schooling) by comparing groups defined by MAOA variants."
715,"{
  ""category"": 8,
  ""measure"": ""Education‐as‐inheritance (an assessment of intergenerational wealth transmission through education)""
}",8,Education‐as‐inheritance (an assessment of intergenerational wealth transmission through education)
717,"{
  ""category"": 6,
  ""measure"": ""Steady state wealth shares and factor returns computed from a calibrated dynamic structural model that examines transitional convergence dynamics (including variants with social mobility and capital levy interventions)""
}",6,Steady state wealth shares and factor returns computed from a calibrated dynamic structural model that examines transitional convergence dynamics (including variants with social mobility and capital levy interventions)
719,"{
  ""category"": 6,
  ""measure"": ""Structural model‐derived measure capturing oscillations in wealth and intergenerational persistence in education attainment""
}",6,Structural model‐derived measure capturing oscillations in wealth and intergenerational persistence in education attainment
722,"{
  ""category"": 6,
  ""measure"": ""Structural measure of wealth mobility – a model‐generated indicator capturing oscillations in wealth and persistent educational attainment across generations""
}",6,Structural measure of wealth mobility – a model‐generated indicator capturing oscillations in wealth and persistent educational attainment across generations
724,"{""category"": 2, ""measure"": ""Top shares and percentile ratios""}",2,Top shares and percentile ratios
728,"{
  ""category"": 3,
  ""measure"": ""Transition probabilities of upward and downward economic mobility""
}",3,Transition probabilities of upward and downward economic mobility
730,"{
  ""category"": 6,
  ""measure"": ""Structural, simulated counterfactual outcomes from a dynamic model assessing long‐run wealth convergence and gaps""
}",6,"Structural, simulated counterfactual outcomes from a dynamic model assessing long‐run wealth convergence and gaps"
732,"{
  ""category"": 8,
  ""measure"": ""Experimental questionnaire-based measure assessing social preferences for inter- and intra-generational wealth mobility and equality of opportunity.""
}",8,Experimental questionnaire-based measure assessing social preferences for inter- and intra-generational wealth mobility and equality of opportunity.
737,"{
  ""category"": 8,
  ""measure"": ""OLG model‐based estimates of productivity differences arising from intergenerational redistribution effects on human capital formation""
}",8,OLG model‐based estimates of productivity differences arising from intergenerational redistribution effects on human capital formation
741,"{
  ""category"": 8,
  ""measure"": ""A theoretical measure of intergenerational mobility derived from a Nash equilibrium model of positional competition, which yields an income distribution characterized by a power law.""
}",8,"A theoretical measure of intergenerational mobility derived from a Nash equilibrium model of positional competition, which yields an income distribution characterized by a power law."
743,"{
  ""category"": 6,
  ""measure"": ""Intergenerational Mobility estimated via a structural general equilibrium model simulation""
}",6,Intergenerational Mobility estimated via a structural general equilibrium model simulation
749,"{
  ""category"": 1,
  ""measure"": ""Regression coefficient estimates (panel data regression predicting the effect of student loans on income inequality, with additional variables like private college tuition and household poverty)""
}",1,"Regression coefficient estimates (panel data regression predicting the effect of student loans on income inequality, with additional variables like private college tuition and household poverty)"
757,"{
  ""category"": 6,
  ""measure"": ""Structural estimates from an overlapping generations model capturing self‐selection in education and career choices and its impact on intergenerational mobility""
}",6,Structural estimates from an overlapping generations model capturing self‐selection in education and career choices and its impact on intergenerational mobility
759,"{
  ""category"": 6,
  ""measure"": ""The paper develops a structural model where intergenerational mobility is an endogenous equilibrium outcome from positional competition (yielding, for example, a power law income distribution)""
}",6,"The paper develops a structural model where intergenerational mobility is an endogenous equilibrium outcome from positional competition (yielding, for example, a power law income distribution)"
768,"{
  ""category"": 8,
  ""measure"": ""The paper does not use a formal quantitative measure; instead, it employs qualitative interview analysis to explore perceptions of intergenerational gifting and meritocratic narratives.""
}",8,"The paper does not use a formal quantitative measure; instead, it employs qualitative interview analysis to explore perceptions of intergenerational gifting and meritocratic narratives."
779,"{
  ""category"": 1,
  ""measure"": ""Regression‐based Measures (e.g. estimated coefficients for direct and indirect effects on intergenerational income mobility, akin to Intergenerational Income Elasticity)""
}",1,"Regression‐based Measures (e.g. estimated coefficients for direct and indirect effects on intergenerational income mobility, akin to Intergenerational Income Elasticity)"
782,"{
  ""category"": 6,
  ""measure"": ""Structural estimates from an overlapping generations model capturing intergenerational mobility effects""
}",6,Structural estimates from an overlapping generations model capturing intergenerational mobility effects
783,"{
  ""category"": 8,
  ""measure"": ""Intergenerational Mobility as derived from neural network simulation dynamics in savings behavior""
}",8,Intergenerational Mobility as derived from neural network simulation dynamics in savings behavior
790,"{""category"": 6, ""measure"": ""Decomposition of income inequality into inequality of opportunity (IO) and inequality of effort (IE) within a structural intergenerational human capital model""}",6,Decomposition of income inequality into inequality of opportunity (IO) and inequality of effort (IE) within a structural intergenerational human capital model
793,"{
  ""category"": 8,
  ""measure"": ""Intergenerational transfers for college education (parental support via current income, savings, loans, goods and services)""
}",8,"Intergenerational transfers for college education (parental support via current income, savings, loans, goods and services)"
797,"{
  ""category"": 1,
  ""measure"": ""Regression coefficient estimating the effect of mother’s aspirations on child’s educational outcomes (using control function estimation)""
}",1,Regression coefficient estimating the effect of mother’s aspirations on child’s educational outcomes (using control function estimation)
798,"{""category"": 1, ""measure"": ""Intergenerational Elasticity (IGE) estimated through a simulated‐instruments regression approach""}",1,Intergenerational Elasticity (IGE) estimated through a simulated‐instruments regression approach
800,"{
  ""category"": 1,
  ""measure"": ""Intergenerational Elasticity (IGE)""
}",1,Intergenerational Elasticity (IGE)
806,"{""category"": 1, ""measure"": ""Regression‐based Estimates (e.g. the coefficient measuring the effect of social origins on migration for study)""}",1,Regression‐based Estimates (e.g. the coefficient measuring the effect of social origins on migration for study)
808,"{
  ""category"": 6,
  ""measure"": ""Structural model–based measure of intergenerational persistence. The paper develops a structural model that interprets how accurate background and ability information affect inequality and mobility.""
}",6,Structural model–based measure of intergenerational persistence. The paper develops a structural model that interprets how accurate background and ability information affect inequality and mobility.
811,"{
  ""category"": 2,
  ""measure"": ""Top shares and percentile ratios""
}",2,Top shares and percentile ratios
816,"{
  ""category"": 1,
  ""measure"": ""Intragenerational earnings regression model using the Mincer equation""
}",1,Intragenerational earnings regression model using the Mincer equation
819,"{
  ""category"": 8,
  ""measure"": ""Equilibrium share of the educated population derived from the simulation-based evolutionary model""
}",8,Equilibrium share of the educated population derived from the simulation-based evolutionary model
820,"{
  ""category"": 1,
  ""measure"": ""Intergenerational transmission of income (typically estimated via a regression-based measure such as the intergenerational elasticity)""
}",1,Intergenerational transmission of income (typically estimated via a regression-based measure such as the intergenerational elasticity)
821,"{
  ""category"": 6,
  ""measure"": ""A model‐implied structural measure of how optimal bequest division (in the context of a Becker-Barro dynastic model) affects intergenerational upward mobility and within‐generation inequality.""
}",6,A model‐implied structural measure of how optimal bequest division (in the context of a Becker-Barro dynastic model) affects intergenerational upward mobility and within‐generation inequality.
822,"{
  ""category"": 8,
  ""measure"": ""Atkinson’s social welfare function formulation, Jorgenson’s parameterization of consumer utility functions, and Dardanonis’s analysis linking social welfare and social mobility""
}",8,"Atkinson’s social welfare function formulation, Jorgenson’s parameterization of consumer utility functions, and Dardanonis’s analysis linking social welfare and social mobility"
826,"{
  ""category"": 6,
  ""measure"": ""A structural measure of intergenerational mobility derived from a calibrated heterogeneous‐agent overlapping generations model (tracking human capital and fertility effects)""
}",6,A structural measure of intergenerational mobility derived from a calibrated heterogeneous‐agent overlapping generations model (tracking human capital and fertility effects)
827,"{
  ""category"": 1,
  ""measure"": ""Causal peer effect estimates using regression discontinuity design (e.g., percentage changes in the probability of choosing a major)""
}",1,"Causal peer effect estimates using regression discontinuity design (e.g., percentage changes in the probability of choosing a major)"
831,"{
  ""category"": 1,
  ""measure"": ""Regression‐based estimate of the income-education association (slope coefficient)""
}",1,Regression‐based estimate of the income-education association (slope coefficient)
838,"{
  ""category"": 8,
  ""measure"": ""The abstract does not specify a quantitative mobility measure (e.g., an IGE or transition matrix); it instead discusses mechanisms such as intergenerational transfers without providing a model‐based estimate.""
}",8,"The abstract does not specify a quantitative mobility measure (e.g., an IGE or transition matrix); it instead discusses mechanisms such as intergenerational transfers without providing a model‐based estimate."
846,"{""category"": 6, ""measure"": ""Stationary Markov Perfect Equilibrium derived from a structural overlapping generations model (including analysis of credible tax thresholds, complementarities between parental inputs and children's study efforts)""}",6,"Stationary Markov Perfect Equilibrium derived from a structural overlapping generations model (including analysis of credible tax thresholds, complementarities between parental inputs and children's study efforts)"
847,"{
  ""category"": 8,
  ""measure"": ""General intergenerational mobility measure (no specific estimation method described)""
}",8,General intergenerational mobility measure (no specific estimation method described)
