id,category,measure,specified,relevant,category_2,measure_1,measure_2,category_3
797,1,Regression coefficient estimating the effect of mother’s aspirations on child’s educational outcomes (using control function estimation),1,1,,Regression Coefficient,,
798,1,Intergenerational Elasticity (IGE) estimated through a simulated‐instruments regression approach,1,1,,Intergenerational Elasticity,,
800,1,Intergenerational Elasticity (IGE),1,1,,Intergenerational Elasticity,,
806,1,Regression‐based Estimates (e.g. the coefficient measuring the effect of social origins on migration for study),1,0,,Regression Estimate,,
808,6,Structural model–based measure of intergenerational persistence. The paper develops a structural model that interprets how accurate background and ability information affect inequality and mobility.,1,1,,Structural Model,,
811,2,Top shares and percentile ratios,1,0,,Top Shares,,
816,1,Intragenerational earnings regression model using the Mincer equation,1,0,,Mincer Regression,,
819,8,Equilibrium share of the educated population derived from the simulation-based evolutionary model,1,0,,Equilibrium Share,,
820,1,Intergenerational transmission of income (typically estimated via a regression-based measure such as the intergenerational elasticity),1,1,,Intergenerational Elasticity,,
821,6,A model‐implied structural measure of how optimal bequest division (in the context of a Becker-Barro dynastic model) affects intergenerational upward mobility and within‐generation inequality.,1,1,,Structural Measure,,
822,8,"Atkinson’s social welfare function formulation, Jorgenson’s parameterization of consumer utility functions, and Dardanonis’s analysis linking social welfare and social mobility",1,1,,Social Welfare Function,Consumer Utility Functions,
826,6,A structural measure of intergenerational mobility derived from a calibrated heterogeneous‐agent overlapping generations model (tracking human capital and fertility effects),1,1,,Structural Model,,
827,1,"Causal peer effect estimates using regression discontinuity design (e.g., percentage changes in the probability of choosing a major)",1,0,,Regression Estimate,,
831,1,Regression‐based estimate of the income-education association (slope coefficient),1,0,,Regression‐based Estimate,,
838,8,"The abstract does not specify a quantitative mobility measure (e.g., an IGE or transition matrix); it instead discusses mechanisms such as intergenerational transfers without providing a model‐based estimate.",0,1,,,,
846,6,"Stationary Markov Perfect Equilibrium derived from a structural overlapping generations model (including analysis of credible tax thresholds, complementarities between parental inputs and children's study efforts)",1,1,,Markov Perfect Equilibrium,,
847,8,General intergenerational mobility measure (no specific estimation method described),0,1,,,,
855,6,Calibrated structural model estimates of intergenerational mobility (via an inheritance model),1,1,,Structural Model,,
865,1,"Regression‐based measure capturing direct and indirect effects on intergenerational income mobility (e.g., estimating intergenerational income elasticity or similar regression coefficients)",1,1,,Intergenerational Elasticity,,
868,8,"The paper does not report a conventional intergenerational mobility measure (such as an IGE or transition matrix). Instead, it employs detailed simulation analyses to assess the effects of proposed inheritance tax reforms and their revenue implications for wealth concentration.",0,1,,,,
869,1,Intergenerational Elasticity (IGE),1,1,,Intergenerational Elasticity,,
878,1,Income‐Achievement Gap (estimated via regression-based approach),1,1,,Income‐Achievement Gap,,
892,6,Model-based income mobility estimates derived from a structural extension of the canonical intergenerational human capital investment model,1,1,,Structural Model,,
897,2,Relative educational positions measure (a novel mobility measure based on relative positions across the schooling distribution),1,1,,Relative Educational Positions,,
906,8,"None specified; the abstract does not indicate a specific quantitative measure such as regression‐based, rank‐based, etc.",0,1,,,,
932,8,No specific quantitative measure is provided; the paper introduces a theoretical 'Structure of Labor' framework rather than an estimate from a model or equation.,0,1,,,,
947,8,Heir fraction measure and top 0.01% wealth share measure,1,1,8,Heir Fraction,Wealth Share,
950,1,A regression‐based measure for intergenerational income mobility (essentially estimating an intergenerational elasticity via a partially linear model using a sharp identified set),1,1,,Intergenerational Elasticity,,
953,8,"The paper derives a theoretical, model‐based measure of intergenerational mobility characterized by its transitional dynamics – essentially quantifying mobility via the dynamics of worker composition and transfers per child. There is no standard empirical metric (such as an IGE, rank‐based measure, or transition matrix) explicitly used.",1,1,,Theoretical Measure,,
955,8,"Comparative analysis of wealth and income mobility by decomposing the contribution of property price rises to household asset accumulation and liabilities, with an assessment of generational heterogeneity",1,1,,Comparative Analysis,,
958,6,"Structural model‐based measures derived from a general equilibrium overlapping generations framework that simulate the intergenerational effects of policy reforms (evaluating welfare gains, distributional consequences and college completion outcomes)",1,1,,Structural Model,,
959,8,"Not specified – the abstract does not provide details of any specific model-based measure (e.g., IGE, rank-based, or transition matrices) for intergenerational mobility.",0,1,,,,
963,8,Heirs fraction and top 0.01% wealth shares,1,1,8,Heirs Fraction,Wealth Shares,
964,1,Ordered probit regression estimates that quantify the effect of housing quantity and living space on residents' subjective social status and intergenerational mobility.,1,1,,Ordered Probit,,
967,1,"The study appears to use regression‐based estimates (e.g., estimating an intergenerational elasticity or similar regression coefficient) to quantify mobility.",1,1,,Intergenerational Elasticity,,
976,1,Regression models (including unconditional quantile regression) and wage gap decomposition analysis,1,1,4,Regression Model,Wage Gap Decomposition,
977,8,"The abstract does not explicitly mention a specific quantitative measure (e.g., Intergenerational Elasticity) for intergenerational mobility.",0,1,,,,
985,6,Optimal inheritance tax model (a structural simulation approach incorporating bequest motives and parental educational decisions),1,1,,Optimal Inheritance Tax Model,,
994,8,"No specific quantitative measure (such as IGE, transition matrix, etc.) is mentioned; the paper relies on qualitative interviews and survey data to explore the role of social networks in economic mobility.",0,1,,,,
1000,1,"Regression‐based measure, likely estimating an intergenerational elasticity of inherited wealth",1,1,,Intergenerational Elasticity,,
1006,6,Structural-model based estimates of intergenerational mobility derived from numerical simulations of a mixed school financing regime,1,1,,Structural Model,,
1007,8,A model‐implied intergenerational mobility measure derived from a structural equilibrium model with self‐selection in education/investment decisions,1,1,,Structural Model,,
