id,category,RQ
201,4,"The paper investigates intergenerational wealth mobility—specifically, it asks: to what extent is a child's wealth determined by that of their parents? This includes estimating the relationship between parental and offspring wealth (using probate records) and exploring how market, institutional, and other factors contribute to wealth transmission."
202,2,"The paper asks: What are the empirical determinants of socioeconomic achievement—in particular, how do familial background (including the heritability of IQ), race, sex, cognitive and non‐cognitive traits, and educational inputs contribute to outcomes like occupational status and income? In effect, it empirically estimates the relative impact of these factors on income inequality and social achievement."
203,4,"How have intergenerational income mobility trends evolved for cohorts born after 1970, and what is the relationship between parental income and intermediate outcomes (such as degree attainment, test scores, and non-cognitive abilities) for forecasting future intergenerational earnings correlations? Additionally, will the decline in intergenerational mobility observed in earlier cohorts (1958 and 1970) persist for cohorts born from 1970 to 2000?"
204,2,"How do macro-level factors, such as industrialization, educational enrollment, social democracy, and income inequality, empirically affect intergenerational mobility (both immobility and vertical mobility) across different countries?"
205,4,"How persistent is income position over time and across generations, particularly in terms of intergenerational mobility for individuals in the top and bottom quintiles of the income distribution?"
206,2,"The paper asks empirical questions about how increased income inequality is related to children’s educational outcomes and intergenerational social mobility. For example, it investigates how rising family incomes (and disparities therein) influence academic achievement gaps, the extent to which parental income—as opposed to parental education—predicts children’s cognitive and educational outcomes, and whether schools and community interventions can counteract these trends."
207,1,How do limitations in available data and the failure to explicitly distinguish between absolute and relative mobility affect the validity of the consensus view on declining intergenerational income mobility in Britain?
208,7,"The paper asks: 'Can historical wealth distributions affect long-run output and inequality despite rational saving, convex technology and no externalities?' It further explores how bargaining power over financial contracts influences credit constraints, saving incentives, and ultimately determines whether poverty traps and wealth polarization (or interclass mobility) emerge. This is a theoretical investigation using structural modeling to understand these dynamics."
209,2,"The paper aims to empirically estimate intergenerational mobility by asking: What is the true correlation (or elasticity) between parental income and child earnings when using long‐run measures rather than one-year observations? In addition, how do determinants such as gender, race, liquidity constraints, and higher levels of parental income affect this intergenerational relationship, and does the pattern support or contradict the Becker-Tomes conjecture?"
210,4,"What is the degree and pattern of intergenerational economic mobility in Italy (as captured by intergenerational income elasticity and distributional differences), and how does education affect the transmission of economic status?"
211,2,"What is the magnitude of private family income transfers in the United States, and how do these transfers – particularly those that fund investments in children – affect the distribution of income over time?"
212,4,"How do different initial distributions of wealth and ability lead to varying long-run outcomes in the proportion of the skilled workforce and average wealth (both for rich and poor dynasties), and how do policies such as income taxation and the reallocation of public education spending (from basic to advanced education) affect net economic mobility and long-run wealth inheritance?"
213,2,"How do various pathways—such as education, labor market attachment, occupation, marital status, and health—mediate the relationship between parental status and offspring status in terms of intergenerational mobility, and how do these determinants differ between the United States and Great Britain?"
214,1,"How can opportunity inequality in Brazil be measured, particularly by examining the conditional income distribution of children based on their fathers’ wages, using innovative methods such as two‐sample instrumental variable techniques and nonparametric local logistic regression?"
215,7,"How does the inter-generational transmission of inequality depend on factors such as inter-generational earnings mobility, the asymmetry between positive and negative bequests, the strength of parental altruism, the elasticity of the marginal utility of consumption, and the return on wealth? And are the equilibrium wealth and consumption distributions predicted by the model consistent with empirical observations?"
216,4,"What is the extent of intergenerational income mobility in China, as measured by intergenerational income elasticity (IIE), and how does mobility differ between rural and urban areas?"
217,4,The research question addresses intergenerational wealth/income mobility by asking: To what extent do sons and daughters follow in their fathers’ footsteps (in terms of household disposable equivalent income and socioeconomic status) before the rise of the Swedish welfare state?
218,4,"How persistent is wealth across multiple generations? Specifically, what is the intergenerational elasticity (IGE) of wealth over five generations, and how can the significant correlation found between the wealth of families five generations apart be reconciled with standard one-generation mobility estimates?"
219,5,"How do racial and ethnic differences influence patterns of economic inequality and intergenerational mobility among children in 1940 and 1950, and what are the primary determinants (such as household head income) driving these disparities?"
220,4,"How do different bequest division rules affect intergenerational income distribution, and under what conditions does a more equal bequest division lead to a better income distribution as measured by second-degree stochastic dominance?"
221,2,"How are intergenerational mobility patterns manifested across social class, occupational status, earnings, and income, and what are the determinants (including inequality, nonlinearities, and cross-country variations) that explain these empirical observations?"
222,1,"The paper addresses how to accurately measure intergenerational income elasticity by developing an income dynamic model that accounts for measurement errors, lifecycle biases such as heterogeneous age profiles and transitory shocks, and the changing variance over the lifecycle. It asks: How can one account for these biases to obtain a more reliable estimate of the IGE using intergenerational linkages in the covariance structure of earnings, and what are the new IGE estimates for the US and Germany?"
223,4,"How do birth order and family size affect intergenerational income mobility, as measured by the income elasticity of children’s income with respect to their parents' income?"
224,4,"What is the range of feasible intergenerational income mobility slopes for men when accounting for selection biases due to unemployment, and how do these bounds‐based estimates compare with previous estimates that assumed exogenous selection?"
225,1,"How do different earnings measurement approaches (e.g., using hourly wage rates versus annual earnings, with variations in age brackets, earning periods, and inclusion of public transfers) affect the estimation of intergenerational earnings mobility, and what are the implications for making more accurate international comparisons?"
226,2,"The paper asks: (a) What is the consistent estimate of the intergenerational income elasticity in China, and (b) how does role of government spending—specifically in public education (examined via DID on the Compulsory Education Law)—affect the intergenerational transmission of income? These questions fall under empirical estimation and determinants (with a policy twist)."
227,4,"How does the direct intergenerational transmission of human capital affect parent‐to‐offspring investments and intergenerational income mobility (as measured by income elasticity) in China, and what are the implications for policy when such direct transfers are accounted for?"
228,2,"What are the empirical patterns of income mobility over the lifecycle and across generations? Specifically, how do individuals in the lower income quintiles move to higher quintiles over a 20‐year period, what is the intergenerational mobility of low-income dependents, and what drives the persistence and changing composition of the top 1 percent?"
229,4,"Do baby boomers accumulate more wealth and experience more upward wealth mobility throughout their life course compared to their parents, and will this translate into greater retirement security relative to their parental generation?"
230,2,"How does education influence intergenerational income mobility among urban Chinese households, as measured by indices such as intergenerational income elasticity, and how does this relationship change with the progress of market reforms in China?"
231,4,"The paper asks two interrelated research questions: (1) How do marriage market dynamics—specifically assortative mating and similarities in labor supply and earnings capacity between partners—affect rising income inequality, particularly via the equalizing potential of increased employment among lower‐educated women? (2) From a dynamic, intergenerational perspective, how does maternal employment (in conjunction with high‐quality external childcare) influence child outcomes and poverty risks, thereby affecting intergenerational income mobility and the reproduction of inequality?"
232,7,How can behavioral factors—specifically loss aversion and borrowing constraints affecting education investment decisions—generate a positive intergenerational income elasticity (including features such as the J-shaped decision rule) even with functioning capital markets?
233,7,"The paper asks: How do family decisions—through investment in children’s human and non-human capital and the transmission of endowments (such as inherited abilities and family reputation)—shape intergenerational income and wealth mobility over multiple generations, particularly as characterized by inheritability and investment propensities in a theoretical equilibrium framework?"
234,4,"How does intergenerational occupational mobility occur in Taipei over time, and what roles do family relations (e.g., the influence of a father’s status versus a father-in-law’s status) play in shaping class and occupational trajectories?"
235,7,"How do disincentive effects stemming from labor market taxation and redistribution explain the observed cross‐country differences in intergenerational income mobility, and do empirical tests support the predictions made by the proposed theoretical model?"
236,1,How does Jencks utilize and validate a path analytical methodology to establish the relationship between income and educational inequality in influencing intergenerational mobility?
237,4,"The paper investigates intergenerational economic mobility by examining how fathers’ earnings affect sons’ earnings across different quantiles of the distribution, and further explores how the inclusion of sons’ college education alters these quantile effects."
238,4,"How have intergenerational income/earning mobility trends evolved in Finland across different birth cohorts, and what roles do parental income effects (operating through educational investments) and rising returns to education with age play in shaping these mobility patterns?"
239,4,"How is intergenerational income and educational mobility transmitted over generations in Chile, and are there gender differences in this transmission (e.g., are income elasticities higher for sons than for daughters) over the period 1996–2006?"
240,1,Does the econometric model's simplified assumption of permanent income yield robust estimates of intergenerational income mobility?
241,4,"The research questions focus on intergenerational mobility, particularly examining how father's socioeconomic status (SES) relates to son's education and subsequent SES, including empirical estimates such as correlation coefficients and matrix analyses of occupational mobility for Brazil and Mexico."
242,4,"To what extent is socio-economic status, as measured by earnings and occupational status, transmitted from parents to children in Spain?"
243,7,"How do community formation, human capital accumulation, social spillovers, and decentralized school funding interact to produce economic segregation and persistent intergenerational inequality in income (and less so wealth), and can state equalization of school resources mitigate these effects by influencing the interplay of purchased, social, and family inputs in education and mobility decisions?"
244,1,"How does incorporating multiplicative, unobserved family-specific characteristics via a random coefficient model affect the measurement of intergenerational income mobility compared to the traditional elasticity measure?"
245,4,"What is the level of intergenerational income mobility in Sweden, and how do parental earnings—particularly differences between fathers and mothers—affect children’s earnings (with attention to gender differences and income deciles), especially in comparison to other countries such as the U.S.?"
246,4,"What is the magnitude of intergenerational income mobility in Chile, and how is it related to high income inequality? (Specifically, the study estimates intergenerational income elasticity and examines the inverse relationship between cross‐sectional income inequality and intergenerational income mobility.)"
247,4,How did Islamic inheritance practices in eighteenth‐century Ottoman Kastamonu affect wealth accumulation across generations and contribute to intergenerational wealth mobility and socioeconomic divisions?
248,7,"How does a spillover effect of human capital in investment technology, differing across agents with varying levels of initial human capital, drive convergence in per capita income and intergenerational mobility?"
249,5,"How do intergenerational mobility outcomes—both income and nonmonetary measures—differ by demographic groups (race and gender), and to what extent do parental education and occupation shape these differences?"
250,5,"How do racial differences—specifically differences between blacks and whites—affect intergenerational mobility, and to what extent can factors such as test scores in adolescence, family structure, completed schooling, and parental wealth explain the observed racial gaps in both upward and downward mobility?"
251,2,"How does the association between sons' income and fathers' income vary depending on the definition of ‘father’ – specifically, differences in biological versus nonbiological status and the extent of co-residence?"
252,4,"How do parents allocate human capital among their children, and to what extent do these parental decisions determine intergenerational mobility in income, earnings, and schooling – including considerations of potential gender or birth order biases and the interplay between environmental and genetic factors in these outcomes?"
253,4,"What is the measure of intergenerational earnings elasticity in Italy, and why is the long-term labor market success of children closely linked to that of their fathers?"
254,4,"What is the intergenerational income elasticity (i.e., the degree of intergenerational mobility) in Turkey, and how does it compare to that of countries like the United States?"
255,4,"How is wealth transmitted from one generation to the next? Specifically, to what extent does the wealth of fathers predict the wealth of their descendants over time, as evidenced by the empirical measurement of intergenerational wealth immobility from the 19th to the early 20th century?"
256,4,"Does the formation of community-based networks in historically disadvantaged communities serve as a substitute for inherited parental human capital and wealth, thereby enhancing intergenerational mobility in low-skill occupational contexts?"
257,7,"How can a political system sustain intergenerational transfers (specifically public pension programs) when rational voters, who care about their children, would seemingly favor higher future benefits, and what role does income mobility play in shaping these evaluations through its redistributive effects within generations?"
258,4,"How does the occupational status of parents, especially fathers, influence the socio-economic achievements of children in Italy, and to what extent does the egalitarian educational system mitigate intergenerational transmission of socio-economic status?"
259,2,"Are children with migration background from Mainland China generally disadvantaged in their educational attainment and income, and what factors contribute to this disadvantage?"
260,2,"What are the determinants and empirical estimates of intergenerational occupational mobility between the farm and nonfarm sectors in five African countries, and how do structural factors like income, educational, and spatial (geographic) dualisms explain these mobility patterns?"
261,2,"The paper asks: Do stability and increasing fluidity coexist in the contemporary Japanese labor market? In doing so, it empirically investigates how educational stratification influences entry into regular versus non‐regular employment, job changes, income inequality between professions, and the intergenerational transmission of income."
262,2,How is income inequality related to intergenerational income mobility in the United States?
263,7,"How does a dynamic general equilibrium model of human capital returns explain the observed negative correlation between parental wages and fertility, generate intergenerational mobility without relying on stochastic shocks, and link mobility to fertility patterns? Additionally, what do comparative statics reveal about the effects of education, childcare subsidies, child labor regulations, and income redistribution on long-run living standards?"
264,7,"How do intergenerational transmission of wealth and ascriptive disadvantages (ethnic, gender, etc.), along with intragenerational inequality, influence economic growth and social mobility? In other words, what is the relationship between economic growth and social mobility as modeled through theoretical and structural mechanisms?"
265,4,"Does the decline in the share of women among the very wealthy over time serve as evidence of shifting roles of dynastic (inherited) wealth, and do these shifts indicate that intergenerational wealth mobility decreased until the 1970s and then increased thereafter?"
266,4,"How do parental income and social class, relative to individual ability, influence the attainment of higher education and subsequent labour market success, and how have these relationships changed across cohorts (i.e., between individuals born in 1958 and 1970), thereby affecting intergenerational economic mobility?"
267,4,"How does intergenerational income mobility (with broader measures of economic status) transmit from parents to offspring, particularly comparing daughters and sons, and what role do factors such as husbands' earnings and assortative mating play in this process?"
268,4,"How do familial modes of production influence the direction of intergenerational wealth flows (e.g., upward flow in traditional, male-dominated systems vs. downward flow in Western economies), and what role do gender and age play in intergenerational wealth mobility and inheritance?"
269,4,"What is the causal impact of fathers' job loss (due to major industry contractions) on their children’s educational attainment and later economic outcomes, including potential channels affecting intergenerational wealth and income mobility?"
270,2,"How does using long-run earnings data to correct for transitory fluctuations affect the estimated intergenerational elasticity (IGE) in earnings, and what role does family wealth play in these intergenerational mobility estimates in the United States?"
271,1,"How can retrospective intergenerational mobility data be corrected for the unrepresentativeness of the parental generation, thereby improving the analysis of social mobility and demographic processes across more than two generations?"
272,4,"How does variation in the monoamine-oxidase A (MAOA) gene modulate the association between household income and children's educational attainment, and what are the implications of this moderation for intergenerational mobility?"
273,4,What is the degree and patterns of intergenerational income and educational mobility (including elasticity measures and persistence across the income distribution) in urban Chile?
274,4,"The paper asks: How does educational attainment affect wealth building and intergenerational wealth transfers among Latinos? In addition, it investigates the social gains and losses (as measured by work-life earnings profiles) and the effects of public investment in Latino higher education on national prosperity."
275,2,"How have China's One Child Policy and economic reforms affected intergenerational mobility in urban China? In particular, how do family socioeconomic factors—including household income, parental education, and gender—influence child poverty levels and investments in children over time?"
276,4,"What are the mechanisms—namely, intergenerational ability correlation, the consumption value of investment, information frictions, and credit constraints—that explain early gaps in child investments by family income, and are these mechanisms consistent with observed stylized facts such as the marginal returns on investments and the effect of parental income on child investments and skill formation?"
277,2,How does family structure affect the intergenerational transmission of educational attainment—as a proxy for permanent income—and how can novel mobility indices and tests (suitable for non‐square or unmatched transition matrices) be employed to measure changes in mobility trends over time across different family types?
278,2,"The paper empirically asks: What is the joint distribution of parent and child incomes in the U.S.? How does intergenerational income mobility vary geographically? And which factors (e.g., residential segregation, income inequality, quality of primary schools, social capital, and family stability) are correlated with upward mobility?"
279,1,How do long time average measures versus single-year measures of fathers’ occupation affect estimates of intergenerational occupational mobility? And how does the timing in the life cycle (mid-career versus other stages) at which sons' income and occupational outcomes are measured impact estimates of intergenerational mobility in income and occupational prestige?
280,5,"How do gender and racial differences—including factors like marriage, spousal earnings, education, and occupation—influence the intergenerational transmission of income status in the U.S.?"
281,1,"How do lifecycle, attenuation, and sample selection biases affect the measurement of lifetime intergenerational economic persistence in the UK, and what is the best estimate of this persistence when these issues are addressed?"
282,2,"How does intergenerational income/earnings mobility in Spain compare with that observed in other countries, and to what extent are there gender differences (e.g., for daughters) in the mobility estimates?"
283,3,"Do increased public investments in children’s human capital – such as spending on health, family support, housing, and education – reduce the influence of parental background on child outcomes (e.g., as measured by test scores) and thereby mitigate the adverse effects of rising income inequality on intergenerational mobility?"
284,4,"Does higher income/wealth lead to greater reproductive success, thereby generating a pattern of intergenerational (downward) wealth mobility in pre‐industrial England?"
285,2,"How do parental education and the design of school systems (e.g., flexibility in track choices and institutional arrangements) impact children’s educational choices and, consequently, intergenerational mobility in education and income? In particular, how do these effects differ between the Italian and German systems, and what role does gender play in moderating these relationships?"
286,2,"How has intergenerational economic mobility—as indicated by the intergenerational income elasticity (IGE) and related measures—changed over time (1940-2000) in the United States, and what are the empirical determinants (e.g., regression to the mean, returns to education) underlying these trends?"
287,1,"How can we develop reliable measurements of intergenerational income or earnings persistence in the general population, and can typical occupational levels of economic compensation serve as a useful proxy for economic well-being across generations?"
288,2,"What is the level of intergenerational earnings mobility in Singapore, and what are its determinants (including the role of parental education and demographic factors such as ethnicity, sex, and income) in a newly-industrialized economy?"
289,2,"How does the expansion and quality of public schools affect intergenerational income mobility in the early twentieth century, and to what extent are high‐income families more responsive to improvements in school quality than poor families?"
290,2,"How is economic status transmitted from one generation to the next across different countries, and what factors explain the differences in the strength of this intergenerational transmission? The paper addresses this by first detailing a benchmark measure of intergenerational mobility, then summarizing empirical findings from various countries, and finally outlining a theoretical framework to interpret cross-country differences."
291,2,"Which factors robustly predict spatial mobility across US commuter zones, and how do these predictors vary across zones with different average income quintiles?"
292,2,"How does rising income inequality in high-income countries—especially in the United States—affect intergenerational economic mobility for young adults? Specifically, what are the empirical determinants (e.g., family background, labor market structures, and public policies) that generate the relationship between inequality and intergenerational earnings mobility, why does America differ from other nations, and how will these processes evolve (particularly for the top 1 percent) in a more polarized labor market?"
293,4,"How do intergenerational factors—such as childhood poverty and inheritances—affect the wealth mobility of Mexican Americans? Specifically, the paper asks: (1) To what extent do early-life financial starting points (influenced by inheritances and poverty) shape later wealth ownership? (2) How do impediments in young adulthood mediate the transition from childhood disadvantage to adult wealth accumulation? (3) Do early life obstacles necessarily result in lower midlife wealth and homeownership?"
294,4,"The paper asks: to what extent do parental resources (financial and human capital) affect investments in children’s human capital and, under the assumption that these associations are causal, how do changes in poverty and inequality in the parents’ generation affect poverty and inequality in the children’s generation?"
295,2,"How has the relationship between family income and educational attainment evolved across different cohorts, and what does this imply about educational inequality and its role as a driver of intergenerational income mobility?"
296,2,"How strong is intergenerational income (earning) mobility in the United States? In other words, what is the true magnitude of the intergenerational earnings elasticity when we use a longer series of fathers’ earnings (thus addressing methodological concerns about bias from short time spans), and what roles do family income, net worth (as a proxy for borrowing constraints), and race play in determining children’s future labor market outcomes?"
297,4,"What is the degree of intergenerational mobility of economic status in Japan as measured by the intergenerational elasticity of income/earnings, and how does this mobility vary by marital status and gender as well as across different parts of the income distribution (examined via quantile and nonlinear analysis)?"
298,5,"How do historical economic inequalities contribute to racial differences in wealth holdings and mobility (e.g., property ownership and net worth), and how do these differences translate into advantages in areas such as education, residence quality, wages, and opportunities for further economic advancement? Additionally, what policy measures might address the racial asset gap and broader issues related to low savings rates?"
299,2,"How do intergenerational earnings elasticities compare between Singapore and the United States when measured under similar methodological constraints, and what does this imply about the level of intergenerational income mobility in these countries?"
300,7,"How do labor market heterogeneity and progressive taxation—within a complete markets framework—determine the long‐run distribution of capital, labor income, and wealth? In particular, what mechanisms lead to a negative correlation between capital income and labor income, and how does changing tax progressivity affect mobility in wealth (and not income)?"
301,4,"What is the magnitude of intergenerational economic mobility in New Zealand—as measured by intergenerational income elasticity—and to what extent do factors such as father's income/SES and demographic controls (e.g., gender, age) explain variations in children's income and occupational status?"
302,2,"The paper investigates how parental earnings and assortative mating determine intergenerational earnings mobility. Specifically, it asks: How are family earnings transmitted across generations in Sweden (in comparison to the US), what role does assortative mating play in this process, and how do these transmission patterns differ between daughters and sons (and across different points in the earnings distribution)?"
303,4,"The paper primarily investigates intergenerational wealth mobility and inheritance by addressing: How persistent is household wealth across generations? Is wealth mobility different at various life periods compared to intergenerational transitions? What role does the process of household division, occupational mobility (net of human capital attainment), and educational persistence play in driving wealth mobility?"
304,4,"The paper asks: How has intergenerational income mobility, as measured by the intergenerational earnings elasticity (IGE) and related correlation measures, changed over time? In particular, it investigates whether rising income inequality (measured by the Gini coefficient) is associated with decreasing intergenerational mobility in the United States."
305,4,"What is the effect of the Finnish comprehensive school reform on intergenerational income mobility? Specifically, does reducing educational heterogeneity through the reform lower the correlation between fathers’ and sons’ earnings?"
306,8,"Does relative income mobility affect interpersonal trust, and specifically, how do upward and downward shifts in one’s income position relative to one’s parents' affect levels of interpersonal trust?"
307,4,"How do asset transfers and inheritance practices operate as mechanisms of intergenerational wealth mobility, particularly in relation to variations by sex and sibling birth order?"
308,7,"How do factors like income mobility, relative income levels, and age—as captured in a formal model—influence rational voters’ support for preserving current Social Security benefits while anticipating its future retrenchment?"
309,2,"How have the relative skill premiums across various levels of education (i.e., the returns to education) changed over time in France, and what is the impact of parental income and skill on the educational attainment of children? Additionally, how does increased public educational expenditure interact with these factors to affect intergenerational mobility?"
310,7,"How do structural mechanisms of marriage, divorce, and parental investment—combined with policy measures such as child support and welfare—shape family structure (e.g., the prevalence of female-headed families) and intergenerational income persistence?"
311,2,"The paper primarily asks: How does intergenerational income and class mobility in Latin America compare to that in industrialized countries, and what are the macro-level determinants driving the observed patterns of inequality over generations?"
312,3,"How do different financial aid policies (general tuition subsidies, need-based aid, merit-based aid, and income-contingent loans) impact aggregate economic efficiency, income equality, and intergenerational mobility?"
313,2,"How have intergenerational mobility trends evolved over U.S. birth cohorts as measured by correlations between parents’ income ranks and children’s outcomes (earnings and college attendance), including transition probabilities between income quintiles, especially in the context of rising inequality?"
314,2,"How does the flexibility of the school tracking system, as seen in the Italian and German contexts, affect the extent to which parental education influences children’s school track choices and, in turn, intergenerational mobility in education and income?"
315,2,"What is the intergenerational income elasticity for urban China, accounting for potential biases such as income fluctuations and life cycle effects, and what is the role of parental education as a determinant of income mobility between fathers and sons?"
316,4,"How does assortative mating contribute to intergenerational economic mobility, specifically regarding the transmission of permanent family income through spouse correlations in human capital in Germany and Britain?"
317,4,"The study examines whether there is a statistically significant association between grandparents' social class and their grandchildren's occupational class—netting out the parents' social class and other factors such as education, income, and wealth—and quantifies the impact of grandparents' class positions on grandchild outcomes."
318,4,"How do the mechanisms embedded in differential capital returns, political lobbying, and inheritance affect wealth accumulation and intergenerational mobility?"
319,5,"How do intergenerational mobility rates in education, occupation, and income differ for historically disadvantaged scheduled castes and tribes (SC/ST) compared to non-SC/ST groups in India, and have these mobility rates converged over successive survey rounds (1983–2005) as structural changes potentially reduced caste‐based barriers?"
320,3,"How do geographic and institutional factors—specifically, neighborhood quality (e.g., high‐quality schools) and regional purchasing power—influence intergenerational income mobility relative to parental income?"
321,5,"How does father's socioeconomic status (SES) affect the intergenerational mobility of SES in children, and are there differential effects between sons and daughters?"
322,7,"What are the structural parameters that govern the intergenerational elasticity (IGE) of income? How do exogenous talent endowments, endogenous parental investments, and redistributive institutions interact to determine the equilibrium level of social mobility, and in particular, what role do political institutions play in shaping differences in intergenerational mobility across societies?"
323,4,"The research question is: What explains the divergence in trends when intergenerational mobility is measured by family income/son’s earnings versus social class? Specifically, is the decline in income mobility due to an actual increase in the intergenerational persistence of the permanent component of income (unrelated to social class), or can it be attributed to measurement issues (like poor measurement of permanent family income in earlier cohorts)?"
324,7,"How do unanticipated capital account liberalizations affect current account dynamics, capital accumulation, real wages, and asset prices in an overlapping generations model, and what policy strategies (such as gradual liberalization or compensatory policies) can mitigate transitional welfare losses to achieve Pareto improvements across current and future generations?"
325,4,"Does parental wealth promote upward mobility (and protect against downward mobility) for families, and how does the recent recession differentially impact intergenerational wealth mobility among black and white families?"
326,1,The research question is: 'How do conclusions about intergenerational (parent-child) mobility vary when measured using class-based outcomes versus income-based outcomes?'
327,4,"What is the degree and pattern of intergenerational wealth mobility, including: (i) What is the relationship (slope) between wealth ranks of parents and children (and its non-linearities at the top of the distribution)? (ii) To what extent does a latent factor capture the dynamics underlying wealth transmission? (iii) How does the wealth of grandparents contribute to explaining wealth persistence beyond parental wealth?"
328,4,"How strong is the intergenerational transmission of income across three generations, and what are the roles of different channels—specifically, fathers-sons-grandsons, fathers-sons-granddaughters, fathers-daughters-grandsons, and fathers-daughters-granddaughters—in shaping the socio-economic status of grandsons and granddaughters, with particular attention to the relative influences of paternal and maternal grandfathers?"
329,3,"How do state and local tax policies—such as the progressivity of state income taxes, mortgage interest deductions, and state EITC—affect intergenerational income mobility across geographic areas in the United States?"
330,4,"How has intergenerational income persistence (i.e., mobility) in Sweden evolved over time, and how robust are these estimates to measurement issues related to the part of the life cycle used to capture long‐run incomes?"
331,7,"How do changes in the nature of wealth and division of labor—mediated by factors such as feasible coalition constraints (distance k), intermediation decay, and the degree of intergenerational transmission of wealth—drive transitions among stable network structures that exhibit varying levels of political hierarchy and economic inequality?"
332,4,"The paper asks: How persistent is intergenerational wealth and status (measured via wealth at death and average age at death) and what is the unbiased estimate of the mobility rate, particularly over multiple generations (i.e., how and when does class advantage or disadvantage dissipate over time)?"
333,4,What is the intergenerational income elasticity between fathers and sons in Taiwan; how does Taiwan's intergenerational income mobility compare with that of other countries; and is there a trend in income mobility across different birth cohorts?
334,4,"How do intergenerational transmission of wealth and redistributive fiscal policy affect the dynamics of the wealth distribution, both in the transitional phase and in the stationary state (particularly regarding the emergence of a Pareto distribution)?"
335,2,"What is the causal effect of income inequality on generalized trust in developed countries, and how do the different dimensions of inequality (static measures such as the Gini index and top income shares, versus dynamic measures like intergenerational income mobility) influence this relationship?"
336,7,How can a structural explanation—drawing on the mechanism of indirect reciprocities between generations and informed by historical shifts (from the European Old Regime to the present)—better account for intergenerational wealth transfers than traditional theories based on generational altruism?
337,4,"What is the role of assortative mating, differential fertility, and unwanted fertility in the intergenerational transmission of human wealth, and how much do these factors contribute to permanent income inequality?"
338,2,"Do disincentive effects of labor market taxation and redistribution account for cross-country differences in intergenerational mobility, as opposed to the conventional explanation based on credit constraints and underinvestment in human capital for poor children?"
339,4,"What is the extent of intergenerational mobility in individual earnings and income in Vietnam, as measured by the intergenerational elasticity (IGE) of sons and daughters relative to their fathers? This includes examining potential gender differences in these mobility estimates."
340,4,"The paper asks: (1) Do entrepreneurs experience greater upward intergenerational social mobility compared to self‐employed workers or employees? (2) Are predetermined characteristics (including having an entrepreneurial father) key determinants in the decision to become an entrepreneur? (3) What is the effect of entrepreneurial activity on income, particularly across different parental socioeconomic backgrounds?"
341,2,"How does intergenerational income elasticity vary across different income quantiles and over time, and what roles do education and race play in determining this mobility?"
342,4,"Does higher paternal income reduce the probability of the son having zero annual earnings, and if so, what is the magnitude of this relationship as evidence of intergenerational income mobility?"
343,2,"How do innate ability and various stages of educational investment (compulsory and non-compulsory) affect income inequality and intergenerational income mobility? In addition, which policy interventions (e.g., direct subsidies to poor parents) are most effective in mitigating the disparities resulting from differential early education investments?"
344,2,"Do youth from different social and economic backgrounds have roughly equal life chances, and how have structural economic, cultural, and community changes over recent decades contributed to diverging trajectories in children's opportunities?"
345,1,How can we develop a flexible framework to accurately estimate heterogeneous intergenerational mobility elasticities—addressing latent permanent incomes and life-cycle bias—and test the commonly imposed assumption that the intergenerational income mobility function is linear?
346,4,"How does assortative mating affect intergenerational economic mobility? Specifically, what is the role of spouse's earnings in the transmission process compared to the offspring’s own earnings relative to the parents’ income?"
347,7,"How do factors such as schooling, parental time, public versus private education, and income shocks structurally affect intergenerational earnings mobility in both the short run and long run?"
348,7,"How does the absence of first credit markets affect intergenerational wealth mobility in an infinite horizon dynastic model, and what are the comparative statics and welfare implications of different levels of intergenerational mobility? Additionally, how do interactions in credit markets (both within income classes and across the economy) and redistributive government policies influence the competitive allocation outcomes in such a model?"
349,7,"How does intergenerational income mobility respond over time to changes in the transmission mechanisms—induced by policy, institutional, or economic shifts—and what are the dynamic long‐term effects of past transmission mechanisms on current mobility levels (as explored through a theoretical model with transition paths between steady states)?"
350,4,"The paper asks: How does maternal employment (and associated time at home/unemployment) in addition to paternal income affect the intergenerational transmission of economic status, particularly for daughters? Further, it investigates whether these intergenerational mobility patterns vary by cohort."
351,2,"Does investing in human capital—particularly health investments—in Mexico yield sufficiently high returns (comparable to those in other countries), and to what extent does an increase in human capital translate into social mobility, given the evidence of intergenerational transmission of educational attainment?"
