id,category,measure,measure_1,measure_2
423,1,"The paper uses multiple measures. For instance, the intergenerational income elasticity (IGE) is a regression‐based measure (1); the association between fathers’ and sons’ income percentiles is a rank‐based measure (2); and the brother correlations do not squarely fall into any of the listed groups, so they are best viewed as an other measure (8).",,
424,8,"The paper does not specify a well‐known mobility measure. Instead, it uses a subjective approach to gauge modernity levels based on behavioral perspectives, along with data from social surveys and observations. This does not fall into the standard categories such as regression‐based measures (e.g., intergenerational elasticity) or rank‐based measures, so it is categorized under 'Others'.",,
425,1,Intergenerational Elasticity (IGE),,
426,1,It uses regression‐style estimates of parent–child income correlations (i.e. measures akin to the Intergenerational Elasticity/Correlation),,
427,6,"Path Models of Intergenerational Mobility – a structural, decompositional approach that allocates the contributions of various factors (including, implicitly, the rate of return on educational expenditures) to intergenerational outcomes.",,
428,3,Transition probabilities for intergenerational occupational mobility (based on frequency counts of upward mobility),,
430,3,It employs two measures: one is the traditional transition probability for movement across income quantiles (a transition matrix/probability measure) and the other is a novel rank‐based upward mobility measure defined as the probability that an adult child’s relative position exceeds that of the parents.,,
431,3,Upward mobility and downward mobility probabilities (transition matrix measures),,
432,1,"Lagged effects (sometimes referred to as counter-mobility), estimated through regression-based models",,
433,3,Transition Matrix / Probability Measures: Markov chain with a two-stage transition probability matrix (P),,
434,1,Intergenerational Income Elasticity (IGE) estimated via regression‐based methods (including quantile regression) and Transition Matrix analysis (for sons),,
437,1,Intergenerational Association (estimated via a two‐factor regression model capturing class reproduction),,
438,1,Panel model and panel error correction model coefficient estimates,,
439,1,"Estimated regression coefficients (Intergenerational Elasticity-like estimates) quantifying the effect of parental human, social, and asset capital on children’s income",,
440,1,Quantile regression estimates of intergenerational earnings correlation (IGE) and education’s return,,
441,3,Transition Matrix (with derived intergenerational income elasticity),,
442,1,Intergenerational Elasticity (IGE),,
443,1,The paper uses regression‐based estimates to examine wage determination and the factors affecting the willingness of migrant workers to stay in the city.,,
447,1,Intergenerational Income Elasticity (IGE),,
448,1,Intergenerational Income Elasticity (IGE),,
449,1,"The paper uses a regression‐based measure, essentially an intergenerational income elasticity/correlation estimate derived from multilevel statistical models.",,
450,1,Quantile Regression estimating intergenerational income mobility and equality of opportunity using stochastic dominance criteria,,
451,1,Intergenerational Income Elasticity (IGE) estimated via two-level regression models,,
452,1,Intergenerational Income Elasticity (IGE),,
453,8,methods of axiom and welfarism,,
454,6,"Decomposition / Structural Approaches (examining the contribution of individual characteristics to income gaps, similar to Oaxaca-Blinder decomposition)",,
455,1,Regression‐based measure (using regression coefficients to estimate intergenerational income elasticity),,
456,1,Intergenerational Income Elasticity (IGE) and offspring elasticity of public expenditure on education,,
457,7,Non‐parametric kernel density methods,,
458,1,Intergenerational Income Elasticity (IGE),,
459,1,Atkinson regression model (a regression‐based approach) and a transition matrix (a probability measure),,
460,3,"Intergenerational transition probability (e.g., transition matrix for occupational/educational mobility)",,
461,1,"Intergenerational Earnings Elasticity (IGE) – a regression‐based measure; the paper also uses an econometric probability measure of intergenerational transmission of poverty (which would fall under Transition Matrix/Probability Measures, i.e. category 3)",,
462,6,"Decomposition of intergenerational income correlation into contributions from education, health, and occupation",,
463,8,Effect of study grants on social mobility (assessed by comparing the social background and career outcomes of grant recipients to the overall student population),,
464,1,Intergenerational Elasticity (IGE),,
465,8,Descriptive expenditure and wealth patterns with subgroup comparisons (e.g. association between parental SES and current expenditure/durable goods) rather than a formal modeling measure.,,
466,8,Subjective intergenerational mobility and objective intergenerational mobility,,
469,1,Intergenerational Elasticity (IGE),,
470,8,"The command computes several types of IGM indices: (a) single‐stage indices which for continuous outcomes often correspond to regression‐based measures (e.g. intergenerational elasticity), (b) indices derived from a transition matrix between parents’ and children’s socioeconomic status, and (c) indices based on inequality measures (e.g. generalized entropy measures and the Atkinson index)",,
471,1,"OLS‐based and quantile regression measures, likely capturing the intergenerational elasticity (IGE) of income",,
472,7,New non‐parametric estimator for intergenerational income mobility,,
473,1,Intergenerational Income Elasticity (IGE); Father‐son income percentile associations (a rank‐based approach); and brother correlations,,
474,1,"Surname‐based intergenerational persistence – estimated via regression (distinguishing overall individual, within‐group, and between‐group mobility)",,
475,2,Parent–child and grandparent–grandchild rank correlations,,
477,1,Intergenerational Earnings Elasticity (IGE),,
478,1,"County Fixed Effects Estimates, which quantify the causal effect of growing up in a county on later income.",,
479,8,Average Propensity to Consume and Wealth‐Income Ratios,,
480,1,"The study uses regression‐based measures, likely estimating intergenerational elasticities (regression coefficients linking parental income to children’s or family income).",,
481,4,Absolute Mobility Measure (proportion of children achieving middle‐class status by middle age),,
482,5,Multiple‐generational analysis of wealth mobility (surname‐based persistence measures),,
483,1,"Between‐groups regression coefficient, a regression‐based measure of intergenerational income elasticity (IGE)",,
484,1,"Regression‐based measure of income differences (controlling for variables like college selectivity, major, and academic performance)",,
486,1,"Multivariate regression analysis estimates quantifying the impact of financial transfers (inheritance, large financial gifts, support for education/home purchase, and parental support) on household net wealth.",,
487,1,"The paper estimates intergenerational persistence in education – essentially an Intergenerational Elasticity (IGE) measure using regression‐based approaches – and also computes an overeducation rate for college‐educated workers, which does not neatly fit one of the standard categories (thus, it can be considered as falling under Others)",,
488,3,Markov transition matrix measures (estimates of intergenerational mobility via transition probabilities),,
490,7,Intergenerational income mobility estimated using non‐parametric approaches (i.e. comparing probabilities of upward/downward mobility across family structures),,
491,1,"Intergenerational income mobility estimated via regression analysis (e.g., an Intergenerational Income Elasticity approach)",,
492,1,Growth curve model estimates of income trajectories using categorical pathway clusters and family background variables,,
493,1,Intergenerational Earnings Elasticity (IGE) (a regression‐based measure) and Rank‐Rank Slope (a rank‐based measure),,
494,1,"Regression‐based estimates (e.g., coefficients from regressions of children’s income and education on fathers’ income and education, analogous to estimating intergenerational elasticity)",,
495,1,Estimated regression coefficients capturing the effect of commuting zone-level homeownership on intergenerational (upward) mobility (instrumented using housing supply and price shocks),,
496,1,Intergenerational Elasticity (IGE),,
499,5,Multigenerational mobility measures (i.e. estimates tracking mobility across three generations),,
500,1,Intergenerational Elasticity (IGE),,
501,4,"The paper derives two canonical mobility measures: a relative mobility measure—commonly represented by the intergenerational elasticity (a regression‐based metric, though here obtained analytically)—and an absolute mobility measure (typically defined as the fraction of children earning more than their parents).",,
502,6,Decomposition measures separating pure inheritance from mediated inheritance in income and occupational mobility,,
503,6,A simulation‐based structural approach that models how parental investments in child schooling affect the future income distribution and intergenerational mobility.,,
505,1,Intergenerational Income Elasticity (IGE) (Regression‐based) and Rank‐order correlations (Rank‐based),,
507,1,Intergenerational Income Elasticity (IGE),,
509,4,"County-level upward mobility estimated by Chetty and Hendren (an absolute mobility measure, such as the average adult income rank for children born to low‐income families)",,
510,1,"The paper uses two distinct measures: Intergenerational Income Elasticity (IGE), which is a regression‐based measure, and the rank correlation, which is a rank‐based measure.",,
511,4,"The paper uses absolute measures of poverty duration—in particular, it reports the incidence of poverty over a 10‐year span (e.g., the percentage poor at some time and the percentage persistently poor, defined as poor for at least 8 out of 10 years) from PSID data.",,
512,1,Intergenerational Elasticity (IGE) of wealth,,
513,1,Intergenerational Elasticity (IGE),,
514,1,Intergenerational Elasticity (IGE),,
515,1,"Regression‐based estimates: the paper uses regression coefficients to quantify the associations between parental income and child outcomes (birthweight, height, school performance) and further estimates the earnings returns to these skills.",,
518,1,"Estimated regression coefficient for intergenerational wealth mobility (a one‐decile increase in parental wealth predicts a four‐percentile increase in offspring wealth), extended to include multigenerational effects",,
519,1,Intergenerational Elasticity (IGE),,
520,7,"Counterfactual distributional measures – specifically, the fraction of children with income below the poverty line, the variance of child’s income, and the interquantile range of child’s income estimated via a non‐parametric, quantile regression based counterfactual approach",,
523,1,"Estimates from regression‐based approaches (i.e., slope coefficients linking parental and offspring health outcomes, analogous to intergenerational elasticity measures)",,
524,1,"Least squares regression coefficients estimating intergenerational elasticities (e.g., IGE of log earnings on fathers’ and grandfathers’ earnings)",,
525,1,"Regression-based fit statistics (e.g., R2) for cross-sectional predictors of 20-year cumulative earnings",,
526,1,"A regression‐based estimate essentially analogous to the intergenerational elasticity (IGE) framework—using adult income levels (and, by extension, teen birth rate outcomes) as dependent variables in a Solon‐style regression model.",,
528,1,"Instrumental-variable regression estimate of intergenerational economic mobility (e.g., an IV-based intergenerational elasticity measure)",,
530,1,Coefficient estimates from regression analysis (examining the impact of parental entry status on children’s occupation type and income),,
532,6,Decomposition/Structural approach via simulations decomposing intergenerational income mobility differences by family characteristics,,
533,3,Intergenerational transition probabilities across income quintiles,,
534,1,Estimated regression coefficient relating parental income to children’s test scores (a form of intergenerational elasticity),,
535,1,Intergenerational Elasticity (IGE),,
536,1,"Intergenerational Elasticity (IGE) estimates (using earnings, education, occupation, and name‐based persistence proxies)",,
537,1,Regression‐based measures estimated via instrumental variable regressions linking historical slavery prevalence to contemporary intergenerational mobility.,,
541,1,"Regression‐based Measures (e.g., estimates examining the relationship between social background and both income and occupational mobility)",,
542,1,Multivariate regression estimates assessing the relationship between neighbourhood median incomes at age 16 and subsequent neighbourhood attainment (an analogue to intergenerational elasticity).,,
543,1,Intergenerational Income Elasticity (IGE),,
544,8,"Subjective intergenerational mobility (specifically, subjective downward mobility)",,
545,1,"Intergenerational regression coefficient (interpreted as the Intergenerational Elasticity, IGE)",,
546,1,Intergenerational Income Mobility Elasticity,,
548,1,"The paper appears to use regression‐based estimates, for example, regression coefficients estimating intergenerational elasticity and the return to high school education.",,
549,1,Intergenerational Elasticity (IGE),,
551,3,New Mobility Table that scales each quintile by the income spread it represents,,
552,1,Intergenerational Income Elasticity (IGE) and IGE of the expectation,,
553,3,"The paper primarily uses a non‐linear transition matrix technique (a transition matrix / probability measure) to quantify mobility across education, occupational skill, and income. In addition, it reports absolute (and relative) income mobility measures, and employs a logistic regression model (a regression‐based approach) to examine determinants of upward mobility.",,
554,1,Unconditional Quantile Regression Coefficients,,
557,1,Intergenerational Income Elasticity (IGE),,
558,1,Intergenerational Elasticity (IGE),,
559,1,OLS estimation,,
561,6,"The paper reports a fixed‐effects–based decomposition of intergenerational mobility into a causal component (the estimated effect of each year of childhood exposure to a one SD better county on adult income, roughly 0.5% per year, implying about a 10% gain from full exposure) and a sorting component.",,
562,6,Counterfactual decomposition using a dynastic model to estimate the relative contribution of nature (20%) versus nurture to intergenerational mobility,,
563,8,"The study used multiple measures: logistic regression (a regression‐based measure, category 1), rank‐rank slopes (a rank‐based measure, category 2), and transition matrices (a transition matrix/probability measure, category 3)",,
564,1,"The paper estimates regression‐based coefficients, capturing the effect of self‐reported intergenerational mobility (upward or downward) on support for democracy, controlling for education and current economic situation.",,
565,1,Intergenerational Elasticity (IGE),,
566,1,A regression‐based estimate of intergenerational income mobility (commonly captured by measures like the intergenerational elasticity of income),,
567,6,New decomposition approach of exceptional intergenerational income mobility (with a focus on educational mobility),,
568,1,Intergenerational Income Elasticity (IGE),,
569,1,"The paper implies the use of regression‐based measures, for example, estimates of the intergenerational elasticity (IGE) in income.",,
570,4,The study distinguishes two key measures – intergenerational absolute income mobility and intragenerational (absolute) income mobility – as opposed to the relative mobility (often estimated via regression‐based methods) which the authors note needs further empirical work.,,
571,1,Intergenerational Income Elasticity (IGE),,
572,1,Intergenerational Elasticity (IGE) and Rank‐Rank Slope,,
573,1,"Regression‐based Measures (e.g., estimates analogous to Intergenerational Elasticity of wealth)",,
574,1,"Intergenerational persistence (Intergenerational Elasticity, estimated via regression-based approaches) and, in the teacher effectiveness chapter, composite score regression methods (EVAAS via MRM and URM)",,
575,3,Intergenerational Transition Matrix (flows between wealth quintiles),,
576,1,"Intergenerational Income Mobility (estimated via regression‐based analysis, e.g. using elasticity-type estimates)",,
577,1,Instrumental variable estimate of the causal effect of upward income mobility,,
578,1,Regression model; Transformation matrix method (a transition probability approach),,
579,6,Intergenerational income correlation estimated via a life cycle dynastic model with counterfactual analysis,,
580,1,"The study appears to use regression‐based measures, such as estimates of intergenerational elasticity (IGE) in net wealth and consumption.",,
581,1,Intergenerational Elasticity (IGE),,
582,1,Intergenerational Elasticity (IGE),,
584,1,Intergenerational Income Elasticity (IGE),,
585,1,Intergenerational Income Elasticity (IGE) estimated by OLS and quantile regressions,,
586,1,Intergenerational Income Elasticity (IGE),,
587,8,Nine complementary indicators of intergenerational income mobility (unspecified),,
588,1,"Empirical estimates from regression‐based models including three‐stage least squares, beta regression, quantile regression, and threshold regression analyses.",,
589,3,Upward mobility rate defined as the percentage of students from the lowest income group who attain the highest earnings quintile.,,
591,2,Intergenerational persistence in income ranks (perceived),,
592,1,"The paper appears to quantify associations using regression‐based estimates (e.g., coefficients from models predicting wealth accumulation conditional on receiving wealth transfers) even if it does not explicitly label it as an intergenerational elasticity measure.",,
593,4,"Absolute Mobility Measure – the paper estimates treatment effects on long‐run earnings (median earnings, earnings relative to a high school graduate, and particularly income relative to initial household income) which capture the absolute change in income position (i.e. moving to a higher income quantile relative to one’s household).",,
594,8,Sibling similarity (i.e. sibling correlation) in accumulated income,,
596,1,Intergenerational Elasticity (IGE),,
597,4,Relative Income Mobility; Absolute Income Mobility,,
599,6,"Intergenerational Income Elasticity (IIE), decomposed into human capital and financial components",,
600,1,Intergenerational Elasticity (IGE),,
602,1,Intergenerational Elasticity (IGE),,
603,1,Intergenerational Elasticity (IGE) using credit scores,,
604,1,Intergenerational Elasticity (IGE),,
605,8,"Snapshot measures (i.e., cross‐sectional income distribution measures as contrasted with dynamic, intergenerational 'movie' measures such as those based on intergenerational elasticity)",,
607,3,Rates (transition probabilities) of intergenerational occupational mobility,,
608,1,"Intergenerational Elasticity (IGE) – the study reports an IGE of up to 0.6 estimated via regression methods; in addition, it introduces a linked trajectory mobility approach that decomposes earnings development into life‐cycle dimensions (initial level, growth rate, deceleration, and volatility), which is a decomposition/structural approach (category 6)",,
609,4,Wealth ratio or multiplier measure comparing child’s wealth to the generation average given a doubling in father’s wealth,,
610,3,Social fluidity and off‐diagonal origin–destination transition probabilities,,
613,1,Intergenerational Elasticity (IGE),,
614,6,Calibrated structural model-based measures that simulate welfare transmission and mobility dynamics across generations,,
615,1,"Regression‐based Measures, likely estimated regression coefficients capturing the associations between parental education/income and post‐college earnings (i.e., an intergenerational elasticity‐like measure)",,
616,1,Regression‐based estimates from multiple linear regression and logistic regression analyses linking maternal net worth and poverty status to young adult children's income,,
617,6,"A counterfactual, decomposition‐style simulation that estimates how changing college allocation (assuming 80% of observed differences in earnings are causal) would reduce intergenerational income persistence by about 25%",,
618,8,"Intergenerational Wealth Mobility Framework (no specific measure like IGE, rank‐based, or transition matrix is explicitly mentioned)",,
619,1,Intergenerational Elasticity (IGE) estimated using a lifecycle estimator,,
621,4,racial opportunity gap,,
624,6,Regime‐switch model estimates of intergenerational income transmission (akin to intergenerational elasticity measures derived from the Becker-Tomes-Solon framework),,
625,4,Absolute earnings mobility,,
626,6,Estimated intergenerational mobility parameter derived from a structural model (capturing the relationship between parental investments and offspring outcomes),,
627,1,"Regression‐based estimates assessing the relationship between family income and educational outcomes (e.g., an intergenerational gradient or elasticity of educational attainment)",,
628,6,Sibling correlations and their decomposition by SES dimensions,,
629,6,novel decomposition method applied to intergenerational transmission incorporating marriage entry and marital sorting,,
631,8,"The paper uses two distinct measures: absolute income mobility (an absolute mobility measure, Category 4) and relative income mobility (typically estimated via a regression‐based approach such as intergenerational elasticity, Category 1)",,
632,1,Intergenerational Income Elasticity (IGE) estimated via regression models,,
634,2,"Intergenerational rank association (rank-based mobility measure). The paper also compares it with conventional intergenerational income elasticity, but the focus is on the rank‐based measure.",,
635,8,"The abstract does not specify a particular measure; it broadly refers to comparisons across dimensions (e.g., income, position, direction/upward mobility) without detailing a specific model-based estimate like IGE, rank measures, or transition matrices.",,
636,6,Decomposition of the intergenerational income correlation to determine the share explained by children's education (40.5% contribution),,
637,1,Intergenerational Elasticity (IGE),,
638,2,Intergenerational Rank Correlation; Intergenerational Transition Matrices (the first measure belongs to Rank‐based Measures (2) and the second to Transition Matrix / Probability Measures (3)),,
639,1,Ordinary Least Squares (OLS) regressions and Instrumental Variable Quantile Regressions estimating the intergenerational economic association (akin to intergenerational elasticity measures),,
642,4,"The study uses two distinct mobility measures: a relative income mobility measure (typically estimated via regression‐based methods such as the intergenerational elasticity, falling under category 1) and an absolute income mobility measure (explicitly an absolute mobility measure, i.e. category 4).",,
643,1,Mediation model estimating partial mediation effects via regression-based analysis,,
644,6,"Structural estimates derived from an overlapping-generations model capturing the influence of innate talent, parental human capital, and educational investments on intergenerational income mobility and social welfare",,
645,1,"Intergenerational Elasticity (IGE) – both the conventional geometric mean version and a parametric approach aimed at estimating the arithmetic mean, along with visualization of conditional income quantiles.",,
646,8,"The paper uses several measures: Absolute Mobility (the share of individuals earning more than their parents, which falls under Absolute Mobility Measures [4]); Relative Mobility (the probability/chances of moving up the income distribution, best viewed as a Transition Matrix/Probability Measure [3]); and Intergenerational Income Elasticity (commonly estimated via regression methods, i.e. a Regression‐based Measure [1]).",,
647,6,Decomposition analysis quantifying the contribution of the one‐child policy (32.7%-47.3%) to the decline in intergenerational income mobility,,
649,1,Intergenerational Elasticity (IGE),,
650,1,Intergenerational Elasticity (IGE),,
651,1,Causal effect estimate of equalizing school revenues on intergenerational mobility (estimated via a simulated‐instruments regression),,
652,2,Descriptive rank‐rank analysis; Absolute mobility measures (assessing absolute and relative mobility); and a decomposition analysis to explain group differences,,
653,1,The paper employs a regression‐based approach (estimating wage persistence akin to an intergenerational elasticity measure) along with transition probability measures (using transition matrices across wage quintiles),,
654,6,"Social, educational, occupational, and income mobility, as well as changes in socioeconomic conditions were quantified using a structural equation modeling approach.",,
655,8,Subjectively Perceived Social Mobility (including a general measure and an occupation-specific measure),,
656,2,Rank‐rank model,,
657,1,Rank‐Rank Regression estimates of relative and absolute upward intergenerational mobility,,
658,1,"Two stage least squares (2SLS) regression estimates assessing the intergenerational link between wealth and child income, supplemented by a decomposition analysis of the child's income by race.",,
660,1,Intergenerational Income Elasticity (IGE),,
661,1,Intergenerational Income Elasticity (IGE),,
662,4,"The paper reports an absolute mobility measure – the percentage of sons earning more than their fathers (e.g., 67% in Germany, 60% in the US) – along with a relative mobility indicator (i.e. how children fare relative to their parents, likely estimated via a regression‐based approach such as the intergenerational elasticity or an analogous rank‐based measure, although the exact method is not detailed)",,
664,7,The paper introduces a new correlation curve – a non‐parametric tool that captures nonlinearities in the parent–child income relationship – while also discussing the conventional intergenerational elasticity (IGE) from regression‐based measures for comparison.,,
666,1,Intergenerational transmission of human capital (akin to an intergenerational elasticity measure),,
667,1,Intergenerational Elasticity (IGE) estimated across multiple childhood periods,,
668,1,Intergenerational Elasticity (IGE) and Rank‐rank slope,,
669,1,Intergenerational Elasticity (IGE) and Between-Groups Coefficient,,
670,1,The study reports intergenerational persistence estimated via regression (i.e. Intergenerational Elasticity (IGE) for income‐ and education‐based mobility). It also touches on absolute mobility and upward transition probabilities in education.,,
671,1,Intergenerational Earnings Elasticity (IGE),,
672,1,Intergenerational Income Elasticity (IGE) estimated via regression models – including estimated lifetime income differences as an absolute mobility measure,,
673,1,"Intergenerational Elasticity (IGE), estimated as the regression slope relating parent and child incomes (often implemented in a rank‐based format)",,
674,1,Intergenerational Elasticity (IGE),,
678,1,Intergenerational Income Elasticity (IGE),,
679,1,Intergenerational Income Elasticity (IGE) and intergenerational correlation of earnings,,
682,6,Decomposition analysis attributing over 50% of wage convergence to rising education attainment and occupational changes across generations.,,
683,1,Intergenerational Earnings Elasticity (IGE) and real wealth inheritance effects estimated via regression methods,,
684,1,Intergenerational Elasticity (IGE) estimated via a generalized errors‐in‐variables model,,
685,8,Ex‐ante measures of Inequality of Economic Opportunity (IEO) and the Human Opportunity Index (HOI),,
687,1,"Regression coefficient estimates linking parental credit risk score with child outcomes such as bankruptcy likelihood, default probability, credit score, and homeownership.",,
688,1,MII (a regression‐based measure of intergenerational income persistence),,
692,1,Intergenerational Elasticity (IGE),,
693,8,"The paper reviews traditional occupation‐based measures (using social position indicators derived from an individual’s occupation, as well as related measures like household income mobility, job displacement, union dissolution, and poverty dynamics) and then proposes an alternative household‐level measure that gauges the rate of mobility‐generating events driven by institutional incentives and social insurance. These measures do not neatly fall into the standard categories.",,
694,3,Transition probabilities estimated as upward and downward mobility rates conditional on parental income,,
695,1,Estimated regression coefficients quantifying the relationship between parental income and children’s test scores.,,
697,1,Growth model estimates of life‐course income trajectories by intergenerational educational mobility groups,,
698,3,"The study uses two types of measures: transition probability measures (e.g., the probability of moving out of the bottom quintile, which falls under Transition Matrix / Probability Measures, category 3) and directional rank mobility measures (which compare a child’s income rank to the parents’ rank, falling under Rank‐based Measures, category 2)",,
699,1,Intergenerational Elasticity (IGE),,
700,1,"The paper estimates a mobility parameter (i.e. a drop in intergenerational mobility gains for young people) using reduced‐form regression models. It also introduces new Gini‐type indices to assess spatial inequality, but in terms of intergenerational mobility the key measure is the regression‐based mobility gains coefficient.",,
701,6,A structural/model‐implied measure of intergenerational mobility (tracking how initial income distributions determine posterior human capital and income inequality),,
702,2,Intergenerational wealth rank correlations (parent‐child and grandparents‐grandchild) along with a decomposition of the wealth correlation into portions explained by bequests/gifts versus earnings and education,,
703,1,Causal effect estimates from regression analysis using a simulated instruments approach,,
705,2,Rank‐based mobility measure (specifically a quantile or rank‐rank slope approach focusing on top percentiles),,
708,1,Intergenerational Income Elasticity (IGE) and regression‐based estimates of intergenerational educational mobility,,
709,1,Intergenerational Income Mobility (typically estimated via regression-based approaches analogous to Intergenerational Elasticity),,
710,6,"Decomposition analysis of intergenerational income transmission (decomposing contributions from human capital channels, earnings differentials, and marriage patterns)",,
711,7,"Fraction of children with income below the poverty line, variance of child’s income, and the inter‐quantile range of child’s income (obtained via a non‐parametric counterfactual distribution analysis using quantile regression)",,
713,1,"The paper uses regression‐based measures, essentially estimating intergenerational elasticities (regression coefficients linking parental income to outcomes such as birth weight, grades, height, and education attainment).",,
714,8,Sibling correlations,,
716,6,Structural approach via recursive bivariate probit estimating the causal effect of relative income mobility,,
718,1,Intergenerational Elasticity (IGE) and Rank‐Rank Slope,,
720,1,Intergenerational Income Elasticity (IGE) and Rank Correlation,,
721,1,Intergenerational Elasticity (IGE),,
723,1,"Intergenerational Income Elasticity (IGE) [Category 1, Regression‐based Measures]; Associations between fathers’ and sons’ income percentiles [Category 2, Rank‐based Measures]; Brother correlations [Category 8, Others]",,
725,8,"Intergenerational Elasticity (IGE, a regression‐based measure), rank‐rank correlation (a rank‐based measure), and absolute upward mobility (an absolute mobility measure)",,
726,1,"Regression‐based measure examining the association between childhood environmental toxin exposure and intergenerational socioeconomic outcomes (e.g., comparing adult incomes to parental incomes, incarceration rates, and teenage childbearing) using regression models.",,
727,3,"Transition probability estimates – measuring the likelihood (8 percentage point increase) that a child enters the same industry as the father, along with associated income premium differences",,
729,3,Transition Matrix using tercile (wealth index and poverty status) and intergenerational transitions in education and health,,
731,1,"Intergenerational Income Elasticity (IGE) estimated via TS2SLS, along with a decomposition of the channels (education, occupation, noncognitive and cognitive abilities, etc.)",,
734,4,Absolute Intergenerational Income Mobility,,
735,2,Parent-child Income Rank Associations (IRA),,
736,2,"The study reports rank‐based mobility via a rank‐rank correlation (0.25) as well as a transition probability measure – for example, the likelihood (0.10) that a child from the bottom income quintile ends up in the top quintile, and the estimated conditional percentile (from below median to the 44th percentile).",,
738,1,"The paper uses a regression‐based measure, specifically the sensitivity of children’s educational attainment to parental income (an intergenerational elasticity-like measure), as an estimate of intergenerational mobility.",,
739,1,"The paper primarily uses regression‐based measures such as the Intergenerational Income Elasticity (IGE). In addition, it employs rank‐based measures (intergenerational rank mobility) and decomposition/structural approaches (decomposing intergenerational income inequality via investment and endowment effects), but the central quantification is via regression‐based IGE.",,
740,2,The paper reports a rank‐based measure – the rankrank slope (0.22) – and a transition probability measure (0.11 probability that a child from the bottom quintile reaches the top quintile).,,
742,1,The paper uses two‐stage least squares regressions to quantify the causal effect of grandparental wealth on child income (a regression‐based measure) and also employs a decomposition approach to parse out racial differences in income.,,
744,1,Intergenerational Income Elasticity (IGE) estimate from a regression-based framework,,
745,2,Rank difference between children from the lowest and highest parent percentile,,
746,4,"Absolute mobility measures, specifically capturing upward/downward mobility rates and the distance (or gap) between fathers’ and sons’ outcomes",,
747,6,"Intergenerational persistence estimated through counterfactual structural simulations (e.g., a 78% reduction in persistence when removing heterogeneity in parental time investment)",,
748,6,"Decomposition of intergenerational mobility. In Essay I the author estimates the Great Gatsby Curve via regression‐based methods and then decomposes the persistence into distinct transmission channels (e.g. the mediating role of educational attainment along with cognitive and non‐cognitive skills), while Essay III decomposes the overall intergenerational transmission into pre‐birth (genetic) and post‐birth (environmental) components through interaction effects.",,
750,2,"The paper uses rank‐based mobility estimators—with a focus on how relative (often rank‐based) mobility contrasts with absolute mobility measures. In other words, it examines rank‐based measures as well as absolute mobility measures.",,
751,6,"Decomposition of intergenerational mobility into mediating transmission channels (educational attainment, cognitive, and non‐cognitive skills) underlying the Great Gatsby Curve",,
752,1,Simple Regression Model (with Principal Component Analysis for variable reduction),,
753,1,"Intergenerational income dynamic regression estimates – quantifying the correlation in life‐cycle income growth, volatility, skewness, and downside risk between fathers and children.",,
754,1,The study uses regression‐based estimates via multilevel models – capturing relative mobility (akin to an intergenerational elasticity measure) – while also reporting absolute mobility measures,,
755,6,Sibling correlations and total decomposition analysis,,
756,1,Intergenerational income association estimates (similar to Intergenerational Elasticity) using OLS and IV estimation strategies,,
758,2,Parents’ earnings rank as a measure of class background (used to assess the steepness of the social gradient),,
760,6,Percentage contribution of OCP to the decline in intergenerational income mobility (a decomposition approach),,
761,4,Relative and Absolute Income Mobility Measures,,
762,3,"Transition probabilities computed from the distribution of paternal occupational groups, with an over‐representation ratio (e.g., factor of 9.7) indicating the likelihood of CEOs originating from Social Group I",,
763,2,rank‐rank slope,,
764,1,Intergenerational Elasticity (IGE) of income,,
765,4,"Absolute mobility (the percentage share of sons earning more than their fathers) and an implied relative mobility measure (likely estimated through regression‐based methods such as the intergenerational elasticity, though the abstract does not specify the exact technique)",,
766,1,"Parental income gradient (regression coefficient from a percentile rank regression, where a 10 percentile increase in parental income is associated with a 5.2 percentage point increase in the child’s A-Level attainment rate)",,
767,1,"Mobility estimates based on imputed parental income, likely operationalized as a regression‐based measure such as an intergenerational elasticity (IGE)",,
769,1,Predicted percentage change in an individual's earnings at age 26 associated with 'growing up' in a particular county (causal effect of place),,
770,3,"Transition matrix / probability measures – specifically, estimates of intergenerational wealth correlation via probabilities of belonging to top wealth groups (including analysis of persistence and deviations from perfect mobility)",,
771,3,"Transition probabilities (e.g., the probability of moving from a low-income/wealth quintile to a higher one)",,
772,3,income quintile transition matrix,,
773,1,"The paper appears to use regression‐based estimates of intergenerational mobility (e.g., an intergenerational income elasticity type measure, with analyses of the probability of upward mobility)",,
774,1,Intergenerational Elasticity (IGE),,
775,1,Intergenerational Elasticity (IGE) – estimated as the percentage change in a son's lifetime income associated with a 10% increase in his father’s lifetime income – and related regression‐based estimates of intragenerational wage mobility.,,
776,1,Intergenerational Income Elasticity (IGE),,
777,1,"The paper develops a regression‐based measure of intergenerational relative mobility – essentially an intergenerational elasticity (IGE) type measure that uses father’s occupation and own family income, adjusted to include non‐whites and women.",,
778,2,rank correlation,,
780,1,Intergenerational Elasticity (IGE),,
781,6,"Earnings adjustment via structural estimation of equivalent monetary compensation from non-monetary occupational qualities (i.e., a structural approach to intergenerational income persistence)",,
784,6,Structural model-based mobility estimates derived from an overlapping-generations simulation,,
785,2,The paper primarily uses a rank-based mobility measure – specifically the rank‐rank slope (an increase of 1 percentile in parent income rank relates to a 0.2 percentile increase in child income rank) – and also employs a Blinder-Oaxaca decomposition to partition the native-immigrant gap.,,
786,3,Crude categorical educational mobility measures (transition probabilities),,
