triplet_key,measure,datatype,rqtype,ew,years,paper_ids
Absolute Mobility Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,Absolute Mobility Measures,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[3.0],[2017],[https://openalex.org/W2564827629]
Regression‐based Measures | Panel/Longitudinal Surveys | Measurement and Methodological Advances,Regression‐based Measures,Panel/Longitudinal Surveys,Measurement and Methodological Advances,"[3.0, 3.8615237662477764, 5.217862999035388, 8.993750643591845, 10.829514688923759, 9.219922854291475, 13.590910215924184, 14.831574544179846, 32.66314908835969, 17.217461418948407, 17.98867073679482]","[2003, 2012, 2016, 2015, 2020, 2019, 2021, 2022, 2023]","[https://openalex.org/W1575557529, https://openalex.org/W2009388710, https://openalex.org/W2107393980, https://openalex.org/W2237492881, https://openalex.org/W2527995213, https://openalex.org/W2897475839, https://openalex.org/W2984996373, https://openalex.org/W3037705751, https://openalex.org/W3125359030, https://openalex.org/W3195123941, https://openalex.org/W4307711555, https://openalex.org/W4324121632]"
Transition Matrix / Probability Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,Transition Matrix / Probability Measures,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,"[3.0, 3.375]","[1998, 2013, 2021]","[https://openalex.org/W1581391655, https://openalex.org/W1984800654, https://openalex.org/W3214804213]"
Transition Matrix / Probability Measures | No dataset | Theoretical and Structural Models,Transition Matrix / Probability Measures,No dataset,Theoretical and Structural Models,[3.0],"[2012, 2020]","[https://openalex.org/W1724441452, https://openalex.org/W3202153609]"
Decomposition / Structural Approaches | National Survey Data | Empirical Estimates and Determinants,Decomposition / Structural Approaches,National Survey Data,Empirical Estimates and Determinants,"[3.0, 5.2735748497655965]","[2013, 2015, 2020]","[https://openalex.org/W1748686498, https://openalex.org/W2375187415, https://openalex.org/W2921069773]"
Regression‐based Measures | International Panel Data | Empirical Estimates and Determinants,Regression‐based Measures,International Panel Data,Empirical Estimates and Determinants,"[3.0, 4.723047532495553, 7.723047532495553, 8.09531115720148, 9.135098616013373, 10.952565245936086]","[2009, 2013, 2016, 2018, 2019, 2024]","[https://openalex.org/W1763036350, https://openalex.org/W2122216841, https://openalex.org/W2208157789, https://openalex.org/W2291516288, https://openalex.org/W2902789768, https://openalex.org/W2921237584, https://openalex.org/W4402066912]"
Regression‐based Measures | Others_DataType | Empirical Estimates and Determinants,Regression‐based Measures,Others_DataType,Empirical Estimates and Determinants,"[3.0, 3.989630933079671]","[2013, 2021, 2024]","[https://openalex.org/W1791196730, https://openalex.org/W3178385122, https://openalex.org/W4399323633]"
Others_Measure | Linked Administrative Data | Empirical Estimates and Determinants,Others_Measure,Linked Administrative Data,Empirical Estimates and Determinants,[3.0],[2015],[https://openalex.org/W1862838271]
Rank‐based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,Rank‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[3.0],"[2010, 2023]","[https://openalex.org/W1885260769, https://openalex.org/W4387158607]"
Regression‐based Measures | International Panel Data | Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,International Panel Data,Intergenerational Wealth Mobility and Inheritance,"[3.0, 6.958523732318683, 6.996622382261149]","[2011, 2009, 2013, 2023]","[https://openalex.org/W1896704912, https://openalex.org/W2034417760, https://openalex.org/W2123253365, https://openalex.org/W4366085258]"
Regression‐based Measures | Pseudo-Panel/Household Budget Survey | Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,Pseudo-Panel/Household Budget Survey,Intergenerational Wealth Mobility and Inheritance,[3.0],[2014],[https://openalex.org/W1912659445]
Absolute Mobility Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,Absolute Mobility Measures,No dataset,Intergenerational Wealth Mobility and Inheritance,[3.0],[2010],[https://openalex.org/W1993705293]
Decomposition / Structural Approaches | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,Decomposition / Structural Approaches,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,"[3.0, 6.0]","[2013, 2022]","[https://openalex.org/W1993865286, https://openalex.org/W2389521723, https://openalex.org/W4210953259]"
Non‐parametric Approaches | Others_DataType | Measurement and Methodological Advances,Non‐parametric Approaches,Others_DataType,Measurement and Methodological Advances,[3.0],[2010],[https://openalex.org/W1994441718]
Absolute Mobility Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,Absolute Mobility Measures,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[3.0],"[2014, 2019]","[https://openalex.org/W2003050456, https://openalex.org/W2965558093]"
Transition Matrix / Probability Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,Transition Matrix / Probability Measures,No dataset,Intergenerational Wealth Mobility and Inheritance,"[3.0, 3.053845235390486]","[1995, 2024, 2016]","[https://openalex.org/W2008560119, https://openalex.org/W2332279578, https://openalex.org/W2589434942]"
Non‐parametric Approaches | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,Non‐parametric Approaches,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,"[3.0, 3.375]","[2002, 2017, 2014]","[https://openalex.org/W2009705015, https://openalex.org/W2595264819, https://openalex.org/W765699370]"
Regression‐based Measures | Natural/Experimental Data | Empirical Estimates and Determinants,Regression‐based Measures,Natural/Experimental Data,Empirical Estimates and Determinants,[3.0],"[2014, 2022]","[https://openalex.org/W2010545686, https://openalex.org/W4312802865]"
Transition Matrix / Probability Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,Transition Matrix / Probability Measures,National Survey Data,Intergenerational Wealth Mobility and Inheritance,"[3.0, 3.8615237662477764, 5.54765557860074, 5.102168366444743]","[2001, 2010, 2013, 2020, 2008]","[https://openalex.org/W2017256370, https://openalex.org/W2353503414, https://openalex.org/W2619151633, https://openalex.org/W3198616739, https://openalex.org/W37448061]"
Regression‐based Measures | International Panel Data | Theoretical and Structural Models,Regression‐based Measures,International Panel Data,Theoretical and Structural Models,[3.0],[2015],[https://openalex.org/W2025903092]
Regression‐based Measures | No dataset | Measurement and Methodological Advances,Regression‐based Measures,No dataset,Measurement and Methodological Advances,"[3.0, 5.611651689888372, 5.805825844944186, 9.669142597486656, 11.417477534832557, 14.417477534832557, 11.280666363734433, 14.280666363734433, 13.822721294160042, 15.033377808916354, 18.033377808916356]","[2010, 2011, 2016, 2015, 2020, 2022, 2023]","[https://openalex.org/W2030719283, https://openalex.org/W2037234295, https://openalex.org/W2182279624, https://openalex.org/W2302816456, https://openalex.org/W2507475885, https://openalex.org/W2598656573, https://openalex.org/W2906080883, https://openalex.org/W3044954030, https://openalex.org/W4320148496, https://openalex.org/W4361974330, https://openalex.org/W4361988923, https://openalex.org/W4362499633]"
Multigenerational Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,Multigenerational Measures,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,"[3.0, 4.979261866159341, 5.48963093307967]","[2008, 2011, 2016, 2024]","[https://openalex.org/W2039841106, https://openalex.org/W2186374397, https://openalex.org/W2565185528, https://openalex.org/W4390870445]"
"Transition Matrix / Probability Measures | Panel/Longitudinal Surveys | Demographic Differences in Mobility (Race, Gender, etc.)",Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)","[3.0, 4.305825844944186, 4.076456461236047]","[2005, 2011, 2021, 2022]","[https://openalex.org/W2044900547, https://openalex.org/W2320409419, https://openalex.org/W3132136530, https://openalex.org/W4282557620]"
"Rank‐based Measures | Administrative/Registry Data | Demographic Differences in Mobility (Race, Gender, etc.)",Rank‐based Measures,Administrative/Registry Data,"Demographic Differences in Mobility (Race, Gender, etc.)","[3.0, 6.0]","[2011, 2020]","[https://openalex.org/W2048745299, https://openalex.org/W2285151281, https://openalex.org/W3099122721]"
Others_Measure | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,Others_Measure,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[3.0],"[2009, 2019]","[https://openalex.org/W2079691849, https://openalex.org/W2966414435]"
Absolute Mobility Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,Absolute Mobility Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,"[3.0, 4.723047532495553, 4.356339232787612]","[2008, 2012, 2021, 2018]","[https://openalex.org/W2096204191, https://openalex.org/W2181742113, https://openalex.org/W3121144081, https://openalex.org/W3190102834]"
Transition Matrix / Probability Measures | National Survey Data | Empirical Estimates and Determinants,Transition Matrix / Probability Measures,National Survey Data,Empirical Estimates and Determinants,[3.0],[2006],[https://openalex.org/W2099874214]
Rank‐based Measures | Linked Administrative Data | Empirical Estimates and Determinants,Rank‐based Measures,Linked Administrative Data,Empirical Estimates and Determinants,"[3.0, 6.0, 16.78438025996442, 6.652912922472092, 9.652912922472092, 11.403348782106516]","[2014, 2008, 2019, 2020, 2023]","[https://openalex.org/W2105584013, https://openalex.org/W2155246844, https://openalex.org/W3124527946, https://openalex.org/W3145594932, https://openalex.org/W3147268152, https://openalex.org/W3189747191, https://openalex.org/W4387195562]"
"Transition Matrix / Probability Measures | No dataset | Demographic Differences in Mobility (Race, Gender, etc.)",Transition Matrix / Probability Measures,No dataset,"Demographic Differences in Mobility (Race, Gender, etc.)",[3.0],[2006],[https://openalex.org/W2106387882]
Regression‐based Measures | Archival/Historical Data | Empirical Estimates and Determinants,Regression‐based Measures,Archival/Historical Data,Empirical Estimates and Determinants,"[3.0, 4.723047532495553]","[2011, 2015, 2018]","[https://openalex.org/W2119455293, https://openalex.org/W2625992765, https://openalex.org/W2811219136]"
Regression‐based Measures | Opportunity Atlas | Empirical Estimates and Determinants,Regression‐based Measures,Opportunity Atlas,Empirical Estimates and Determinants,[3.0],"[2014, 2021]","[https://openalex.org/W2120158174, https://openalex.org/W3129579937]"
Multigenerational Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,Multigenerational Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[3.0],[2014],[https://openalex.org/W2122845532]
Decomposition / Structural Approaches | National Survey Data | Perceptions of Mobility and Attitudes,Decomposition / Structural Approaches,National Survey Data,Perceptions of Mobility and Attitudes,[3.0],"[2015, 2012]","[https://openalex.org/W2134426017, https://openalex.org/W3125330545]"
Others_Measure | Others_DataType | Intergenerational Wealth Mobility and Inheritance,Others_Measure,Others_DataType,Intergenerational Wealth Mobility and Inheritance,[3.0],[2013],[https://openalex.org/W2134725625]
"Transition Matrix / Probability Measures | National Survey Data | Demographic Differences in Mobility (Race, Gender, etc.)",Transition Matrix / Probability Measures,National Survey Data,"Demographic Differences in Mobility (Race, Gender, etc.)",[3.0],[2013],[https://openalex.org/W2159953986]
"Regression‐based Measures | Panel/Longitudinal Surveys | Policy, Institutional, and Geographic Impacts",Regression‐based Measures,Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts","[3.0, 8.223303379776745, 7.723047532495553, 6.861523766247776, 16.723047532495553, 9.336850046886086, 12.336850046886086]","[2014, 2010, 2019, 2021, 2016]","[https://openalex.org/W2159988399, https://openalex.org/W2366816539, https://openalex.org/W2378057080, https://openalex.org/W2922039017, https://openalex.org/W3121808914, https://openalex.org/W3190097825, https://openalex.org/W3202616165, https://openalex.org/W4396596924]"
Non‐parametric Approaches | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,Non‐parametric Approaches,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[3.0],[2014],[https://openalex.org/W2182749524]
"Regression‐based Measures | Linked Administrative Data | Policy, Institutional, and Geographic Impacts",Regression‐based Measures,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts","[3.0, 4.5, 6.917477534832559, 9.917477534832559, 7.958738767416279]","[2013, 2018, 2019, 2024, 2025]","[https://openalex.org/W2184450311, https://openalex.org/W2544001857, https://openalex.org/W2920476039, https://openalex.org/W3124550008, https://openalex.org/W4390693054, https://openalex.org/W4407463226]"
Others_Measure | No dataset | Intergenerational Wealth Mobility and Inheritance,Others_Measure,No dataset,Intergenerational Wealth Mobility and Inheritance,"[3.0, 3.652912922472093, 8.536780632610864]","[2007, 2018, 2015, 2004]","[https://openalex.org/W2188355739, https://openalex.org/W3008379420, https://openalex.org/W3125318571, https://openalex.org/W8680042]"
Decomposition / Structural Approaches | No dataset | Empirical Estimates and Determinants,Decomposition / Structural Approaches,No dataset,Empirical Estimates and Determinants,[3.0],[2015],[https://openalex.org/W2229381819]
Others_Measure | Administrative/Registry Data | Empirical Estimates and Determinants,Others_Measure,Administrative/Registry Data,Empirical Estimates and Determinants,"[3.0, 4.5]","[2014, 2019, 2020]","[https://openalex.org/W2292189473, https://openalex.org/W2947666646, https://openalex.org/W3032637579]"
Non‐parametric Approaches | Linked Administrative Data | Empirical Estimates and Determinants,Non‐parametric Approaches,Linked Administrative Data,Empirical Estimates and Determinants,[3.0],[2015],[https://openalex.org/W2485689150]
Rank‐based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,Rank‐based Measures,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,"[3.0, 4.979261866159341, 7.334699222383924, 9.385226539653969]","[2018, 2021, 2022, 2023, 2024]","[https://openalex.org/W2512952691, https://openalex.org/W3169577729, https://openalex.org/W3207067564, https://openalex.org/W4385213642, https://openalex.org/W4405920878]"
"Absolute Mobility Measures | Panel/Longitudinal Surveys | Policy, Institutional, and Geographic Impacts",Absolute Mobility Measures,Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts",[3.0],[2016],[https://openalex.org/W2561736289]
"Regression‐based Measures | No dataset | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Regression‐based Measures,No dataset,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[3.0],[2017],[https://openalex.org/W2592479289]
"Multigenerational Measures | Archival/Historical Data | Policy, Institutional, and Geographic Impacts",Multigenerational Measures,Archival/Historical Data,"Policy, Institutional, and Geographic Impacts",[3.0],[2017],"[https://openalex.org/W2625426831, https://openalex.org/W2780097379]"
Decomposition / Structural Approaches | National Survey Data | Intergenerational Wealth Mobility and Inheritance,Decomposition / Structural Approaches,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[3.0],"[2017, 2021]","[https://openalex.org/W2663861583, https://openalex.org/W3208534945]"
Decomposition / Structural Approaches | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,Decomposition / Structural Approaches,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,"[3.0, 3.017762303513794]","[1981, 2018, 2021]","[https://openalex.org/W267019868, https://openalex.org/W3025499686, https://openalex.org/W3182550406]"
"Regression‐based Measures | National Survey Data | Policy, Institutional, and Geographic Impacts",Regression‐based Measures,National Survey Data,"Policy, Institutional, and Geographic Impacts",[3.0],"[2013, 2024]","[https://openalex.org/W2741490491, https://openalex.org/W4401067024]"
Non‐parametric Approaches | Others_DataType | Intergenerational Wealth Mobility and Inheritance,Non‐parametric Approaches,Others_DataType,Intergenerational Wealth Mobility and Inheritance,[3.0],[2020],[https://openalex.org/W2773358030]
"Regression‐based Measures | Natural/Experimental Data | Policy, Institutional, and Geographic Impacts",Regression‐based Measures,Natural/Experimental Data,"Policy, Institutional, and Geographic Impacts",[3.0],"[2018, 2024]","[https://openalex.org/W2801737043, https://openalex.org/W4401242778]"
"Regression‐based Measures | Administrative/Registry Data | Demographic Differences in Mobility (Race, Gender, etc.)",Regression‐based Measures,Administrative/Registry Data,"Demographic Differences in Mobility (Race, Gender, etc.)",[3.0],"[2018, 2019]","[https://openalex.org/W2887573038, https://openalex.org/W2931489399]"
Transition Matrix / Probability Measures | No dataset | Measurement and Methodological Advances,Transition Matrix / Probability Measures,No dataset,Measurement and Methodological Advances,[3.0],[2018],[https://openalex.org/W2896751489]
Others_Measure | University/Institution Data | Empirical Estimates and Determinants,Others_Measure,University/Institution Data,Empirical Estimates and Determinants,[3.0],[2019],[https://openalex.org/W2914094440]
Absolute Mobility Measures | No dataset | Empirical Estimates and Determinants,Absolute Mobility Measures,No dataset,Empirical Estimates and Determinants,[3.0],"[2018, 2020]","[https://openalex.org/W2921712035, https://openalex.org/W3022704615]"
"Regression‐based Measures | National Survey Data | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Regression‐based Measures,National Survey Data,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[3.0],[2019],[https://openalex.org/W2933369931]
Transition Matrix / Probability Measures | University/Institution Data | Empirical Estimates and Determinants,Transition Matrix / Probability Measures,University/Institution Data,Empirical Estimates and Determinants,[3.0],[2019],[https://openalex.org/W2953817338]
Rank‐based Measures | National Survey Data | Perceptions of Mobility and Attitudes,Rank‐based Measures,National Survey Data,Perceptions of Mobility and Attitudes,[3.0],[2019],[https://openalex.org/W2955018254]
"Absolute Mobility Measures | Panel/Longitudinal Surveys | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Absolute Mobility Measures,Panel/Longitudinal Surveys,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[3.0, 6.446095064991105]","[2020, 2019, 2022]","[https://openalex.org/W2968697195, https://openalex.org/W3043515736, https://openalex.org/W4220692802]"
"Regression‐based Measures | No dataset | Policy, Institutional, and Geographic Impacts",Regression‐based Measures,No dataset,"Policy, Institutional, and Geographic Impacts",[3.0],[2018],[https://openalex.org/W2997562221]
Decomposition / Structural Approaches | Others_DataType | Intergenerational Wealth Mobility and Inheritance,Decomposition / Structural Approaches,Others_DataType,Intergenerational Wealth Mobility and Inheritance,[3.0],[2020],[https://openalex.org/W3000604125]
"Regression‐based Measures | Panel/Longitudinal Surveys | Demographic Differences in Mobility (Race, Gender, etc.)",Regression‐based Measures,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)",[3.0],[2020],[https://openalex.org/W3001811947]
"Decomposition / Structural Approaches | Linked Administrative Data | Policy, Institutional, and Geographic Impacts",Decomposition / Structural Approaches,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts",[3.0],[2020],[https://openalex.org/W3007051557]
"Decomposition / Structural Approaches | Natural/Experimental Data | Policy, Institutional, and Geographic Impacts",Decomposition / Structural Approaches,Natural/Experimental Data,"Policy, Institutional, and Geographic Impacts",[3.0],"[2017, 2022]","[https://openalex.org/W3026679872, https://openalex.org/W4283764937]"
Rank‐based Measures | Panel/Longitudinal Surveys | Measurement and Methodological Advances,Rank‐based Measures,Panel/Longitudinal Surveys,Measurement and Methodological Advances,[3.0],[2020],[https://openalex.org/W3033668572]
Others_Measure | No dataset | Empirical Estimates and Determinants,Others_Measure,No dataset,Empirical Estimates and Determinants,[3.0],"[2020, 2021]","[https://openalex.org/W3033929493, https://openalex.org/W3216038618]"
Decomposition / Structural Approaches | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,Decomposition / Structural Approaches,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[3.0],"[2020, 2024]","[https://openalex.org/W3037216812, https://openalex.org/W4392341912]"
Rank‐based Measures | International Panel Data | Measurement and Methodological Advances,Rank‐based Measures,International Panel Data,Measurement and Methodological Advances,[3.0],[2020],[https://openalex.org/W3039577330]
Rank‐based Measures | Administrative/Registry Data | Measurement and Methodological Advances,Rank‐based Measures,Administrative/Registry Data,Measurement and Methodological Advances,"[3.0, 4.979261866159341]","[2018, 2021, 2023]","[https://openalex.org/W3109347625, https://openalex.org/W3176622639, https://openalex.org/W4386370708]"
"Decomposition / Structural Approaches | Others_DataType | Policy, Institutional, and Geographic Impacts",Decomposition / Structural Approaches,Others_DataType,"Policy, Institutional, and Geographic Impacts",[3.0],[2012],[https://openalex.org/W3123563038]
"Transition Matrix / Probability Measures | Linked Administrative Data | Demographic Differences in Mobility (Race, Gender, etc.)",Transition Matrix / Probability Measures,Linked Administrative Data,"Demographic Differences in Mobility (Race, Gender, etc.)",[3.0],"[2019, 2014]","[https://openalex.org/W3123816425, https://openalex.org/W3124044027]"
Rank‐based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,Rank‐based Measures,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,"[3.0, 4.5, 7.5, 8.683937124413992, 10.559806355286725]","[2016, 2021, 2023, 2024]","[https://openalex.org/W3124358677, https://openalex.org/W3184422859, https://openalex.org/W3211027916, https://openalex.org/W4367052625, https://openalex.org/W4394017071, https://openalex.org/W4401845594]"
Decomposition / Structural Approaches | Linked Administrative Data | Empirical Estimates and Determinants,Decomposition / Structural Approaches,Linked Administrative Data,Empirical Estimates and Determinants,"[3.0, 6.0, 6.4460950649911055, 9.446095064991106]","[2019, 2023]","[https://openalex.org/W3124992314, https://openalex.org/W3176921257, https://openalex.org/W4361000524, https://openalex.org/W4377002343, https://openalex.org/W4382807722]"
Non‐parametric Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,Non‐parametric Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance,[3.0],[2017],[https://openalex.org/W3125052842]
Others_Measure | Others_DataType | Empirical Estimates and Determinants,Others_Measure,Others_DataType,Empirical Estimates and Determinants,"[3.0, 3.989630933079671]","[2008, 2016, 2023]","[https://openalex.org/W3125155430, https://openalex.org/W325124896, https://openalex.org/W4386094306]"
Others_Measure | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,Others_Measure,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[3.0],[2021],[https://openalex.org/W3128702014]
Others_Measure | Natural/Experimental Data | Perceptions of Mobility and Attitudes,Others_Measure,Natural/Experimental Data,Perceptions of Mobility and Attitudes,[3.0],[2019],[https://openalex.org/W3136420028]
Regression‐based Measures | Opportunity Atlas | Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,Opportunity Atlas,Intergenerational Wealth Mobility and Inheritance,[3.0],[2021],[https://openalex.org/W3150419855]
"Regression‐based Measures | Opportunity Atlas | Policy, Institutional, and Geographic Impacts",Regression‐based Measures,Opportunity Atlas,"Policy, Institutional, and Geographic Impacts",[3.0],[2021],[https://openalex.org/W3197901707]
"Regression‐based Measures | National Survey Data | Demographic Differences in Mobility (Race, Gender, etc.)",Regression‐based Measures,National Survey Data,"Demographic Differences in Mobility (Race, Gender, etc.)",[3.0],[2021],[https://openalex.org/W3202722289]
Rank‐based Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,Rank‐based Measures,No dataset,Intergenerational Wealth Mobility and Inheritance,[3.0],[2021],[https://openalex.org/W4200297537]
"Rank‐based Measures | Panel/Longitudinal Surveys | Demographic Differences in Mobility (Race, Gender, etc.)",Rank‐based Measures,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)",[3.0],"[2022, 2011]","[https://openalex.org/W4225276593, https://openalex.org/W4232769139]"
Regression‐based Measures | Natural/Experimental Data | Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,Natural/Experimental Data,Intergenerational Wealth Mobility and Inheritance,[3.0],[2022],[https://openalex.org/W4226345407]
Transition Matrix / Probability Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,Transition Matrix / Probability Measures,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[3.0],"[2011, 2023]","[https://openalex.org/W4230711751, https://openalex.org/W4388938469]"
Regression‐based Measures | Linked Administrative Data | Theoretical and Structural Models,Regression‐based Measures,Linked Administrative Data,Theoretical and Structural Models,[3.0],[2018],[https://openalex.org/W4241858005]
Rank‐based Measures | University/Institution Data | Intergenerational Wealth Mobility and Inheritance,Rank‐based Measures,University/Institution Data,Intergenerational Wealth Mobility and Inheritance,[3.0],[2022],[https://openalex.org/W4285199241]
"Multigenerational Measures | Others_DataType | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Multigenerational Measures,Others_DataType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[3.0],[2022],[https://openalex.org/W4307156538]
"Decomposition / Structural Approaches | National Survey Data | Policy, Institutional, and Geographic Impacts",Decomposition / Structural Approaches,National Survey Data,"Policy, Institutional, and Geographic Impacts",[3.0],[2021],[https://openalex.org/W4312882163]
Rank‐based Measures | National Survey Data | Measurement and Methodological Advances,Rank‐based Measures,National Survey Data,Measurement and Methodological Advances,[3.0],[2023],[https://openalex.org/W4322624816]
Rank‐based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,Rank‐based Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[3.0],[2023],[https://openalex.org/W4386929517]
"Rank‐based Measures | Opportunity Atlas | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Rank‐based Measures,Opportunity Atlas,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[3.0],[2023],[https://openalex.org/W4387912130]
Regression‐based Measures | Linked Administrative Data | Others_RqType,Regression‐based Measures,Linked Administrative Data,Others_RqType,[3.0],[2012],[https://openalex.org/W439017983]
Transition Matrix / Probability Measures | Administrative/Registry Data | Empirical Estimates and Determinants,Transition Matrix / Probability Measures,Administrative/Registry Data,Empirical Estimates and Determinants,[3.0],[2023],[https://openalex.org/W4390487374]
"Others_Measure | Linked Administrative Data | Policy, Institutional, and Geographic Impacts",Others_Measure,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts",[3.0],[2024],[https://openalex.org/W4391772409]
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,[3.0],[2024],[https://openalex.org/W4399290172]
Rank‐based Measures | Others_DataType | Measurement and Methodological Advances,Rank‐based Measures,Others_DataType,Measurement and Methodological Advances,[3.0],[2024],[https://openalex.org/W4399529338]
"Rank‐based Measures | Linked Administrative Data | Demographic Differences in Mobility (Race, Gender, etc.)",Rank‐based Measures,Linked Administrative Data,"Demographic Differences in Mobility (Race, Gender, etc.)",[3.0],[2024],[https://openalex.org/W4402018025]
Transition Matrix / Probability Measures | Opportunity Atlas | Empirical Estimates and Determinants,Transition Matrix / Probability Measures,Opportunity Atlas,Empirical Estimates and Determinants,[3.0],[2024],[https://openalex.org/W4402314342]
Others_Measure | Panel/Longitudinal Surveys | Measurement and Methodological Advances,Others_Measure,Panel/Longitudinal Surveys,Measurement and Methodological Advances,[3.0],[2024],[https://openalex.org/W4402986304]
Others_Measure | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,Others_Measure,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[3.0],[2024],[https://openalex.org/W4403370613]
Regression‐based Measures | National Survey Data | Perceptions of Mobility and Attitudes,Regression‐based Measures,National Survey Data,Perceptions of Mobility and Attitudes,[3.0],[2024],[https://openalex.org/W4403660177]
Rank‐based Measures | No dataset | Measurement and Methodological Advances,Rank‐based Measures,No dataset,Measurement and Methodological Advances,[3.0],[2025],[https://openalex.org/W4406103194]
"Rank‐based Measures | Administrative/Registry Data | Policy, Institutional, and Geographic Impacts",Rank‐based Measures,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts",[3.0],[2025],[https://openalex.org/W4406151692]
Rank‐based Measures | National Survey Data | Empirical Estimates and Determinants,Rank‐based Measures,National Survey Data,Empirical Estimates and Determinants,[3.0],[2025],[https://openalex.org/W4406632693]
Regression‐based Measures | Big Data | Empirical Estimates and Determinants,Regression‐based Measures,Big Data,Empirical Estimates and Determinants,[3.0],[2025],[https://openalex.org/W4407152405]
