period,dt.name,m.name,rq.name,names,n_papers
2011-2015,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",0
2011-2015,National Survey Data,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",0
2011-2015,Others_DataType,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Others_DataType, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",0
2011-2015,No dataset,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",0
2011-2015,Administrative/Registry Data,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",0
2011-2015,Linked Administrative Data,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[Linked Administrative Data, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",0
2011-2015,National Survey Data,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",0
2011-2015,Pseudo-Panel/Household Budget Survey,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[Pseudo-Panel/Household Budget Survey, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",0
2011-2015,Linked Administrative Data,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,"[Linked Administrative Data, Non‐parametric Approaches, Intergenerational Wealth Mobility and Inheritance]",0
2011-2015,No dataset,Absolute Mobility Measures,Empirical Estimates and Determinants,"[No dataset, Absolute Mobility Measures, Empirical Estimates and Determinants]",0
2011-2015,Administrative/Registry Data,Absolute Mobility Measures,Empirical Estimates and Determinants,"[Administrative/Registry Data, Absolute Mobility Measures, Empirical Estimates and Determinants]",0
2011-2015,Others_DataType,Decomposition / Structural Approaches,Empirical Estimates and Determinants,"[Others_DataType, Decomposition / Structural Approaches, Empirical Estimates and Determinants]",0
2011-2015,Administrative/Registry Data,Regression‐based Measures,Empirical Estimates and Determinants,"[Administrative/Registry Data, Regression‐based Measures, Empirical Estimates and Determinants]",0
2011-2015,Linked Administrative Data,Regression‐based Measures,Empirical Estimates and Determinants,"[Linked Administrative Data, Regression‐based Measures, Empirical Estimates and Determinants]",0
2011-2015,Pseudo-Panel/Household Budget Survey,Regression‐based Measures,Empirical Estimates and Determinants,"[Pseudo-Panel/Household Budget Survey, Regression‐based Measures, Empirical Estimates and Determinants]",0
2011-2015,No dataset,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[No dataset, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",0
2011-2015,Administrative/Registry Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[Administrative/Registry Data, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",0
2011-2015,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",0
2011-2015,National Survey Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[National Survey Data, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",0
2011-2015,No dataset,Others_Measure,Empirical Estimates and Determinants,"[No dataset, Others_Measure, Empirical Estimates and Determinants]",0
2011-2015,Others_DataType,Others_Measure,Empirical Estimates and Determinants,"[Others_DataType, Others_Measure, Empirical Estimates and Determinants]",0
2011-2015,Administrative/Registry Data,Non‐parametric Approaches,Empirical Estimates and Determinants,"[Administrative/Registry Data, Non‐parametric Approaches, Empirical Estimates and Determinants]",0
2011-2015,Panel/Longitudinal Surveys,Non‐parametric Approaches,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Non‐parametric Approaches, Empirical Estimates and Determinants]",0
2011-2015,Administrative/Registry Data,Rank‐based Measures,Empirical Estimates and Determinants,"[Administrative/Registry Data, Rank‐based Measures, Empirical Estimates and Determinants]",0
2011-2015,Panel/Longitudinal Surveys,Rank‐based Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Rank‐based Measures, Empirical Estimates and Determinants]",0
2011-2015,Administrative/Registry Data,Absolute Mobility Measures,Measurement and Methodological Advances,"[Administrative/Registry Data, Absolute Mobility Measures, Measurement and Methodological Advances]",0
2011-2015,Panel/Longitudinal Surveys,Absolute Mobility Measures,Measurement and Methodological Advances,"[Panel/Longitudinal Surveys, Absolute Mobility Measures, Measurement and Methodological Advances]",0
2011-2015,No dataset,Decomposition / Structural Approaches,Measurement and Methodological Advances,"[No dataset, Decomposition / Structural Approaches, Measurement and Methodological Advances]",0
2011-2015,Administrative/Registry Data,Decomposition / Structural Approaches,Measurement and Methodological Advances,"[Administrative/Registry Data, Decomposition / Structural Approaches, Measurement and Methodological Advances]",0
2011-2015,Administrative/Registry Data,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts","[Administrative/Registry Data, Decomposition / Structural Approaches, Policy, Institutional, and Geographic Impacts]",0
2011-2015,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts","[Panel/Longitudinal Surveys, Decomposition / Structural Approaches, Policy, Institutional, and Geographic Impacts]",0
2011-2015,National Survey Data,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts","[National Survey Data, Decomposition / Structural Approaches, Policy, Institutional, and Geographic Impacts]",0
2011-2015,No dataset,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[No dataset, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",0
2011-2015,Others_DataType,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[Others_DataType, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",0
2011-2015,Administrative/Registry Data,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Administrative/Registry Data, Transition Matrix / Probability Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",0
2011-2015,Linked Administrative Data,Rank‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Linked Administrative Data, Rank‐based Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",0
2016-2020,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Regression‐based Measures, Empirical Estimates and Determinants]",15
2016-2020,Panel/Longitudinal Surveys,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",10
2016-2020,National Survey Data,Regression‐based Measures,Empirical Estimates and Determinants,"[National Survey Data, Regression‐based Measures, Empirical Estimates and Determinants]",8
2016-2020,National Survey Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",7
2016-2020,Archival/Historical Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Archival/Historical Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",6
2016-2020,Linked Administrative Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Linked Administrative Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",6
2016-2020,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",5
2016-2020,Administrative/Registry Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",5
2016-2020,No dataset,Regression‐based Measures,Measurement and Methodological Advances,"[No dataset, Regression‐based Measures, Measurement and Methodological Advances]",5
2016-2020,Panel/Longitudinal Surveys,Regression‐based Measures,Measurement and Methodological Advances,"[Panel/Longitudinal Surveys, Regression‐based Measures, Measurement and Methodological Advances]",5
2016-2020,No dataset,Decomposition / Structural Approaches,Theoretical and Structural Models,"[No dataset, Decomposition / Structural Approaches, Theoretical and Structural Models]",4
2016-2020,Administrative/Registry Data,Regression‐based Measures,Empirical Estimates and Determinants,"[Administrative/Registry Data, Regression‐based Measures, Empirical Estimates and Determinants]",4
2016-2020,Administrative/Registry Data,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[Administrative/Registry Data, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",4
2016-2020,No dataset,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",3
2016-2020,No dataset,Regression‐based Measures,Empirical Estimates and Determinants,"[No dataset, Regression‐based Measures, Empirical Estimates and Determinants]",3
2016-2020,International Panel Data,Regression‐based Measures,Empirical Estimates and Determinants,"[International Panel Data, Regression‐based Measures, Empirical Estimates and Determinants]",3
2016-2020,Linked Administrative Data,Rank‐based Measures,Empirical Estimates and Determinants,"[Linked Administrative Data, Rank‐based Measures, Empirical Estimates and Determinants]",3
2016-2020,Linked Administrative Data,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[Linked Administrative Data, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",3
2016-2020,No dataset,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",2
2016-2020,Others_DataType,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Others_DataType, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",2
2016-2020,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",2
2016-2020,No dataset,Absolute Mobility Measures,Empirical Estimates and Determinants,"[No dataset, Absolute Mobility Measures, Empirical Estimates and Determinants]",2
2016-2020,Administrative/Registry Data,Decomposition / Structural Approaches,Empirical Estimates and Determinants,"[Administrative/Registry Data, Decomposition / Structural Approaches, Empirical Estimates and Determinants]",2
2016-2020,Linked Administrative Data,Decomposition / Structural Approaches,Empirical Estimates and Determinants,"[Linked Administrative Data, Decomposition / Structural Approaches, Empirical Estimates and Determinants]",2
2016-2020,Administrative/Registry Data,Others_Measure,Empirical Estimates and Determinants,"[Administrative/Registry Data, Others_Measure, Empirical Estimates and Determinants]",2
2016-2020,Administrative/Registry Data,Regression‐based Measures,Measurement and Methodological Advances,"[Administrative/Registry Data, Regression‐based Measures, Measurement and Methodological Advances]",2
2016-2020,No dataset,Others_Measure,Measurement and Methodological Advances,"[No dataset, Others_Measure, Measurement and Methodological Advances]",2
2016-2020,Panel/Longitudinal Surveys,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[Panel/Longitudinal Surveys, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",2
2016-2020,Archival/Historical Data,Multigenerational Measures,"Policy, Institutional, and Geographic Impacts","[Archival/Historical Data, Multigenerational Measures, Policy, Institutional, and Geographic Impacts]",2
2016-2020,Administrative/Registry Data,Regression‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Administrative/Registry Data, Regression‐based Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",2
2016-2020,Panel/Longitudinal Surveys,Absolute Mobility Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[Panel/Longitudinal Surveys, Absolute Mobility Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",2
2016-2020,Administrative/Registry Data,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",1
2016-2020,Panel/Longitudinal Surveys,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",1
2016-2020,Linked Administrative Data,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[Linked Administrative Data, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",1
2016-2020,Administrative/Registry Data,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",1
2016-2020,Others_DataType,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[Others_DataType, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",1
2016-2020,Linked Administrative Data,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[Linked Administrative Data, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",1
2016-2020,National Survey Data,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",1
2016-2020,No dataset,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",1
2016-2020,National Survey Data,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",1
2016-2020,No dataset,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",1
2016-2020,Administrative/Registry Data,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",1
2016-2020,Archival/Historical Data,Multigenerational Measures,Intergenerational Wealth Mobility and Inheritance,"[Archival/Historical Data, Multigenerational Measures, Intergenerational Wealth Mobility and Inheritance]",1
2016-2020,No dataset,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Non‐parametric Approaches, Intergenerational Wealth Mobility and Inheritance]",1
2016-2020,Others_DataType,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,"[Others_DataType, Non‐parametric Approaches, Intergenerational Wealth Mobility and Inheritance]",1
2016-2020,Panel/Longitudinal Surveys,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Non‐parametric Approaches, Intergenerational Wealth Mobility and Inheritance]",1
2016-2020,Administrative/Registry Data,Rank‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Rank‐based Measures, Intergenerational Wealth Mobility and Inheritance]",1
2016-2020,Linked Administrative Data,Rank‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Linked Administrative Data, Rank‐based Measures, Intergenerational Wealth Mobility and Inheritance]",1
2016-2020,No dataset,Regression‐based Measures,Theoretical and Structural Models,"[No dataset, Regression‐based Measures, Theoretical and Structural Models]",1
2016-2020,Linked Administrative Data,Regression‐based Measures,Theoretical and Structural Models,"[Linked Administrative Data, Regression‐based Measures, Theoretical and Structural Models]",1
2016-2020,No dataset,Transition Matrix / Probability Measures,Theoretical and Structural Models,"[No dataset, Transition Matrix / Probability Measures, Theoretical and Structural Models]",1
2016-2020,No dataset,Others_Measure,Theoretical and Structural Models,"[No dataset, Others_Measure, Theoretical and Structural Models]",1
2016-2020,Others_DataType,Absolute Mobility Measures,Empirical Estimates and Determinants,"[Others_DataType, Absolute Mobility Measures, Empirical Estimates and Determinants]",1
2016-2020,Panel/Longitudinal Surveys,Absolute Mobility Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Absolute Mobility Measures, Empirical Estimates and Determinants]",1
2016-2020,National Survey Data,Absolute Mobility Measures,Empirical Estimates and Determinants,"[National Survey Data, Absolute Mobility Measures, Empirical Estimates and Determinants]",1
2016-2020,National Survey Data,Decomposition / Structural Approaches,Empirical Estimates and Determinants,"[National Survey Data, Decomposition / Structural Approaches, Empirical Estimates and Determinants]",1
2016-2020,Archival/Historical Data,Regression‐based Measures,Empirical Estimates and Determinants,"[Archival/Historical Data, Regression‐based Measures, Empirical Estimates and Determinants]",1
2016-2020,No dataset,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[No dataset, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",1
2016-2020,University/Institution Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[University/Institution Data, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",1
2016-2020,No dataset,Others_Measure,Empirical Estimates and Determinants,"[No dataset, Others_Measure, Empirical Estimates and Determinants]",1
2016-2020,Others_DataType,Others_Measure,Empirical Estimates and Determinants,"[Others_DataType, Others_Measure, Empirical Estimates and Determinants]",1
2016-2020,National Survey Data,Others_Measure,Empirical Estimates and Determinants,"[National Survey Data, Others_Measure, Empirical Estimates and Determinants]",1
2016-2020,University/Institution Data,Others_Measure,Empirical Estimates and Determinants,"[University/Institution Data, Others_Measure, Empirical Estimates and Determinants]",1
2016-2020,Administrative/Registry Data,Rank‐based Measures,Empirical Estimates and Determinants,"[Administrative/Registry Data, Rank‐based Measures, Empirical Estimates and Determinants]",1
2016-2020,No dataset,Absolute Mobility Measures,Measurement and Methodological Advances,"[No dataset, Absolute Mobility Measures, Measurement and Methodological Advances]",1
2016-2020,Linked Administrative Data,Regression‐based Measures,Measurement and Methodological Advances,"[Linked Administrative Data, Regression‐based Measures, Measurement and Methodological Advances]",1
2016-2020,No dataset,Transition Matrix / Probability Measures,Measurement and Methodological Advances,"[No dataset, Transition Matrix / Probability Measures, Measurement and Methodological Advances]",1
2016-2020,No dataset,Non‐parametric Approaches,Measurement and Methodological Advances,"[No dataset, Non‐parametric Approaches, Measurement and Methodological Advances]",1
2016-2020,Administrative/Registry Data,Rank‐based Measures,Measurement and Methodological Advances,"[Administrative/Registry Data, Rank‐based Measures, Measurement and Methodological Advances]",1
2016-2020,Panel/Longitudinal Surveys,Rank‐based Measures,Measurement and Methodological Advances,"[Panel/Longitudinal Surveys, Rank‐based Measures, Measurement and Methodological Advances]",1
2016-2020,International Panel Data,Rank‐based Measures,Measurement and Methodological Advances,"[International Panel Data, Rank‐based Measures, Measurement and Methodological Advances]",1
2016-2020,Panel/Longitudinal Surveys,Absolute Mobility Measures,"Policy, Institutional, and Geographic Impacts","[Panel/Longitudinal Surveys, Absolute Mobility Measures, Policy, Institutional, and Geographic Impacts]",1
2016-2020,Opportunity Atlas,Absolute Mobility Measures,"Policy, Institutional, and Geographic Impacts","[Opportunity Atlas, Absolute Mobility Measures, Policy, Institutional, and Geographic Impacts]",1
2016-2020,No dataset,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts","[No dataset, Decomposition / Structural Approaches, Policy, Institutional, and Geographic Impacts]",1
2016-2020,Linked Administrative Data,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts","[Linked Administrative Data, Decomposition / Structural Approaches, Policy, Institutional, and Geographic Impacts]",1
2016-2020,Natural/Experimental Data,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts","[Natural/Experimental Data, Decomposition / Structural Approaches, Policy, Institutional, and Geographic Impacts]",1
2016-2020,No dataset,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[No dataset, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",1
2016-2020,Natural/Experimental Data,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[Natural/Experimental Data, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",1
2016-2020,Administrative/Registry Data,Others_Measure,"Policy, Institutional, and Geographic Impacts","[Administrative/Registry Data, Others_Measure, Policy, Institutional, and Geographic Impacts]",1
2016-2020,Panel/Longitudinal Surveys,Regression‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Panel/Longitudinal Surveys, Regression‐based Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",1
2016-2020,Linked Administrative Data,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Linked Administrative Data, Transition Matrix / Probability Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",1
2016-2020,Administrative/Registry Data,Rank‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Administrative/Registry Data, Rank‐based Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",1
2016-2020,No dataset,Regression‐based Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[No dataset, Regression‐based Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",1
2016-2020,National Survey Data,Regression‐based Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[National Survey Data, Regression‐based Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",1
2016-2020,Panel/Longitudinal Surveys,Others_Measure,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[Panel/Longitudinal Surveys, Others_Measure, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",1
2016-2020,National Survey Data,Absolute Mobility Measures,Perceptions of Mobility and Attitudes,"[National Survey Data, Absolute Mobility Measures, Perceptions of Mobility and Attitudes]",1
2016-2020,National Survey Data,Others_Measure,Perceptions of Mobility and Attitudes,"[National Survey Data, Others_Measure, Perceptions of Mobility and Attitudes]",1
2016-2020,Natural/Experimental Data,Others_Measure,Perceptions of Mobility and Attitudes,"[Natural/Experimental Data, Others_Measure, Perceptions of Mobility and Attitudes]",1
2016-2020,National Survey Data,Rank‐based Measures,Perceptions of Mobility and Attitudes,"[National Survey Data, Rank‐based Measures, Perceptions of Mobility and Attitudes]",1
2016-2020,No dataset,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",0
2016-2020,Others_DataType,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[Others_DataType, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",0
2016-2020,National Survey Data,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",0
2016-2020,Linked Administrative Data,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[Linked Administrative Data, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",0
2016-2020,Others_DataType,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[Others_DataType, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",0
2016-2020,Panel/Longitudinal Surveys,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",0
2016-2020,National Survey Data,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",0
2016-2020,Panel/Longitudinal Surveys,Rank‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Rank‐based Measures, Intergenerational Wealth Mobility and Inheritance]",0
2016-2020,National Survey Data,Rank‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Rank‐based Measures, Intergenerational Wealth Mobility and Inheritance]",0
2016-2020,Linked Administrative Data,Decomposition / Structural Approaches,Theoretical and Structural Models,"[Linked Administrative Data, Decomposition / Structural Approaches, Theoretical and Structural Models]",0
2016-2020,Linked Administrative Data,Transition Matrix / Probability Measures,Theoretical and Structural Models,"[Linked Administrative Data, Transition Matrix / Probability Measures, Theoretical and Structural Models]",0
2016-2020,Administrative/Registry Data,Absolute Mobility Measures,Empirical Estimates and Determinants,"[Administrative/Registry Data, Absolute Mobility Measures, Empirical Estimates and Determinants]",0
2016-2020,Linked Administrative Data,Absolute Mobility Measures,Empirical Estimates and Determinants,"[Linked Administrative Data, Absolute Mobility Measures, Empirical Estimates and Determinants]",0
2016-2020,No dataset,Decomposition / Structural Approaches,Empirical Estimates and Determinants,"[No dataset, Decomposition / Structural Approaches, Empirical Estimates and Determinants]",0
2016-2020,Others_DataType,Decomposition / Structural Approaches,Empirical Estimates and Determinants,"[Others_DataType, Decomposition / Structural Approaches, Empirical Estimates and Determinants]",0
2016-2020,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Decomposition / Structural Approaches, Empirical Estimates and Determinants]",0
2016-2020,Others_DataType,Regression‐based Measures,Empirical Estimates and Determinants,"[Others_DataType, Regression‐based Measures, Empirical Estimates and Determinants]",0
2016-2020,Linked Administrative Data,Regression‐based Measures,Empirical Estimates and Determinants,"[Linked Administrative Data, Regression‐based Measures, Empirical Estimates and Determinants]",0
2016-2020,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",0
2016-2020,Linked Administrative Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[Linked Administrative Data, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",0
2016-2020,National Survey Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[National Survey Data, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",0
2016-2020,Panel/Longitudinal Surveys,Others_Measure,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Others_Measure, Empirical Estimates and Determinants]",0
2016-2020,Panel/Longitudinal Surveys,Rank‐based Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Rank‐based Measures, Empirical Estimates and Determinants]",0
2016-2020,National Survey Data,Rank‐based Measures,Empirical Estimates and Determinants,"[National Survey Data, Rank‐based Measures, Empirical Estimates and Determinants]",0
2016-2020,International Panel Data,Rank‐based Measures,Empirical Estimates and Determinants,"[International Panel Data, Rank‐based Measures, Empirical Estimates and Determinants]",0
2016-2020,Administrative/Registry Data,Absolute Mobility Measures,Measurement and Methodological Advances,"[Administrative/Registry Data, Absolute Mobility Measures, Measurement and Methodological Advances]",0
2016-2020,Panel/Longitudinal Surveys,Absolute Mobility Measures,Measurement and Methodological Advances,"[Panel/Longitudinal Surveys, Absolute Mobility Measures, Measurement and Methodological Advances]",0
2016-2020,Linked Administrative Data,Absolute Mobility Measures,Measurement and Methodological Advances,"[Linked Administrative Data, Absolute Mobility Measures, Measurement and Methodological Advances]",0
2016-2020,International Panel Data,Regression‐based Measures,Measurement and Methodological Advances,"[International Panel Data, Regression‐based Measures, Measurement and Methodological Advances]",0
2016-2020,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Measurement and Methodological Advances,"[Panel/Longitudinal Surveys, Transition Matrix / Probability Measures, Measurement and Methodological Advances]",0
2016-2020,Linked Administrative Data,Transition Matrix / Probability Measures,Measurement and Methodological Advances,"[Linked Administrative Data, Transition Matrix / Probability Measures, Measurement and Methodological Advances]",0
2016-2020,Administrative/Registry Data,Others_Measure,Measurement and Methodological Advances,"[Administrative/Registry Data, Others_Measure, Measurement and Methodological Advances]",0
2016-2020,Panel/Longitudinal Surveys,Others_Measure,Measurement and Methodological Advances,"[Panel/Longitudinal Surveys, Others_Measure, Measurement and Methodological Advances]",0
2016-2020,Panel/Longitudinal Surveys,Non‐parametric Approaches,Measurement and Methodological Advances,"[Panel/Longitudinal Surveys, Non‐parametric Approaches, Measurement and Methodological Advances]",0
2016-2020,Linked Administrative Data,Rank‐based Measures,Measurement and Methodological Advances,"[Linked Administrative Data, Rank‐based Measures, Measurement and Methodological Advances]",0
