from_label,from_name,reltype,to_label,to_name,period,weight_sum,names,color_group,count_rank_percentile,to_short_name,from_short_name,short_name,to_strength,from_strength,edge_strength
Measure,Decomposition / Structural Approaches,CO_MEASURE_DATATYPE,DataType,No dataset,2006-2010,8,Decomposition / Structural Approaches - No dataset,Other,0.8125,D13,M6,M6-D13,24.0,10.0,18.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,2006-2010,8,Regression-based Measures - Administrative/Registry Data,Other,0.8125,D2,M1,M1-D2,12.0,86.0,82.0
DataType,Administrative/Registry Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,6,Administrative/Registry Data - Intergenerational Wealth Mobility and Inheritance,Other,0.734375,R4,D2,D2-R4,66.0,12.0,66.0
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,22,Panel/Longitudinal Surveys - Intergenerational Wealth Mobility and Inheritance,D1-R4,0.953125,R4,D1,D1-R4,66.0,42.0,64.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Theoretical and Structural Models,2006-2010,6,No dataset - Theoretical and Structural Models,Other,0.734375,R7,D13,D13-R7,6.0,24.0,18.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2006-2010,6,No dataset - Empirical Estimates and Determinants,Other,0.734375,R2,D13,D13-R2,42.0,24.0,54.0
Measure,Others_Measure,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,4,Others_Measure - Intergenerational Wealth Mobility and Inheritance,Other,0.59375,R4,M9,M9-R4,66.0,8.0,66.0
Measure,Rank-based Measures,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2006-2010,4,Rank-based Measures - Empirical Estimates and Determinants,Other,0.59375,R2,M2,M2-R2,42.0,4.0,38.0
Measure,Absolute Mobility Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,4,Absolute Mobility Measures - Intergenerational Wealth Mobility and Inheritance,Other,0.59375,R4,M4,M4-R4,66.0,4.0,62.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,International Panel Data,2006-2010,4,Regression-based Measures - International Panel Data,Other,0.59375,D7,M1,M1-D7,4.0,86.0,82.0
Measure,Others_Measure,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,2006-2010,4,Others_Measure - Administrative/Registry Data,Other,0.59375,D2,M9,M9-D2,12.0,8.0,12.0
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,4,Decomposition / Structural Approaches - Intergenerational Wealth Mobility and Inheritance,Other,0.59375,R4,M6,M6-R4,66.0,10.0,68.0
DataType,Archival/Historical Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2006-2010,4,Archival/Historical Data - Intergenerational Wealth Mobility and Inheritance,Other,0.59375,R4,D11,D11-R4,66.0,4.0,62.0
DataType,Administrative/Registry Data,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2006-2010,4,Administrative/Registry Data - Empirical Estimates and Determinants,Other,0.59375,R2,D2,D2-R2,42.0,12.0,46.0
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,Theoretical and Structural Models,2006-2010,6,Decomposition / Structural Approaches - Theoretical and Structural Models,Other,0.734375,R7,M6,M6-R7,6.0,10.0,4.0
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2006-2010,6,Transition Matrix / Probability Measures - Panel/Longitudinal Surveys,Other,0.734375,D1,M3,M3-D1,42.0,14.0,44.0
DataType,Linked Administrative Data,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2006-2010,4,Linked Administrative Data - Empirical Estimates and Determinants,Other,0.59375,R2,D6,D6-R2,42.0,18.0,52.0
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,National Survey Data,2006-2010,6,Transition Matrix / Probability Measures - National Survey Data,Other,0.734375,D3,M3,M3-D3,20.0,14.0,22.0
RqType,Empirical Estimates and Determinants,CO_DATATYPE_RQTYPE,DataType,Pseudo-Panel/Household Budget Survey,2011-2015,2,Empirical Estimates and Determinants - Pseudo-Panel/Household Budget Survey,Other,0.19902912621359223,D10,R2,R2-D10,4.0,94.0,94.0
RqType,Intergenerational Wealth Mobility and Inheritance,CO_DATATYPE_RQTYPE,DataType,Pseudo-Panel/Household Budget Survey,2011-2015,2,Intergenerational Wealth Mobility and Inheritance - Pseudo-Panel/Household Budget Survey,Other,0.19902912621359223,D10,R4,R4-D10,4.0,112.0,112.0
DataType,International Panel Data,CO_DATATYPE_RQTYPE,RqType,"Policy, Institutional, and Geographic Impacts",2011-2015,2,"International Panel Data - Policy, Institutional, and Geographic Impacts",Other,0.19902912621359223,R3,D7,D7-R3,18.0,12.0,26.0
DataType,International Panel Data,CO_DATATYPE_RQTYPE,RqType,Theoretical and Structural Models,2011-2015,2,International Panel Data - Theoretical and Structural Models,Other,0.19902912621359223,R7,D7,D7-R7,20.0,12.0,28.0
DataType,Linked Administrative Data,CO_DATATYPE_RQTYPE,RqType,Others_RqType,2011-2015,2,Linked Administrative Data - Others_RqType,Other,0.19902912621359223,R9,D6,D6-R9,2.0,34.0,32.0
DataType,Linked Administrative Data,CO_DATATYPE_RQTYPE,RqType,"Policy, Institutional, and Geographic Impacts",2011-2015,2,"Linked Administrative Data - Policy, Institutional, and Geographic Impacts",Other,0.19902912621359223,R3,D6,D6-R3,18.0,34.0,48.0
DataType,National Survey Data,CO_DATATYPE_RQTYPE,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2011-2015,2,"National Survey Data - Demographic Differences in Mobility (Race, Gender, etc.)",Other,0.19902912621359223,R5,D3,D3-R5,12.0,44.0,52.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,"Policy, Institutional, and Geographic Impacts",2011-2015,2,"No dataset - Policy, Institutional, and Geographic Impacts",Other,0.19902912621359223,R3,D13,D13-R3,18.0,54.0,68.0
DataType,National Survey Data,CO_DATATYPE_RQTYPE,RqType,"Policy, Institutional, and Geographic Impacts",2011-2015,2,"National Survey Data - Policy, Institutional, and Geographic Impacts",Other,0.19902912621359223,R3,D3,D3-R3,18.0,44.0,58.0
DataType,Linked Administrative Data,CO_DATATYPE_RQTYPE,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2011-2015,2,"Linked Administrative Data - Demographic Differences in Mobility (Race, Gender, etc.)",Other,0.19902912621359223,R5,D6,D6-R5,12.0,34.0,42.0
RqType,Empirical Estimates and Determinants,CO_DATATYPE_RQTYPE,DataType,Opportunity Atlas,2011-2015,2,Empirical Estimates and Determinants - Opportunity Atlas,Other,0.19902912621359223,D4,R2,R2-D4,2.0,94.0,92.0
Measure,Others_Measure,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2011-2015,4,Others_Measure - Intergenerational Wealth Mobility and Inheritance,Other,0.5145631067961165,R4,M9,M9-R4,112.0,16.0,120.0
DataType,Administrative/Registry Data,CO_DATATYPE_RQTYPE,RqType,"Policy, Institutional, and Geographic Impacts",2011-2015,2,"Administrative/Registry Data - Policy, Institutional, and Geographic Impacts",Other,0.19902912621359223,R3,D2,D2-R3,18.0,24.0,38.0
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2011-2015,4,Transition Matrix / Probability Measures - Empirical Estimates and Determinants,Other,0.5145631067961165,R2,M3,M3-R2,94.0,20.0,106.0
Measure,Rank-based Measures,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2011-2015,4,Rank-based Measures - Empirical Estimates and Determinants,Other,0.5145631067961165,R2,M2,M2-R2,94.0,10.0,96.0
Measure,Others_Measure,CO_RQTYPE_MEASURE,RqType,Theoretical and Structural Models,2011-2015,4,Others_Measure - Theoretical and Structural Models,Other,0.5145631067961165,R7,M9,M9-R7,20.0,16.0,28.0
Measure,Non-parametric Approaches,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2011-2015,4,Non-parametric Approaches - Intergenerational Wealth Mobility and Inheritance,Other,0.5145631067961165,R4,M7,M7-R4,112.0,6.0,110.0
Measure,Multigenerational Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2011-2015,4,Multigenerational Measures - Intergenerational Wealth Mobility and Inheritance,Other,0.5145631067961165,R4,M5,M5-R4,112.0,4.0,108.0
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,"Policy, Institutional, and Geographic Impacts",2011-2015,4,"Decomposition / Structural Approaches - Policy, Institutional, and Geographic Impacts",Other,0.5145631067961165,R3,M6,M6-R3,18.0,36.0,46.0
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,Perceptions of Mobility and Attitudes,2011-2015,4,Decomposition / Structural Approaches - Perceptions of Mobility and Attitudes,Other,0.5145631067961165,R8,M6,M6-R8,4.0,36.0,32.0
DataType,Others_DataType,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2011-2015,2,Others_DataType - Empirical Estimates and Determinants,Other,0.19902912621359223,R2,D14,D14-R2,94.0,6.0,96.0
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2011-2015,4,Decomposition / Structural Approaches - Intergenerational Wealth Mobility and Inheritance,Other,0.5145631067961165,R4,M6,M6-R4,112.0,36.0,140.0
RqType,Empirical Estimates and Determinants,CO_DATATYPE_RQTYPE,DataType,Natural/Experimental Data,2011-2015,2,Empirical Estimates and Determinants - Natural/Experimental Data,Other,0.19902912621359223,D5,R2,R2-D5,2.0,94.0,92.0
DataType,Others_DataType,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2011-2015,2,Others_DataType - Intergenerational Wealth Mobility and Inheritance,Other,0.19902912621359223,R4,D14,D14-R4,112.0,6.0,114.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Opportunity Atlas,2011-2015,2,Regression-based Measures - Opportunity Atlas,Other,0.19902912621359223,D4,M1,M1-D4,2.0,180.0,178.0
Measure,Absolute Mobility Measures,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,2011-2015,2,Absolute Mobility Measures - Administrative/Registry Data,Other,0.19902912621359223,D2,M4,M4-D2,24.0,10.0,30.0
Measure,Absolute Mobility Measures,CO_RQTYPE_MEASURE,RqType,Measurement and Methodological Advances,2011-2015,4,Absolute Mobility Measures - Measurement and Methodological Advances,Other,0.5145631067961165,R1,M4,M4-R1,20.0,10.0,22.0
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,Theoretical and Structural Models,2011-2015,2,Transition Matrix / Probability Measures - Theoretical and Structural Models,Other,0.19902912621359223,R7,M3,M3-R7,20.0,20.0,36.0
Measure,Regression-based Measures,CO_RQTYPE_MEASURE,RqType,Others_RqType,2011-2015,2,Regression-based Measures - Others_RqType,Other,0.19902912621359223,R9,M1,M1-R9,2.0,180.0,178.0
Measure,Non-parametric Approaches,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2011-2015,2,Non-parametric Approaches - Empirical Estimates and Determinants,Other,0.19902912621359223,R2,M7,M7-R2,94.0,6.0,96.0
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,Measurement and Methodological Advances,2011-2015,2,Decomposition / Structural Approaches - Measurement and Methodological Advances,Other,0.19902912621359223,R1,M6,M6-R1,20.0,36.0,52.0
Measure,Absolute Mobility Measures,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2011-2015,2,Absolute Mobility Measures - Empirical Estimates and Determinants,Other,0.19902912621359223,R2,M4,M4-R2,94.0,10.0,100.0
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,No dataset,2011-2015,2,Transition Matrix / Probability Measures - No dataset,Other,0.19902912621359223,D13,M3,M3-D13,54.0,20.0,70.0
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,2011-2015,2,Transition Matrix / Probability Measures - Administrative/Registry Data,Other,0.19902912621359223,D2,M3,M3-D2,24.0,20.0,40.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Pseudo-Panel/Household Budget Survey,2011-2015,2,Regression-based Measures - Pseudo-Panel/Household Budget Survey,Other,0.19902912621359223,D10,M1,M1-D10,4.0,180.0,180.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Others_DataType,2011-2015,2,Regression-based Measures - Others_DataType,Other,0.19902912621359223,D14,M1,M1-D14,6.0,180.0,182.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Natural/Experimental Data,2011-2015,2,Regression-based Measures - Natural/Experimental Data,Other,0.19902912621359223,D5,M1,M1-D5,2.0,180.0,178.0
Measure,Rank-based Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2011-2015,2,Rank-based Measures - Panel/Longitudinal Surveys,Other,0.19902912621359223,D1,M2,M2-D1,90.0,10.0,96.0
Measure,Others_Measure,CO_MEASURE_DATATYPE,DataType,Pseudo-Panel/Household Budget Survey,2011-2015,2,Others_Measure - Pseudo-Panel/Household Budget Survey,Other,0.19902912621359223,D10,M9,M9-D10,4.0,16.0,16.0
Measure,Others_Measure,CO_MEASURE_DATATYPE,DataType,Others_DataType,2011-2015,2,Others_Measure - Others_DataType,Other,0.19902912621359223,D14,M9,M9-D14,6.0,16.0,18.0
Measure,Others_Measure,CO_MEASURE_DATATYPE,DataType,National Survey Data,2011-2015,2,Others_Measure - National Survey Data,Other,0.19902912621359223,D3,M9,M9-D3,44.0,16.0,56.0
Measure,Others_Measure,CO_MEASURE_DATATYPE,DataType,Linked Administrative Data,2011-2015,2,Others_Measure - Linked Administrative Data,Other,0.19902912621359223,D6,M9,M9-D6,34.0,16.0,46.0
Measure,Others_Measure,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,2011-2015,2,Others_Measure - Administrative/Registry Data,Other,0.19902912621359223,D2,M9,M9-D2,24.0,16.0,36.0
Measure,Non-parametric Approaches,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2011-2015,2,Non-parametric Approaches - Panel/Longitudinal Surveys,Other,0.19902912621359223,D1,M7,M7-D1,90.0,6.0,92.0
Measure,Non-parametric Approaches,CO_MEASURE_DATATYPE,DataType,Linked Administrative Data,2011-2015,2,Non-parametric Approaches - Linked Administrative Data,Other,0.19902912621359223,D6,M7,M7-D6,34.0,6.0,36.0
Measure,Non-parametric Approaches,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,2011-2015,2,Non-parametric Approaches - Administrative/Registry Data,Other,0.19902912621359223,D2,M7,M7-D2,24.0,6.0,26.0
Measure,Multigenerational Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2011-2015,2,Multigenerational Measures - Panel/Longitudinal Surveys,Other,0.19902912621359223,D1,M5,M5-D1,90.0,4.0,90.0
Measure,Multigenerational Measures,CO_MEASURE_DATATYPE,DataType,Archival/Historical Data,2011-2015,2,Multigenerational Measures - Archival/Historical Data,Other,0.19902912621359223,D11,M5,M5-D11,10.0,4.0,10.0
Measure,Decomposition / Structural Approaches,CO_MEASURE_DATATYPE,DataType,Others_DataType,2011-2015,2,Decomposition / Structural Approaches - Others_DataType,Other,0.19902912621359223,D14,M6,M6-D14,6.0,36.0,38.0
DataType,Others_DataType,CO_DATATYPE_RQTYPE,RqType,"Policy, Institutional, and Geographic Impacts",2011-2015,2,"Others_DataType - Policy, Institutional, and Geographic Impacts",Other,0.19902912621359223,R3,D14,D14-R3,18.0,6.0,20.0
Measure,Absolute Mobility Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2011-2015,4,Absolute Mobility Measures - Intergenerational Wealth Mobility and Inheritance,Other,0.5145631067961165,R4,M4,M4-R4,112.0,10.0,114.0
Measure,Decomposition / Structural Approaches,CO_MEASURE_DATATYPE,DataType,No dataset,2011-2015,16,Decomposition / Structural Approaches - No dataset,Other,0.8883495145631068,D13,M6,M6-D13,54.0,36.0,58.0
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,National Survey Data,2011-2015,4,Transition Matrix / Probability Measures - National Survey Data,Other,0.5145631067961165,D3,M3,M3-D3,44.0,20.0,56.0
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Measurement and Methodological Advances,2011-2015,8,Panel/Longitudinal Surveys - Measurement and Methodological Advances,Other,0.7621359223300971,R1,D1,D1-R1,20.0,90.0,94.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Measurement and Methodological Advances,2011-2015,8,No dataset - Measurement and Methodological Advances,Other,0.7621359223300971,R1,D13,D13-R1,20.0,54.0,58.0
DataType,Administrative/Registry Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2011-2015,8,Administrative/Registry Data - Intergenerational Wealth Mobility and Inheritance,Other,0.7621359223300971,R4,D2,D2-R4,112.0,24.0,120.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,International Panel Data,2011-2015,12,Regression-based Measures - International Panel Data,Other,0.8252427184466019,D7,M1,M1-D7,12.0,180.0,168.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2011-2015,12,No dataset - Intergenerational Wealth Mobility and Inheritance,Other,0.8252427184466019,R4,D13,D13-R4,112.0,54.0,142.0
DataType,Linked Administrative Data,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2011-2015,12,Linked Administrative Data - Empirical Estimates and Determinants,Other,0.8252427184466019,R2,D6,D6-R2,94.0,34.0,104.0
Measure,Regression-based Measures,CO_RQTYPE_MEASURE,RqType,"Policy, Institutional, and Geographic Impacts",2011-2015,14,"Regression-based Measures - Policy, Institutional, and Geographic Impacts",Other,0.8592233009708737,R3,M1,M1-R3,18.0,180.0,170.0
Measure,Regression-based Measures,CO_RQTYPE_MEASURE,RqType,Measurement and Methodological Advances,2011-2015,14,Regression-based Measures - Measurement and Methodological Advances,Other,0.8592233009708737,R1,M1,M1-R1,20.0,180.0,172.0
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2011-2015,14,Decomposition / Structural Approaches - Empirical Estimates and Determinants,Other,0.8592233009708737,R2,M6,M6-R2,94.0,36.0,102.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2011-2015,14,No dataset - Empirical Estimates and Determinants,Other,0.8592233009708737,R2,D13,D13-R2,94.0,54.0,120.0
Measure,Decomposition / Structural Approaches,CO_MEASURE_DATATYPE,DataType,National Survey Data,2011-2015,8,Decomposition / Structural Approaches - National Survey Data,Other,0.7621359223300971,D3,M6,M6-D3,44.0,36.0,64.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Linked Administrative Data,2011-2015,18,Regression-based Measures - Linked Administrative Data,Other,0.9174757281553398,D6,M1,M1-D6,34.0,180.0,178.0
DataType,National Survey Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2011-2015,18,National Survey Data - Intergenerational Wealth Mobility and Inheritance,Other,0.9174757281553398,R4,D3,D3-R4,112.0,44.0,120.0
DataType,National Survey Data,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2011-2015,18,National Survey Data - Empirical Estimates and Determinants,Other,0.9174757281553398,R2,D3,D3-R2,94.0,44.0,102.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,No dataset,2011-2015,26,Regression-based Measures - No dataset,Other,0.941747572815534,D13,M1,M1-D13,54.0,180.0,182.0
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2011-2015,28,Panel/Longitudinal Surveys - Empirical Estimates and Determinants,D1-R2,0.9514563106796117,R2,D1,D1-R2,94.0,90.0,128.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,National Survey Data,2011-2015,30,Regression-based Measures - National Survey Data,Other,0.9611650485436893,D3,M1,M1-D3,44.0,180.0,164.0
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2011-2015,44,Panel/Longitudinal Surveys - Intergenerational Wealth Mobility and Inheritance,D1-R4,0.970873786407767,R4,D1,D1-R4,112.0,90.0,114.0
Measure,Regression-based Measures,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,2011-2015,60,Regression-based Measures - Empirical Estimates and Determinants,M1-R2,0.9805825242718447,R2,M1,M1-R2,94.0,180.0,154.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2011-2015,70,Regression-based Measures - Panel/Longitudinal Surveys,M1-D1,0.9902912621359223,D1,M1,M1-D1,90.0,180.0,130.0
Measure,Regression-based Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,2011-2015,84,Regression-based Measures - Intergenerational Wealth Mobility and Inheritance,M1-R4,1.0,R4,M1,M1-R4,112.0,180.0,124.0
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2011-2015,4,Transition Matrix / Probability Measures - Panel/Longitudinal Surveys,Other,0.5145631067961165,D1,M3,M3-D1,90.0,20.0,102.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Theoretical and Structural Models,2011-2015,18,No dataset - Theoretical and Structural Models,Other,0.9174757281553398,R7,D13,D13-R7,20.0,54.0,38.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,2011-2015,8,Regression-based Measures - Administrative/Registry Data,Other,0.7621359223300971,D2,M1,M1-D2,24.0,180.0,188.0
DataType,Linked Administrative Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2011-2015,16,Linked Administrative Data - Intergenerational Wealth Mobility and Inheritance,Other,0.8883495145631068,R4,D6,D6-R4,112.0,34.0,114.0
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,Linked Administrative Data,2011-2015,8,Transition Matrix / Probability Measures - Linked Administrative Data,Other,0.7621359223300971,D6,M3,M3-D6,34.0,20.0,38.0
Measure,Rank-based Measures,CO_MEASURE_DATATYPE,DataType,Linked Administrative Data,2011-2015,4,Rank-based Measures - Linked Administrative Data,Other,0.5145631067961165,D6,M2,M2-D6,34.0,10.0,36.0
Measure,Regression-based Measures,CO_MEASURE_DATATYPE,DataType,Archival/Historical Data,2011-2015,8,Regression-based Measures - Archival/Historical Data,Other,0.7621359223300971,D11,M1,M1-D11,10.0,180.0,174.0
Measure,Rank-based Measures,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,2011-2015,4,Rank-based Measures - Administrative/Registry Data,Other,0.5145631067961165,D2,M2,M2-D2,24.0,10.0,26.0
Measure,Decomposition / Structural Approaches,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,2011-2015,4,Decomposition / Structural Approaches - Administrative/Registry Data,Other,0.5145631067961165,D2,M6,M6-D2,24.0,36.0,52.0
Measure,Absolute Mobility Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2011-2015,4,Absolute Mobility Measures - Panel/Longitudinal Surveys,Other,0.5145631067961165,D1,M4,M4-D1,90.0,10.0,92.0
Measure,Absolute Mobility Measures,CO_MEASURE_DATATYPE,DataType,No dataset,2011-2015,4,Absolute Mobility Measures - No dataset,Other,0.5145631067961165,D13,M4,M4-D13,54.0,10.0,56.0
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2011-2015,4,"Panel/Longitudinal Surveys - Demographic Differences in Mobility (Race, Gender, etc.)",Other,0.5145631067961165,R5,D1,D1-R5,12.0,90.0,94.0
DataType,National Survey Data,CO_DATATYPE_RQTYPE,RqType,Perceptions of Mobility and Attitudes,2011-2015,4,National Survey Data - Perceptions of Mobility and Attitudes,Other,0.5145631067961165,R8,D3,D3-R8,4.0,44.0,40.0
DataType,International Panel Data,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2011-2015,4,International Panel Data - Empirical Estimates and Determinants,Other,0.5145631067961165,R2,D7,D7-R2,94.0,12.0,98.0
DataType,Archival/Historical Data,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,2011-2015,4,Archival/Historical Data - Empirical Estimates and Determinants,Other,0.5145631067961165,R2,D11,D11-R2,94.0,10.0,96.0
DataType,Administrative/Registry Data,CO_DATATYPE_RQTYPE,RqType,Measurement and Methodological Advances,2011-2015,4,Administrative/Registry Data - Measurement and Methodological Advances,Other,0.5145631067961165,R1,D2,D2-R1,20.0,24.0,36.0
DataType,Administrative/Registry Data,CO_DATATYPE_RQTYPE,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2011-2015,4,"Administrative/Registry Data - Demographic Differences in Mobility (Race, Gender, etc.)",Other,0.5145631067961165,R5,D2,D2-R5,12.0,24.0,28.0
DataType,International Panel Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2011-2015,4,International Panel Data - Intergenerational Wealth Mobility and Inheritance,Other,0.5145631067961165,R4,D7,D7-R4,112.0,12.0,116.0
DataType,Archival/Historical Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,2011-2015,6,Archival/Historical Data - Intergenerational Wealth Mobility and Inheritance,Other,0.6747572815533981,R4,D11,D11-R4,112.0,10.0,110.0
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2011-2015,6,"Transition Matrix / Probability Measures - Demographic Differences in Mobility (Race, Gender, etc.)",Other,0.6747572815533981,R5,M3,M3-R5,12.0,20.0,20.0
Measure,Regression-based Measures,CO_RQTYPE_MEASURE,RqType,Theoretical and Structural Models,2011-2015,6,Regression-based Measures - Theoretical and Structural Models,Other,0.6747572815533981,R7,M1,M1-R7,20.0,180.0,188.0
Measure,Rank-based Measures,CO_RQTYPE_MEASURE,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2011-2015,6,"Rank-based Measures - Demographic Differences in Mobility (Race, Gender, etc.)",Other,0.6747572815533981,R5,M2,M2-R5,12.0,10.0,10.0
Measure,Others_Measure,CO_MEASURE_DATATYPE,DataType,No dataset,2011-2015,6,Others_Measure - No dataset,Other,0.6747572815533981,D13,M9,M9-D13,54.0,16.0,58.0
Measure,Decomposition / Structural Approaches,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,2011-2015,6,Decomposition / Structural Approaches - Panel/Longitudinal Surveys,Other,0.6747572815533981,D1,M6,M6-D1,90.0,36.0,114.0
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,"Policy, Institutional, and Geographic Impacts",2011-2015,6,"Panel/Longitudinal Surveys - Policy, Institutional, and Geographic Impacts",Other,0.6747572815533981,R3,D1,D1-R3,18.0,90.0,96.0
