m.name,n.name,year,paper_count,paper_ids
Regression‐based Measures,Empirical Estimates and Determinants,"[1980, 1990, 1992, 1998, 2002, 2003, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",131,"[https://openalex.org/W1515121029, https://openalex.org/W1988669335, https://openalex.org/W1963513809, https://openalex.org/W2117407660, https://openalex.org/W2124465354, https://openalex.org/W2119587652, https://openalex.org/W2049773875, https://openalex.org/W2091916425, https://openalex.org/W2116568238, https://openalex.org/W2148814768, https://openalex.org/W2553521091, https://openalex.org/W1971213371, https://openalex.org/W1578919155, https://openalex.org/W3122728969, https://openalex.org/W2049884882, https://openalex.org/W2353931744, https://openalex.org/W2118931737, https://openalex.org/W2018079782, https://openalex.org/W2159878756, https://openalex.org/W2132728629, https://openalex.org/W2127281421, https://openalex.org/W1763036350, https://openalex.org/W3093752946, https://openalex.org/W2388800308, https://openalex.org/W2364722826, https://openalex.org/W2097343718, https://openalex.org/W2365705769, https://openalex.org/W2890853717, https://openalex.org/W2119455293, https://openalex.org/W2387291285, https://openalex.org/W1580804840, https://openalex.org/W2288802977, https://openalex.org/W2157585414, https://openalex.org/W1648451562, https://openalex.org/W3175158828, https://openalex.org/W623596649, https://openalex.org/W2368218525, https://openalex.org/W2612875108, https://openalex.org/W2122216841, https://openalex.org/W3121558866, https://openalex.org/W2208157789, https://openalex.org/W1791196730, https://openalex.org/W2351358614, https://openalex.org/W2363649169, https://openalex.org/W2355555430, https://openalex.org/W2151222191, https://openalex.org/W2108734997, https://openalex.org/W2120158174, https://openalex.org/W2068645718, https://openalex.org/W2010545686, https://openalex.org/W2380359989, https://openalex.org/W2625992765, https://openalex.org/W2353487644, https://openalex.org/W1792190074, https://openalex.org/W1020822704, https://openalex.org/W1444704346, https://openalex.org/W1882444807, https://openalex.org/W2411230938, https://openalex.org/W2419212734, https://openalex.org/W2291516288, https://openalex.org/W4238028113, https://openalex.org/W2482682982, https://openalex.org/W3125643021, https://openalex.org/W2602849344, https://openalex.org/W2587329652, https://openalex.org/W2210747677, https://openalex.org/W2766173862, https://openalex.org/W2569989626, https://openalex.org/W2802089178, https://openalex.org/W4230700148, https://openalex.org/W2883024550, https://openalex.org/W2902789768, https://openalex.org/W2811219136, https://openalex.org/W2900408224, https://openalex.org/W2756659966, https://openalex.org/W2794220255, https://openalex.org/W2895165109, https://openalex.org/W3156722884, https://openalex.org/W2918831213, https://openalex.org/W3105823174, https://openalex.org/W3121545129, https://openalex.org/W2889122466, https://openalex.org/W2944091914, https://openalex.org/W2943421593, https://openalex.org/W2921237584, https://openalex.org/W2922209108, https://openalex.org/W2978816005, https://openalex.org/W2967279307, https://openalex.org/W4234924712, https://openalex.org/W3084113281, https://openalex.org/W3033501614, https://openalex.org/W3207371012, https://openalex.org/W3165956734, https://openalex.org/W4205619119, https://openalex.org/W3129579937, https://openalex.org/W3136260651, https://openalex.org/W3119775080, https://openalex.org/W3192903419, https://openalex.org/W3178385122, https://openalex.org/W3181973673, https://openalex.org/W4312802865, https://openalex.org/W4285263003, https://openalex.org/W4286458987, https://openalex.org/W4296277673, https://openalex.org/W4304172618, https://openalex.org/W4308908946, https://openalex.org/W4308132439, https://openalex.org/W4295122648, https://openalex.org/W4205552064, https://openalex.org/W4384133380, https://openalex.org/W4385260730, https://openalex.org/W4385782198, https://openalex.org/W4390066466, https://openalex.org/W4388626236, https://openalex.org/W4383346553, https://openalex.org/W4381736130, https://openalex.org/W4377834046, https://openalex.org/W4381512763, https://openalex.org/W4402546895, https://openalex.org/W4402066912, https://openalex.org/W4401871424, https://openalex.org/W4405654739, https://openalex.org/W3121518780, https://openalex.org/W4401327824, https://openalex.org/W3204735205, https://openalex.org/W4395466247, https://openalex.org/W4391619986, https://openalex.org/W4399323633, https://openalex.org/W4392135119, https://openalex.org/W4407152405, https://openalex.org/W4407738440]"
Regression‐based Measures,Measurement and Methodological Advances,"[2003, 2009, 2010, 2011, 2012, 2015, 2016, 2019, 2020, 2021, 2022, 2023]",30,"[https://openalex.org/W1575557529, https://openalex.org/W2009897266, https://openalex.org/W2030719283, https://openalex.org/W2037234295, https://openalex.org/W3123202179, https://openalex.org/W2009388710, https://openalex.org/W4300951185, https://openalex.org/W3125359030, https://openalex.org/W2237492881, https://openalex.org/W2302816456, https://openalex.org/W2107393980, https://openalex.org/W2922736319, https://openalex.org/W2598656573, https://openalex.org/W2182279624, https://openalex.org/W1557569468, https://openalex.org/W2507475885, https://openalex.org/W2527995213, https://openalex.org/W2984996373, https://openalex.org/W3027769937, https://openalex.org/W3037705751, https://openalex.org/W3044954030, https://openalex.org/W2906080883, https://openalex.org/W2897475839, https://openalex.org/W3195123941, https://openalex.org/W4320148496, https://openalex.org/W4307711555, https://openalex.org/W4324121632, https://openalex.org/W4361974330, https://openalex.org/W4361988923, https://openalex.org/W4362499633]"
Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[2010, 2013, 2014, 2015, 2016, 2018, 2019, 2021, 2022, 2024, 2025]",28,"[https://openalex.org/W2366816539, https://openalex.org/W2741490491, https://openalex.org/W2184450311, https://openalex.org/W2159988399, https://openalex.org/W3121808914, https://openalex.org/W2378057080, https://openalex.org/W1983053572, https://openalex.org/W3094369084, https://openalex.org/W2596999048, https://openalex.org/W2460486083, https://openalex.org/W4396596924, https://openalex.org/W2997562221, https://openalex.org/W2544001857, https://openalex.org/W2891903686, https://openalex.org/W2801737043, https://openalex.org/W2922039017, https://openalex.org/W3124550008, https://openalex.org/W3124369867, https://openalex.org/W2920476039, https://openalex.org/W3202616165, https://openalex.org/W3197901707, https://openalex.org/W3190097825, https://openalex.org/W4307723330, https://openalex.org/W4205360523, https://openalex.org/W4401242778, https://openalex.org/W4401067024, https://openalex.org/W4390693054, https://openalex.org/W4407463226]"
Regression‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[2018, 2019, 2020, 2021]",4,"[https://openalex.org/W2887573038, https://openalex.org/W2931489399, https://openalex.org/W3001811947, https://openalex.org/W3202722289]"
Regression‐based Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[2006, 2017, 2019, 2021]",4,"[https://openalex.org/W1994583502, https://openalex.org/W2592479289, https://openalex.org/W2933369931, https://openalex.org/W3189916381]"
Regression‐based Measures,Others_RqType,[2012],1,[https://openalex.org/W439017983]
Regression‐based Measures,Perceptions of Mobility and Attitudes,[2024],1,[https://openalex.org/W4403660177]
Transition Matrix / Probability Measures,No dataset,"[1995, 2005, 2006, 2012, 2016, 2018, 2019, 2020, 2024]",9,"[https://openalex.org/W2008560119, https://openalex.org/W1994031345, https://openalex.org/W2106387882, https://openalex.org/W1724441452, https://openalex.org/W2589434942, https://openalex.org/W2896751489, https://openalex.org/W4242326182, https://openalex.org/W3202153609, https://openalex.org/W2332279578]"
Transition Matrix / Probability Measures,Administrative/Registry Data,"[1998, 2013, 2021, 2023]",4,"[https://openalex.org/W1581391655, https://openalex.org/W1984800654, https://openalex.org/W3214804213, https://openalex.org/W4390487374]"
Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,"[1996, 2003, 2005, 2007, 2009, 2011, 2014, 2016, 2019, 2021, 2022, 2023]",14,"[https://openalex.org/W4205561583, https://openalex.org/W1510224607, https://openalex.org/W2044900547, https://openalex.org/W1521709394, https://openalex.org/W1966505070, https://openalex.org/W48048703, https://openalex.org/W2320409419, https://openalex.org/W2322954441, https://openalex.org/W2508091509, https://openalex.org/W2924600205, https://openalex.org/W3132136530, https://openalex.org/W4285024880, https://openalex.org/W4282557620, https://openalex.org/W4362611983]"
Transition Matrix / Probability Measures,Linked Administrative Data,"[2011, 2013, 2014, 2015, 2019, 2023]",6,"[https://openalex.org/W4230711751, https://openalex.org/W2012592263, https://openalex.org/W3124044027, https://openalex.org/W1556385061, https://openalex.org/W3123816425, https://openalex.org/W4388938469]"
Transition Matrix / Probability Measures,National Survey Data,"[2001, 2006, 2008, 2010, 2013, 2020]",7,"[https://openalex.org/W2017256370, https://openalex.org/W2099874214, https://openalex.org/W37448061, https://openalex.org/W2353503414, https://openalex.org/W2619151633, https://openalex.org/W2159953986, https://openalex.org/W3198616739]"
Transition Matrix / Probability Measures,Opportunity Atlas,[2024],1,[https://openalex.org/W4402314342]
Transition Matrix / Probability Measures,University/Institution Data,[2019],1,[https://openalex.org/W2953817338]
Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[1995, 1996, 1998, 2001, 2007, 2008, 2010, 2011, 2013, 2014, 2016, 2019, 2020, 2021, 2023, 2024]",19,"[https://openalex.org/W2008560119, https://openalex.org/W4205561583, https://openalex.org/W1581391655, https://openalex.org/W2017256370, https://openalex.org/W1521709394, https://openalex.org/W37448061, https://openalex.org/W2353503414, https://openalex.org/W4230711751, https://openalex.org/W2619151633, https://openalex.org/W1984800654, https://openalex.org/W2322954441, https://openalex.org/W2589434942, https://openalex.org/W2508091509, https://openalex.org/W2924600205, https://openalex.org/W3198616739, https://openalex.org/W3214804213, https://openalex.org/W4388938469, https://openalex.org/W4362611983, https://openalex.org/W2332279578]"
Transition Matrix / Probability Measures,Theoretical and Structural Models,"[2012, 2020]",2,"[https://openalex.org/W1724441452, https://openalex.org/W3202153609]"
Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[2003, 2005, 2006, 2009, 2013, 2015, 2019, 2023, 2024]",10,"[https://openalex.org/W1510224607, https://openalex.org/W1994031345, https://openalex.org/W2099874214, https://openalex.org/W48048703, https://openalex.org/W2012592263, https://openalex.org/W1556385061, https://openalex.org/W4242326182, https://openalex.org/W2953817338, https://openalex.org/W4390487374, https://openalex.org/W4402314342]"
Transition Matrix / Probability Measures,Measurement and Methodological Advances,"[2009, 2018, 2022]",3,"[https://openalex.org/W1966505070, https://openalex.org/W2896751489, https://openalex.org/W4285024880]"
Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[2005, 2006, 2011, 2013, 2014, 2019, 2021, 2022]",8,"[https://openalex.org/W2044900547, https://openalex.org/W2106387882, https://openalex.org/W2320409419, https://openalex.org/W2159953986, https://openalex.org/W3124044027, https://openalex.org/W3123816425, https://openalex.org/W3132136530, https://openalex.org/W4282557620]"
Others_Measure,No dataset,"[1997, 1998, 2002, 2004, 2007, 2012, 2015, 2016, 2018, 2019, 2020, 2021, 2024]",15,"[https://openalex.org/W2078842385, https://openalex.org/W2117544103, https://openalex.org/W2164455384, https://openalex.org/W8680042, https://openalex.org/W2188355739, https://openalex.org/W3125905928, https://openalex.org/W3125318571, https://openalex.org/W2767739989, https://openalex.org/W2476394513, https://openalex.org/W3008379420, https://openalex.org/W2981344849, https://openalex.org/W3183234565, https://openalex.org/W3033929493, https://openalex.org/W3216038618, https://openalex.org/W4395463994]"
Others_Measure,Administrative/Registry Data,"[2007, 2009, 2014, 2019, 2020]",7,"[https://openalex.org/W1546068527, https://openalex.org/W2079691849, https://openalex.org/W2292189473, https://openalex.org/W2947666646, https://openalex.org/W2966414435, https://openalex.org/W3161971993, https://openalex.org/W3032637579]"
Others_Measure,Others_DataType,"[2008, 2013, 2016, 2023]",4,"[https://openalex.org/W3125155430, https://openalex.org/W2134725625, https://openalex.org/W325124896, https://openalex.org/W4386094306]"
Others_Measure,Panel/Longitudinal Surveys,"[2020, 2021, 2024]",4,"[https://openalex.org/W3018625260, https://openalex.org/W3128702014, https://openalex.org/W4402986304, https://openalex.org/W4403370613]"
Others_Measure,Linked Administrative Data,"[2015, 2024]",2,"[https://openalex.org/W1862838271, https://openalex.org/W4391772409]"
Others_Measure,National Survey Data,"[2013, 2018, 2019, 2022]",4,"[https://openalex.org/W2123210148, https://openalex.org/W2890540479, https://openalex.org/W3049173530, https://openalex.org/W4213429281]"
Others_Measure,Pseudo-Panel/Household Budget Survey,[2015],1,[https://openalex.org/W2337892695]
Others_Measure,Natural/Experimental Data,[2019],1,[https://openalex.org/W3136420028]
Others_Measure,University/Institution Data,[2019],1,[https://openalex.org/W2914094440]
Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[2004, 2007, 2009, 2013, 2015, 2018, 2019, 2021]",8,"[https://openalex.org/W8680042, https://openalex.org/W2188355739, https://openalex.org/W2079691849, https://openalex.org/W2134725625, https://openalex.org/W3125318571, https://openalex.org/W3008379420, https://openalex.org/W2966414435, https://openalex.org/W3128702014]"
Others_Measure,Theoretical and Structural Models,"[1997, 2012, 2015, 2019, 2024]",5,"[https://openalex.org/W2078842385, https://openalex.org/W3125905928, https://openalex.org/W2767739989, https://openalex.org/W3183234565, https://openalex.org/W4395463994]"
Others_Measure,Empirical Estimates and Determinants,"[2008, 2013, 2014, 2015, 2016, 2019, 2020, 2021, 2023, 2024]",14,"[https://openalex.org/W3125155430, https://openalex.org/W2123210148, https://openalex.org/W2292189473, https://openalex.org/W2337892695, https://openalex.org/W1862838271, https://openalex.org/W325124896, https://openalex.org/W3049173530, https://openalex.org/W2914094440, https://openalex.org/W2947666646, https://openalex.org/W3033929493, https://openalex.org/W3032637579, https://openalex.org/W3216038618, https://openalex.org/W4386094306, https://openalex.org/W4403370613]"
Others_Measure,Measurement and Methodological Advances,"[1998, 2002, 2007, 2016, 2019, 2024]",6,"[https://openalex.org/W2117544103, https://openalex.org/W2164455384, https://openalex.org/W1546068527, https://openalex.org/W2476394513, https://openalex.org/W2981344849, https://openalex.org/W4402986304]"
Others_Measure,"Policy, Institutional, and Geographic Impacts","[2020, 2024]",2,"[https://openalex.org/W3161971993, https://openalex.org/W4391772409]"
Others_Measure,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[2020],1,[https://openalex.org/W3018625260]
Others_Measure,Perceptions of Mobility and Attitudes,"[2018, 2019, 2022]",3,"[https://openalex.org/W2890540479, https://openalex.org/W3136420028, https://openalex.org/W4213429281]"
Multigenerational Measures,Archival/Historical Data,"[2008, 2011, 2016, 2017, 2024]",6,"[https://openalex.org/W2039841106, https://openalex.org/W2186374397, https://openalex.org/W2565185528, https://openalex.org/W2780097379, https://openalex.org/W2625426831, https://openalex.org/W4390870445]"
Multigenerational Measures,Others_DataType,[2022],1,[https://openalex.org/W4307156538]
Multigenerational Measures,Panel/Longitudinal Surveys,[2014],1,[https://openalex.org/W2122845532]
Multigenerational Measures,National Survey Data,[2001],1,[https://openalex.org/W3123290206]
Multigenerational Measures,Intergenerational Wealth Mobility and Inheritance,"[2001, 2008, 2011, 2014, 2016, 2024]",6,"[https://openalex.org/W3123290206, https://openalex.org/W2039841106, https://openalex.org/W2186374397, https://openalex.org/W2122845532, https://openalex.org/W2565185528, https://openalex.org/W4390870445]"
Multigenerational Measures,"Policy, Institutional, and Geographic Impacts",[2017],2,"[https://openalex.org/W2780097379, https://openalex.org/W2625426831]"
Multigenerational Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[2022],1,[https://openalex.org/W4307156538]
Non‐parametric Approaches,No dataset,"[2017, 2019, 2021]",3,"[https://openalex.org/W3125052842, https://openalex.org/W3121217472, https://openalex.org/W2546674699]"
Non‐parametric Approaches,Administrative/Registry Data,[2014],1,[https://openalex.org/W2182749524]
Non‐parametric Approaches,Others_DataType,"[2010, 2020]",2,"[https://openalex.org/W1994441718, https://openalex.org/W2773358030]"
Non‐parametric Approaches,Panel/Longitudinal Surveys,"[2002, 2014, 2017]",3,"[https://openalex.org/W2009705015, https://openalex.org/W765699370, https://openalex.org/W2595264819]"
Non‐parametric Approaches,Linked Administrative Data,[2015],1,[https://openalex.org/W2485689150]
Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,"[2002, 2014, 2017, 2020]",6,"[https://openalex.org/W2009705015, https://openalex.org/W2182749524, https://openalex.org/W765699370, https://openalex.org/W3125052842, https://openalex.org/W2595264819, https://openalex.org/W2773358030]"
Non‐parametric Approaches,Empirical Estimates and Determinants,[2015],1,[https://openalex.org/W2485689150]
Non‐parametric Approaches,Measurement and Methodological Advances,"[2010, 2019, 2021]",3,"[https://openalex.org/W1994441718, https://openalex.org/W3121217472, https://openalex.org/W2546674699]"
Rank‐based Measures,No dataset,"[2021, 2025]",2,"[https://openalex.org/W4200297537, https://openalex.org/W4406103194]"
Rank‐based Measures,Administrative/Registry Data,"[2011, 2016, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",21,"[https://openalex.org/W2048745299, https://openalex.org/W2285151281, https://openalex.org/W3124358677, https://openalex.org/W3109347625, https://openalex.org/W2912008487, https://openalex.org/W3099122721, https://openalex.org/W3211027916, https://openalex.org/W4211263339, https://openalex.org/W3184422859, https://openalex.org/W3176622639, https://openalex.org/W4312805135, https://openalex.org/W4312705867, https://openalex.org/W4312419656, https://openalex.org/W3163153651, https://openalex.org/W4386370708, https://openalex.org/W4386491507, https://openalex.org/W4388724660, https://openalex.org/W4367052625, https://openalex.org/W4401845594, https://openalex.org/W4394017071, https://openalex.org/W4406151692]"
Rank‐based Measures,Others_DataType,[2024],1,[https://openalex.org/W4399529338]
Rank‐based Measures,Panel/Longitudinal Surveys,"[2010, 2011, 2020, 2022, 2023]",6,"[https://openalex.org/W1885260769, https://openalex.org/W4232769139, https://openalex.org/W3033668572, https://openalex.org/W4225276593, https://openalex.org/W4386929517, https://openalex.org/W4387158607]"
Rank‐based Measures,Linked Administrative Data,"[2008, 2014, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",13,"[https://openalex.org/W3124527946, https://openalex.org/W2155246844, https://openalex.org/W2105584013, https://openalex.org/W2512952691, https://openalex.org/W3147268152, https://openalex.org/W3145594932, https://openalex.org/W3189747191, https://openalex.org/W3169577729, https://openalex.org/W3207067564, https://openalex.org/W4385213642, https://openalex.org/W4387195562, https://openalex.org/W4402018025, https://openalex.org/W4405920878]"
Rank‐based Measures,National Survey Data,"[2019, 2023, 2025]",3,"[https://openalex.org/W2955018254, https://openalex.org/W4322624816, https://openalex.org/W4406632693]"
Rank‐based Measures,International Panel Data,[2020],1,[https://openalex.org/W3039577330]
Rank‐based Measures,Opportunity Atlas,[2023],1,[https://openalex.org/W4387912130]
Rank‐based Measures,University/Institution Data,[2022],1,[https://openalex.org/W4285199241]
Rank‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[2016, 2018, 2021, 2022, 2023, 2024]",14,"[https://openalex.org/W3124358677, https://openalex.org/W2512952691, https://openalex.org/W3211027916, https://openalex.org/W4200297537, https://openalex.org/W3169577729, https://openalex.org/W3184422859, https://openalex.org/W4285199241, https://openalex.org/W3207067564, https://openalex.org/W4386929517, https://openalex.org/W4385213642, https://openalex.org/W4367052625, https://openalex.org/W4401845594, https://openalex.org/W4405920878, https://openalex.org/W4394017071]"
Rank‐based Measures,Empirical Estimates and Determinants,"[2008, 2010, 2014, 2018, 2019, 2020, 2021, 2022, 2023, 2025]",18,"[https://openalex.org/W3124527946, https://openalex.org/W1885260769, https://openalex.org/W2155246844, https://openalex.org/W2105584013, https://openalex.org/W2912008487, https://openalex.org/W3147268152, https://openalex.org/W3145594932, https://openalex.org/W3189747191, https://openalex.org/W4211263339, https://openalex.org/W4312805135, https://openalex.org/W4312705867, https://openalex.org/W4312419656, https://openalex.org/W3163153651, https://openalex.org/W4386491507, https://openalex.org/W4388724660, https://openalex.org/W4387195562, https://openalex.org/W4387158607, https://openalex.org/W4406632693]"
Rank‐based Measures,Measurement and Methodological Advances,"[2018, 2020, 2021, 2023, 2024, 2025]",8,"[https://openalex.org/W3109347625, https://openalex.org/W3039577330, https://openalex.org/W3033668572, https://openalex.org/W3176622639, https://openalex.org/W4386370708, https://openalex.org/W4322624816, https://openalex.org/W4399529338, https://openalex.org/W4406103194]"
Rank‐based Measures,"Policy, Institutional, and Geographic Impacts",[2025],1,[https://openalex.org/W4406151692]
Rank‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[2011, 2020, 2022, 2024]",6,"[https://openalex.org/W4232769139, https://openalex.org/W2048745299, https://openalex.org/W2285151281, https://openalex.org/W3099122721, https://openalex.org/W4225276593, https://openalex.org/W4402018025]"
Rank‐based Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[2023],1,[https://openalex.org/W4387912130]
Rank‐based Measures,Perceptions of Mobility and Attitudes,[2019],1,[https://openalex.org/W2955018254]
Archival/Historical Data,Absolute Mobility Measures,"[1976, 2004]",2,"[https://openalex.org/W2004570201, https://openalex.org/W2986629221]"
Archival/Historical Data,Regression‐based Measures,"[2006, 2011, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2024]",14,"[https://openalex.org/W2056823769, https://openalex.org/W2119455293, https://openalex.org/W2184044297, https://openalex.org/W2003514985, https://openalex.org/W2625992765, https://openalex.org/W3122167690, https://openalex.org/W2761614070, https://openalex.org/W2811219136, https://openalex.org/W2807800750, https://openalex.org/W2789684694, https://openalex.org/W2922684064, https://openalex.org/W3123195152, https://openalex.org/W4403898265, https://openalex.org/W4401171797]"
Archival/Historical Data,Multigenerational Measures,"[2008, 2011, 2016, 2017, 2024]",6,"[https://openalex.org/W2039841106, https://openalex.org/W2186374397, https://openalex.org/W2565185528, https://openalex.org/W2780097379, https://openalex.org/W2625426831, https://openalex.org/W4390870445]"
Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,"[1976, 2004, 2006, 2008, 2011, 2014, 2016, 2017, 2018, 2019, 2020, 2024]",17,"[https://openalex.org/W2004570201, https://openalex.org/W2986629221, https://openalex.org/W2056823769, https://openalex.org/W2039841106, https://openalex.org/W2186374397, https://openalex.org/W2184044297, https://openalex.org/W2003514985, https://openalex.org/W2565185528, https://openalex.org/W3122167690, https://openalex.org/W2761614070, https://openalex.org/W2807800750, https://openalex.org/W2789684694, https://openalex.org/W2922684064, https://openalex.org/W3123195152, https://openalex.org/W4403898265, https://openalex.org/W4390870445, https://openalex.org/W4401171797]"
Archival/Historical Data,Empirical Estimates and Determinants,"[2011, 2015, 2018]",3,"[https://openalex.org/W2119455293, https://openalex.org/W2625992765, https://openalex.org/W2811219136]"
Archival/Historical Data,"Policy, Institutional, and Geographic Impacts",[2017],2,"[https://openalex.org/W2780097379, https://openalex.org/W2625426831]"
No dataset,Absolute Mobility Measures,"[2010, 2013, 2014, 2017, 2018, 2020]",6,"[https://openalex.org/W1993705293, https://openalex.org/W1985674062, https://openalex.org/W2119977186, https://openalex.org/W2635740930, https://openalex.org/W2921712035, https://openalex.org/W3022704615]"
No dataset,Decomposition / Structural Approaches,"[1979, 1995, 1996, 2000, 2003, 2005, 2007, 2009, 2010, 2013, 2014, 2015, 2016, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",37,"[https://openalex.org/W1997361840, https://openalex.org/W2022256544, https://openalex.org/W3124481018, https://openalex.org/W2051645598, https://openalex.org/W2144050291, https://openalex.org/W1527079419, https://openalex.org/W115198923, https://openalex.org/W2258354779, https://openalex.org/W85222481, https://openalex.org/W3124279434, https://openalex.org/W4300073440, https://openalex.org/W2170708007, https://openalex.org/W2587720673, https://openalex.org/W2198347083, https://openalex.org/W2261420935, https://openalex.org/W2153943844, https://openalex.org/W1583265181, https://openalex.org/W4230356224, https://openalex.org/W1969182931, https://openalex.org/W2229381819, https://openalex.org/W3125856458, https://openalex.org/W3125406097, https://openalex.org/W2804095451, https://openalex.org/W2913916335, https://openalex.org/W2938378096, https://openalex.org/W2971359031, https://openalex.org/W3044383046, https://openalex.org/W3021741550, https://openalex.org/W3127732452, https://openalex.org/W4293041566, https://openalex.org/W4293190917, https://openalex.org/W4289824063, https://openalex.org/W3170592684, https://openalex.org/W3210465688, https://openalex.org/W4220732045, https://openalex.org/W4367597654, https://openalex.org/W3168728451]"
No dataset,Regression‐based Measures,"[1980, 1998, 2002, 2005, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2025]",48,"[https://openalex.org/W1515121029, https://openalex.org/W3123505781, https://openalex.org/W2117407660, https://openalex.org/W2119587652, https://openalex.org/W1545014524, https://openalex.org/W2049884882, https://openalex.org/W2159878756, https://openalex.org/W1993125614, https://openalex.org/W2388800308, https://openalex.org/W2030719283, https://openalex.org/W2890853717, https://openalex.org/W59453117, https://openalex.org/W2037234295, https://openalex.org/W2288802977, https://openalex.org/W2055372720, https://openalex.org/W70509848, https://openalex.org/W3121558866, https://openalex.org/W2018386129, https://openalex.org/W3124226182, https://openalex.org/W2151222191, https://openalex.org/W2068645718, https://openalex.org/W2353487644, https://openalex.org/W2302816456, https://openalex.org/W2908577399, https://openalex.org/W2598656573, https://openalex.org/W2182279624, https://openalex.org/W2507475885, https://openalex.org/W2592479289, https://openalex.org/W2997562221, https://openalex.org/W4252430879, https://openalex.org/W2900408224, https://openalex.org/W2889122466, https://openalex.org/W2980728415, https://openalex.org/W4234924712, https://openalex.org/W3044954030, https://openalex.org/W2906080883, https://openalex.org/W3207371012, https://openalex.org/W4205619119, https://openalex.org/W4320148496, https://openalex.org/W4308908946, https://openalex.org/W4214604726, https://openalex.org/W4212975927, https://openalex.org/W4280580662, https://openalex.org/W4212888016, https://openalex.org/W4361974330, https://openalex.org/W4361988923, https://openalex.org/W4362499633, https://openalex.org/W4407738440]"
No dataset,Transition Matrix / Probability Measures,"[1995, 2005, 2006, 2012, 2016, 2018, 2019, 2020, 2024]",9,"[https://openalex.org/W2008560119, https://openalex.org/W1994031345, https://openalex.org/W2106387882, https://openalex.org/W1724441452, https://openalex.org/W2589434942, https://openalex.org/W2896751489, https://openalex.org/W4242326182, https://openalex.org/W3202153609, https://openalex.org/W2332279578]"
No dataset,Others_Measure,"[1997, 1998, 2002, 2004, 2007, 2012, 2015, 2016, 2018, 2019, 2020, 2021, 2024]",15,"[https://openalex.org/W2078842385, https://openalex.org/W2117544103, https://openalex.org/W2164455384, https://openalex.org/W8680042, https://openalex.org/W2188355739, https://openalex.org/W3125905928, https://openalex.org/W3125318571, https://openalex.org/W2767739989, https://openalex.org/W2476394513, https://openalex.org/W3008379420, https://openalex.org/W2981344849, https://openalex.org/W3183234565, https://openalex.org/W3033929493, https://openalex.org/W3216038618, https://openalex.org/W4395463994]"
No dataset,Non‐parametric Approaches,"[2017, 2019, 2021]",3,"[https://openalex.org/W3125052842, https://openalex.org/W3121217472, https://openalex.org/W2546674699]"
No dataset,Rank‐based Measures,"[2021, 2025]",2,"[https://openalex.org/W4200297537, https://openalex.org/W4406103194]"
No dataset,Intergenerational Wealth Mobility and Inheritance,"[1995, 1996, 1998, 2003, 2004, 2005, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2021, 2022, 2024]",29,"[https://openalex.org/W2008560119, https://openalex.org/W2051645598, https://openalex.org/W3123505781, https://openalex.org/W115198923, https://openalex.org/W8680042, https://openalex.org/W1545014524, https://openalex.org/W2188355739, https://openalex.org/W3124279434, https://openalex.org/W1993125614, https://openalex.org/W1993705293, https://openalex.org/W59453117, https://openalex.org/W2055372720, https://openalex.org/W3124226182, https://openalex.org/W1583265181, https://openalex.org/W3125318571, https://openalex.org/W4230356224, https://openalex.org/W2589434942, https://openalex.org/W2908577399, https://openalex.org/W3125856458, https://openalex.org/W3125406097, https://openalex.org/W3125052842, https://openalex.org/W3008379420, https://openalex.org/W2913916335, https://openalex.org/W2980728415, https://openalex.org/W4200297537, https://openalex.org/W4293041566, https://openalex.org/W4293190917, https://openalex.org/W2332279578, https://openalex.org/W3168728451]"
