triplet_key,years,ew,measure,datatype,rqtype
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,[2024],[3.0],Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants
"Regression‐based Measures | No dataset | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[2017],[3.0],Regression‐based Measures,No dataset,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)"
"Regression‐based Measures | No dataset | Policy, Institutional, and Geographic Impacts",[2018],[3.0],Regression‐based Measures,No dataset,"Policy, Institutional, and Geographic Impacts"
Regression‐based Measures | No dataset | Theoretical and Structural Models,"[2012, 2013, 2018, 2022]","[3.0, 5.611651689888372, 5.805825844944186, 6.334571298743329, 9.33457129874333, 12.33457129874333]",Regression‐based Measures,No dataset,Theoretical and Structural Models
Regression‐based Measures | Opportunity Atlas | Empirical Estimates and Determinants,"[2014, 2021]",[3.0],Regression‐based Measures,Opportunity Atlas,Empirical Estimates and Determinants
Regression‐based Measures | Opportunity Atlas | Intergenerational Wealth Mobility and Inheritance,[2021],[3.0],Regression‐based Measures,Opportunity Atlas,Intergenerational Wealth Mobility and Inheritance
"Regression‐based Measures | Opportunity Atlas | Policy, Institutional, and Geographic Impacts",[2021],[3.0],Regression‐based Measures,Opportunity Atlas,"Policy, Institutional, and Geographic Impacts"
Regression‐based Measures | Others_DataType | Empirical Estimates and Determinants,"[2013, 2021, 2024]","[3.0, 3.989630933079671]",Regression‐based Measures,Others_DataType,Empirical Estimates and Determinants
Regression‐based Measures | Others_DataType | Intergenerational Wealth Mobility and Inheritance,"[2007, 2016, 2019, 2023]","[3.0, 3.8615237662477764, 5.54765557860074]",Regression‐based Measures,Others_DataType,Intergenerational Wealth Mobility and Inheritance
"Regression‐based Measures | Panel/Longitudinal Surveys | Demographic Differences in Mobility (Race, Gender, etc.)",[2020],[3.0],Regression‐based Measures,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)"
Regression‐based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,"[1990, 1992, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[3.0, 5.2735748497655965, 3.8698154665398357, 6.869815466539835, 8.206346555751892, 10.144039616713018, 11.830899402427717, 14.830899402427717, 15.911047828971599, 16.8513716501428, 17.669971082344148, 20.669971082344148, 20.994254969049294, 23.994254969049294, 23.888212179176687, 26.888212179176687, 29.888212179176687, 29.019199948496343, 32.01919994849634, 35.01919994849634, 33.48598424134309, 36.48598424134309, 34.76289413371474, 37.76289413371474, 40.76289413371474, 43.76289413371474, 41.09781213957401, 44.09781213957401, 47.09781213957401, 50.09781213957401, 46.61267857800956, 49.61267857800956, 52.61267857800956, 55.61267857800956, 51.41364866249251, 47.758180804241874, 44.57591120113091, 47.57591120113091, 50.57591120113091, 53.57591120113091, 56.57591120113091, 52.25219136513601, 55.25219136513601, 58.25219136513601, 53.71147800615277, 56.71147800615277]",Regression‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
Regression‐based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,"[2002, 2004, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2019, 2020, 2021, 2022, 2023, 2024]","[3.0, 5.2735748497655965, 6.479261866159341, 8.64052506732811, 11.64052506732811, 14.64052506732811, 15.745317344313511, 16.70709488336836, 19.70709488336836, 22.70709488336836, 22.767674241534863, 25.767674241534863, 28.767674241534863, 28.043715015687575, 31.043715015687575, 34.043715015687575, 37.043715015687575, 40.043715015687575, 37.860078663376285, 40.860078663376285, 43.860078663376285, 46.860078663376285, 43.794067876502915, 46.794067876502915, 49.794067876502915, 46.34825383869505, 49.34825383869505, 52.34825383869505, 48.57180186684447, 45.284209475489185, 48.284209475489185, 51.284209475489185, 54.284209475489185, 57.284209475489185, 46.41331265072544, 49.41331265072544, 46.01678716241653, 49.01678716241653, 45.671591675207935, 48.671591675207935, 45.37108154937121, 42.49782060015949, 45.49782060015949, 48.49782060015949, 45.21980504210322, 48.21980504210322]",Regression‐based Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Regression‐based Measures | Panel/Longitudinal Surveys | Measurement and Methodological Advances,"[2003, 2012, 2015, 2016, 2019, 2020, 2021, 2022, 2023]","[3.0, 3.8615237662477764, 5.54765557860074, 8.54765557860074, 10.441166378812131, 13.441166378812131, 11.867862683428632, 13.331574544179846, 16.331574544179844, 17.217461418948403, 17.988670736794816]",Regression‐based Measures,Panel/Longitudinal Surveys,Measurement and Methodological Advances
"Regression‐based Measures | Panel/Longitudinal Surveys | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[2006],[3.0],Regression‐based Measures,Panel/Longitudinal Surveys,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)"
"Regression‐based Measures | Panel/Longitudinal Surveys | Policy, Institutional, and Geographic Impacts","[2010, 2014, 2016, 2019, 2021]","[3.0, 4.723047532495553, 7.723047532495553, 10.723047532495553, 11.126550394240978, 10.340785632407117, 10.836850046886084]",Regression‐based Measures,Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts"
Regression‐based Measures | Pseudo-Panel/Household Budget Survey | Intergenerational Wealth Mobility and Inheritance,[2014],[3.0],Regression‐based Measures,Pseudo-Panel/Household Budget Survey,Intergenerational Wealth Mobility and Inheritance
Transition Matrix / Probability Measures | Administrative/Registry Data | Empirical Estimates and Determinants,[2023],[3.0],Transition Matrix / Probability Measures,Administrative/Registry Data,Empirical Estimates and Determinants
Transition Matrix / Probability Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,"[1998, 2013, 2021]","[3.0, 3.375]",Transition Matrix / Probability Measures,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance
"Transition Matrix / Probability Measures | Linked Administrative Data | Demographic Differences in Mobility (Race, Gender, etc.)","[2014, 2019]",[3.0],Transition Matrix / Probability Measures,Linked Administrative Data,"Demographic Differences in Mobility (Race, Gender, etc.)"
Transition Matrix / Probability Measures | Linked Administrative Data | Empirical Estimates and Determinants,"[2013, 2015]",[3.0],Transition Matrix / Probability Measures,Linked Administrative Data,Empirical Estimates and Determinants
Transition Matrix / Probability Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,"[2011, 2023]",[3.0],Transition Matrix / Probability Measures,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance
"Transition Matrix / Probability Measures | National Survey Data | Demographic Differences in Mobility (Race, Gender, etc.)",[2013],[3.0],Transition Matrix / Probability Measures,National Survey Data,"Demographic Differences in Mobility (Race, Gender, etc.)"
Transition Matrix / Probability Measures | National Survey Data | Empirical Estimates and Determinants,[2006],[3.0],Transition Matrix / Probability Measures,National Survey Data,Empirical Estimates and Determinants
Transition Matrix / Probability Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,"[2001, 2008, 2010, 2013, 2020]","[3.0, 4.136787424882799, 6.135098616013374, 7.04765557860074]",Transition Matrix / Probability Measures,National Survey Data,Intergenerational Wealth Mobility and Inheritance
"Transition Matrix / Probability Measures | No dataset | Demographic Differences in Mobility (Race, Gender, etc.)",[2006],[3.0],Transition Matrix / Probability Measures,No dataset,"Demographic Differences in Mobility (Race, Gender, etc.)"
Transition Matrix / Probability Measures | No dataset | Empirical Estimates and Determinants,"[2005, 2019]",[3.0],Transition Matrix / Probability Measures,No dataset,Empirical Estimates and Determinants
Transition Matrix / Probability Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,"[1995, 2016, 2024]","[3.0, 3.1632282306180235]",Transition Matrix / Probability Measures,No dataset,Intergenerational Wealth Mobility and Inheritance
Transition Matrix / Probability Measures | No dataset | Measurement and Methodological Advances,[2018],[3.0],Transition Matrix / Probability Measures,No dataset,Measurement and Methodological Advances
Transition Matrix / Probability Measures | No dataset | Theoretical and Structural Models,"[2012, 2020]",[3.0],Transition Matrix / Probability Measures,No dataset,Theoretical and Structural Models
Transition Matrix / Probability Measures | Opportunity Atlas | Empirical Estimates and Determinants,[2024],[3.0],Transition Matrix / Probability Measures,Opportunity Atlas,Empirical Estimates and Determinants
"Transition Matrix / Probability Measures | Panel/Longitudinal Surveys | Demographic Differences in Mobility (Race, Gender, etc.)","[2005, 2011, 2021, 2022]","[3.0, 4.305825844944186, 4.076456461236047]",Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)"
Transition Matrix / Probability Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,"[2003, 2009]",[3.0],Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
Transition Matrix / Probability Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,"[1996, 2007, 2014, 2016, 2019, 2023]","[3.0, 3.652912922472093, 4.384195158152716, 6.322598616013373, 7.171359445235699]",Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Transition Matrix / Probability Measures | Panel/Longitudinal Surveys | Measurement and Methodological Advances,"[2009, 2022]",[3.0],Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,Measurement and Methodological Advances
Transition Matrix / Probability Measures | University/Institution Data | Empirical Estimates and Determinants,[2019],[3.0],Transition Matrix / Probability Measures,University/Institution Data,Empirical Estimates and Determinants
