period,n1_type,n1_name,n2_type,n2_name,n3_type,n3_name,mean_null,obs,sd_null,z
2016-2020,DataType,National Survey Data,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,0.5,1.0,0.6497003561364416,0.7695855408997136
2016-2020,DataType,National Survey Data,Measure,Absolute Mobility Measures,RqType,Perceptions of Mobility and Attitudes,0.035,1.0,0.18424093903932007,5.237706695546384
2016-2020,DataType,National Survey Data,Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,1.02,1.0,0.9348635457895613,-0.021393496505533908
2016-2020,DataType,National Survey Data,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,1.135,1.0,0.975465357312387,-0.13839548374321925
2016-2020,DataType,National Survey Data,Measure,Others,RqType,Empirical Estimates and Determinants,0.515,1.0,0.6871212981650036,0.705843351523552
2016-2020,DataType,National Survey Data,Measure,Others,RqType,Perceptions of Mobility and Attitudes,0.035,1.0,0.18424093903932007,5.237706695546384
2016-2020,DataType,National Survey Data,Measure,Rank‐based Measures,RqType,Perceptions of Mobility and Attitudes,0.04,1.0,0.19645092217681395,4.886716689148246
2016-2020,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,4.095,8.0,1.890461377840216,2.0656333135254643
2016-2020,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,4.925,7.0,1.880707393909945,1.1033082587537053
2016-2020,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.375,1.0,0.6051495932005191,1.032802478961435
2016-2020,DataType,National Survey Data,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.385,1.0,0.6314814678366306,0.9739003142988599
2016-2020,DataType,Natural/Experimental Data,Measure,Decomposition / Structural Approaches,RqType,"Policy, Institutional, and Geographic Impacts",0.05,1.0,0.21849186132974535,4.347988040461933
2016-2020,DataType,Natural/Experimental Data,Measure,Others,RqType,Perceptions of Mobility and Attitudes,0.0,1.0,0.0,
2016-2020,DataType,Natural/Experimental Data,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.185,1.0,0.40197377348884883,2.027495458040396
2016-2020,DataType,No dataset,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,0.86,2.0,0.9976857643677746,1.1426443482657176
2016-2020,DataType,No dataset,Measure,Absolute Mobility Measures,RqType,Measurement and Methodological Advances,0.27,1.0,0.5371617201251772,1.35899482902446
2016-2020,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,1.66,3.0,1.2006698298037661,1.1160437005558852
2016-2020,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,"Policy, Institutional, and Geographic Impacts",0.41,1.0,0.6275901104492233,0.9401040427129794
2016-2020,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Theoretical and Structural Models,0.185,4.0,0.42624337776137605,8.95028567959536
2016-2020,DataType,No dataset,Measure,Non‐parametric Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.285,1.0,0.5148791144652916,1.3886754772380632
2016-2020,DataType,No dataset,Measure,Non‐parametric Approaches,RqType,Measurement and Methodological Advances,0.06,1.0,0.23808279460185094,3.9482063438140274
2016-2020,DataType,No dataset,Measure,Others,RqType,Empirical Estimates and Determinants,0.925,1.0,0.961246573400588,0.0780236851556969
2016-2020,DataType,No dataset,Measure,Others,RqType,Intergenerational Wealth Mobility and Inheritance,1.09,1.0,0.9414518884634824,-0.09559702529981282
2016-2020,DataType,No dataset,Measure,Others,RqType,Measurement and Methodological Advances,0.345,2.0,0.5723749342228687,2.8914613499751614
2016-2020,DataType,No dataset,Measure,Others,RqType,Theoretical and Structural Models,0.13,1.0,0.33714735904132886,2.5804740172778633
2016-2020,DataType,No dataset,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,5.92,3.0,2.2379998248615665,-1.3047364738648357
2016-2020,DataType,No dataset,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,7.075,2.0,2.2527202985986947,-2.2528318332093447
2016-2020,DataType,No dataset,Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,2.225,5.0,1.3725137412241986,2.021837681220495
2016-2020,DataType,No dataset,Measure,Regression‐based Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.555,1.0,0.7680655070471385,0.5793776649479052
2016-2020,DataType,No dataset,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",1.995,1.0,1.2779439359837301,-0.7785944062045831
2016-2020,DataType,No dataset,Measure,Regression‐based Measures,RqType,Theoretical and Structural Models,0.915,1.0,0.8897941718969105,0.09552771043531613
2016-2020,DataType,No dataset,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,0.575,1.0,0.7728918482201932,0.5498828859156496
2016-2020,DataType,No dataset,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.625,1.0,0.7464320491646246,0.5023900037782196
2016-2020,DataType,No dataset,Measure,Transition Matrix / Probability Measures,RqType,Measurement and Methodological Advances,0.225,1.0,0.4641683544863142,1.669652815642025
2016-2020,DataType,No dataset,Measure,Transition Matrix / Probability Measures,RqType,Theoretical and Structural Models,0.095,1.0,0.2939507359675757,3.0787471819761874
2016-2020,DataType,Opportunity Atlas,Measure,Absolute Mobility Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.02,1.0,0.1403513179927839,6.982478070141003
2016-2020,DataType,Others,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,0.135,1.0,0.3425810984938109,2.5249495777877167
2016-2020,DataType,Others,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.335,1.0,0.5424446802723564,1.22593146210985
2016-2020,DataType,Others,Measure,Non‐parametric Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.025,1.0,0.18587022002856546,5.2455955550607145
2016-2020,DataType,Others,Measure,Others,RqType,Empirical Estimates and Determinants,0.115,1.0,0.3198225010233083,2.767159900158189
2016-2020,DataType,Others,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,1.29,2.0,0.9903555018782408,0.716914278411603
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,1.145,1.0,0.9893782627153623,-0.14655668662261237
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,1.365,1.0,1.0944239667950795,-0.33350877820125696
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.08,2.0,0.2719739863410307,7.059498688938927
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.375,1.0,0.6215356246131968,1.0055738967319199
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,2.135,5.0,1.413067158336733,2.0275044841975394
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Non‐parametric Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.4,1.0,0.5845584168528992,1.0264158084152375
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Others,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.11,1.0,0.3722807607493578,2.3906688011718193
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Rank‐based Measures,RqType,Measurement and Methodological Advances,0.345,1.0,0.5810880454654996,1.1271957926363652
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.875,1.0,0.8678367954388589,0.14403629882596575
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,8.12,15.0,2.57072814900378,2.676284539330294
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,9.595,10.0,2.6468859108631086,0.15300999500501142
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,3.04,5.0,1.5460762461127102,1.2677253175113554
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",2.79,2.0,1.577447846536523,-0.5008089501878242
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.865,2.0,0.8778542821582165,1.2929252873376518
2016-2020,DataType,University/Institution Data,Measure,Others,RqType,Empirical Estimates and Determinants,0.045,1.0,0.20782433633689137,4.595226992337931
2016-2020,DataType,University/Institution Data,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,0.035,1.0,0.1842409390393201,5.237706695546383
2021-2025,DataType,Administrative/Registry Data,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,1.095,1.0,1.0590481172132191,-0.08970319521456978
2021-2025,DataType,Administrative/Registry Data,Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,1.43,1.0,1.1496558366370206,-0.37402497886483854
2021-2025,DataType,Administrative/Registry Data,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,1.27,1.0,1.2787792545664587,-0.21113886469133988
2021-2025,DataType,Administrative/Registry Data,Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,2.095,7.0,1.2861750390812983,3.81363333213463
2021-2025,DataType,Administrative/Registry Data,Measure,Rank‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,1.73,5.0,1.2101330962141164,2.702182107265843
2021-2025,DataType,Administrative/Registry Data,Measure,Rank‐based Measures,RqType,Measurement and Methodological Advances,0.585,2.0,0.6893117972070725,2.0527720629956483
2021-2025,DataType,Administrative/Registry Data,Measure,Rank‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.34,1.0,0.5797244190217022,1.138471967618277
2021-2025,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,6.695,6.0,2.201410009550868,-0.31570675021223976
2021-2025,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,5.89,5.0,2.156653838448459,-0.4126763341122393
2021-2025,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",1.36,2.0,1.1029426150350259,0.5802659098267552
2021-2025,DataType,Administrative/Registry Data,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,0.6,1.0,0.7088812050083358,0.5642694391866354
2021-2025,DataType,Administrative/Registry Data,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.68,1.0,0.7684743091470888,0.41640949631115226
2021-2025,DataType,Archival/Historical Data,Measure,Multigenerational Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.02,1.0,0.1403513179927839,6.982478070141003
2021-2025,DataType,Archival/Historical Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.545,2.0,0.6481322217606699,2.2449123051581212
2021-2025,DataType,Big Data,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,0.09,2.0,0.3200188436662872,5.9683985421550085
2021-2025,DataType,Big Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.565,1.0,0.6386032182441291,0.6811741431495661
2021-2025,DataType,International Panel Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.38,1.0,0.5807636629135849,1.067559903609626
2021-2025,DataType,International Panel Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.33,1.0,0.5408907598308107,1.2386974408835794
2021-2025,DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,1.285,5.0,1.1314485756749995,3.2834015437101995
2021-2025,DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,RqType,Measurement and Methodological Advances,0.29,1.0,0.5071350211218322,1.4000216321669339
2021-2025,DataType,Linked Administrative Data,Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,1.575,3.0,1.140561000992461,1.249385169894494
2021-2025,DataType,Linked Administrative Data,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,1.205,1.0,1.0432722968751427,-0.19649711835924863
2021-2025,DataType,Linked Administrative Data,Measure,Others,RqType,"Policy, Institutional, and Geographic Impacts",0.175,1.0,0.39389180464798224,2.0944837903832383
2021-2025,DataType,Linked Administrative Data,Measure,Rank‐based Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.18,1.0,0.41041711837504585,1.9979673441658705
2021-2025,DataType,Linked Administrative Data,Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,2.445,1.0,1.3880230690449655,-1.0410489798229632
2021-2025,DataType,Linked Administrative Data,Measure,Rank‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,2.02,4.0,1.239873554908243,1.5969370361694102
2021-2025,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,7.87,7.0,2.1250125627769356,-0.4094093443208151
2021-2025,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,6.385,9.0,2.2831642945657458,1.1453402657986858
2021-2025,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.5,1.0,0.6725037594933305,0.7434902674398487
2021-2025,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",1.64,2.0,1.2879027398591416,0.27952421317107645
2021-2025,DataType,Linked Administrative Data,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.505,1.0,0.7159173754297427,0.6914205702897867
2021-2025,DataType,National Survey Data,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,0.55,1.0,0.6999641053252078,0.6428901090448447
2021-2025,DataType,National Survey Data,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.655,1.0,0.7608346382320329,0.45344938658639883
2021-2025,DataType,National Survey Data,Measure,Decomposition / Structural Approaches,RqType,"Policy, Institutional, and Geographic Impacts",0.135,1.0,0.3425810984938109,2.5249495777877167
2021-2025,DataType,National Survey Data,Measure,Others,RqType,Perceptions of Mobility and Attitudes,0.0,1.0,0.0,
2021-2025,DataType,National Survey Data,Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,1.26,1.0,1.0525871453197888,-0.2470104267908467
2021-2025,DataType,National Survey Data,Measure,Rank‐based Measures,RqType,Measurement and Methodological Advances,0.305,1.0,0.5323457145492908,1.3055425844620918
2021-2025,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.245,1.0,0.5160489634359482,1.463039466203114
2021-2025,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,3.93,5.0,1.6273726397302843,0.6575015296910351
2021-2025,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,3.475,5.0,1.625603869243209,0.9381129245896512
2021-2025,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,Perceptions of Mobility and Attitudes,0.13,1.0,0.35173653913806585,2.473442202314108
2021-2025,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.765,1.0,0.8143036609651871,0.2885901307645559
2021-2025,DataType,Natural/Experimental Data,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.16,1.0,0.38095357740898494,2.204993074781369
2021-2025,DataType,Natural/Experimental Data,Measure,Decomposition / Structural Approaches,RqType,"Policy, Institutional, and Geographic Impacts",0.035,1.0,0.18424093903932007,5.237706695546384
2021-2025,DataType,Natural/Experimental Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.985,1.0,0.9429852096017404,0.015906930296748875
2021-2025,DataType,Natural/Experimental Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.865,1.0,0.8721111680555617,0.15479677929247576
2021-2025,DataType,Natural/Experimental Data,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.19,1.0,0.41805964807277646,1.937522561036539
2021-2025,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.91,3.0,0.8864700478463122,2.3576656708003565
2021-2025,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,"Policy, Institutional, and Geographic Impacts",0.22,1.0,0.4501256106095644,1.732849634891284
2021-2025,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Theoretical and Structural Models,0.155,5.0,0.40222371834339893,12.045535305462955
2021-2025,DataType,No dataset,Measure,Non‐parametric Approaches,RqType,Measurement and Methodological Advances,0.01,1.0,0.09974842727441166,9.924968513803961
2021-2025,DataType,No dataset,Measure,Others,RqType,Empirical Estimates and Determinants,0.39,1.0,0.5827503667521357,1.046760387985229
2021-2025,DataType,No dataset,Measure,Others,RqType,Theoretical and Structural Models,0.075,1.0,0.28244268329474154,3.2750007513372945
2021-2025,DataType,No dataset,Measure,Rank‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,1.515,1.0,1.2719529557369802,-0.4048891884539901
2021-2025,DataType,No dataset,Measure,Rank‐based Measures,RqType,Measurement and Methodological Advances,0.455,1.0,0.6558396359939702,0.8309958259445769
2021-2025,DataType,No dataset,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,5.535,4.0,1.9870877152103021,-0.7724872879290808
2021-2025,DataType,No dataset,Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,1.215,4.0,1.1157956802210698,2.4959766822615905
2021-2025,DataType,No dataset,Measure,Regression‐based Measures,RqType,Theoretical and Structural Models,0.845,4.0,0.8333350083735259,3.785992389972694
2021-2025,DataType,No dataset,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.455,1.0,0.6081316638714144,0.8961875073737926
2021-2025,DataType,Opportunity Atlas,Measure,Rank‐based Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.02,1.0,0.1403513179927839,6.982478070141003
2021-2025,DataType,Opportunity Atlas,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,1.0,1.0,0.8327468623077586,0.0
2021-2025,DataType,Opportunity Atlas,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.815,1.0,0.7770418070150706,0.23808242790778436
2021-2025,DataType,Opportunity Atlas,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.165,1.0,0.37211199481260626,2.2439480899305644
2021-2025,DataType,Opportunity Atlas,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,0.095,1.0,0.29395073596757565,3.0787471819761882
2021-2025,DataType,Others,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,0.185,1.0,0.43787403250445045,1.8612658881335158
2021-2025,DataType,Others,Measure,Multigenerational Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.0,1.0,0.0,
2021-2025,DataType,Others,Measure,Others,RqType,Empirical Estimates and Determinants,0.11,1.0,0.31367492695304,2.837332293802498
2021-2025,DataType,Others,Measure,Rank‐based Measures,RqType,Measurement and Methodological Advances,0.11,1.0,0.3293056498988081,2.7026563324178827
2021-2025,DataType,Others,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,1.505,2.0,1.1474135213360193,0.43140506085690417
2021-2025,DataType,Others,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,1.225,1.0,0.9996858803126523,-0.22507069913764435
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,1.385,1.0,1.123872969806333,-0.342565405827265
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,1.065,1.0,0.9461771801736751,-0.06869749277621438
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.095,1.0,0.2939507359675757,3.0787471819761874
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,1.685,1.0,1.209582759575097,-0.5663109816815075
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Others,RqType,Empirical Estimates and Determinants,0.635,1.0,0.7513973582264905,0.48576162266727
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Others,RqType,Intergenerational Wealth Mobility and Inheritance,0.63,1.0,0.7655260614464858,0.48332776457129784
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Others,RqType,Measurement and Methodological Advances,0.195,1.0,0.40965115690274667,1.9650866021870192
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Rank‐based Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.225,1.0,0.4532129853063031,1.710012786761213
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,2.56,1.0,1.5191904747241085,-1.0268626784823034
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Rank‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,2.38,1.0,1.3508233112033758,-1.0215991895865582
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,8.665,12.0,2.4623343502175543,1.3544058302664477
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,6.835,9.0,2.2118399989385584,0.9788230618123207
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,1.94,3.0,1.3095704923263425,0.8094256904926124
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",1.555,2.0,1.3438768638255623,0.33113152847444355
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.065,2.0,0.247144496216384,7.829427843320602
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.645,1.0,0.7887239232682616,0.45009411978905706
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,RqType,Measurement and Methodological Advances,0.21,1.0,0.46581640656283846,1.6959471346860544
2021-2025,DataType,University/Institution Data,Measure,Rank‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.07,1.0,0.25578728599833095,3.63583356526199
