period,n1_type,n1_name,n2_type,n2_name,n3_type,n3_name,mean_null_triangle_count,obs_triangle_count,sd_null_triangle_count,z_triangle_count
2016-2020,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,Theoretical and Structural Models,0.625,1.0,0.7713429652041756,0.48616506134950876
2016-2020,DataType,Linked Administrative Data,Measure,Transition Matrix / Probability Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.647,1.0,0.8228414598621463,0.4290012319738232
2016-2020,DataType,National Survey Data,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,0.684,1.0,0.811666682082493,0.389322374535861
2016-2020,DataType,National Survey Data,Measure,Absolute Mobility Measures,RqType,Perceptions of Mobility and Attitudes,0.628,1.0,0.790088754660032,0.4708331789383184
2016-2020,DataType,National Survey Data,Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,0.651,1.0,0.8023981822280275,0.434946149841626
2016-2020,DataType,National Survey Data,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.682,1.0,0.8207006455154946,0.3874738027045894
2016-2020,DataType,National Survey Data,Measure,Others_Measure,RqType,Empirical Estimates and Determinants,0.662,1.0,0.8297255235585105,0.4073636285773062
2016-2020,DataType,National Survey Data,Measure,Others_Measure,RqType,Perceptions of Mobility and Attitudes,0.671,1.0,0.8339391191534634,0.39451321138882395
2016-2020,DataType,National Survey Data,Measure,Rank‐based Measures,RqType,Perceptions of Mobility and Attitudes,0.674,1.0,0.8114076548704618,0.40177092000943054
2016-2020,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.659,8.0,0.8339151122353009,8.803054282494683
2016-2020,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.596,7.0,0.7703099229384089,8.313536940523145
2016-2020,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.695,1.0,0.8334684575133421,0.36594066308156314
2016-2020,DataType,National Survey Data,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.657,1.0,0.812410617244144,0.4222002922161741
2016-2020,DataType,Natural/Experimental Data,Measure,Decomposition / Structural Approaches,RqType,"Policy, Institutional, and Geographic Impacts",0.61,1.0,0.757940943922727,0.5145519622961033
2016-2020,DataType,Natural/Experimental Data,Measure,Others_Measure,RqType,Perceptions of Mobility and Attitudes,0.654,1.0,0.8227763736040073,0.4205273888510145
2016-2020,DataType,Natural/Experimental Data,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.62,1.0,0.7888106377466154,0.4817379251952545
2016-2020,DataType,No dataset,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,0.62,2.0,0.7862685407786694,1.7551255435367379
2016-2020,DataType,No dataset,Measure,Absolute Mobility Measures,RqType,Measurement and Methodological Advances,0.668,1.0,0.7939813640170696,0.418145834456717
2016-2020,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.623,3.0,0.7870771820415647,3.020034190083372
2016-2020,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,"Policy, Institutional, and Geographic Impacts",0.658,1.0,0.8134480301148302,0.42043251361948913
2016-2020,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Theoretical and Structural Models,0.686,4.0,0.8050168023414495,4.116684260950818
2016-2020,DataType,No dataset,Measure,Non‐parametric Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.643,1.0,0.8026177142296295,0.44479456866044453
2016-2020,DataType,No dataset,Measure,Non‐parametric Approaches,RqType,Measurement and Methodological Advances,0.679,1.0,0.8262213030669456,0.38851576303884106
2016-2020,DataType,No dataset,Measure,Others_Measure,RqType,Empirical Estimates and Determinants,0.628,1.0,0.783728416117618,0.4746542199436751
2016-2020,DataType,No dataset,Measure,Others_Measure,RqType,Intergenerational Wealth Mobility and Inheritance,0.664,1.0,0.8269146194062528,0.4063297372118746
2016-2020,DataType,No dataset,Measure,Others_Measure,RqType,Measurement and Methodological Advances,0.675,2.0,0.8355076738564842,1.585862154783268
2016-2020,DataType,No dataset,Measure,Others_Measure,RqType,Theoretical and Structural Models,0.686,1.0,0.8462388079733287,0.37105365180781974
2016-2020,DataType,No dataset,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.634,3.0,0.7865511189125999,3.0080689520485007
2016-2020,DataType,No dataset,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.637,2.0,0.7911111532881184,1.7228931665732725
2016-2020,DataType,No dataset,Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,0.648,5.0,0.8165554254077079,5.329705571213414
2016-2020,DataType,No dataset,Measure,Regression‐based Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.618,1.0,0.7903800988769268,0.4833117642293809
2016-2020,DataType,No dataset,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.636,1.0,0.8050789726183091,0.4521295579440922
2016-2020,DataType,No dataset,Measure,Regression‐based Measures,RqType,Theoretical and Structural Models,0.681,1.0,0.8269963258219004,0.3857332735825224
2016-2020,DataType,No dataset,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,0.64,1.0,0.7674561805008733,0.4690821562803094
2016-2020,DataType,No dataset,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.638,1.0,0.8412274743870791,0.4303235581597644
2016-2020,DataType,No dataset,Measure,Transition Matrix / Probability Measures,RqType,Measurement and Methodological Advances,0.605,1.0,0.7947368159375823,0.4970198839146554
2016-2020,DataType,No dataset,Measure,Transition Matrix / Probability Measures,RqType,Theoretical and Structural Models,0.653,1.0,0.7995187491424014,0.43401108525873505
2016-2020,DataType,Opportunity Atlas,Measure,Absolute Mobility Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.642,1.0,0.7876905842121362,0.45449318193650706
2016-2020,DataType,Others_DataType,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,0.674,1.0,0.8309117970124233,0.39234007890145023
2016-2020,DataType,Others_DataType,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.657,1.0,0.8111775446898226,0.42284207969681414
2016-2020,DataType,Others_DataType,Measure,Non‐parametric Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.634,1.0,0.799176252576791,0.45797156612186984
2016-2020,DataType,Others_DataType,Measure,Others_Measure,RqType,Empirical Estimates and Determinants,0.659,1.0,0.8218238219925208,0.414930780630381
2016-2020,DataType,Others_DataType,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.658,2.0,0.8519165227660288,1.5752717128231686
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,0.658,1.0,0.8047879743657231,0.42495664807807315
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.685,1.0,0.8535241669123983,0.369058091394769
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.68,2.0,0.7824399096494326,1.6870305102297476
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.663,1.0,0.8124599012204178,0.41478970161331435
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.625,5.0,0.813041226529157,5.381030945597573
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Non‐parametric Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.625,1.0,0.7880329916926042,0.47586840139083914
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Others_Measure,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.706,1.0,0.841589135072615,0.3493391106749884
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Rank‐based Measures,RqType,Measurement and Methodological Advances,0.662,1.0,0.815119881011634,0.4146629322554528
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.683,1.0,0.8265556207504696,0.3835192599769395
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.658,15.0,0.8122165325180815,17.657852833327695
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.657,10.0,0.7861100234502605,11.885104783416057
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,0.681,5.0,0.8209219895415842,5.26115764350739
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.665,2.0,0.8576190940682877,1.5566351183567526
2016-2020,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.605,2.0,0.784595813518394,1.7779855257503177
2016-2020,DataType,University/Institution Data,Measure,Others_Measure,RqType,Empirical Estimates and Determinants,0.662,1.0,0.8089563711414913,0.41782228567290897
2016-2020,DataType,University/Institution Data,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,0.656,1.0,0.8522853925712855,0.4036206686145071
2021-2025,DataType,Administrative/Registry Data,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,0.663,1.0,0.8614947319474293,0.39118056965734826
2021-2025,DataType,Administrative/Registry Data,Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,0.667,1.0,0.807937970245095,0.41216035421504144
2021-2025,DataType,Administrative/Registry Data,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.682,1.0,0.8021966838123425,0.39641151156190707
2021-2025,DataType,Administrative/Registry Data,Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,0.655,7.0,0.8189295730681886,7.74791900142026
2021-2025,DataType,Administrative/Registry Data,Measure,Rank‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.649,5.0,0.7939958623503207,5.479877422938364
2021-2025,DataType,Administrative/Registry Data,Measure,Rank‐based Measures,RqType,Measurement and Methodological Advances,0.674,2.0,0.8333177175714065,1.591229817919209
2021-2025,DataType,Administrative/Registry Data,Measure,Rank‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.648,1.0,0.8128694586197446,0.4330338608092095
2021-2025,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.619,6.0,0.7683940586895693,7.0029172390750105
2021-2025,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.636,5.0,0.7707775931473995,5.661814820251854
2021-2025,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.645,2.0,0.7909491770022905,1.7131315631877522
2021-2025,DataType,Administrative/Registry Data,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,0.685,1.0,0.8248972393307274,0.3818657463996027
2021-2025,DataType,Administrative/Registry Data,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.684,1.0,0.8490376109836743,0.37218610331512886
2021-2025,DataType,Archival/Historical Data,Measure,Multigenerational Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.72,1.0,0.8673824717806745,0.3228103046919774
2021-2025,DataType,Archival/Historical Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.619,2.0,0.7914957141169279,1.7447978243833984
2021-2025,DataType,Big Data,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,0.684,2.0,0.8478578081629389,1.5521470550013436
2021-2025,DataType,Big Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.71,1.0,0.8664009756750338,0.3347179979501455
2021-2025,DataType,International Panel Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.652,1.0,0.7959456825245863,0.4372157643926292
2021-2025,DataType,International Panel Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.641,1.0,0.8299444606766212,0.4325590651057799
2021-2025,DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,0.637,5.0,0.8049092364228894,5.420486935135297
2021-2025,DataType,Linked Administrative Data,Measure,Absolute Mobility Measures,RqType,Measurement and Methodological Advances,0.667,1.0,0.8091759794789795,0.4115297641613329
2021-2025,DataType,Linked Administrative Data,Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,0.701,3.0,0.8685351768082588,2.646985477834637
2021-2025,DataType,Linked Administrative Data,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.685,1.0,0.8027573851540821,0.39239751116028476
2021-2025,DataType,Linked Administrative Data,Measure,Others_Measure,RqType,"Policy, Institutional, and Geographic Impacts",0.648,1.0,0.7737536395356694,0.4549251622405752
2021-2025,DataType,Linked Administrative Data,Measure,Rank‐based Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.644,1.0,0.7508846967596475,0.47410741161229564
2021-2025,DataType,Linked Administrative Data,Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,0.676,1.0,0.8244414495303495,0.3929933413519777
2021-2025,DataType,Linked Administrative Data,Measure,Rank‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.643,4.0,0.7887795466245136,4.255941998453022
2021-2025,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.639,7.0,0.7728365132913145,8.230718775061643
2021-2025,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.642,9.0,0.7927575067222413,10.542946524161259
2021-2025,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.672,1.0,0.8397149046677218,0.3906087627797803
2021-2025,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.638,2.0,0.8146285163309838,1.6719277225088192
2021-2025,DataType,Linked Administrative Data,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.71,1.0,0.8441638541258519,0.3435352018244144
2021-2025,DataType,National Survey Data,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,0.66,1.0,0.8337236323237426,0.40780899907125917
2021-2025,DataType,National Survey Data,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.685,1.0,0.8345486633333443,0.3774495291165295
2021-2025,DataType,National Survey Data,Measure,Decomposition / Structural Approaches,RqType,"Policy, Institutional, and Geographic Impacts",0.717,1.0,0.8483104565137876,0.333604281106018
2021-2025,DataType,National Survey Data,Measure,Others_Measure,RqType,Perceptions of Mobility and Attitudes,0.652,1.0,0.8059438848614372,0.43179184870895854
2021-2025,DataType,National Survey Data,Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,0.67,1.0,0.8244875861890097,0.4002485974656616
2021-2025,DataType,National Survey Data,Measure,Rank‐based Measures,RqType,Measurement and Methodological Advances,0.652,1.0,0.7664747115746764,0.4540267209665076
2021-2025,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.675,1.0,0.8331080776640382,0.3901054481565842
2021-2025,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.595,5.0,0.7493574157480104,5.878369797145356
2021-2025,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.666,5.0,0.8031743827395699,5.396088437503495
2021-2025,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,Perceptions of Mobility and Attitudes,0.689,1.0,0.8443885314190334,0.3683138607737251
2021-2025,DataType,National Survey Data,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.705,1.0,0.8358670191326332,0.35292695278983155
2021-2025,DataType,Natural/Experimental Data,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.664,1.0,0.8305382554667748,0.40455692171718566
2021-2025,DataType,Natural/Experimental Data,Measure,Decomposition / Structural Approaches,RqType,"Policy, Institutional, and Geographic Impacts",0.657,1.0,0.801244652395879,0.42808398031033656
2021-2025,DataType,Natural/Experimental Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.623,1.0,0.7599002884908312,0.4961177219036531
2021-2025,DataType,Natural/Experimental Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.641,1.0,0.8153427400693427,0.44030563143233237
2021-2025,DataType,Natural/Experimental Data,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.668,1.0,0.8212493229528111,0.40426212932059447
2021-2025,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.668,3.0,0.8151321613336333,2.860885768737952
2021-2025,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,"Policy, Institutional, and Geographic Impacts",0.674,1.0,0.8260789347310622,0.39463541108953754
2021-2025,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Theoretical and Structural Models,0.611,5.0,0.8039436082993169,5.459338136022506
2021-2025,DataType,No dataset,Measure,Non‐parametric Approaches,RqType,Measurement and Methodological Advances,0.623,1.0,0.8084086370917398,0.4663483079006457
2021-2025,DataType,No dataset,Measure,Others_Measure,RqType,Empirical Estimates and Determinants,0.656,1.0,0.8175159523411958,0.4207868959802625
2021-2025,DataType,No dataset,Measure,Others_Measure,RqType,Theoretical and Structural Models,0.656,1.0,0.8126034237709834,0.42333072927951354
2021-2025,DataType,No dataset,Measure,Rank‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.665,1.0,0.8145173039527389,0.41128653544165567
2021-2025,DataType,No dataset,Measure,Rank‐based Measures,RqType,Measurement and Methodological Advances,0.642,1.0,0.8040413437644128,0.4452507358936201
2021-2025,DataType,No dataset,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.685,4.0,0.8333483482130802,3.977928326261447
2021-2025,DataType,No dataset,Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,0.66,4.0,0.8155152144902418,4.095570432843182
2021-2025,DataType,No dataset,Measure,Regression‐based Measures,RqType,Theoretical and Structural Models,0.62,4.0,0.7963882434053344,4.244161096034281
2021-2025,DataType,No dataset,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.657,1.0,0.787382353733541,0.4356206338300477
2021-2025,DataType,Opportunity Atlas,Measure,Rank‐based Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.629,1.0,0.7797223653115042,0.475810386497998
2021-2025,DataType,Opportunity Atlas,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.658,1.0,0.7743614373376528,0.4416542243836894
2021-2025,DataType,Opportunity Atlas,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.702,1.0,0.8401796842949143,0.3546860339167616
2021-2025,DataType,Opportunity Atlas,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.707,1.0,0.8389605800363059,0.3492416771087391
2021-2025,DataType,Opportunity Atlas,Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,0.649,1.0,0.7927341467525083,0.44277138992674453
2021-2025,DataType,Others_DataType,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,0.608,1.0,0.7981058657678021,0.4911629106031994
2021-2025,DataType,Others_DataType,Measure,Multigenerational Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.704,1.0,0.8142770087918774,0.3635126582281476
2021-2025,DataType,Others_DataType,Measure,Others_Measure,RqType,Empirical Estimates and Determinants,0.657,1.0,0.8234251811968281,0.4165527212824096
2021-2025,DataType,Others_DataType,Measure,Rank‐based Measures,RqType,Measurement and Methodological Advances,0.675,1.0,0.8331080776640382,0.3901054481565842
2021-2025,DataType,Others_DataType,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.652,2.0,0.8267887151984958,1.6304044494322487
2021-2025,DataType,Others_DataType,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.654,1.0,0.7892445165516876,0.43839392323144566
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,0.67,1.0,0.8147169838439382,0.4050486322784362
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.669,1.0,0.8198238293140248,0.4037452781495254
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.633,1.0,0.7867209987854207,0.4664932047912703
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,0.649,1.0,0.8114539157940255,0.43255691194310003
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Others_Measure,RqType,Empirical Estimates and Determinants,0.701,1.0,0.8344431048881015,0.35832281224265833
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Others_Measure,RqType,Intergenerational Wealth Mobility and Inheritance,0.678,1.0,0.8312683122837097,0.3873598875859738
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Others_Measure,RqType,Measurement and Methodological Advances,0.683,1.0,0.8192570916276417,0.38693592431431617
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Rank‐based Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.686,1.0,0.845055097681872,0.3715734049310567
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,0.628,1.0,0.7900887546600319,0.47083317893831844
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Rank‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.652,1.0,0.7794251109012997,0.44648292072292234
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.635,12.0,0.7901894705698118,14.3826264754004
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.594,9.0,0.775735628784553,10.836165941186414
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,0.673,3.0,0.8371211213269987,2.779765007375821
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",0.662,2.0,0.817572274740542,1.6365525609642484
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.655,2.0,0.8262309953382635,1.627874054094702
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.626,1.0,0.7737717510498318,0.48334667102096623
2021-2025,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,RqType,Measurement and Methodological Advances,0.684,1.0,0.8165848460575367,0.38697754621047004
2021-2025,DataType,University/Institution Data,Measure,Rank‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.65,1.0,0.775952383914182,0.45105860521295715
