year,type,datatype,rqtype,measures,num_articles,article_ids
2022,Not_specified,No dataset,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W4308908946]
2012,theoretical,No dataset,Theoretical and Structural Models,[Regression‐based Measures],1,[https://openalex.org/W70509848]
2016,Not_specified,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2411230938]
2006,empirical,Panel/Longitudinal Surveys,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[Regression‐based Measures],1,[https://openalex.org/W1994583502]
2016,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W4238028113]
2004,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,"[Regression‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W146920992]
2007,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W1525853258]
2003,empirical,Panel/Longitudinal Surveys,Measurement and Methodological Advances,[Regression‐based Measures],1,[https://openalex.org/W1575557529]
2011,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W1580804840]
1992,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W1963513809]
1990,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W1988669335]
2012,empirical,Panel/Longitudinal Surveys,Measurement and Methodological Advances,[Regression‐based Measures],1,[https://openalex.org/W2009388710]
2018,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,"[Rank‐based Measures, Regression‐based Measures]",1,[https://openalex.org/W2756659966]
2002,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2082418718]
2023,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,"[Rank‐based Measures, Regression‐based Measures]",1,[https://openalex.org/W4381736130]
2009,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2125337016]
2008,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2127281421]
2012,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,"[Regression‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W2133143546]
2013,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,"[Rank‐based Measures, Regression‐based Measures]",1,[https://openalex.org/W2133321662]
2023,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W4385260730]
2012,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2157585414]
2018,Not_specified,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2895165109]
2015,empirical,Panel/Longitudinal Surveys,Measurement and Methodological Advances,[Regression‐based Measures],1,[https://openalex.org/W2237492881]
2019,empirical,Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W2922039017]
2007,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2353931744]
2014,Not_specified,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2355555430]
2010,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2365705769]
2010,empirical,Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W2366816539]
2019,empirical,Panel/Longitudinal Surveys,Measurement and Methodological Advances,"[Decomposition / Structural Approaches, Regression‐based Measures]",1,[https://openalex.org/W2984996373]
2016,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2598091349]
2020,empirical,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)",[Regression‐based Measures],1,[https://openalex.org/W3001811947]
2020,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W3033501614]
2017,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,"[Rank‐based Measures, Regression‐based Measures]",1,[https://openalex.org/W2716435981]
2020,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,"[Decomposition / Structural Approaches, Regression‐based Measures]",1,[https://openalex.org/W3043938586]
2020,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W3113905449]
2021,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W3119775080]
2016,empirical,Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W4396596924]
2015,empirical,Panel/Longitudinal Surveys,Measurement and Methodological Advances,"[Rank‐based Measures, Regression‐based Measures]",1,[https://openalex.org/W3125359030]
2017,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,"[Rank‐based Measures, Regression‐based Measures]",1,[https://openalex.org/W3125643021]
2019,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,"[Rank‐based Measures, Regression‐based Measures]",1,[https://openalex.org/W3156722884]
2021,empirical,Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W3190097825]
2021,empirical,Panel/Longitudinal Surveys,Measurement and Methodological Advances,[Regression‐based Measures],1,[https://openalex.org/W3195123941]
2021,empirical,Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts","[Regression‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W3202616165]
2011,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,"[Regression‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W4206194690]
2023,empirical,Panel/Longitudinal Surveys,Measurement and Methodological Advances,[Regression‐based Measures],1,[https://openalex.org/W4324121632]
2022,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,"[Rank‐based Measures, Regression‐based Measures]",1,[https://openalex.org/W4295766715]
2023,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,"[Regression‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W4381512763]
2022,empirical,Panel/Longitudinal Surveys,Measurement and Methodological Advances,[Regression‐based Measures],1,[https://openalex.org/W4307711555]
2012,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,"[Decomposition / Structural Approaches, Regression‐based Measures]",1,[https://openalex.org/W623596649]
2007,empirical,Others,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2146082360]
2019,empirical,Others,Intergenerational Wealth Mobility and Inheritance,"[Regression‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W2936910510]
2021,empirical,Others,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W3178385122]
2016,empirical,Others,Empirical Estimates and Determinants,"[Others, Regression‐based Measures]",1,[https://openalex.org/W325124896]
2023,empirical,Others,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W4361214653]
2024,empirical,Others,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W4399323633]
2013,Not_specified,Others,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W1791196730]
2016,empirical,Others,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2473722593]
2013,empirical,National Survey Data,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W2741490491]
2019,empirical,National Survey Data,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[Regression‐based Measures],1,[https://openalex.org/W2933369931]
2019,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2942948331]
2021,empirical,National Survey Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W3165956734]
2019,empirical,National Survey Data,Empirical Estimates and Determinants,"[Others, Regression‐based Measures]",1,[https://openalex.org/W3049173530]
2019,empirical,National Survey Data,Empirical Estimates and Determinants,"[Regression‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W3105823174]
2012,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,"[Rank‐based Measures, Regression‐based Measures]",1,[https://openalex.org/W3122884517]
2021,empirical,National Survey Data,Empirical Estimates and Determinants,"[Decomposition / Structural Approaches, Regression‐based Measures]",1,[https://openalex.org/W3136260651]
2021,empirical,National Survey Data,"Demographic Differences in Mobility (Race, Gender, etc.)",[Regression‐based Measures],1,[https://openalex.org/W3202722289]
2024,empirical,National Survey Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W3204735205]
2022,empirical,National Survey Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W4205552064]
2018,empirical,National Survey Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W4230700148]
2013,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W4238048379]
2023,empirical,National Survey Data,Empirical Estimates and Determinants,"[Rank‐based Measures, Regression‐based Measures]",1,[https://openalex.org/W4385782198]
2024,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,"[Rank‐based Measures, Regression‐based Measures]",1,[https://openalex.org/W4396530482]
2024,empirical,National Survey Data,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W4401067024]
2014,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,"[Decomposition / Structural Approaches, Regression‐based Measures]",1,[https://openalex.org/W1967097718]
2010,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W1969197029]
2006,empirical,National Survey Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W1971213371]
2024,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W4402923847]
2024,empirical,National Survey Data,Perceptions of Mobility and Attitudes,[Regression‐based Measures],1,[https://openalex.org/W4403660177]
2008,empirical,National Survey Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2018079782]
2009,empirical,National Survey Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2097343718]
2014,empirical,National Survey Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2108734997]
2005,empirical,National Survey Data,Empirical Estimates and Determinants,"[Rank‐based Measures, Regression‐based Measures]",1,[https://openalex.org/W2116568238]
2007,empirical,National Survey Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2118931737]
2011,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2187204840]
2015,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2208317766]
2012,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2244928658]
2011,empirical,National Survey Data,Empirical Estimates and Determinants,"[Regression‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W2387291285]
2017,empirical,National Survey Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2602849344]
2025,empirical,Big Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W4407152405]
2009,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2042572864]
2018,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2794220255]
2018,empirical,Administrative/Registry Data,"Demographic Differences in Mobility (Race, Gender, etc.)",[Regression‐based Measures],1,[https://openalex.org/W2887573038]
2018,empirical,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W2891903686]
2019,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2922209108]
2019,empirical,Administrative/Registry Data,"Demographic Differences in Mobility (Race, Gender, etc.)",[Regression‐based Measures],1,[https://openalex.org/W2931489399]
2020,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W3084113281]
2015,empirical,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W3094369084]
2017,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2569989626]
2011,empirical,Administrative/Registry Data,Measurement and Methodological Advances,[Regression‐based Measures],1,[https://openalex.org/W3123202179]
2019,empirical,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W3124369867]
2016,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W3124621746]
2021,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W3192903419]
2022,Not_specified,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W4205360523]
2022,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W4281690951]
2020,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W4285483025]
2022,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,"[Regression‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W4293801681]
2006,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W1578919155]
2015,empirical,Administrative/Registry Data,Measurement and Methodological Advances,"[Rank‐based Measures, Regression‐based Measures]",1,[https://openalex.org/W4300951185]
2022,empirical,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W4307723330]
2023,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W4385494974]
1979,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W1974242925]
2000,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,"[Regression‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W2037428382]
2005,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2091916425]
2008,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,"[Regression‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W2132728629]
2011,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2310208630]
2007,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2403977165]
2014,empirical,Natural/Experimental Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2010545686]
2018,empirical,Natural/Experimental Data,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W2801737043]
2022,empirical,Natural/Experimental Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W4226345407]
2022,empirical,Natural/Experimental Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W4312802865]
2024,Not_specified,Natural/Experimental Data,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W4401242778]
2014,empirical,Opportunity Atlas,Empirical Estimates and Determinants,"[Decomposition / Structural Approaches, Regression‐based Measures]",1,[https://openalex.org/W2120158174]
2021,empirical,Opportunity Atlas,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W3129579937]
2021,empirical,Opportunity Atlas,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W3150419855]
2021,empirical,Opportunity Atlas,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W3197901707]
2014,empirical,International Panel Data,"Policy, Institutional, and Geographic Impacts",[Regression‐based Measures],1,[https://openalex.org/W1983053572]
2009,empirical,International Panel Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W1763036350]
2011,empirical,International Panel Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W1896704912]
2018,empirical,International Panel Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2902789768]
2019,empirical,International Panel Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2921237584]
2023,empirical,International Panel Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W4366085258]
2024,empirical,International Panel Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W4402066912]
2015,empirical,International Panel Data,Theoretical and Structural Models,[Regression‐based Measures],1,[https://openalex.org/W2025903092]
2009,empirical,International Panel Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2034417760]
2013,empirical,International Panel Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2123253365]
2016,empirical,International Panel Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2291516288]
2014,empirical,Pseudo-Panel/Household Budget Survey,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W1912659445]
2017,empirical,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2761614070]
2018,empirical,Archival/Historical Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2811219136]
2019,empirical,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2922684064]
2016,empirical,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W3122167690]
2020,empirical,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W3123195152]
2006,empirical,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,[Regression‐based Measures],1,[https://openalex.org/W2056823769]
2011,empirical,Archival/Historical Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2119455293]
2015,empirical,Archival/Historical Data,Empirical Estimates and Determinants,[Regression‐based Measures],1,[https://openalex.org/W2625992765]
2019,empirical,University/Institution Data,Empirical Estimates and Determinants,[Transition Matrix / Probability Measures],1,[https://openalex.org/W2953817338]
2015,empirical,Linked Administrative Data,Empirical Estimates and Determinants,[Transition Matrix / Probability Measures],1,[https://openalex.org/W1556385061]
2013,empirical,Linked Administrative Data,Empirical Estimates and Determinants,[Transition Matrix / Probability Measures],1,[https://openalex.org/W2012592263]
2014,empirical,Linked Administrative Data,Empirical Estimates and Determinants,"[Rank‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W2105584013]
2019,empirical,Linked Administrative Data,"Demographic Differences in Mobility (Race, Gender, etc.)",[Transition Matrix / Probability Measures],1,[https://openalex.org/W3123816425]
2014,empirical,Linked Administrative Data,"Demographic Differences in Mobility (Race, Gender, etc.)","[Rank‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W3124044027]
2019,empirical,Linked Administrative Data,Empirical Estimates and Determinants,"[Rank‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W3147268152]
2011,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Transition Matrix / Probability Measures],1,[https://openalex.org/W4230711751]
2023,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Transition Matrix / Probability Measures],1,[https://openalex.org/W4388938469]
2005,Not_specified,No dataset,Empirical Estimates and Determinants,[Transition Matrix / Probability Measures],1,[https://openalex.org/W1994031345]
2019,empirical,No dataset,Empirical Estimates and Determinants,[Transition Matrix / Probability Measures],1,[https://openalex.org/W4242326182]
2012,theoretical,No dataset,Theoretical and Structural Models,[Transition Matrix / Probability Measures],1,[https://openalex.org/W1724441452]
1995,theoretical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Transition Matrix / Probability Measures],1,[https://openalex.org/W2008560119]
2006,Not_specified,No dataset,"Demographic Differences in Mobility (Race, Gender, etc.)",[Transition Matrix / Probability Measures],1,[https://openalex.org/W2106387882]
2024,theoretical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Transition Matrix / Probability Measures],1,[https://openalex.org/W2332279578]
2016,empirical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Transition Matrix / Probability Measures],1,[https://openalex.org/W2589434942]
2018,theoretical,No dataset,Measurement and Methodological Advances,[Transition Matrix / Probability Measures],1,[https://openalex.org/W2896751489]
2020,theoretical,No dataset,Theoretical and Structural Models,[Transition Matrix / Probability Measures],1,[https://openalex.org/W3202153609]
2009,empirical,Panel/Longitudinal Surveys,Measurement and Methodological Advances,[Transition Matrix / Probability Measures],1,[https://openalex.org/W1966505070]
2016,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Transition Matrix / Probability Measures],1,[https://openalex.org/W2508091509]
2009,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Transition Matrix / Probability Measures],1,[https://openalex.org/W48048703]
1996,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Transition Matrix / Probability Measures],1,[https://openalex.org/W4205561583]
2003,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,"[Non‐parametric Approaches, Transition Matrix / Probability Measures]",1,[https://openalex.org/W1510224607]
2007,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Transition Matrix / Probability Measures],1,[https://openalex.org/W1521709394]
2010,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,"[Rank‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W1885260769]
2005,empirical,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)",[Transition Matrix / Probability Measures],1,[https://openalex.org/W2044900547]
2011,empirical,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)","[Rank‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W2320409419]
2014,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Transition Matrix / Probability Measures],1,[https://openalex.org/W2322954441]
2019,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Transition Matrix / Probability Measures],1,[https://openalex.org/W2924600205]
2021,Not_specified,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)",[Transition Matrix / Probability Measures],1,[https://openalex.org/W3132136530]
2022,empirical,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)","[Rank‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W4225276593]
2022,empirical,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)",[Transition Matrix / Probability Measures],1,[https://openalex.org/W4282557620]
2022,empirical,Panel/Longitudinal Surveys,Measurement and Methodological Advances,[Transition Matrix / Probability Measures],1,[https://openalex.org/W4285024880]
2023,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Transition Matrix / Probability Measures],1,[https://openalex.org/W4362611983]
2001,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Transition Matrix / Probability Measures],1,[https://openalex.org/W2017256370]
2006,empirical,National Survey Data,Empirical Estimates and Determinants,[Transition Matrix / Probability Measures],1,[https://openalex.org/W2099874214]
2013,empirical,National Survey Data,"Demographic Differences in Mobility (Race, Gender, etc.)",[Transition Matrix / Probability Measures],1,[https://openalex.org/W2159953986]
2010,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Transition Matrix / Probability Measures],1,[https://openalex.org/W2353503414]
2013,Not_specified,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Transition Matrix / Probability Measures],1,[https://openalex.org/W2619151633]
2020,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Transition Matrix / Probability Measures],1,[https://openalex.org/W3198616739]
2008,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Transition Matrix / Probability Measures],1,[https://openalex.org/W37448061]
2013,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Transition Matrix / Probability Measures],1,[https://openalex.org/W1984800654]
2014,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,"[Others, Transition Matrix / Probability Measures]",1,[https://openalex.org/W2292189473]
2021,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Transition Matrix / Probability Measures],1,[https://openalex.org/W3214804213]
2023,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Transition Matrix / Probability Measures],1,[https://openalex.org/W4390487374]
2024,empirical,Opportunity Atlas,Empirical Estimates and Determinants,[Transition Matrix / Probability Measures],1,[https://openalex.org/W4402314342]
2020,empirical,International Panel Data,Measurement and Methodological Advances,"[Rank‐based Measures, Transition Matrix / Probability Measures]",1,[https://openalex.org/W3039577330]
2015,empirical,Linked Administrative Data,Empirical Estimates and Determinants,[Others],1,[https://openalex.org/W1862838271]
2024,empirical,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts",[Others],1,[https://openalex.org/W4391772409]
2012,theoretical,No dataset,Theoretical and Structural Models,[Others],1,[https://openalex.org/W3125905928]
2002,empirical,No dataset,Measurement and Methodological Advances,[Others],1,[https://openalex.org/W2164455384]
2019,theoretical,No dataset,Theoretical and Structural Models,"[Decomposition / Structural Approaches, Others]",1,[https://openalex.org/W3183234565]
1997,theoretical,No dataset,Theoretical and Structural Models,[Others],1,[https://openalex.org/W2078842385]
1998,theoretical,No dataset,Measurement and Methodological Advances,[Others],1,[https://openalex.org/W2117544103]
2007,theoretical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Others],1,[https://openalex.org/W2188355739]
2016,Not_specified,No dataset,Measurement and Methodological Advances,[Others],1,[https://openalex.org/W2476394513]
2015,theoretical,No dataset,Theoretical and Structural Models,[Others],1,[https://openalex.org/W2767739989]
2019,theoretical,No dataset,Measurement and Methodological Advances,[Others],1,[https://openalex.org/W2981344849]
2018,theoretical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Others],1,[https://openalex.org/W3008379420]
2020,theoretical,No dataset,Empirical Estimates and Determinants,[Others],1,[https://openalex.org/W3033929493]
2015,theoretical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Others],1,[https://openalex.org/W3125318571]
2021,empirical,No dataset,Empirical Estimates and Determinants,[Others],1,[https://openalex.org/W3216038618]
2024,Not_specified,No dataset,Theoretical and Structural Models,[Others],1,[https://openalex.org/W4395463994]
