from_type,from_val,to_type,to_val,weight
Measure,Transition Matrix / Probability Measures,Type,theoretical,24
Year,2019,Year,2013,24
Year,2021,Year,2013,24
Measure,Rank‐based Measures,Year,2013,24
DataType,No dataset,Year,2013,24
Year,2021,Measure,Decomposition / Structural Approaches,24
Measure,Transition Matrix / Probability Measures,Measure,Decomposition / Structural Approaches,24
Year,2019,Measure,Decomposition / Structural Approaches,24
Measure,Others,Year,2014,24
DataType,No dataset,DataType,International Panel Data,24
Type,Not_specified,Measure,Rank‐based Measures,24
Type,empirical,Measure,Non‐parametric Approaches,24
RqType,Measurement and Methodological Advances,Year,2011,24
DataType,No dataset,Year,2011,24
RqType,Measurement and Methodological Advances,Measure,Absolute Mobility Measures,24
Measure,Non‐parametric Approaches,DataType,Linked Administrative Data,24
Year,2014,DataType,Linked Administrative Data,24
Year,2012,RqType,Empirical Estimates and Determinants,24
Type,Not_specified,Measure,Transition Matrix / Probability Measures,24
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",DataType,Linked Administrative Data,23
Year,2017,RqType,Intergenerational Wealth Mobility and Inheritance,23
Measure,Rank‐based Measures,Year,2009,23
Year,2018,Measure,Transition Matrix / Probability Measures,23
Year,2023,RqType,Measurement and Methodological Advances,23
Year,2023,Type,theoretical,23
Year,2022,Type,theoretical,23
Measure,Rank‐based Measures,DataType,National Survey Data,23
DataType,Administrative/Registry Data,DataType,National Survey Data,23
Year,2024,Year,2022,23
Type,Not_specified,Measure,Decomposition / Structural Approaches,23
Measure,Transition Matrix / Probability Measures,Year,2014,23
DataType,Administrative/Registry Data,DataType,International Panel Data,23
Year,2015,Measure,Rank‐based Measures,23
Measure,Decomposition / Structural Approaches,Year,1979,23
Measure,Regression‐based Measures,Year,2000,22
Measure,Rank‐based Measures,Year,1979,22
Year,2024,Year,2017,22
DataType,Panel/Longitudinal Surveys,Measure,Absolute Mobility Measures,22
RqType,Theoretical and Structural Models,DataType,Linked Administrative Data,22
DataType,Archival/Historical Data,DataType,Linked Administrative Data,22
Measure,Multigenerational Measures,Type,empirical,22
DataType,Natural/Experimental Data,Type,empirical,22
DataType,Administrative/Registry Data,Year,2009,22
RqType,Empirical Estimates and Determinants,Year,2012,22
Measure,Rank‐based Measures,Measure,Others,22
Year,2019,Type,theoretical,22
Measure,Regression‐based Measures,Year,2022,22
Measure,Rank‐based Measures,Year,2005,22
Year,2019,DataType,Administrative/Registry Data,22
DataType,Linked Administrative Data,RqType,"Policy, Institutional, and Geographic Impacts",22
DataType,National Survey Data,Year,2013,22
Year,2020,Measure,Decomposition / Structural Approaches,22
RqType,Theoretical and Structural Models,Type,theoretical,21
RqType,Empirical Estimates and Determinants,Year,2022,21
DataType,Administrative/Registry Data,Year,2005,21
Measure,Decomposition / Structural Approaches,DataType,Administrative/Registry Data,21
RqType,Measurement and Methodological Advances,Year,2002,21
Year,2024,Year,2018,21
RqType,Measurement and Methodological Advances,Measure,Decomposition / Structural Approaches,21
Type,Not_specified,Year,2014,21
DataType,Linked Administrative Data,Year,2011,21
Type,empirical,Year,1992,21
Type,theoretical,Year,1979,21
Year,2022,Measure,Absolute Mobility Measures,21
Year,2011,DataType,No dataset,21
Year,2007,RqType,Empirical Estimates and Determinants,21
DataType,Linked Administrative Data,Type,Not_specified,21
Year,2016,Measure,Transition Matrix / Probability Measures,21
Type,Not_specified,RqType,Theoretical and Structural Models,21
DataType,National Survey Data,RqType,Theoretical and Structural Models,21
Measure,Rank‐based Measures,Year,2017,20
DataType,Others,DataType,Linked Administrative Data,20
Year,2006,Type,empirical,20
Year,2005,Measure,Regression‐based Measures,20
Measure,Regression‐based Measures,Year,1980,20
Measure,Non‐parametric Approaches,DataType,Panel/Longitudinal Surveys,20
Type,theoretical,DataType,Panel/Longitudinal Surveys,20
Year,2014,Type,theoretical,20
Year,2020,Year,2019,20
RqType,Measurement and Methodological Advances,DataType,National Survey Data,20
DataType,National Survey Data,Year,2005,20
DataType,No dataset,Year,2002,20
RqType,Measurement and Methodological Advances,Year,2013,20
DataType,Linked Administrative Data,Year,2018,20
Year,2017,Year,2014,20
Year,2016,Year,2014,20
Type,theoretical,Year,2014,20
Year,2021,DataType,International Panel Data,20
DataType,Others,Measure,Rank‐based Measures,20
DataType,Archival/Historical Data,Measure,Rank‐based Measures,20
Type,empirical,Year,2023,20
RqType,Intergenerational Wealth Mobility and Inheritance,Year,1999,20
RqType,Empirical Estimates and Determinants,Year,2010,19
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",19
DataType,Opportunity Atlas,Type,empirical,19
DataType,International Panel Data,DataType,No dataset,19
Year,2017,DataType,No dataset,19
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Measure,Transition Matrix / Probability Measures,19
Measure,Absolute Mobility Measures,RqType,Measurement and Methodological Advances,19
DataType,No dataset,RqType,Measurement and Methodological Advances,19
DataType,Linked Administrative Data,Year,2020,19
RqType,Empirical Estimates and Determinants,DataType,Others,19
Measure,Regression‐based Measures,DataType,Others,19
Year,2022,Year,2016,19
RqType,"Policy, Institutional, and Geographic Impacts",RqType,Theoretical and Structural Models,19
Year,2021,Year,2019,19
DataType,Linked Administrative Data,DataType,National Survey Data,19
Year,2022,DataType,National Survey Data,19
Measure,Others,DataType,Administrative/Registry Data,19
Year,2022,RqType,"Policy, Institutional, and Geographic Impacts",19
Year,2023,RqType,"Policy, Institutional, and Geographic Impacts",19
Year,2020,Year,2013,19
Measure,Rank‐based Measures,Year,2018,19
Year,2019,DataType,International Panel Data,19
Measure,Rank‐based Measures,DataType,International Panel Data,19
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Measure,Rank‐based Measures,19
Year,2017,Measure,Rank‐based Measures,19
Year,2021,Type,theoretical,18
Year,2018,Type,theoretical,18
Measure,Absolute Mobility Measures,Year,2019,18
RqType,"Policy, Institutional, and Geographic Impacts",DataType,Administrative/Registry Data,18
Measure,Decomposition / Structural Approaches,Year,2002,18
Measure,Rank‐based Measures,Year,2002,18
RqType,"Policy, Institutional, and Geographic Impacts",Year,2013,18
Year,2022,Year,2013,18
Measure,Absolute Mobility Measures,Measure,Decomposition / Structural Approaches,18
DataType,Archival/Historical Data,Year,2014,18
Year,2022,DataType,International Panel Data,18
RqType,Measurement and Methodological Advances,DataType,International Panel Data,18
Type,theoretical,Measure,Rank‐based Measures,18
Type,empirical,Year,2003,18
Year,2019,Year,2011,18
Measure,Regression‐based Measures,Year,1992,18
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Absolute Mobility Measures,18
DataType,International Panel Data,DataType,Linked Administrative Data,18
RqType,Perceptions of Mobility and Attitudes,Type,empirical,18
Year,2010,Measure,Regression‐based Measures,18
Year,2008,RqType,Empirical Estimates and Determinants,18
DataType,Others,DataType,Panel/Longitudinal Surveys,18
Year,2022,RqType,Measurement and Methodological Advances,18
Year,2020,Year,2016,18
DataType,Administrative/Registry Data,Measure,Others,18
Year,2022,RqType,Theoretical and Structural Models,18
Measure,Absolute Mobility Measures,Year,2017,17
Year,2020,Year,2017,17
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",RqType,Intergenerational Wealth Mobility and Inheritance,17
Year,2025,Type,empirical,17
Type,empirical,Year,1998,17
DataType,National Survey Data,Type,Not_specified,17
DataType,Linked Administrative Data,Year,2009,17
DataType,National Survey Data,Year,2009,17
RqType,Measurement and Methodological Advances,Year,2009,17
Measure,Non‐parametric Approaches,Measure,Transition Matrix / Probability Measures,17
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",DataType,Panel/Longitudinal Surveys,17
Year,2020,RqType,Measurement and Methodological Advances,17
Measure,Rank‐based Measures,DataType,Others,17
DataType,No dataset,Year,2016,17
Year,2024,Year,2016,17
RqType,Measurement and Methodological Advances,Measure,Others,17
Year,2023,RqType,Theoretical and Structural Models,17
Year,2024,RqType,Theoretical and Structural Models,17
Measure,Transition Matrix / Probability Measures,RqType,Theoretical and Structural Models,17
Measure,Others,Type,theoretical,17
Year,2024,Type,theoretical,17
Measure,Rank‐based Measures,Year,2022,17
Measure,Transition Matrix / Probability Measures,Year,2005,17
Year,2011,DataType,Administrative/Registry Data,17
Measure,Transition Matrix / Probability Measures,Year,2002,17
Year,2018,Year,2013,17
Measure,Absolute Mobility Measures,Year,2013,17
DataType,Panel/Longitudinal Surveys,Year,2018,17
Year,2014,Measure,Decomposition / Structural Approaches,17
DataType,National Survey Data,Year,2007,17
DataType,Linked Administrative Data,Year,2007,17
DataType,National Survey Data,Year,2011,17
Year,2020,Year,2011,17
Year,2015,Year,2011,17
DataType,Panel/Longitudinal Surveys,Year,1999,17
DataType,National Survey Data,Year,1979,16
Type,empirical,Year,1990,16
DataType,Linked Administrative Data,Year,1999,16
RqType,Measurement and Methodological Advances,Year,2017,16
DataType,Administrative/Registry Data,Year,2017,16
Year,2023,Measure,Absolute Mobility Measures,16
Year,2010,Type,empirical,16
DataType,University/Institution Data,Type,empirical,16
Year,2005,Type,empirical,16
Measure,Regression‐based Measures,Year,1998,16
Year,2009,Measure,Regression‐based Measures,16
Year,2012,DataType,No dataset,16
RqType,Measurement and Methodological Advances,Type,Not_specified,16
Year,2017,Measure,Transition Matrix / Probability Measures,16
DataType,Others,Measure,Transition Matrix / Probability Measures,16
Year,2024,Year,2020,16
Measure,Absolute Mobility Measures,Type,theoretical,16
Year,2015,Type,theoretical,16
Year,2020,Type,theoretical,16
Year,2013,Type,theoretical,16
RqType,Measurement and Methodological Advances,Type,theoretical,16
Measure,Regression‐based Measures,Year,2021,16
Measure,Transition Matrix / Probability Measures,Year,2019,16
Year,2015,DataType,National Survey Data,16
Measure,Decomposition / Structural Approaches,Year,2005,16
Year,2019,Year,2005,16
Year,2015,DataType,Administrative/Registry Data,16
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,"Policy, Institutional, and Geographic Impacts",16
DataType,Panel/Longitudinal Surveys,RqType,"Policy, Institutional, and Geographic Impacts",16
Year,2023,Year,2013,16
Measure,Decomposition / Structural Approaches,Year,2013,16
DataType,Administrative/Registry Data,Year,2018,16
Year,2019,Year,2018,16
Year,2016,Measure,Decomposition / Structural Approaches,16
Year,2020,DataType,International Panel Data,16
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2008,16
Year,2024,Year,2023,16
Type,Not_specified,Year,2011,16
Measure,Rank‐based Measures,Year,2011,16
DataType,No dataset,DataType,National Survey Data,15
Year,2024,DataType,National Survey Data,15
Year,2011,Year,2005,15
Year,2014,DataType,Administrative/Registry Data,15
Year,2015,Year,2002,15
Measure,Transition Matrix / Probability Measures,Year,2013,15
Year,2022,Year,2018,15
DataType,No dataset,Year,2018,15
Year,2020,Year,2018,15
Measure,Non‐parametric Approaches,Measure,Rank‐based Measures,15
Measure,Regression‐based Measures,Measure,Non‐parametric Approaches,15
DataType,Administrative/Registry Data,Year,2011,15
Measure,Transition Matrix / Probability Measures,Year,2011,15
Measure,Transition Matrix / Probability Measures,Year,1979,15
DataType,Linked Administrative Data,Year,2017,15
DataType,No dataset,Year,2017,15
Year,2023,Year,2017,15
DataType,National Survey Data,Measure,Absolute Mobility Measures,15
Year,2011,DataType,Linked Administrative Data,15
RqType,Theoretical and Structural Models,RqType,Intergenerational Wealth Mobility and Inheritance,15
Measure,Non‐parametric Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,15
DataType,Big Data,Type,empirical,15
Year,2009,Type,empirical,15
Year,2006,DataType,No dataset,15
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",DataType,No dataset,15
DataType,Administrative/Registry Data,Type,Not_specified,15
Measure,Rank‐based Measures,Type,Not_specified,15
Type,theoretical,Measure,Transition Matrix / Probability Measures,15
Year,2022,Year,2020,15
Year,2023,Year,2020,15
Type,empirical,Year,2024,15
DataType,Linked Administrative Data,Measure,Others,15
DataType,Administrative/Registry Data,Measure,Absolute Mobility Measures,14
Year,2013,DataType,Linked Administrative Data,14
Year,2008,RqType,Intergenerational Wealth Mobility and Inheritance,14
Measure,Multigenerational Measures,Measure,Regression‐based Measures,14
Measure,Non‐parametric Approaches,DataType,No dataset,14
Year,2010,RqType,Empirical Estimates and Determinants,14
DataType,Natural/Experimental Data,RqType,Empirical Estimates and Determinants,14
DataType,No dataset,Type,Not_specified,14
Year,2024,Type,Not_specified,14
Measure,Transition Matrix / Probability Measures,Year,2009,14
Year,2014,Measure,Transition Matrix / Probability Measures,14
Year,2011,Measure,Transition Matrix / Probability Measures,14
DataType,Administrative/Registry Data,Year,2020,14
Measure,Rank‐based Measures,Year,2020,14
Year,2018,Year,2016,14
Year,2021,Year,2016,14
Year,2021,RqType,Theoretical and Structural Models,14
Year,2018,RqType,Theoretical and Structural Models,14
Year,2014,RqType,Theoretical and Structural Models,14
Year,2020,RqType,Theoretical and Structural Models,14
Year,2016,Type,theoretical,14
Year,2024,Year,2021,14
DataType,No dataset,Year,2019,14
Measure,Rank‐based Measures,Year,2006,14
RqType,Measurement and Methodological Advances,Year,2006,14
DataType,National Survey Data,Year,2006,14
DataType,Administrative/Registry Data,Year,2022,14
Year,2013,Year,2005,14
Year,2015,Year,2005,14
Year,2021,Year,2005,14
Year,2019,Year,2002,14
Year,2014,Year,2013,14
Type,Not_specified,Year,2013,14
Measure,Decomposition / Structural Approaches,Year,2018,14
Year,2015,Measure,Decomposition / Structural Approaches,14
Measure,Others,Measure,Decomposition / Structural Approaches,14
Year,2018,Measure,Decomposition / Structural Approaches,14
DataType,Others,Year,2014,14
Measure,Decomposition / Structural Approaches,DataType,International Panel Data,14
DataType,National Survey Data,DataType,International Panel Data,14
Year,2018,DataType,International Panel Data,14
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2015,14
RqType,Measurement and Methodological Advances,Year,2007,14
Measure,Others,Year,2011,14
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2000,14
DataType,National Survey Data,Year,2010,14
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2010,14
RqType,"Policy, Institutional, and Geographic Impacts",Year,1979,14
DataType,Linked Administrative Data,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",14
Measure,Transition Matrix / Probability Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",14
Measure,Rank‐based Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",14
RqType,Measurement and Methodological Advances,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",14
RqType,Empirical Estimates and Determinants,Year,2000,13
DataType,Panel/Longitudinal Surveys,Year,2010,13
Type,Not_specified,Year,1979,13
RqType,Theoretical and Structural Models,Year,1979,13
Year,2023,Year,1979,13
Year,2015,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",13
DataType,Administrative/Registry Data,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",13
Year,2021,Year,2017,13
Year,2022,Year,2017,13
Year,2019,Year,2017,13
DataType,Natural/Experimental Data,DataType,Linked Administrative Data,13
DataType,International Panel Data,RqType,Intergenerational Wealth Mobility and Inheritance,13
Year,2006,RqType,Intergenerational Wealth Mobility and Inheritance,13
DataType,Natural/Experimental Data,Measure,Regression‐based Measures,13
Year,2007,DataType,No dataset,13
DataType,Others,DataType,No dataset,13
Year,2006,RqType,Empirical Estimates and Determinants,13
DataType,University/Institution Data,RqType,Empirical Estimates and Determinants,13
Year,2011,Year,2009,13
RqType,Theoretical and Structural Models,DataType,Panel/Longitudinal Surveys,13
DataType,National Survey Data,RqType,Measurement and Methodological Advances,13
Year,2021,RqType,Measurement and Methodological Advances,13
Measure,Absolute Mobility Measures,Year,2020,13
Measure,Absolute Mobility Measures,Year,2016,13
Year,2019,Year,2012,13
DataType,National Survey Data,Year,2012,13
DataType,Panel/Longitudinal Surveys,Measure,Others,13
Year,2016,RqType,Theoretical and Structural Models,13
Year,2011,Type,theoretical,13
DataType,National Survey Data,Year,2019,13
Year,2023,DataType,National Survey Data,13
Measure,Decomposition / Structural Approaches,DataType,National Survey Data,13
RqType,"Policy, Institutional, and Geographic Impacts",Year,2005,13
DataType,International Panel Data,DataType,Administrative/Registry Data,13
DataType,Archival/Historical Data,DataType,Administrative/Registry Data,13
DataType,No dataset,RqType,"Policy, Institutional, and Geographic Impacts",13
Year,2015,Year,2013,13
Year,2016,Year,2013,13
RqType,Measurement and Methodological Advances,Year,2018,13
Year,2015,Year,2014,13
RqType,Theoretical and Structural Models,Year,2014,13
Type,Not_specified,DataType,International Panel Data,13
Measure,Absolute Mobility Measures,DataType,International Panel Data,13
DataType,Administrative/Registry Data,Year,2007,13
Measure,Regression‐based Measures,Year,2003,13
Year,2016,Year,2011,13
Measure,Decomposition / Structural Approaches,Year,2011,13
Year,2022,Year,2011,13
Year,2021,Year,2011,13
Year,2012,Type,theoretical,12
Measure,Others,Year,2019,12
Year,2021,DataType,National Survey Data,12
Year,2011,DataType,National Survey Data,12
DataType,No dataset,Year,2006,12
Year,2019,Year,2006,12
DataType,Panel/Longitudinal Surveys,Year,2022,12
Year,2020,Year,2005,12
Year,2016,Year,2005,12
Year,2018,DataType,Administrative/Registry Data,12
Measure,Absolute Mobility Measures,RqType,"Policy, Institutional, and Geographic Impacts",12
Year,2014,Year,2002,12
Year,2023,Year,2018,12
RqType,"Policy, Institutional, and Geographic Impacts",Year,2018,12
Measure,Non‐parametric Approaches,Year,2014,12
Measure,Transition Matrix / Probability Measures,DataType,International Panel Data,12
RqType,"Policy, Institutional, and Geographic Impacts",DataType,International Panel Data,12
DataType,Panel/Longitudinal Surveys,Year,2008,12
RqType,Theoretical and Structural Models,Measure,Rank‐based Measures,12
Year,2016,Year,2007,12
Year,2011,Year,2007,12
Year,2019,Year,2007,12
Year,2014,Year,1979,12
Year,2018,Year,1979,12
Year,2022,Year,1979,12
Measure,Regression‐based Measures,Year,1990,12
Year,2022,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",12
Measure,Others,Year,2017,12
Year,2021,Measure,Absolute Mobility Measures,12
Year,2012,RqType,Intergenerational Wealth Mobility and Inheritance,12
RqType,Others,Measure,Regression‐based Measures,12
Year,2020,Type,Not_specified,12
Year,2023,Type,Not_specified,12
DataType,No dataset,Year,2009,12
Year,2014,Year,2009,12
Year,2007,DataType,Panel/Longitudinal Surveys,12
Year,2012,DataType,Panel/Longitudinal Surveys,12
Measure,Others,RqType,Measurement and Methodological Advances,12
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Others,12
Year,2022,Measure,Others,12
Measure,Absolute Mobility Measures,RqType,Theoretical and Structural Models,12
RqType,Measurement and Methodological Advances,RqType,Theoretical and Structural Models,12
Measure,Others,RqType,Theoretical and Structural Models,12
DataType,No dataset,Measure,Absolute Mobility Measures,11
Year,2025,DataType,Linked Administrative Data,11
Year,2007,RqType,Intergenerational Wealth Mobility and Inheritance,11
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Type,empirical,11
DataType,University/Institution Data,Measure,Regression‐based Measures,11
RqType,Perceptions of Mobility and Attitudes,Measure,Regression‐based Measures,11
Year,2010,DataType,No dataset,11
Year,2005,RqType,Empirical Estimates and Determinants,11
Measure,Multigenerational Measures,RqType,Empirical Estimates and Determinants,11
Year,2025,RqType,Empirical Estimates and Determinants,11
Measure,Transition Matrix / Probability Measures,Type,Not_specified,11
Year,2019,Type,Not_specified,11
RqType,Intergenerational Wealth Mobility and Inheritance,Year,1980,11
Year,2019,Year,2009,11
RqType,Measurement and Methodological Advances,DataType,Others,11
DataType,Administrative/Registry Data,DataType,Others,11
Year,2019,Year,2016,11
DataType,National Survey Data,Year,2016,11
Measure,Transition Matrix / Probability Measures,Year,2016,11
Year,2024,Measure,Others,11
Year,2019,RqType,Theoretical and Structural Models,11
DataType,International Panel Data,Type,theoretical,11
Year,2007,Type,theoretical,11
Year,2006,Type,theoretical,11
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2021,11
Year,2016,DataType,National Survey Data,11
Measure,Others,DataType,National Survey Data,11
DataType,Administrative/Registry Data,Year,2006,11
DataType,Linked Administrative Data,Year,2006,11
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2022,11
Year,2023,Year,2022,11
Type,Not_specified,Year,2005,11
Year,2014,Year,2005,11
Type,Not_specified,DataType,Administrative/Registry Data,11
Year,2020,RqType,"Policy, Institutional, and Geographic Impacts",11
Type,Not_specified,RqType,"Policy, Institutional, and Geographic Impacts",11
Year,2007,Year,2002,11
Year,2023,Year,2002,11
Type,Not_specified,Year,2018,11
Year,2013,Measure,Decomposition / Structural Approaches,11
DataType,International Panel Data,Measure,Decomposition / Structural Approaches,11
Year,2011,Measure,Decomposition / Structural Approaches,11
Year,2023,DataType,International Panel Data,11
RqType,Empirical Estimates and Determinants,Year,2008,11
DataType,International Panel Data,Measure,Rank‐based Measures,11
DataType,No dataset,Year,2007,11
Year,2017,Year,2011,11
RqType,"Policy, Institutional, and Geographic Impacts",Year,2011,11
Year,2014,Year,2011,11
Measure,Rank‐based Measures,Year,2010,11
Year,2021,Year,1979,11
Year,2024,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",11
Measure,Non‐parametric Approaches,Year,2011,10
DataType,No dataset,Year,2010,10
RqType,Empirical Estimates and Determinants,Year,1992,10
RqType,Intergenerational Wealth Mobility and Inheritance,Year,1992,10
Measure,Absolute Mobility Measures,Year,1979,10
Year,2024,Year,1979,10
Year,2019,Year,1979,10
Measure,Absolute Mobility Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",10
DataType,No dataset,Year,1999,10
DataType,National Survey Data,Year,1999,10
DataType,National Survey Data,Year,2017,10
Year,2020,Measure,Absolute Mobility Measures,10
Measure,Others,Measure,Absolute Mobility Measures,10
DataType,Big Data,DataType,Linked Administrative Data,10
Measure,Multigenerational Measures,RqType,Intergenerational Wealth Mobility and Inheritance,10
RqType,Others,Type,empirical,10
Year,2025,Measure,Regression‐based Measures,10
DataType,Opportunity Atlas,Measure,Regression‐based Measures,10
RqType,Perceptions of Mobility and Attitudes,RqType,Empirical Estimates and Determinants,10
RqType,Empirical Estimates and Determinants,Year,1980,10
Measure,Decomposition / Structural Approaches,Year,2009,10
Year,2016,Year,2009,10
RqType,"Policy, Institutional, and Geographic Impacts",Year,2009,10
Year,2015,Year,2009,10
DataType,Archival/Historical Data,Measure,Transition Matrix / Probability Measures,10
RqType,Theoretical and Structural Models,Measure,Transition Matrix / Probability Measures,10
Year,2005,DataType,Panel/Longitudinal Surveys,10
DataType,International Panel Data,DataType,Panel/Longitudinal Surveys,10
Year,2023,Measure,Others,10
DataType,International Panel Data,RqType,Theoretical and Structural Models,10
RqType,Empirical Estimates and Determinants,Year,2021,10
Year,2022,Year,2021,10
Year,2014,DataType,National Survey Data,10
Year,2020,Year,2006,10
Measure,Absolute Mobility Measures,Year,2022,10
RqType,Theoretical and Structural Models,Year,2005,10
Year,2017,Year,2005,10
Year,2018,Year,2005,10
Year,2016,DataType,Administrative/Registry Data,10
Year,2017,DataType,Administrative/Registry Data,10
Year,2013,DataType,Administrative/Registry Data,10
Year,2021,Year,2002,10
Year,2006,Year,2002,10
Year,2020,Year,2002,10
RqType,"Policy, Institutional, and Geographic Impacts",Year,2002,10
Year,2013,Year,2002,10
Year,2024,Year,2013,10
Year,2017,Year,2013,10
Type,theoretical,Year,2013,10
Measure,Absolute Mobility Measures,Year,2018,10
Year,2021,Year,2018,10
DataType,Archival/Historical Data,Year,2018,10
Year,2024,DataType,International Panel Data,10
Type,theoretical,DataType,International Panel Data,10
DataType,No dataset,Year,2015,10
Year,2022,Year,2015,10
DataType,Linked Administrative Data,DataType,Archival/Historical Data,10
Year,2015,Year,2007,10
Measure,Rank‐based Measures,Year,2023,10
RqType,Empirical Estimates and Determinants,Measure,Non‐parametric Approaches,10
DataType,Panel/Longitudinal Surveys,Measure,Non‐parametric Approaches,10
Measure,Absolute Mobility Measures,Year,2011,10
Measure,Rank‐based Measures,Year,2021,9
Type,Not_specified,Year,2019,9
RqType,"Policy, Institutional, and Geographic Impacts",Year,2019,9
Measure,Decomposition / Structural Approaches,Year,2019,9
RqType,"Policy, Institutional, and Geographic Impacts",DataType,National Survey Data,9
Measure,Transition Matrix / Probability Measures,DataType,National Survey Data,9
Year,2014,Year,2006,9
Measure,Transition Matrix / Probability Measures,Year,2006,9
RqType,Measurement and Methodological Advances,Year,2022,9
Year,2010,Year,2005,9
Year,2012,Year,2005,9
Year,2023,Year,2005,9
Year,2022,Year,2005,9
Year,2024,Year,2005,9
Measure,Non‐parametric Approaches,DataType,Administrative/Registry Data,9
RqType,Measurement and Methodological Advances,RqType,"Policy, Institutional, and Geographic Impacts",9
Year,2019,RqType,"Policy, Institutional, and Geographic Impacts",9
Measure,Transition Matrix / Probability Measures,RqType,"Policy, Institutional, and Geographic Impacts",9
Measure,Others,Year,2002,9
Measure,Others,Year,2013,9
DataType,International Panel Data,Year,2014,9
Year,2015,DataType,International Panel Data,9
Year,2016,DataType,International Panel Data,9
Year,2014,DataType,International Panel Data,9
Measure,Rank‐based Measures,Year,2015,9
Measure,Rank‐based Measures,DataType,Archival/Historical Data,9
Year,2019,DataType,Archival/Historical Data,9
Year,2014,Year,2007,9
Measure,Rank‐based Measures,Year,2007,9
RqType,Measurement and Methodological Advances,Measure,Non‐parametric Approaches,9
Year,2018,Year,2011,9
Year,2013,Year,2011,9
Type,Not_specified,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",9
DataType,Administrative/Registry Data,Year,1999,9
Measure,Rank‐based Measures,Year,1999,9
Measure,Transition Matrix / Probability Measures,Year,2017,9
Type,Not_specified,Measure,Absolute Mobility Measures,9
DataType,Others,Measure,Absolute Mobility Measures,9
DataType,Opportunity Atlas,DataType,Linked Administrative Data,9
Year,2008,DataType,Linked Administrative Data,9
RqType,Perceptions of Mobility and Attitudes,RqType,Intergenerational Wealth Mobility and Inheritance,9
DataType,Others,RqType,Intergenerational Wealth Mobility and Inheritance,9
Year,2009,RqType,Intergenerational Wealth Mobility and Inheritance,9
Year,2005,RqType,Intergenerational Wealth Mobility and Inheritance,9
RqType,Intergenerational Wealth Mobility and Inheritance,Year,1998,9
Measure,Absolute Mobility Measures,Type,Not_specified,9
Year,2022,Type,Not_specified,9
Year,2021,Year,2009,9
Year,2022,Year,2009,9
Year,2013,Year,2009,9
Year,2023,Year,2009,9
Year,2024,Year,2009,9
Year,2018,RqType,Measurement and Methodological Advances,9
Year,2017,RqType,Measurement and Methodological Advances,9
DataType,No dataset,Year,2020,9
Measure,Absolute Mobility Measures,DataType,Others,9
DataType,Linked Administrative Data,DataType,Others,9
DataType,No dataset,Year,2012,9
DataType,No dataset,Measure,Others,9
Year,2020,Measure,Others,9
Year,2013,RqType,Theoretical and Structural Models,9
Year,2015,RqType,Theoretical and Structural Models,9
RqType,"Policy, Institutional, and Geographic Impacts",Year,2017,8
Measure,Multigenerational Measures,DataType,Linked Administrative Data,8
Year,2002,Type,empirical,8
DataType,Big Data,Measure,Regression‐based Measures,8
Year,2002,Measure,Regression‐based Measures,8
Year,2005,DataType,No dataset,8
Year,2009,RqType,Empirical Estimates and Determinants,8
DataType,Opportunity Atlas,RqType,Empirical Estimates and Determinants,8
Measure,Others,Type,Not_specified,8
Measure,Others,Year,2009,8
Year,2013,Measure,Transition Matrix / Probability Measures,8
Year,2008,DataType,Panel/Longitudinal Surveys,8
Year,2006,DataType,Panel/Longitudinal Surveys,8
Year,2021,DataType,Others,8
RqType,Empirical Estimates and Determinants,Year,2024,8
Measure,Decomposition / Structural Approaches,Year,2012,8
Measure,Absolute Mobility Measures,Measure,Others,8
Year,2011,RqType,Theoretical and Structural Models,8
Year,2017,Type,theoretical,8
Year,2010,Type,theoretical,8
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Type,theoretical,8
