id,method_cat,method_type
287,1,Intergenerational Elasticity (IGE)
288,1,"The paper primarily uses regression‐based measures – estimating associations akin to the intergenerational elasticity (IGE) between parental income and outcomes (birthweight, height, school performance) – and then implements a form of decomposition (a structural/decomposition approach) to parse the contributions of early‐life versus labour market channels."
289,8,Relative Concern Parameter from the structural model based on prospect theory (capturing the sensitivity of effort decisions to reference group income)
290,5,"The paper reports multigenerational mobility measures – specifically, it uses regression‐based rank measures that link parents' (and grandparents') wealth position (deciles) to offspring’s wealth percentile outcomes, capturing multigenerational correlations in wealth."
291,1,Intergenerational Earnings Elasticity (IGE)
292,8,"Counterfactual distribution‐based measures—specifically, parameters derived from the estimated counterfactual income distribution (the proportion of children below the poverty line, the variance of child income, and the interquantile range of child income)"
293,5,"Multigenerational mobility measures – using three‐generation data to assess intergenerational (and multi‐generational) transmission of income, education, and location, likely through estimates analogous to extended intergenerational elasticities."
294,1,Intergenerational Elasticity (IGE) estimated via least squares regression of log earnings on parents’ and grandparents’ earnings
295,1,Regression‐based Measures (using a Solon‐style regression framework to estimate mobility via income levels and teen birth rates)
296,1,Instrumental-variable regression estimates of intergenerational mobility outcomes
297,6,"The paper uses a structural approach – a model‐generated measure of intergenerational wealth (and education) mobility, characterized by oscillations in dynasty wealth and persistence in education attainment."
298,6,Decomposition/Structural Approaches – the paper uses simulations to decompose the variation in intergenerational income mobility by examining the role of family characteristics across geographic areas
299,1,Intergenerational Elasticity (IGE)
300,1,"Intergenerational Elasticity (IGE) estimates based on regression‐based approaches using fathers’ and sons’ earnings, education, occupation, and name proxies"
301,1,"Regression‐based Measures; the paper uses regression models (including IV methods) to estimate intergenerational mobility, likely capturing metrics such as the intergenerational elasticity (IGE)"
302,1,"Regression Estimates (e.g., coefficients assessing the link between social background and income/occupational mobility)"
303,1,Multivariate Regression Analysis estimating intergenerational inertia (effect of parental/neighbourhood income on neighbourhood attainment)
304,1,Intergenerational Income Elasticity (IGE)
305,8,"Subjective intergenerational mobility measure (individuals’ self-reported perceptions of their mobility, particularly downward mobility)"
306,1,Intergenerational Elasticity (IGE) measured as the intergenerational regression coefficient
307,1,Intergenerational Elasticity (IGE)
308,1,"The paper appears to use regression‐based measures, likely estimating intergenerational income elasticity (IGE) and the returns to education through regression models."
309,1,Intergenerational Elasticity (IGE) (i.e. regression‐based estimates of intergenerational mobility)
310,3,A new mobility table that adjusts (or scales) each income quintile by its income spread
311,1,"Intergenerational Income Elasticity (IGE) estimated via regression‐based methods (OLS, IV, Poisson pseudo-maximum likelihood, and GMM IV)"
312,1,"Unconditional quantile regression (used to estimate intergenerational income persistence, similar in spirit to the Intergenerational Elasticity measure)"
313,1,Intergenerational Elasticity (IGE) or regression‐based measures estimating the persistence of income and social status across generations
314,1,Intergenerational Elasticity (IGE) of expected income or earnings
315,1,"OLS estimation was used, suggesting a regression‐based measure (potentially capturing intergenerational elasticity or similar regression-based mobility indicators)."
316,1,"Fixed‐effects regression estimates – notably, the coefficient that shows how each year of exposure to a one standard deviation better county raises income (an elasticity‐like measure), along with a county-level decomposition into causal and sorting components of intergenerational mobility."
317,6,Counterfactual simulation decomposition measure of intergenerational mobility (estimating the contribution of Nature vs. Nurture)
318,8,"The study combined multiple approaches: Regression‐based Measures (using logistic regression), Rank‐based Measures (rank‐rank slopes), and Transition Matrix/Probability Measures (transition matrices)"
319,1,Intergenerational Elasticity (IGE)
320,1,"The paper appears to use regression‐based measures of intergenerational mobility. Although the abstract does not specify the exact functional form, the analysis of income equality and mobility differences—especially in areas with distinct immigrant ancestries—suggests the use of a regression‐based estimate (for example, measures such as the Intergenerational Elasticity, IGE) to quantify how parental advantages or disadvantages are transmitted across generations."
321,6,"Decomposition / Structural Approaches – A new decomposition of intergenerational income mobility, attributing differential outcomes to exceptional educational mobility"
322,1,Intergenerational Income Elasticity (IGE)
323,1,"Likely regression‐based estimates, such as the intergenerational elasticity (IGE) or rank‐rank slope measures, used to capture intergenerational mobility."
324,4,"The paper distinguishes between absolute and relative concepts of income mobility. It clearly discusses intergenerational absolute income mobility (and intragenerational absolute mobility) as measures, which fall under the Absolute Mobility Measures category. Although it also refers to relative mobility (often estimated via regression‐based approaches such as IGE), the abstract only clearly specifies the absolute mobility measure."
325,1,"The paper likely employs regression‐based measures, such as estimating intergenerational income elasticity (IGE), to quantify income mobility."
326,1,Intergenerational Elasticity (IGE) and Rank‐Rank Slope
327,3,"It appears the paper estimates intergenerational wealth mobility by comparing outcomes across the wealth distribution—reporting differing mobility “rates” (for example, higher rates for those at the bottom)—which suggests that the authors use transition‐matrix or probability‐based measures."
328,1,Intergenerational Persistence (commonly estimated via regression yielding an Intergenerational Elasticity measure)
329,3,Transition Matrix / Probability Measures (visualizing movements between parental and offspring wealth quintiles)
330,1,"The paper uses regression‐based estimates of intergenerational mobility. Although it does not specify an exact measure name such as the Intergenerational Elasticity (IGE), the study’s approach of modeling the effects of neighborhood hazards on outcomes like income mobility and incarceration suggests that it derives mobility estimates from regression analyses."
331,1,Instrumental variable regression estimate of upward income mobility's causal effect
332,1,The study employs a regression‐based approach (regression model) along with a transition matrix/probability measure (transformation matrix method) to quantify intergenerational mobility.
333,6,Intergenerational income correlation obtained from a life cycle dynastic model with counterfactual simulations
334,1,"The study uses regression‐based measures, specifically estimating intergenerational elasticities (regression coefficients of child wealth on parental wealth) to distinguish between genetic and environmental transmission."
335,1,Intergenerational Elasticity (IGE)
336,1,Intergenerational Elasticity (IGE)
337,1,"The paper estimates intergenerational mobility via a regression‐based measure, akin to an adjusted Intergenerational Income Elasticity (IGE) estimated with a reweighting (selection‐purging) technique"
338,1,Intergenerational Income Elasticity (IGE) estimated via OLS and quantile regression; along with a decomposition analysis of education and occupation contributions.
339,1,Intergenerational Income Elasticity (IGE)
340,8,"Nine complementary indicators computed for each Census Division using administrative data. The abstract does not provide enough detail to classify these measures under regression‐based, rank‐based, transition matrix/probability, absolute, multigenerational, decomposition/structural, or non‐parametric approaches. They are treated as 'Others.'"
341,3,Upward mobility rate defined as the percentage of students from the lowest income families who attain the highest quintile of earnings (a transition probability measure).
342,2,Intergenerational persistence in income ranks
343,8,"The abstract does not indicate the use of a specific, established mobility measure (such as IGE, rank‐based, transition matrices, etc.) but rather provides descriptive evidence on wealth transfers and accumulation differences across social classes."
344,4,"Absolute Mobility Measures – specifically, treatment effects on median earnings, earnings relative to a high school graduate, and income relative to the household at initial enrollment, reflecting shifts in income quantiles."
345,1,"Sibling similarity in income—essentially a regression‐based measure (akin to a sibling correlation in income, including accumulated income across the life course)"
346,1,Intergenerational Elasticity (IGE)
347,4,"The paper’s approach is to construct indicators of income mobility using both relative and absolute income changes. In effect, they use an absolute income mobility measure (capturing the actual change in income levels, particularly when moving downward) alongside a relative mobility measure (tracking shifts in an individual’s income position relative to a benchmark). The absolute aspect clearly falls under category 4."
348,6,"A structural or model‐based measure of mobility derived from the theoretical dynamics linking fertility differences, education cost, wage changes, and the resulting cyclical behavior in intergenerational mobility."
349,6,Intergenerational Income Elasticity (IIE) with a structural decomposition into human capital and financial components
350,1,Intergenerational Elasticity (IGE)
351,1,Intergenerational Elasticity (IGE)
352,8,Snapshot Measure
353,1,Intergenerational Elasticity (IGE) derived from a linked trajectory mobility approach
354,1,The study estimates a regression‐based measure akin to the Intergenerational Elasticity (IGE) of wealth.
355,1,Intergenerational Elasticity (IGE)
356,6,Calibrated structural model estimating the decomposition of intergenerational mobility into nurture (bequests and schooling investments) and nature (persistent ability) components
357,1,"The study appears to use regression‐based measures, estimating intergenerational associations (e.g., intergenerational regression estimates of parental education and income on post‐college incomes, with mediation analysis via college type)."
358,1,Regression‐based Measures – using multiple linear regression and logistic regression coefficients to quantify the association between maternal economic resources (net worth and poverty status) and children’s income
359,6,"The paper uses a simulation‐based counterfactual (or decomposition) approach to estimate how reallocating students across colleges would change intergenerational income persistence (e.g., a 25% reduction in persistence), which fits as a decomposition/structural measure."
360,8,"Intergenerational Wealth Mobility Framework (a bespoke, unspecified measure developed for Pakistan)"
361,6,"The paper relies on a structural approach by calibrating a regime‐switch model based on the classical Becker-Tomes-Solon framework to estimate income transmission across groups, which serves as a structural measure of intergenerational mobility."
362,4,"Absolute Earnings Mobility measures are discussed in the paper. The abstract specifically refers to trends in absolute earnings (income) mobility as well as mentions relative mobility, but the clear emphasis is on absolute mobility measures."
363,6,"Sibling correlations used to capture the total family background effect and subsequent decomposition of SES dimensions (education, occupation, income, and wealth) to assess their overlapping contributions to intergenerational mobility."
364,6,Novel decomposition method
365,6,"A structural measure derived from a dynamic life‐cycle, overlapping generations model that simulates intergenerational mobility effects (e.g., through counterfactual policy experiments) rather than estimating a direct elasticity or rank‐based metric."
366,8,"The paper uses two distinct mobility measures: an absolute income mobility measure (i.e. the percentage of children who out-earn their parents, corresponding to category 4: Absolute Mobility Measures) and a relative income mobility measure (typically estimated via a regression‐based approach such as intergenerational elasticity, corresponding to category 1: Regression‐based Measures)"
367,1,"Regression‐based Measure (e.g., estimates of intergenerational elasticity of family income)"
368,2,Intergenerational rank association (a rank‐based measure comparing the positions of parents and children in their income distributions)
369,8,"The abstract does not specify a single, well‐defined measure (such as an IGE, rank correlation, or transition probability). Instead, it refers generally to the use of a variety of statistics capturing different dimensions of intergenerational mobility—including mobility of incomes, position, and upward mobility. This falls under 'Others': various statistics that quantify mobility in multiple dimensions."
370,6,Decomposition measure quantifying the share of the intergenerational income correlation attributed to children’s education (and further decomposing into skill components)
371,7,Intergenerational Elasticity (IGE) estimated using a non‐parametric nonclassical measurement error framework
372,2,The paper uses an intergenerational rank correlation (a rank‐based measure) as well as intergenerational transition matrices (a transition matrix/probability measure)
373,1,OLS regression estimates and instrumental variable quantile regression estimates of intergenerational economic association (interpretable as an intergenerational elasticity type measure)
374,4,"The paper employs two types of income mobility measures – one that captures changes in absolute income (an Absolute Income Mobility measure) and one that captures changes in relative income (a Relative Income Mobility measure, though the exact specification, e.g. rank‐based or elasticity, is not detailed)."
375,1,Mediation model (regression‐based mediation analysis)
376,6,Structural Approach – an overlapping‐generations model that estimates intergenerational mobility and social welfare outcomes under different education systems
377,1,Intergenerational Elasticity (IGE) estimated via regression models (using both the geometric mean and an alternative arithmetic mean approach) along with a non‐parametric strategy that visualizes multiple smooth quantiles of the offspring income distribution
378,8,"The paper uses three complementary measures: (a) an absolute mobility measure (the share of individuals earning more than their parents), which fits category 4 (Absolute Mobility Measures); (b) a relative mobility measure—as gauged by the probability or chance of moving up the income distribution—which aligns with category 3 (Transition Matrix / Probability Measures); and (c) intergenerational income elasticity (IGE), a regression‐based estimate that quantifies how much of economic status is passed from parents to children, falling under category 1 (Regression‐based Measures)."
379,6,Decomposition/Structural Approaches: The study quantifies the contribution of the one‐child policy to a 32.7%-47.3% decline in intergenerational income mobility.
380,1,Intergenerational Elasticity (IGE)
381,1,Intergenerational Elasticity (IGE) - estimated via regression-based modeling
382,1,Regression‐based measure estimating the causal effect on intergenerational mobility (using a simulated‐instruments approach)
383,2,Descriptive rank‐rank analysis for intergenerational income mobility combined with a decomposition analysis to parse the contributions of age and parental income differences.
384,1,The paper employs a regression‐based approach—as seen in its estimation of intergenerational wage persistence (akin to an intergenerational elasticity measure)—along with an analysis of transition probabilities (using transition matrices to capture mobility across wage quintiles).
385,2,Rank‐Rank Income Mobility Measure
386,1,"Two stage least squares regressions to estimate the intergenerational transmission of wealth, along with a decomposition of child income by race"
387,1,Intergenerational Elasticity (IGE)
388,1,Intergenerational Income Elasticities (IGEs)
389,4,"The paper employs an absolute mobility measure—quantified as the share of sons earning more than their fathers—as well as a relative mobility measure (typically estimated via regression‐based approaches such as the intergenerational elasticity), which corresponds to category 1 if one were to classify it separately."
390,7,"Correlation Curve (a non‐parametric approach), complemented by the regression‐based Intergenerational Elasticity (IGE)"
391,1,"Regression‐based Measures, specifically regression coefficients estimating the effects of parental income timing (akin to dynamic intergenerational elasticity estimates)"
392,12,"Intergenerational Elasticity (IGE) (a regression‐based measure, Category 1) and rank‐rank slope (a rank‐based measure, Category 2)"
393,1,Intergenerational Elasticity (IGE) and between‐groups coefficient
394,1,"The paper estimates intergenerational persistence in income via regression‐based measures (i.e. Intergenerational Elasticity, IGE) and examines educational mobility using absolute mobility (changes in educational attainment across generations) alongside transition/probability measures (e.g. the probability of moving from no formal education to higher education)."
395,1,"Intergenerational Earnings Elasticity (IGE), with additional nonparametric analysis to capture nonlinearities"
396,1,Intergenerational Income Elasticity (IGE) estimated via regression analyses – with additional absolute mobility estimates (lifetime household income differences between quartiles) derived from the regression.
397,1,Intergenerational Elasticity (IGE) measured through earnings elasticity and wealth inheritance elasticity
398,1,Intergenerational Income Elasticity (IGE)
399,1,Intergenerational Elasticity (IGE) and intergenerational correlation of earnings (regression‐based measures)
400,1,"Intergenerational Elasticity (IGE) and related regression‐based estimates of real wealth inheritance effects, which quantify earnings mobility over generations."
401,1,Generalized errors-in-variables model producing intergenerational elasticity (IGE) estimates
402,1,The study seems to use regression‐based measures—likely estimating intergenerational elasticity and sibling outcome regressions—to quantify mobility and inequality.
403,6,Structural simulation measure based on an overlapping‐generations dynamic general equilibrium model
404,1,Intergenerational Elasticity (IGE)
405,3,"Transition Matrix / Probability Measures – the study reports transition probabilities such as upward and downward mobility rates (e.g., the percentage of children who achieve higher incomes than their parents) conditional on parent income."
406,2,The paper employs two distinct measures: Directional Rank Mobility measures (a rank‐based measure) and Transition Probability measures (a transition matrix/probability measure).
407,1,Intergenerational Elasticity (IGE)
408,6,The paper employs a structural approach—a model‐based measure of posterior intergenerational mobility (in human capital and inheritances) derived via a structural model with indivisible education investments.
409,2,Rank‐Based Measure – Parent-child and Grandparent-grandchild wealth rank correlations along with decomposition of the mobility correlations by inheritances and other factors
410,1,Regression‐based measure: Causal effect estimate from a simulated instruments approach.
411,6,Structural parameter from a theoretical model: the effect of having an educated parent on an individual’s potential as a proxy for intergenerational economic mobility
412,2,"The paper relies on rank‐based mobility measures that assess mobility at the top of the income/earnings distribution (e.g., examining mobility for extreme top percentiles such as 0.1% and the top 1%)."
413,1,Intergenerational Elasticity (IGE) estimated from regression‐based analysis
414,1,Intergenerational Elasticity (IGE) estimated via regression models (income and educational mobility)
415,6,"Decomposition measure that attributes variation in intergenerational income transmission to differences in parental income effects mediated by children's human capital, returns to human capital, non-mediated earnings differences, and marriage patterns"
416,7,"Counterfactual distributional metrics—in particular, measures of the fraction below poverty, variance, and interquantile range of child’s income as functions of parental income"
417,1,"Regression‐based Measures; the paper appears to use regression estimates (e.g., similar to Intergenerational Elasticity) to quantify the association between parental income and various human‐capital outcomes."
418,8,Sibling correlations
419,8,Other: The paper conceptually examines intergenerational wealth transmission through education and does not report a specific quantitative measure such as a regression‐based estimate or rank‐based measure.
420,6,Recursive Bivariate Probit (Structural Approach)
421,1,Intergenerational Elasticity (IGE) (a regression‐based measure) and rank‐rank slope (a rank‐based measure)
422,6,Structural measure derived from a theoretical model that quantifies intergenerational wealth mobility under education‐effort complementarity
423,1,Intergenerational Income Elasticity (IGE) and Rank correlation
424,1,"Regression‐based Measures (e.g., Intergenerational Elasticity)"
425,6,A structural measure derived from a theoretical model that simulates intergenerational wealth dynamics based on education‐effort complementarities
426,1,"The paper uses multiple measures: a regression‐based measure (Intergenerational Income Elasticity), a rank‐based measure (associations between fathers’ and sons’ income percentiles), and a sibling correlation (brother correlations) which falls outside the standard categories (i.e. category 8)."
427,8,"Multiple measures were used: a regression‐based measure (Intergenerational Elasticity or IGE), a rank‐based measure (rank–rank correlation), and an absolute mobility measure (absolute upward mobility)"
428,1,"The study estimates intergenerational income mobility via regression‐based measures (by comparing adult incomes relative to parental incomes and controlling for covariates, as well as related socioeconomic outcomes)"
429,3,"The study quantifies upward and downward economic mobility through estimated probabilities (i.e. comparing the likelihood of experiencing mobility outcomes after business outcomes), which aligns with transition matrix / probability measures."
430,1,Intergenerational Elasticity (IGE) estimated via TS2SLS regression and its subsequent decomposition of transmission channels.
431,8,Experimental measure of social preferences for mobility (using an experimental questionnaire to elicit values on mobility scenarios)
432,4,Absolute Intergenerational Income Mobility
433,2,Income Rank Associations (IRA)
434,2,"The paper uses rank‐based measures – specifically, a rank‐rank correlation (with evidence of rank persistence) – and also reports a transition probability (the chance of moving from the bottom quintile to the top quintile)."
435,1,"The paper appears to use regression‐based measures, specifically examining the sensitivity of children’s outcomes (e.g., educational attainment) to parental income. This is conceptually similar to an Intergenerational Elasticity (IGE) measure."
436,1,The paper uses regression‐based measures – notably the intergenerational income elasticity (IGE) estimated via regressions – along with rank‐based mobility measures (intergenerational rank and income share mobility) and further employs decomposition/structural approaches to disentangle investment versus endowment effects.
437,2,The paper uses a rank‐based measure (Rank‐rank slope) and a transition probability measure (the probability that a child from the bottom quintile reaches the top quintile).
438,1,"Two‐stage least squares regression estimates linking grandparental wealth with child income, complemented by a decomposition analysis of income differences by race (a structural approach)"
439,6,"Structural estimates derived from a dynastic overlapping-generations general equilibrium model that quantifies intergenerational mobility effects (e.g., lifetime income changes across generations)"
440,2,Rank difference measure between children from the lowest and the highest parent income percentiles
441,6,"The paper uses a calibrated structural general equilibrium approach to model intergenerational mobility, quantifying measures such as intergenerational persistence (evidenced by the estimated 78% reduction in persistence under counterfactual conditions)."
442,6,"The study primarily employs a decomposition/structural approach—first estimating the relationship known as the Great Gatsby Curve (which hinges on regression‐based intergenerational mobility measures like the intergenerational elasticity) and then decomposing the overall transmission into separate channels (children’s educational attainment, cognitive, and non‐cognitive skills)."
443,2,The paper employs a broad set of mobility measures that include rank‐based estimators for relative mobility—as evidenced by its discussion of rank‐based estimators and the importance of the ranking distribution—and also measures of absolute mobility (i.e. metrics comparing income thresholds across generations).
444,1,"The paper estimates a regression‐based measure – essentially using the intergenerational elasticity (an approach underlying the Great Gatsby Curve) – and further decomposes mobility into transmission channels (education, cognitive and non‐cognitive skills)"
445,1,Simple Regression Model (and Principal Component Analysis for index construction)
446,1,"The paper estimates regression‐based transmission coefficients quantifying how fathers’ dynamic income characteristics (e.g. life‐cycle income growth rates, volatility, and downside risk) predict similar measures in children. In other words, it uses regression-based intergenerational elasticity measures on income dynamics."
447,1,"Multilevel model-based estimates of both relative and absolute intergenerational income mobility (e.g., regression coefficients, which may include an intergenerational elasticity type measure)"
448,6,Sibling correlations and total decomposition (structural approach)
449,2,Rank‐based measure using parental earnings rank (likely a rank‐rank slope approach)
450,1,Intergenerational Income Elasticity (IGE)
451,4,"The paper assesses intergenerational mobility by examining both relative and absolute income mobility. In particular, it uses an absolute mobility measure—directly comparing income levels across generations (with additional relative mobility analyses that are often estimated via regression‐based approaches like intergenerational elasticity)—which places its key measure in the Absolute Mobility Measures category."
452,2,rank-rank slope
453,1,Intergenerational Elasticity (IGE); additional unspecified regression‐based measures
454,4,"The paper reports two types of measures: (a) an Absolute Mobility Measure – the proportion of sons earning more than their fathers, and (b) a Relative Mobility Measure – capturing intergenerational income persistence (likely via regression‐based estimates such as intergenerational elasticity or a rank‐based approach, though the abstract does not specify the exact method)"
455,1,Parental income gradient measured via a regression-type estimate (a 10 percentile increase in parental income rank is associated with a 5.2 percentage point increase in A-Level share)
456,1,Intergenerational Income Elasticity (IGE) estimated via regression-based imputation techniques
457,1,Predicted percentage change in earnings at age 26 associated with county of upbringing (a regression‐based measure of the causal effect of place on mobility)
458,3,"The paper uses transition/probability measures – specifically, it estimates intergenerational wealth correlation via transition probabilities (e.g., the probabilities of children being in top wealth groups given parental wealth) and examines deviations from perfect mobility."
459,3,income quintile transition matrix
460,1,Regression‐based measure (likely an intergenerational elasticity estimate)
461,1,"A regression‐based estimate of relative mobility (i.e., an intergenerational elasticity–type measure estimated via harmonizing father’s occupation with own family income)"
462,1,Intergenerational Elasticity (IGE) estimated using TS2SLS with subsequent decomposition
463,1,"The paper develops an intergenerational relative mobility measure estimated using regression‐based techniques (i.e. akin to the intergenerational elasticity or rank‐rank slope), which quantifies the relationship between parental and offspring economic outcomes."
464,2,Rank Correlation
465,1,Intergenerational Elasticity (IGE)
466,1,Intergenerational Elasticity (IGE)
467,6,Structural compensation estimate: Equivalent monetary compensation inferred from intrinsic occupational qualities through a structural model.
468,6,Simulation‐based estimates of intergenerational mobility and income inequality derived from a structural overlapping‐generations model
469,2,The paper primarily employs a rank‐based measure (using income percentiles to assess intergenerational mobility via the rank–rank slope) and additionally uses a decomposition approach (Blinder-Oaxaca decomposition) to break down the income gap between groups.
470,3,Transition Matrix / Probability Measures – Defined by cross-classifying parental education (degree/no degree) and offspring education (degree/no degree) to form intergenerational mobility groups
471,7,XGBoost feature importance analyzed via SHAP values
472,1,Regression‐based Measure (marginal effect of parental wealth on children’s wages)
473,2,The paper employs a rank‐based measure of intergenerational mobility (i.e. evaluating mobility using individuals’ ranks) as well as an income share mobility measure estimated via a linear estimator – and then further examines non‐parametric versions of both. This essentially combines a rank‐based approach (category 2) with non‐parametric extensions (category 7).
474,3,Transition Matrix / Probability Measures (analyzing intergenerational mobility between estimated father’s income class and individuals' income class)
475,5,"Measures based on the correlation of wealth ranks across multiple generations (e.g., grandparent‐child and dynastic wealth rank correlations)"
476,1,"Regression‐based Measures: The study estimates the effect of school funding equalization on intergenerational mobility using a simulated-instruments (IV) approach, suggesting the use of regression‐based measures such as intergenerational mobility regressions (e.g., Intergenerational Elasticity, though not explicitly named)."
477,1,Intergenerational Elasticity (IGE) estimated using proxy variables for household economic situation during adolescence and parental educational attainment
478,1,Intergenerational Elasticity (IGE)
479,4,Upward mobility rates
480,1,Regression‐based Measure (father‐son correlation estimating intergenerational elasticity) and Transition Matrix / Probability Measure (intergenerational transition matrices)
481,6,The paper uses a decomposition/structural approach that separates the effect of education into the component from the parental income–child education correlation and the return to education component.
482,2,"Intergenerational rank associations (e.g., rank correlations in income)"
483,1,"Linear regressions (e.g., estimating intergenerational elasticity) and Markov chains (transition matrix/probability measures)"
484,4,Difference in income quintiles (an absolute mobility measure estimated via diagonal reference models)
485,6,The paper develops a structural (model‐based) measure of intergenerational persistence—essentially capturing the correlation between underlying ability and background (akin to an intergenerational elasticity measure) as interpreted from its model.
486,2,The paper employs rank‐based measures (e.g. rank mobility estimates for self-rated health) alongside probability/transition measures (e.g. the percentage of children reaching the median income or college attainment) to capture upward and downward mobility.
487,4,"The paper uses an absolute mobility measure. It assesses mobility by estimating the change in children’s outcomes – specifically, the probability of college attendance and forecasted earnings gains – as a result of the experimental income shock. These probability differences in educational attainment (and subsequent earnings forecasts) capture absolute intergenerational mobility."
488,6,"The paper uses a structural decomposition approach by extending a heterogeneous agent life‐cycle model to decompose the sources of intergenerational mobility (e.g., 51% of lifetime earnings variation and specific contributions of fertility and family transfers)."
489,1,Intergenerational Elasticity (IGE)
490,3,Employer transmission probability measures
491,3,The paper uses two probability‐based mobility measures – one is the traditional transition probability of moving across income quantiles (a transition matrix measure) and the other is a new upward mobility measure defined as the probability that an adult child’s relative (rank) position exceeds that of the parents.
492,1,"Intergenerational income association estimated via regression analysis (e.g. quantile regression, which is similar in spirit to measures like the Intergenerational Elasticity)"
493,1,Intergenerational Elasticity (IGE) estimated via regression analyses (with extensions to simulate the Gatsby Curve through a calibrated structural model)
494,1,Intergenerational Elasticity (IGE)
495,1,Intergenerational Elasticity (IGE) as exemplified by the Great Gatsby Curve using pretax income measures
496,1,"Intergenerational Elasticity (IGE) measures for income and education, estimated using regression‐based approaches over two and three generations."
497,1,Intergenerational Elasticity (IGE)
498,1,Direct effects estimated from regression models of educational mobility on life-cycle income trajectories (i.e. regression coefficients capturing the impact of parental versus offspring college attainment on earnings and property income)
499,3,"Transition Probability Measure (difference in the probability of becoming poor between those born in the lowest versus highest income quintiles, and racial differential transition probabilities)"
500,4,Absolute Intergenerational Income Mobility measure
501,6,Dynamic life-cycle structural model–based estimates quantifying the impact of property tax funding on intergenerational mobility.
502,3,"Intergenerational income mobility table constructed via a group-based trajectory approach, essentially a transition matrix method based on latent trajectory groups."
503,2,The study employs rank‐based measures by focusing on the child's rank in the income distribution and examining the intergenerational relationship in income ranks (akin to a rank‐rank slope).
504,1,"The paper uses both a regression‐based measure (likely estimating Intergenerational Elasticity, capturing relative mobility) as well as an Absolute Mobility Measure (assessing absolute income changes across generations)"
505,1,The paper appears to use a regression‐based measure – typically an estimate of intergenerational elasticity (IGE) – to quantify intergenerational income mobility.
506,1,"Regression‐based Measures; the study estimates regression coefficients that capture the differential effects of parental income timing (early, middle, late childhood) on children’s outcomes."
507,1,Probit Model for estimating upward and downward intergenerational income mobility
508,6,Stationary Markov Perfect Equilibrium outcome derived from a structural overlapping generations model
509,6,"Expected lifetime resources (a model‐based measure of lifetime income and wealth that accounts for life‐cycle trajectories, uncertainty, and credit constraints)"
510,8,"The authors develop a model‐based lifetime resources measure—an estimate of parents’ expected lifetime income and wealth that incorporates lifecycle trajectories, uncertainty, and credit constraints—to assess intergenerational mobility and compare it with traditional narrow-window income proxies."
511,1,"Two‐sample two‐stage least squares estimation of intergenerational income persistence (a regression‐based measure, typically used to estimate the intergenerational elasticity) with additional reporting of transition probabilities (e.g., the percent of children from the bottom 20% reaching the top 20%)"
512,1,Intergenerational Income Elasticity (IGE) and Intergenerational Income Rank-Rank Slope
513,1,"The study appears to rely on regression‐based measures—specifically the estimated regression coefficients capturing the effect of education upward mobility on income upward mobility (including moderation by factors such as intergenerational psychological distance, parental social capital, and gender)."
514,6,Intergenerational Elasticity (IGE) of income estimated via a structural model identifying the underlying determinants
515,1,Intergenerational Elasticity (IGE) [Regression‐based Measure] and Rank‐Rank Slope [Rank‐based Measure]
516,1,Intergenerational Income Elasticity (IGE)
517,4,"The paper quantifies mobility in absolute terms by comparing educational and income levels across generations (i.e., upward educational mobility across three generations), rather than using a regression‐based, rank‐based, or transition probability approach."
518,1,"The paper produces intergenerational income mobility estimates—typically obtained via regression‐based models (e.g., estimating intergenerational elasticity)—that are adjusted to account for sample underrepresentation of 1.5‐ and second‐generation persons."
519,1,Intergenerational Elasticity (IGE)
520,1,Intergenerational Elasticity (IGE)
521,4,"Absolute Income Mobility, measured as the ratio of children earning more than their parents. The paper also employs an extended decomposition approach to account for parent-generation income inequality."
522,2,"The paper primarily uses rank‐based measures – specifically, a rank‐rank gradient (a 10 percentile increase in parental income rank is associated with a 5.5 percentile increase in child income rank) – and it further validates mobility by reporting transition probabilities (e.g., a 46% chance for children from the bottom quintile to remain there)."
523,1,"Regression‐based estimates capturing the intergenerational transmission of dynamic earnings characteristics (e.g., lifecycle income growth, volatility, and downside risk)."
524,2,Rank‐rank slope (parent–child income percentile association) and a transition probability measure (bottom persistence rate)
525,1,"The paper uses an instrumental variables regression‐based approach to estimate the effect of segregation on intergenerational mobility, effectively quantifying mobility through regression coefficients (e.g., measures of upward mobility)."
526,2,"The paper reports rank‐based measures. In particular, it presents a percentile rank mobility measure – noting that a 10 percentile increase in parental income rank is associated with a 5.5 percentile increase in child income rank – along with two novel mobility measures that rank children and parents (thus avoiding imputation for informal income)."
527,6,Oaxaca-Blinder RIF regression model utilizing FosterGreerThorbecke (FGT) indices
528,1,Intergenerational Elasticity (IGE)
529,2,Rank correlation measure
530,1,Intergenerational Elasticity (IGE) curve estimated via functional regression methods
531,1,Intergenerational Elasticity (IGE) curve estimated via functional regression methods
532,6,Decomposition of intergenerational mobility into a causal component (neighborhood exposure effect estimated via regression/fixed effects) and a sorting component
533,1,Intergenerational Elasticity (IGE)
534,1,Intergenerational Elasticity (IGE) estimated through regression-based models using lifetime and snapshot measures of parental resources
535,1,Intergenerational Elasticity (IGE) estimated using lifetime measures of parental resources
536,1,Intergenerational Elasticity (IGE) estimated via regression-based methods (using lifetime measures and snapshot proxies)
537,3,Intergenerational transition probability measure based on the persistence of home ownership
538,1,"Intergenerational Elasticity (IGE) measures, estimated via regression models for father-son and father-grandson income relationships"
