from_type,from_val,to_type,to_val,source,weight
DataType,Others_DataType,DataType,Linked Administrative Data,citation,9
DataType,Others_DataType,Measure,Rank‐based Measures,citation,9
Measure,Others_Measure,RqType,Intergenerational Wealth Mobility and Inheritance,citation,9
RqType,Theoretical and Structural Models,DataType,Linked Administrative Data,citation,9
RqType,Theoretical and Structural Models,Measure,Rank‐based Measures,citation,9
DataType,National Survey Data,Measure,Regression‐based Measures,citation,9
DataType,National Survey Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,9
DataType,National Survey Data,Measure,Regression‐based Measures,citation,9
DataType,Administrative/Registry Data,Measure,Regression‐based Measures,citation,9
DataType,Administrative/Registry Data,DataType,Linked Administrative Data,citation,9
DataType,Administrative/Registry Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,9
DataType,Administrative/Registry Data,Measure,Regression‐based Measures,citation,9
DataType,Administrative/Registry Data,Measure,Regression‐based Measures,citation,9
DataType,Administrative/Registry Data,RqType,Empirical Estimates and Determinants,citation,9
RqType,"Policy, Institutional, and Geographic Impacts",Measure,Regression‐based Measures,citation,9
RqType,"Policy, Institutional, and Geographic Impacts",DataType,Linked Administrative Data,citation,9
Measure,Absolute Mobility Measures,DataType,Linked Administrative Data,citation,9
DataType,Linked Administrative Data,RqType,Empirical Estimates and Determinants,citation,9
DataType,Linked Administrative Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,9
DataType,Linked Administrative Data,DataType,Panel/Longitudinal Surveys,citation,9
DataType,Linked Administrative Data,DataType,Panel/Longitudinal Surveys,citation,9
DataType,Linked Administrative Data,DataType,Linked Administrative Data,citation,9
DataType,Linked Administrative Data,Measure,Transition Matrix / Probability Measures,citation,9
DataType,Linked Administrative Data,RqType,Empirical Estimates and Determinants,citation,9
DataType,Linked Administrative Data,Measure,Regression‐based Measures,citation,9
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Transition Matrix / Probability Measures,citation,9
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Rank‐based Measures,citation,9
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",citation,9
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,National Survey Data,citation,9
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Linked Administrative Data,citation,9
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Intergenerational Wealth Mobility and Inheritance,citation,9
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,9
Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,9
Measure,Regression‐based Measures,RqType,Theoretical and Structural Models,citation,9
Measure,Regression‐based Measures,Measure,Decomposition / Structural Approaches,citation,9
Measure,Regression‐based Measures,DataType,No dataset,citation,9
Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,9
Measure,Regression‐based Measures,DataType,Administrative/Registry Data,citation,9
Measure,Regression‐based Measures,DataType,Archival/Historical Data,citation,9
Measure,Regression‐based Measures,RqType,Measurement and Methodological Advances,citation,9
Measure,Regression‐based Measures,Measure,Rank‐based Measures,citation,9
Measure,Regression‐based Measures,Measure,Rank‐based Measures,citation,9
Measure,Regression‐based Measures,Measure,Absolute Mobility Measures,citation,9
DataType,No dataset,DataType,No dataset,citation,9
Measure,Decomposition / Structural Approaches,DataType,Linked Administrative Data,citation,9
DataType,International Panel Data,RqType,Empirical Estimates and Determinants,citation,9
Measure,Rank‐based Measures,DataType,Panel/Longitudinal Surveys,citation,9
Measure,Rank‐based Measures,DataType,Linked Administrative Data,citation,9
Measure,Rank‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,9
Measure,Rank‐based Measures,Measure,Regression‐based Measures,citation,9
Measure,Rank‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,9
Measure,Rank‐based Measures,Measure,Regression‐based Measures,citation,9
Measure,Rank‐based Measures,Measure,Regression‐based Measures,citation,9
DataType,No dataset,Measure,Regression‐based Measures,citation,9
DataType,No dataset,RqType,Intergenerational Wealth Mobility and Inheritance,citation,9
DataType,No dataset,Measure,Regression‐based Measures,citation,9
RqType,Empirical Estimates and Determinants,RqType,Intergenerational Wealth Mobility and Inheritance,citation,9
RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,citation,9
RqType,Empirical Estimates and Determinants,RqType,Empirical Estimates and Determinants,citation,9
RqType,Empirical Estimates and Determinants,DataType,No dataset,citation,9
RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,citation,9
Measure,Transition Matrix / Probability Measures,DataType,No dataset,citation,9
DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,citation,9
DataType,Panel/Longitudinal Surveys,DataType,Panel/Longitudinal Surveys,citation,9
DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,citation,9
DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,citation,9
DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,citation,9
DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,citation,9
RqType,Measurement and Methodological Advances,RqType,Measurement and Methodological Advances,citation,9
RqType,Measurement and Methodological Advances,DataType,Others_DataType,citation,9
RqType,Measurement and Methodological Advances,RqType,Empirical Estimates and Determinants,citation,9
RqType,Measurement and Methodological Advances,Measure,Transition Matrix / Probability Measures,citation,9
RqType,Measurement and Methodological Advances,Measure,Rank‐based Measures,citation,9
RqType,Measurement and Methodological Advances,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",citation,9
RqType,Measurement and Methodological Advances,DataType,Panel/Longitudinal Surveys,citation,9
DataType,No dataset,DataType,Panel/Longitudinal Surveys,citation,8
DataType,No dataset,DataType,Linked Administrative Data,citation,8
DataType,No dataset,Measure,Transition Matrix / Probability Measures,citation,8
RqType,Empirical Estimates and Determinants,RqType,Empirical Estimates and Determinants,citation,8
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,8
RqType,Empirical Estimates and Determinants,RqType,Empirical Estimates and Determinants,citation,8
RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,citation,8
RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,citation,8
RqType,Empirical Estimates and Determinants,RqType,Intergenerational Wealth Mobility and Inheritance,citation,8
RqType,Empirical Estimates and Determinants,DataType,No dataset,citation,8
RqType,Empirical Estimates and Determinants,RqType,Empirical Estimates and Determinants,citation,8
RqType,Empirical Estimates and Determinants,DataType,No dataset,citation,8
RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,citation,8
RqType,Empirical Estimates and Determinants,DataType,Administrative/Registry Data,citation,8
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,8
RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,citation,8
RqType,Empirical Estimates and Determinants,Measure,Transition Matrix / Probability Measures,citation,8
RqType,Empirical Estimates and Determinants,DataType,Administrative/Registry Data,citation,8
RqType,Empirical Estimates and Determinants,Measure,Rank‐based Measures,citation,8
Measure,Transition Matrix / Probability Measures,DataType,Administrative/Registry Data,citation,8
Measure,Transition Matrix / Probability Measures,Measure,Transition Matrix / Probability Measures,citation,8
Measure,Transition Matrix / Probability Measures,Measure,Rank‐based Measures,citation,8
Measure,Transition Matrix / Probability Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",citation,8
Measure,Transition Matrix / Probability Measures,DataType,Panel/Longitudinal Surveys,citation,8
Measure,Transition Matrix / Probability Measures,DataType,Linked Administrative Data,citation,8
Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,8
Measure,Transition Matrix / Probability Measures,Measure,Regression‐based Measures,citation,8
Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,8
DataType,Panel/Longitudinal Surveys,RqType,Intergenerational Wealth Mobility and Inheritance,citation,8
DataType,Panel/Longitudinal Surveys,DataType,Panel/Longitudinal Surveys,citation,8
DataType,Panel/Longitudinal Surveys,DataType,National Survey Data,citation,8
DataType,Panel/Longitudinal Surveys,RqType,Intergenerational Wealth Mobility and Inheritance,citation,8
DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,8
DataType,Panel/Longitudinal Surveys,DataType,National Survey Data,citation,8
DataType,Panel/Longitudinal Surveys,RqType,Intergenerational Wealth Mobility and Inheritance,citation,8
DataType,Panel/Longitudinal Surveys,RqType,Intergenerational Wealth Mobility and Inheritance,citation,8
DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,citation,8
RqType,Measurement and Methodological Advances,RqType,Intergenerational Wealth Mobility and Inheritance,citation,8
RqType,Measurement and Methodological Advances,DataType,No dataset,citation,8
RqType,Measurement and Methodological Advances,DataType,Linked Administrative Data,citation,8
RqType,Measurement and Methodological Advances,DataType,No dataset,citation,8
RqType,Measurement and Methodological Advances,Measure,Regression‐based Measures,citation,8
RqType,Measurement and Methodological Advances,DataType,Administrative/Registry Data,citation,8
Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,citation,8
DataType,Linked Administrative Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,8
DataType,Linked Administrative Data,Measure,Others_Measure,citation,8
DataType,Linked Administrative Data,Measure,Rank‐based Measures,citation,8
DataType,Linked Administrative Data,Measure,Transition Matrix / Probability Measures,citation,8
DataType,Linked Administrative Data,Measure,Rank‐based Measures,citation,8
DataType,Linked Administrative Data,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",citation,8
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Transition Matrix / Probability Measures,citation,8
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Empirical Estimates and Determinants,citation,8
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,8
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Intergenerational Wealth Mobility and Inheritance,citation,8
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Empirical Estimates and Determinants,citation,8
Measure,Regression‐based Measures,DataType,Linked Administrative Data,citation,8
Measure,Regression‐based Measures,DataType,No dataset,citation,8
Measure,Regression‐based Measures,DataType,National Survey Data,citation,8
Measure,Regression‐based Measures,DataType,National Survey Data,citation,8
Measure,Regression‐based Measures,Measure,Rank‐based Measures,citation,8
Measure,Regression‐based Measures,Measure,Decomposition / Structural Approaches,citation,8
Measure,Regression‐based Measures,DataType,Administrative/Registry Data,citation,8
Measure,Regression‐based Measures,Measure,Rank‐based Measures,citation,8
DataType,No dataset,DataType,No dataset,citation,8
DataType,No dataset,RqType,Empirical Estimates and Determinants,citation,8
Measure,Others_Measure,DataType,No dataset,citation,8
Measure,Others_Measure,RqType,Theoretical and Structural Models,citation,8
Measure,Others_Measure,Measure,Decomposition / Structural Approaches,citation,8
Measure,Others_Measure,Measure,Regression‐based Measures,citation,8
Measure,Others_Measure,Measure,Regression‐based Measures,citation,8
Measure,Others_Measure,RqType,Empirical Estimates and Determinants,citation,8
Measure,Others_Measure,DataType,Panel/Longitudinal Surveys,citation,8
Measure,Others_Measure,Measure,Regression‐based Measures,citation,8
Measure,Others_Measure,DataType,Panel/Longitudinal Surveys,citation,8
Measure,Others_Measure,Measure,Regression‐based Measures,citation,8
DataType,National Survey Data,DataType,Administrative/Registry Data,citation,8
DataType,National Survey Data,DataType,No dataset,citation,8
DataType,National Survey Data,RqType,Empirical Estimates and Determinants,citation,8
DataType,National Survey Data,DataType,Panel/Longitudinal Surveys,citation,8
DataType,National Survey Data,RqType,Empirical Estimates and Determinants,citation,8
DataType,Administrative/Registry Data,Measure,Transition Matrix / Probability Measures,citation,8
DataType,Administrative/Registry Data,RqType,Empirical Estimates and Determinants,citation,8
DataType,Administrative/Registry Data,DataType,National Survey Data,citation,8
DataType,Administrative/Registry Data,RqType,"Policy, Institutional, and Geographic Impacts",citation,8
DataType,Administrative/Registry Data,RqType,Empirical Estimates and Determinants,citation,8
RqType,"Policy, Institutional, and Geographic Impacts",DataType,No dataset,citation,8
RqType,"Policy, Institutional, and Geographic Impacts",RqType,Empirical Estimates and Determinants,citation,8
RqType,"Policy, Institutional, and Geographic Impacts",RqType,Empirical Estimates and Determinants,citation,8
RqType,"Policy, Institutional, and Geographic Impacts",DataType,Panel/Longitudinal Surveys,citation,8
RqType,"Policy, Institutional, and Geographic Impacts",RqType,Empirical Estimates and Determinants,citation,8
Measure,Decomposition / Structural Approaches,Measure,Regression‐based Measures,citation,8
Measure,Decomposition / Structural Approaches,DataType,Panel/Longitudinal Surveys,citation,8
Measure,Decomposition / Structural Approaches,Measure,Regression‐based Measures,citation,8
Measure,Decomposition / Structural Approaches,DataType,Panel/Longitudinal Surveys,citation,8
Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,citation,8
DataType,International Panel Data,Measure,Regression‐based Measures,citation,8
DataType,International Panel Data,DataType,Linked Administrative Data,citation,8
DataType,International Panel Data,Measure,Rank‐based Measures,citation,8
Measure,Rank‐based Measures,Measure,Rank‐based Measures,citation,8
Measure,Rank‐based Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",citation,8
Measure,Rank‐based Measures,DataType,Linked Administrative Data,citation,8
Measure,Rank‐based Measures,Measure,Transition Matrix / Probability Measures,citation,8
Measure,Rank‐based Measures,Measure,Regression‐based Measures,citation,8
Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,citation,8
Measure,Rank‐based Measures,RqType,"Policy, Institutional, and Geographic Impacts",citation,8
Measure,Rank‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,8
Measure,Non‐parametric Approaches,DataType,Linked Administrative Data,citation,8
Measure,Non‐parametric Approaches,Measure,Rank‐based Measures,citation,8
Measure,Decomposition / Structural Approaches,DataType,No dataset,citation,7
Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,citation,7
Measure,Decomposition / Structural Approaches,DataType,No dataset,citation,7
Measure,Decomposition / Structural Approaches,RqType,Empirical Estimates and Determinants,citation,7
Measure,Decomposition / Structural Approaches,DataType,Administrative/Registry Data,citation,7
Measure,Decomposition / Structural Approaches,Measure,Regression‐based Measures,citation,7
DataType,International Panel Data,RqType,Empirical Estimates and Determinants,citation,7
DataType,International Panel Data,DataType,International Panel Data,citation,7
Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,citation,7
Measure,Rank‐based Measures,DataType,National Survey Data,citation,7
Measure,Rank‐based Measures,Measure,Regression‐based Measures,citation,7
Measure,Rank‐based Measures,Measure,Absolute Mobility Measures,citation,7
Measure,Rank‐based Measures,DataType,Linked Administrative Data,citation,7
Measure,Rank‐based Measures,DataType,Panel/Longitudinal Surveys,citation,7
Measure,Rank‐based Measures,Measure,Others_Measure,citation,7
Measure,Rank‐based Measures,Measure,Absolute Mobility Measures,citation,7
Measure,Rank‐based Measures,Measure,Regression‐based Measures,citation,7
Measure,Rank‐based Measures,RqType,Empirical Estimates and Determinants,citation,7
Measure,Rank‐based Measures,DataType,Administrative/Registry Data,citation,7
Measure,Rank‐based Measures,Measure,Rank‐based Measures,citation,7
DataType,Archival/Historical Data,Measure,Transition Matrix / Probability Measures,citation,7
DataType,Archival/Historical Data,Measure,Regression‐based Measures,citation,7
Measure,Non‐parametric Approaches,Measure,Regression‐based Measures,citation,7
Measure,Non‐parametric Approaches,RqType,Empirical Estimates and Determinants,citation,7
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",DataType,Linked Administrative Data,citation,7
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Measure,Transition Matrix / Probability Measures,citation,7
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Measure,Rank‐based Measures,citation,7
Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,citation,7
Measure,Absolute Mobility Measures,Measure,Regression‐based Measures,citation,7
Measure,Absolute Mobility Measures,DataType,Panel/Longitudinal Surveys,citation,7
Measure,Absolute Mobility Measures,Measure,Regression‐based Measures,citation,7
Measure,Absolute Mobility Measures,DataType,Panel/Longitudinal Surveys,citation,7
DataType,Linked Administrative Data,RqType,Empirical Estimates and Determinants,citation,7
DataType,Linked Administrative Data,DataType,Administrative/Registry Data,citation,7
DataType,Linked Administrative Data,DataType,No dataset,citation,7
DataType,Linked Administrative Data,DataType,No dataset,citation,7
DataType,Linked Administrative Data,RqType,"Policy, Institutional, and Geographic Impacts",citation,7
DataType,Linked Administrative Data,DataType,Administrative/Registry Data,citation,7
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Panel/Longitudinal Surveys,citation,7
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Intergenerational Wealth Mobility and Inheritance,citation,7
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,7
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,7
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Empirical Estimates and Determinants,citation,7
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Panel/Longitudinal Surveys,citation,7
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Intergenerational Wealth Mobility and Inheritance,citation,7
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Linked Administrative Data,citation,7
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Regression‐based Measures,citation,7
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,No dataset,citation,7
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Intergenerational Wealth Mobility and Inheritance,citation,7
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Empirical Estimates and Determinants,citation,7
RqType,Intergenerational Wealth Mobility and Inheritance,RqType,Empirical Estimates and Determinants,citation,7
Measure,Regression‐based Measures,Measure,Rank‐based Measures,citation,7
Measure,Regression‐based Measures,DataType,Administrative/Registry Data,citation,7
Measure,Regression‐based Measures,DataType,International Panel Data,citation,7
Measure,Regression‐based Measures,DataType,Linked Administrative Data,citation,7
Measure,Regression‐based Measures,Measure,Transition Matrix / Probability Measures,citation,7
Measure,Regression‐based Measures,DataType,Administrative/Registry Data,citation,7
Measure,Regression‐based Measures,DataType,National Survey Data,citation,7
Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,citation,7
Measure,Regression‐based Measures,Measure,Transition Matrix / Probability Measures,citation,7
DataType,No dataset,RqType,Intergenerational Wealth Mobility and Inheritance,citation,7
DataType,No dataset,DataType,Panel/Longitudinal Surveys,citation,7
DataType,No dataset,Measure,Regression‐based Measures,citation,7
DataType,No dataset,RqType,Empirical Estimates and Determinants,citation,7
DataType,No dataset,RqType,Measurement and Methodological Advances,citation,7
DataType,No dataset,DataType,Linked Administrative Data,citation,7
DataType,No dataset,DataType,National Survey Data,citation,7
DataType,No dataset,DataType,Panel/Longitudinal Surveys,citation,7
DataType,No dataset,DataType,Panel/Longitudinal Surveys,citation,7
RqType,Empirical Estimates and Determinants,DataType,Panel/Longitudinal Surveys,citation,7
RqType,Empirical Estimates and Determinants,DataType,Linked Administrative Data,citation,7
RqType,Empirical Estimates and Determinants,Measure,Regression‐based Measures,citation,7
RqType,Empirical Estimates and Determinants,RqType,Intergenerational Wealth Mobility and Inheritance,citation,7
RqType,Empirical Estimates and Determinants,RqType,Theoretical and Structural Models,citation,7
RqType,Empirical Estimates and Determinants,Measure,Decomposition / Structural Approaches,citation,7
RqType,Empirical Estimates and Determinants,RqType,Intergenerational Wealth Mobility and Inheritance,citation,7
RqType,Empirical Estimates and Determinants,RqType,Empirical Estimates and Determinants,citation,7
RqType,Empirical Estimates and Determinants,DataType,Administrative/Registry Data,citation,7
RqType,Empirical Estimates and Determinants,Measure,Rank‐based Measures,citation,7
Measure,Transition Matrix / Probability Measures,DataType,Panel/Longitudinal Surveys,citation,7
Measure,Transition Matrix / Probability Measures,Measure,Regression‐based Measures,citation,7
Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,citation,7
Measure,Transition Matrix / Probability Measures,Measure,Transition Matrix / Probability Measures,citation,7
Measure,Transition Matrix / Probability Measures,Measure,Regression‐based Measures,citation,7
Measure,Transition Matrix / Probability Measures,RqType,Empirical Estimates and Determinants,citation,7
Measure,Transition Matrix / Probability Measures,DataType,Linked Administrative Data,citation,7
DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,citation,7
DataType,Panel/Longitudinal Surveys,RqType,Empirical Estimates and Determinants,citation,7
DataType,Panel/Longitudinal Surveys,DataType,Panel/Longitudinal Surveys,citation,7
DataType,Panel/Longitudinal Surveys,RqType,Intergenerational Wealth Mobility and Inheritance,citation,7
DataType,Panel/Longitudinal Surveys,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",citation,7
DataType,Panel/Longitudinal Surveys,RqType,Intergenerational Wealth Mobility and Inheritance,citation,7
DataType,Panel/Longitudinal Surveys,DataType,Panel/Longitudinal Surveys,citation,7
DataType,Panel/Longitudinal Surveys,Measure,Rank‐based Measures,citation,7
RqType,Measurement and Methodological Advances,Measure,Absolute Mobility Measures,citation,7
RqType,Measurement and Methodological Advances,DataType,Linked Administrative Data,citation,7
RqType,Measurement and Methodological Advances,DataType,No dataset,citation,7
RqType,Measurement and Methodological Advances,RqType,Theoretical and Structural Models,citation,7
RqType,Measurement and Methodological Advances,Measure,Decomposition / Structural Approaches,citation,7
RqType,Measurement and Methodological Advances,Measure,Regression‐based Measures,citation,7
RqType,Measurement and Methodological Advances,Measure,Regression‐based Measures,citation,7
RqType,Measurement and Methodological Advances,Measure,Transition Matrix / Probability Measures,citation,7
RqType,Measurement and Methodological Advances,DataType,Linked Administrative Data,citation,7
RqType,Measurement and Methodological Advances,RqType,Intergenerational Wealth Mobility and Inheritance,citation,7
RqType,Measurement and Methodological Advances,Measure,Regression‐based Measures,citation,7
Measure,Others_Measure,Measure,Absolute Mobility Measures,citation,7
Measure,Others_Measure,DataType,Linked Administrative Data,citation,7
Measure,Others_Measure,Measure,Regression‐based Measures,citation,7
Measure,Others_Measure,RqType,Empirical Estimates and Determinants,citation,7
Measure,Others_Measure,Measure,Regression‐based Measures,citation,7
Measure,Others_Measure,RqType,Empirical Estimates and Determinants,citation,7
Measure,Others_Measure,Measure,Regression‐based Measures,citation,7
Measure,Others_Measure,RqType,Empirical Estimates and Determinants,citation,7
RqType,Theoretical and Structural Models,Measure,Transition Matrix / Probability Measures,citation,7
RqType,Theoretical and Structural Models,Measure,Regression‐based Measures,citation,7
DataType,National Survey Data,DataType,Panel/Longitudinal Surveys,citation,7
DataType,National Survey Data,Measure,Regression‐based Measures,citation,7
DataType,National Survey Data,DataType,No dataset,citation,7
DataType,National Survey Data,RqType,Empirical Estimates and Determinants,citation,7
DataType,National Survey Data,DataType,Linked Administrative Data,citation,7
DataType,National Survey Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,7
DataType,National Survey Data,DataType,No dataset,citation,7
DataType,National Survey Data,DataType,Linked Administrative Data,citation,7
DataType,National Survey Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,7
DataType,National Survey Data,Measure,Regression‐based Measures,citation,7
DataType,National Survey Data,Measure,Transition Matrix / Probability Measures,citation,7
DataType,National Survey Data,DataType,Administrative/Registry Data,citation,7
DataType,National Survey Data,DataType,National Survey Data,citation,7
DataType,Administrative/Registry Data,DataType,Linked Administrative Data,citation,7
DataType,Administrative/Registry Data,Measure,Regression‐based Measures,citation,7
DataType,Administrative/Registry Data,RqType,Empirical Estimates and Determinants,citation,7
DataType,Administrative/Registry Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,7
DataType,Administrative/Registry Data,Measure,Regression‐based Measures,citation,7
DataType,Administrative/Registry Data,Measure,Rank‐based Measures,citation,7
DataType,Administrative/Registry Data,Measure,Regression‐based Measures,citation,7
DataType,Administrative/Registry Data,DataType,Panel/Longitudinal Surveys,citation,7
RqType,"Policy, Institutional, and Geographic Impacts",DataType,No dataset,citation,7
RqType,"Policy, Institutional, and Geographic Impacts",RqType,Intergenerational Wealth Mobility and Inheritance,citation,7
RqType,"Policy, Institutional, and Geographic Impacts",RqType,"Policy, Institutional, and Geographic Impacts",citation,7
DataType,Others_DataType,Measure,Transition Matrix / Probability Measures,citation,6
Measure,Others_Measure,DataType,No dataset,citation,6
Measure,Others_Measure,RqType,Intergenerational Wealth Mobility and Inheritance,citation,6
Measure,Others_Measure,DataType,National Survey Data,citation,6
Measure,Others_Measure,DataType,International Panel Data,citation,6
Measure,Others_Measure,Measure,Transition Matrix / Probability Measures,citation,6
Measure,Others_Measure,Measure,Rank‐based Measures,citation,6
Measure,Others_Measure,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",citation,6
Measure,Others_Measure,DataType,No dataset,citation,6
Measure,Others_Measure,Measure,Regression‐based Measures,citation,6
RqType,Theoretical and Structural Models,Measure,Regression‐based Measures,citation,6
RqType,Theoretical and Structural Models,RqType,Empirical Estimates and Determinants,citation,6
RqType,Theoretical and Structural Models,DataType,International Panel Data,citation,6
RqType,Theoretical and Structural Models,RqType,Empirical Estimates and Determinants,citation,6
DataType,National Survey Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,6
DataType,National Survey Data,Measure,Regression‐based Measures,citation,6
DataType,National Survey Data,Measure,Regression‐based Measures,citation,6
DataType,National Survey Data,RqType,Empirical Estimates and Determinants,citation,6
DataType,National Survey Data,DataType,Linked Administrative Data,citation,6
DataType,National Survey Data,Measure,Regression‐based Measures,citation,6
DataType,National Survey Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,6
DataType,National Survey Data,Measure,Transition Matrix / Probability Measures,citation,6
DataType,Administrative/Registry Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,6
DataType,Administrative/Registry Data,Measure,Rank‐based Measures,citation,6
DataType,Administrative/Registry Data,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",citation,6
DataType,Administrative/Registry Data,RqType,Empirical Estimates and Determinants,citation,6
DataType,Administrative/Registry Data,RqType,"Policy, Institutional, and Geographic Impacts",citation,6
DataType,Administrative/Registry Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,6
DataType,Administrative/Registry Data,Measure,Rank‐based Measures,citation,6
DataType,Administrative/Registry Data,RqType,Intergenerational Wealth Mobility and Inheritance,citation,6
DataType,Administrative/Registry Data,Measure,Decomposition / Structural Approaches,citation,6
DataType,Administrative/Registry Data,Measure,Rank‐based Measures,citation,6
DataType,Administrative/Registry Data,Measure,Regression‐based Measures,citation,6
DataType,Administrative/Registry Data,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",citation,6
DataType,Administrative/Registry Data,DataType,Administrative/Registry Data,citation,6
RqType,"Policy, Institutional, and Geographic Impacts",Measure,Absolute Mobility Measures,citation,6
RqType,"Policy, Institutional, and Geographic Impacts",DataType,Linked Administrative Data,citation,6
RqType,"Policy, Institutional, and Geographic Impacts",Measure,Regression‐based Measures,citation,6
Measure,Absolute Mobility Measures,RqType,Measurement and Methodological Advances,citation,6
Measure,Absolute Mobility Measures,DataType,Administrative/Registry Data,citation,6
Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,citation,6
Measure,Absolute Mobility Measures,Measure,Absolute Mobility Measures,citation,6
Measure,Absolute Mobility Measures,RqType,"Policy, Institutional, and Geographic Impacts",citation,6
Measure,Absolute Mobility Measures,Measure,Regression‐based Measures,citation,6
Measure,Absolute Mobility Measures,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",citation,6
Measure,Absolute Mobility Measures,Measure,Transition Matrix / Probability Measures,citation,6
Measure,Absolute Mobility Measures,RqType,Empirical Estimates and Determinants,citation,6
