id,rq_cat,rq_type
148,1,"The paper investigates how the assumption of a simplified notion of permanent income affects the robustness of intergenerational income mobility estimates, highlighting a methodological issue in current econometric models."
149,2,"Empirical Estimates and Determinants. The paper primarily examines how parental earnings and occupational status—as markers of socio-economic status—influence the income and occupational outcomes of their children, thereby addressing the determinants of intergenerational income mobility."
150,1,"The paper's research question explores the development of an alternative measure of intergenerational income mobility by employing a random coefficient model, which accounts for multiplicative unobserved family-specific factors. This falls under Measurement and Methodological Advances."
151,4,"The paper investigates intergenerational income mobility in Sweden, asking: 'What do tax-data show about the degree and patterns of income mobility across generations?' It specifically examines how parental earnings (with distinct roles for fathers and mothers) are transmitted to children and highlights immobility within the upper income deciles."
152,2,"The paper empirically evaluates intergenerational income mobility by providing estimates of intergenerational income elasticity in Chile and examining its relationship with cross-sectional income inequality. A potential research question extracted from the abstract is: 'What is the magnitude of intergenerational income elasticity in Chile, and how is it associated with high cross-sectional income inequality?'"
153,4,"The paper investigates how Islamic inheritance practices affected wealth accumulation and intergenerational mobility in eighteenth-century Ottoman Kastamonu. Specifically, it asks: How do inheritance practices influence wealth fragmentation and the durability of economic divisions among different socioeconomic groups?"
154,5,"The paper seeks to answer: 'What are the ethnic and gender differences in intergenerational economic mobility among 26‐year‐olds in the USA, particularly in terms of income, educational attainment, and occupational status?' It also examines how parental education and occupation affect these outcomes across whites, blacks, and Hispanics."
155,5,"What are the racial differences in intergenerational economic mobility between blacks and whites, including the directions of mobility (upward and downward), and what factors (test scores, family structure, schooling, and parental wealth) explain these differences?"
156,2,"How does the family structure, specifically the co-residence of biological versus nonbiological fathers, shape the empirical estimates of the association between fathers' and sons' incomes?"
157,4,"The paper asks: 'How do parents allocate human capital among their children? To what extent do parental decisions determine children’s eventual economic success?' It investigates intergenerational mobility—specifically, how parental resource allocations (including biases by gender or birth order and the trade-off between equity and efficiency) shape the transmission of income, earnings, and schooling, as well as the potential counteractive effects of government programs."
158,2,"The paper primarily asks: What is the magnitude of intergenerational earnings mobility in Italy, and what factors explain the long-term labor market success of children relative to their fathers?"
159,2,"What is the intergenerational income elasticity in Turkey, and how does it compare with the United States and other countries in terms of income mobility?"
160,4,"The paper examines how wealth is transmitted across generations by providing empirical estimates of intergenerational wealth mobility—in other words, it asks how much of a parent's wealth is passed on, and how that transmission contributes to wealth inequality."
161,2,"The paper is primarily focused on empirical estimates and the determinants of intergenerational income mobility in the context of income inequality. In effect, the research question can be interpreted as: 'How does income inequality in the United States affect intergenerational income mobility?'"
162,7,"The paper primarily addresses a theoretical and structural question by developing a model of intergenerational mobility and intragenerational inequality to explore the relationship between economic growth and social mobility. It specifically asks: How do intergenerational transmission of wealth and privilege, alongside ethnic, gender, and other ascriptive disadvantages, interact with economic efficiency and economic growth, and what does this imply about the link between social mobility and economic performance?"
163,4,"The research question asks: How does the share of women among the very wealthy—as a proxy for inherited or dynastic wealth—reflect changes in intergenerational wealth mobility over time, and what role does technological change play in driving these trends?"
164,2,"The paper aims to empirically estimate intergenerational income mobility by asking: How strong is the transmission of income status from parents to daughters (and in parallel, to sons), and what roles do factors such as broader measures of women’s economic status, husbands' earnings, and assortative mating play in this process?"
165,2,"What is the intergenerational elasticity (IGE) of earnings in the United States when estimated using long-term administrative earnings data, and how do wealth levels (e.g., little or no wealth) influence these estimates?"
166,4,"The study primarily investigates intergenerational income and educational mobility, specifically asking: What are the degree and patterns of intergenerational persistence in income and education in urban Chile (with a focus on Greater Santiago), and how does the high concentration of income, especially at the top end of the distribution, affect this mobility?"
167,4,"The research question can be interpreted as: 'How does higher educational attainment among Latinos affect wealth building and intergenerational wealth transfers, and what are the social gains and losses (in terms of work-life earnings profiles) associated with this relationship?'"
168,2,"The paper empirically investigates how China’s One Child Policy and concurrent economic reforms have influenced child poverty, investments in children (as measured by educational attainment), and intergenerational mobility (with specific attention to gender differences), by comparing pre‐ and post‐1979 family formation and schooling outcomes as well as by applying new measurement techniques."
169,1,"The paper’s primary research question revolves around developing and employing new mobility indices and tests that can handle unmatched quantile transitions in order to measure intergenerational mobility. It further examines how these measures reveal changes in mobility—particularly across family structures (intact versus single parent, and within single parent groups, distinguishing exogenous from endogenous cases)—in light of changes in family law in the United States."
170,2,"The paper primarily aims to answer empirical research questions. It asks: 'What is the joint distribution of parent and child income in the U.S., how does intergenerational mobility vary across geographic areas, and what area-level factors (such as residential segregation, income inequality, primary school quality, social capital, and family stability) are correlated with upward mobility?'"
171,5,"The paper’s research questions examine how improved economic opportunities, persistent wage gaps, and factors such as marriage affect the intergenerational transmission of income among U.S. racial and gender groups, particularly focusing on why women and blacks exhibit distinct mobility patterns compared to their counterparts."
172,1,"Research question: How can lifetime intergenerational economic mobility in the UK be accurately estimated by addressing lifecycle biases, attenuation bias, and sample selection issues using UK cohort data?"
173,2,"The paper empirically investigates intergenerational earnings and income mobility in Spain by estimating how mobility compares to that in other countries (e.g., France, Nordic countries, Britain, Italy, and the United States) and further explores gender differences (by applying the Chadwick and Solon approach for daughters). In essence, the key research questions are: 'What is the degree of intergenerational income mobility in Spain relative to other developed countries?' and 'Are there any gender-specific patterns in this mobility?'"
174,2,"The paper investigates empirical estimates of intergenerational economic mobility by examining the time‐series patterns (a U-shaped trend) in intergenerational income elasticity and rank mobility from 1940 to 2000, and assessing potential factors (e.g., returns to education) contributing to these changes."
175,1,"Measurement and Methodological Advances: The paper addresses research questions on how to reliably measure intergenerational economic mobility in the general population, including the persistence of income or earnings and the establishment of trend data, by using proxies like typical occupational compensation."
176,2,"The paper primarily asks: What is the level of intergenerational earnings mobility in Singapore and what are its determinants (e.g., the role of parental education, independent schooling returns, and potential demographic differences)?"
177,2,"What is the relationship between the expansion of public education, school quality, and intergenerational income mobility in early twentieth-century America, and how do different income groups respond to improvements in school quality?"
178,2,"The paper is asking: How is economic status transmitted from one generation to the next across different countries, what are the empirical measures and estimates of intergenerational earnings mobility, and how do these cross-country differences help us understand the determinants of this transmission?"
179,2,"Empirical Estimates and Determinants: What are the robust predictors of spatial intergenerational mobility across US commuter zones, and how do their effects vary across different average income quintiles?"
180,2,"The paper aims to answer empirical questions such as: To what extent does increasing income inequality in high‐income countries (especially the United States) limit economic mobility for the next generation? What are the underlying drivers (e.g., the roles of families, labor markets, and public policies) that produce the relationship between inequality and intergenerational mobility across nations, and how does this process vary for the top 1 percent?"
181,4,"The paper aims to answer research questions that focus on intergenerational wealth mobility and inheritance. Specifically, the paper investigates how childhood financial conditions—including poverty and inheritances—serve as financial starting points, examines impediments encountered in young adulthood stemming from early disadvantages, and evaluates whether these early life challenges translate into differences in adult wealth outcomes (net worth and homeownership) among Mexican Americans."
182,4,"The paper explores the intergenerational transmission of poverty and inequality, specifically asking: How do parental resources (both financial and human capital) and investments in children’s human capital translate into economic opportunities and outcomes for the next generation? In particular, the study examines whether, and to what extent, changes in poverty and inequality in the parental generation causally impact poverty and inequality in the children’s generation."
183,2,"The paper empirically examines intergenerational earnings mobility by estimating the intergenerational elasticity (IGE) using a new, extensive dataset of Social Security earnings. It asks how using a longer earnings history impacts the IGE compared to previous estimates, and it investigates the determinants of mobility—including the role of family income, net worth, and potential demographic differences (e.g., by race and gender)."
184,2,"The paper empirically investigates intergenerational income and earnings mobility by estimating the intergenerational elasticity (IGE) using microdata from Japan. The core research questions include: What is the magnitude of the IGE in Japan? How does it vary across different demographic groups (e.g., married sons, married daughters, single daughters) and over time? Additionally, the paper explores whether the elasticity differs across the income distribution (via quantile regressions) and exhibits nonlinear patterns (as evidenced by the S-shaped relation for certain groups)."
185,2,The paper empirically estimates intergenerational earnings mobility by comparing earnings elasticities in Singapore and the United States to understand the degree of mobility and its determinants.
186,4,"The paper asks: What is the extent of intergenerational economic mobility in New Zealand? In other words, to what degree does a father's income or socio‐economic status influence his children’s income or occupational status, and what are the empirical estimates (e.g., intergenerational income elasticity) that capture this relationship?"
187,2,How do parental family earnings and factors such as assortative mating affect the transmission of earnings across generations (with particular attention to daughters and sons) in Sweden compared to the United States?
188,4,"The research primarily asks: How persistent is household wealth across generations in rural Bangladesh, and what are the roles of household division, occupational mobility, and educational attainment in intergenerational wealth mobility and inheritance?"
189,4,"The research focuses on intergenerational wealth mobility by examining how intergenerational income elasticity (IGE) has changed over successive cohorts and its correlation with increasing economic inequality. Essentially, it asks: How has intergenerational income mobility evolved in recent U.S. cohorts, and what is its relationship with rising economic inequality?"
190,3,"The paper examines the impact of an education policy—specifically, the Finnish comprehensive school reform—on intergenerational income mobility by investigating how reducing heterogeneity in early education influences the correlation between fathers' and sons' earnings."
191,6,"Does relative intergenerational income mobility affect interpersonal trust, specifically, does upward mobility increase trust while downward mobility decreases trust?"
192,4,"Research question: How do intergenerational asset transfers and inheritance practices vary by sex and sibling birth order, and what are the implications of these differences for wealth mobility, social reproduction, and the distribution of cultural capital within families?"
193,7,"The research question investigates how an overlapping generations model of marriage, divorce, and parental investment can generate intergenerational income mobility patterns—specifically, its implications for family structure (e.g., the prevalence of female-headed households) and the persistence of income across generations—as well as the effects of antipoverty policies like child support and welfare on these outcomes."
194,2,"The paper examines empirical estimates and determinants of intergenerational mobility in Latin America by comparing income mobility and social class mobility with that in industrialized countries, and it investigates the linkages between mobility and macro-level factors as well as the implications for equality of opportunity."
195,7,"The paper asks, 'How do different college aid policies (general tuition subsidies, need‐based student aid, merit‐based student aid, and income‐contingent loans) affect aggregate outcomes, income distribution, and intergenerational mobility?' using a dynamic general equilibrium model."
196,2,"How has intergenerational income mobility evolved across birth cohorts in the United States, as measured by the correlation between parent and child income or college attendance probabilities, and what are the implications of rising inequality on these mobility outcomes?"
197,2,"The paper primarily seeks to provide empirical estimates by asking: What is the intergenerational income elasticity (specifically, for father-son pairs) in urban China, and what role does parental education play in the transmission of economic status?"
198,2,"The paper empirically examines the determinants of intergenerational economic mobility by analyzing the role of assortative mating – specifically, to what extent does the person one marries (through spouse correlation in human capital) contribute to the covariance between parents' and one's own permanent family income."
199,2,"The research question asks whether and how the intergenerational mobility rates in education, occupation, and wages for historically disadvantaged SC/ST groups in India have converged to those of non-SC/ST groups over time."
200,3,"The paper investigates how geographic factors, such as neighborhood income levels and regional purchasing power (which affect access to high-quality schools), influence intergenerational income mobility relative to parental income."
201,7,"The paper asks how private decisions (parental investment) and collective decisions (redistributive institutions) interact to determine the equilibrium level of intergenerational income mobility, and how differences in political institutions can lead to widely divergent mobility outcomes between societies despite similar economic and biological fundamentals."
202,4,"The research question asks: What explains the divergence between intergenerational mobility measured by income (or permanent income) and that measured by social class? In other words, why is family income more closely correlated with sons’ earnings in the later cohort compared to the older cohort while social class mobility remains unchanged, and to what extent does the persistence of the permanent component of income or issues in income measurement drive this divergence?"
203,4,"How did the Great Recession affect intergenerational wealth mobility and inheritance among black and white families? Specifically, the paper asks: How do differential impacts on wealth holdings translate into variations in upward and downward mobility, and what role does parental wealth play in influencing these intergenerational outcomes?"
204,1,The paper asks whether conclusions about intergenerational mobility differ when measured via social class versus income – essentially assessing how measurement choices affect estimates of mobility in Sweden.
205,4,"This study investigates intergenerational wealth mobility. It focuses on assessing how wealth ranks of children relate to those of their parents, and it additionally analyzes how incorporating grandparents' wealth changes the understanding of wealth persistence compared to traditional two-generation measures."
206,4,"The paper examines the intergenerational transmission of socioeconomic status by estimating elasticities across three generations, asking how income mobility is transmitted from fathers to sons and daughters (and by extension to grandsons and granddaughters) and how gender (via paternal vs. maternal grandfather influence) affects this process."
207,3,"The research paper asks: How do tax expenditures, at both the local and state levels (including state income tax, mortgage interest deductions, and state EITC policies), impact intergenerational mobility as measured by the correlation between parent and child earnings across U.S. regions?"
208,2,"The paper asks: What are the trends in intergenerational income persistence in Sweden over offspring cohorts born between 1945 and 1962, and how robust are these estimates to measurement issues arising from variations in the income process across the life cycle?"
209,4,"The paper addresses intergenerational wealth mobility and inheritance by examining how socio‐economic status (measured via wealth at death and longevity) persists over generations, and how initial advantages and disadvantages eventually dissipate over 8–12 generations."
210,2,"The paper primarily addresses empirical estimates by asking: 'What is the magnitude of intergenerational income mobility in Taiwan—as measured by intergenerational income elasticity—and how does it compare to other countries? Additionally, does income mobility vary across different birth cohorts?'"
211,4,"The paper investigates how intergenerational transmission of wealth and redistributive policies affect the dynamics of wealth distribution. Specifically, it asks: 'How do intergenerational wealth transfers and redistributive scalar policies determine the transitional dynamics and stationary state (Pareto distribution) of wealth in an economy?'"
212,7,The paper asks: How can a structural explanation—grounded in historical forms of exchange and informed by Marcel Mauss’s theory of the gift—serve as an alternative to conventional theories of generational altruism in explaining the economic and social foundations of intergenerational wealth transfers over time?
213,7,The paper asks whether the commonly used intergenerational income elasticity measure is a sufficient statistic for fairness. It then develops a theoretical alternative model proposing that the disincentive effects of labor market taxation and redistribution—rather than public educational underinvestment—drive cross-country differences in intergenerational mobility. This research question and approach fall under Theoretical and Structural Models.
214,4,"The paper asks: What is the degree of intergenerational mobility of earnings and income (measured through IGE) among sons and daughters in Vietnam? In doing so, it quantifies how much economic status is transmitted from fathers to their children, distinguishing between genders."
215,2,"The paper empirically investigates intergenerational income mobility by estimating the quantile-specific intergenerational income elasticity (IGE) over time and examines the roles of education and race as determinants of this mobility. Specifically, it addresses questions such as: 'How does IGE vary across different points of the income distribution and evolve over time?' and 'What are the impacts of education and race on these mobility patterns?'"
216,2,"The paper empirically estimates the determinants of intergenerational income mobility by asking: How does a father's income affect the probability of his son experiencing zero annual earnings at some point in his lifetime? Specifically, it investigates whether an increase in the father's income (by 1%) decreases the risk of the son having zero earnings and quantifies this relationship using different probit models."
217,2,"The paper asks: How do innate ability, compulsory education, and higher (non-compulsory) education affect income inequality and intergenerational income mobility? Additionally, which types of government education expenditures (such as direct subsidies to poor parents) are most effective in mitigating disparities in early education investment that influence these outcomes?"
218,1,"The paper asks: How can we develop a new framework to estimate intergenerational mobility elasticities that accommodates heterogeneous effects and tests the often-assumed linear relationship between parental and child incomes, while addressing measurement issues such as life-cycle bias? It further examines whether the IGEs display a U-shaped pattern across the income distribution, contributing to debates like the Great Gatsby curve."
219,2,The paper empirically investigates how important assortative mating is in the intergenerational transmission process by examining the elasticity of both offspring's own earnings and their spouse's earnings with respect to the parents’ income in Spain.
220,7,"The paper uses a theoretical and structural model to ask: How do public versus private educational systems, combined with income shocks such as increased returns to ability, impact intergenerational earnings mobility and inequality in both the short run and long run?"
221,7,"The paper primarily asks: How does intergenerational income mobility respond to structural changes in the intergenerational transmission process, particularly with respect to transitions between steady states? In doing so, it examines whether changes in current and past transmission mechanisms—driven by varying institutional, policy, or economic conditions—affect the long‐term and transitional dynamics of mobility."
222,2,"How does maternal employment, as well as parental time spent in employment or unemployment, influence the intergenerational transmission of economic status, particularly affecting daughters' future income?"
223,5,"The paper asks: What are the racial differences in intergenerational economic mobility between blacks and whites in the U.S., and how do factors such as adolescent test scores, family structure, completed schooling, and parental wealth explain these differences?"
224,2,"The paper empirically explores cross‐country differences in intergenerational mobility as measured by income, education, and social class, and examines how factors such as inequality, the return to education, and nation‐level education spending explain these differences."
225,2,The paper empirically tests whether higher levels of inequality experienced in childhood negatively affect intergenerational mobility in adulthood and whether economic growth and public education have positive effects on mobility.
226,2,The paper empirically estimates recent trends in intergenerational mobility by using large administrative earnings data. It assesses the correlation between parental income ranks and children’s income (or educational) outcomes to answer whether the United States remains a land of opportunity.
227,4,"The paper investigates intergenerational wealth mobility in Norway over the 20th century. Specifically, it asks: What are the trends in social mobility—as measured by intergenerational income elasticities, father‐son income percentile associations, and sibling correlations—and how might factors like increasing educational attainment among low- and middle-income families contribute to these observed changes?"
228,2,"The paper asks: What is the strength of the relationship between parents’ socio‐economic status and that of their children as adults (i.e., the degree of intergenerational persistence), how is this relationship measured despite data and methodological challenges, and how is it associated with overall levels of inequality?"
229,4,"How does the transfer of wealth and social heritage occur from rich parents to their children, particularly among top-income individuals, and what role does assortative mating (marriage matching) play in influencing intergenerational income mobility?"
230,5,"The paper asks: How do black and white individuals differ in intergenerational income mobility, and can new nonparametric methods—specifically, estimates of transition probabilities and upward mobility measures—better quantify these racial disparities? Further, to what extent do factors like cognitive skills during adolescence account for the lower upward mobility observed among blacks compared to whites?"
231,5,Do black‐white family income inequality trends stem more from the intergenerational persistence of disadvantage (continuity) or from shifting forms of disadvantage due to changing family compositions (change)?
232,7,"How do the underlying economic frictions—such as uninsurable risks, investment indivisibilities, credit market imperfections, and varying parental bequest motives—influence the shape of the wealth distribution across generations, and in particular, what roles do fiscal instruments (e.g., capital income and bequest taxes) play in affecting mobility traps in the lower tail of the wealth distribution?"
233,2,"The paper empirically investigates how income mobility and the intergenerational transmission of poverty are associated with anti‐poverty outcomes. It asks: What are the long-term and short-term effects of income mobility and intergenerational poverty transmission on poverty alleviation in 30 poverty-stricken counties in Xinjiang, and how does heterogeneity (e.g., varying poverty levels) affect these relationships?"
234,4,"The paper investigates how different forms of investments – namely, human capital, social capital, and family assets (housing and financial assets) – influence intergenerational income mobility in China. In essence, it asks: Is it more effective to invest in human capital ('teaching') or in direct wealth transfers (through assets and social capital) to improve the income inheritance across generations?"
235,2,"The paper empirically investigates: What is the effect of education on intergenerational income mobility? Specifically, it examines how education impacts the earnings correlation between generations using quantile regression and investigates whether the returns to education vary across different parts of the income distribution, thereby serving as an important mechanism in the transmission of income."
236,2,"Research question: What is the degree of intergenerational income mobility among Chinese rural residents, as measured through intergenerational income elasticity and transition matrices, and how do mobility patterns differ across income quintiles and geographic regions (eastern, central, and western)?"
237,4,"The paper asks: What factors—including cognitive skills, non-cognitive traits, educational attainment, and labour market attachment—mediate the degree of intergenerational income persistence, and how do changes in these relationships explain the decline in income mobility observed between UK cohorts?"
238,2,"How do intergenerational income mobility patterns differ between urban and rural families in China, and what are the determinants (such as education and family background) that drive these differences over the life cycle, especially in comparison with western developed countries?"
239,4,"The paper investigates intergenerational income mobility – specifically, measuring China's intergenerational income elasticity and examining the extent to which human capital (through education and health) and social capital contribute to the transmission of income across generations."
240,2,"The study focuses on empirically estimating and analyzing the determinants of intergenerational income mobility in China, specifically by measuring intergenerational income elasticity over various years (2000, 2004, 2006, and 2009) and comparing these measures both over time and against international benchmarks."
241,2,The paper empirically examines how strong the intergenerational income correlation is in rural China and what individual and regional determinants influence income mobility between children and household heads.
242,2,"The paper empirically investigates how opportunity equity influences income inequality based on intergenerational income mobility. The research question can be stated as: 'How does opportunity equity affect intergenerational income mobility, particularly in terms of the urban‐rural income gap in China, and what are the determinants of these dynamics as identified through quantile regression analysis?'"
243,3,"The paper primarily investigates how regional government spending impacts intergenerational income mobility in rural China by analyzing its influence on the intergenerational correlation of incomes, thus addressing questions related to policy, institutional, and geographic impacts on mobility."
244,2,The paper asks: What is the extent of intergenerational income mobility in China—measured by intergenerational income elasticity—when correcting for measurement error and life-cycle bias?
245,2,"The research question asks: How do parental occupation sectors (such as Party and government offices, public institutions, SOEs, private enterprises, etc.) influence the level of intergenerational income mobility, and what are the contributions of parental occupation and offspring individual characteristics to income disparities?"
246,2,"What is the impact of different levels of public education on intergenerational income mobility in China, and which educational reforms could enhance this mobility?"
247,3,"The research question investigates whether increased public expenditure on education can alleviate the second generation phenomenon by enhancing intergenerational income mobility. It focuses on the role of a public policy variable—in this case, education spending—and its varying impacts across different regions, thereby situating the inquiry within the realm of Policy, Institutional, and Geographic Impacts."
248,4,"The paper asks: What is the trend of intergenerational income mobility (measured by income elasticity) in China from 1991 to 2011, and how do factors like parental education and occupation influence its estimation?"
249,2,"The research question can be articulated as: What are the levels of intergenerational income mobility among urban and rural residents in China and which factors (such as sex, age, education, and family background) determine these mobility patterns?"
250,2,"The paper examines the empirical features of intergenerational poverty in China by posing research questions such as: What is the magnitude of intergenerational transmission of poverty, as measured by the intergenerational earnings elasticity? How can we empirically estimate and determine the probability of poverty transmission across generations? And, what role does modern education play in influencing intergenerational mobility?"
251,2,"The paper empirically estimates the determinants of intergenerational income transmission by decomposing the contributions of education, health, and occupation using CHNS data. It seeks to answer: What are the relative contributions of education, health, and occupation to the intergenerational correlation in income, and how do these contributions vary across different cohorts and socioeconomic groups?"
252,4,"The study investigates intergenerational earnings mobility by comparing nonlinear mobility patterns in Nordic countries with the more linear patterns seen in the US and the UK. Specifically, it asks: 'How do the patterns of intergenerational earnings mobility differ across countries, and what implications do these differences have for understanding transmission mechanisms of income across generations?'"
253,2,"The paper empirically investigates the relationship between wealth inequality and intergenerational income mobility across different country income levels, asking: How does wealth inequality, mediated by factors such as state type and the ratio of wealth to income, affect the degree of intergenerational income mobility in high-, low-, and middle-income countries?"
254,1,"The research question addresses measurement and methodological advances: specifically, the development and validation of the 'igmobil' command to compute up to 20 intergenerational mobility indices for both continuous and discrete variables, including customization of output and bootstrapping for standard errors and confidence intervals."
255,4,"The paper primarily asks: What is the extent of intergenerational mobility in income and economic status in Ethiopia, including differences between sons and daughters? This falls under the study of intergenerational wealth mobility and inheritance."
256,2,"The paper asks: What are the levels and patterns of intergenerational income mobility in the United States and Sweden, particularly when accounting for heterogeneous transmission mechanisms (e.g., differences by father’s education) that might challenge the conventional result of weaker transmission in Sweden?"
257,2,"What are the trends in intergenerational income mobility in Norway over the twentieth century, as measured by father-son income elasticities, percentile associations, and brother correlations, and how might increasing educational attainment among low and middle-income families have contributed to these trends?"
258,1,"The paper primarily addresses the measurement and methodological challenges in estimating intergenerational mobility using grouped data. Its research questions focus on: How can overall individual mobility, within-group mobility, and between-group mobility be clearly defined and related? How does the use of aggregated group measures, such as surname-based persistence, capture individual-level mobility traits and what limitations, including issues like measurement error and attenuation bias, arise in these measures?"
259,4,"The paper investigates intergenerational wealth mobility, specifically examining the role of inheritance (bequests and gifts) in explaining the wealth correlations between parents and children and across up to four generations. It asks: How much do inheritances, compared to earnings and education, contribute to the observed wealth correlations between consecutive generations?"
260,1,"The paper primarily asks: 'How do different levels of occupational (dis)aggregation and different earnings measures, implemented via a two-stage panel regression model, affect intergenerational earnings elasticity estimates in Australia?' This constitutes a measurement and methodological advance inquiry."
261,2,"The paper empirically investigates how county-level characteristics affect intergenerational income mobility. In particular, it asks: “How much do places matter for intergenerational mobility and which county features (e.g., levels of poverty concentration, income inequality, quality of schools, family structure, and crime rates) drive better outcomes for children, especially those from low‐income families?”"
262,2,"The research questions focus on empirically estimating the determinants of intergenerational family income mobility, specifically assessing how partnership formation and partner earnings contribute to income persistence across generations, and how these relationships vary by gender and across cohorts."
263,3,"The paper focuses on evaluating the impact of policy interventions on social mobility and lifetime economic outcomes. Specifically, it investigates how well‐evaluated, targeted interventions can close the gap between more and less advantaged children in terms of becoming middle class by middle age, thereby improving social mobility and reducing inequality."
264,4,"The paper primarily asks: How persistent is wealth, class, and social status across multiple generations as measured through surname transmission, and what does this imply about intergenerational wealth mobility and the effectiveness of interventions aimed at promoting equality?"
265,4,"The paper primarily investigates intergenerational wealth mobility by asking: “What is the degree of intergenerational income persistence in rural India (i.e., does a good father now have to be rich?), and how does this persistence reflect advances toward cross‐caste equality?”"
266,2,"The paper investigates whether and how family background affects earnings among college graduates. In particular, it asks: Do substantial income differences by family background persist among college graduates—even after accounting for factors like college selectivity, major, and academic performance—and what role do occupational niche inequalities play in explaining these differences?"
267,7,"The paper’s abstract centers on a theoretical re-evaluation of intergenerational wealth transfer. It questions how a structural explanation—drawing on ideas of indirect reciprocities between three generations as conceptualized by Marcel Mauss—might serve as an alternative to Gary Becker’s model of generational altruism, and how this structural reading (including a historical perspective on the European Old Regime) informs our understanding of current intergenerational wealth transfers."
268,4,"How do intergenerational wealth transfers—such as inheritances, large financial gifts, and family financial support for education and home purchase—affect the net wealth accumulation of college-educated households differently for Whites versus Blacks?"
269,4,"Does using a Markov chain approach to model intergenerational social mobility reveal that the distribution of social status converges to a stationary point over multiple generations, thereby consistently reproducing income inequality in the UK unless policy changes intervene?"
270,6,"The paper asks: What role does children's health play in the intergenerational transmission of economic status? In particular, how do poverty-related factors like limited access to health insurance and medical care, exposure to environmental toxins, inadequate nutrition, and family stress affect children's health and subsequently reduce their economic success as adults?"
271,4,"Does childhood family structure moderate the intergenerational transmission of income advantages and disadvantages, particularly influencing upward and downward mobility?"
272,3,"The research questions investigate how policy choices (in particular, the provision of accessible public transportation) and local institutional structures affect intergenerational income mobility across U.S. cities. For example, the paper asks: 'How does public transit accessibility influence intergenerational income mobility, and in what ways do local governmental institutional factors (such as veto points and fiscal autonomy) mediate its impact on income mobility outcomes?'"
273,4,"The paper asks: 'How does the intergenerational transmission of disadvantage come about?' Specifically, it investigates whether and how family background (via parental income, education, family structure, and race) influences income trajectories in early adulthood by being mediated through the career and demographic pathways adopted during the transition to adulthood."
274,1,"How does the definition and measurement of intergenerational mobility (via intergenerational earnings elasticity and the rank‐rank slope) mechanically produce the observed positive association with income inequality (as measured by the Gini coefficient), and what are the implications of this relationship for interpreting the 'Great Gatsby curve'?"
275,2,"The research question asks: 'What is the relationship between intergenerational income mobility and higher education among urban, rural, and rural-urban migrant groups in contemporary China?' This focuses on understanding the determinants of income mobility by exploring how factors like children's length of education, father's income, and father's education contribute to intergenerational income dynamics, which fits into the category of Empirical Estimates and Determinants."
276,3,"The paper investigates how governmental policies can impact the mechanisms that promote social mobility, specifically examining the decline in relative intergenerational income mobility over time in the UK and arguing that government intervention can shape the overall structure of society to foster social mobility."
277,4,The research paper’s key question is: What is the extent of intergenerational income mobility in India and how is this mobility affected by factors such as geographic isolation and marginalization (e.g. for tribal populations)?
278,3,"The paper’s research questions focus on the geographic and institutional impacts on intergenerational mobility. For example, it asks: “How do places affect decisions to migrate?”, “Is immigrant social mobility mainly driven by family characteristics or opportunities at settlement locations?”, and “How do differences in the opportunity structures of places emerge?”"
279,2,"The paper empirically estimates changes in intergenerational mobility over time, examining the determinants of these changes (e.g., regional differences in economic development and fluctuations in income and wealth inequality)."
280,1,"The paper’s research question involves developing new measurement tools and methodological advances by modeling the joint log-income distribution of parents and children to derive analytic expressions for intergenerational mobility measures. In essence, it asks: how can relative and absolute mobility measures be expressed as functions of one another, and what are their relationships with income growth and inequality?"
281,4,The research questions focus on intergenerational mobility—with a specific emphasis on distinguishing the roles of direct (pure) inheritance versus education-mediated (mediated) channels—in explaining trends in income and occupational mobility in Brazil between the 1990s and 2000s.
282,4,"The paper's research question centers on intergenerational income mobility, focusing on whether and how child schooling serves as a mediator in the relationship between household size (and associated lower income per child) and future income inequality, as well as exploring the implications of changes in the cost and returns to schooling and stochastic influences on these dynamics."
