id,data_cat,data_type
529,14,Cross-sectional income distributions (US)
530,1,PSID
531,1,PSID
532,6,"Linked administrative records (e.g., IRS tax records combined with other U.S. government data to track family mobility)"
533,14,Twin registry data (genetic information on twins and their parents)
534,13,N/A
535,13,N/A
536,13,N/A
537,0,"The paper uses two types of datasets. First, it draws on British birth cohorts data – these are longitudinal (panel) studies tracking individuals from birth, corresponding to category 1. Second, it uses repeated cross‐sectional UK data along with the Wealth and Assets Survey, which are nationally representative surveys, corresponding to category 3."
538,2,Taiwan administrative/registry records (exact dataset name not provided)
539,14,Newly available and internationally comparable data on intergenerational elasticities of income and education
540,6,Dutch rich register data (linked administrative records)
541,13,N/A
542,6,Linked Administrative Data (using linked parental and offspring records from administrative registries in Sweden and the United States)
543,6,Linked Administrative Data – likely using Swedish national registries and U.S. administrative (tax/income) records to track parent–child income mobility over time
544,1,China Family Panel Studies
545,6,Dutch municipalities records linked with tax authority and education records
546,6,Stockholm Birth Cohort Multigenerational Study
547,1,British Household Panel Survey (BHPS) and Understanding Society (UKHLS)
548,6,Census microdata and tax records
549,2,"The study likely uses Chinese administrative/registry data – for example, prefecture‐level records derived from household registration or census data capturing internal migration."
550,2,Swedish register data for cohorts born 1958 to 1977 and their parents
551,6,Swedish administrative registry data linking father‐son income records
552,1,Indonesian Family Life Survey
553,2,Administrative/Registry Data (exact dataset name not specified)
554,3,Turkish Statistical Institutes Survey of Income and Living Conditions
555,14,Primary survey data collected from 742 land development settlers in Pahang and Johor using purposive sampling
556,2,"Income Tax Data from Australia, supplemented with international mobility datasets"
557,0,2: rich administrative data; 1: Panel Study of Income Dynamics
558,1,N/A
559,1,"Longitudinal database tracking over 20,000 US places from 1980 to 2018"
560,6,"Linked Administrative Data – likely combining administrative records on bank characteristics (e.g., from federal bank regulators) with intergenerational income/education outcomes from tax or census records"
561,6,Linked administrative data from immigrant landing documents and Canadian tax records
562,4,Opportunity Insights project (IGIM data); American Community Survey (Gini index data); CDC WONDER (mortality data)
563,2,Norwegian high‐quality register data combining health diagnoses and income records
564,2,"chantillon démographique permanent (EDP, INSEE's demographic panel sample)"
565,2,newly updated administrative Canadian tax data
566,6,New dataset assembled from tax and other administrative sources
567,1,Understanding Society (UK Household Longitudinal Study)
568,6,"Swedish and UK administrative register data linking parent and child records on income, education, and related characteristics"
569,12,National Health Insurance Service Income Big Data
570,1,"No specific dataset mentioned (likely a panel/longitudinal design tracking cohorts, e.g., similar to studies using the PSID or NLSY)"
571,11,Hand-collected archival/historical data on Florentine household wealth assessments (1403–1480)
572,6,"Decennial Census, credit reports, and administrative earnings"
573,1,China Family Panel Studies (CFPS)
574,1,Panel/Longitudinal Surveys (dataset not specified)
575,6,Brazilian education and labor market administrative records constructed from confidential records
576,2,German Census Data
577,6,"Decennial Census, Credit Reports, and Administrative Earnings"
578,1,Chinese Health and Nutrition Survey
579,2,Taiwan's Tax Data (Administrative/Registry Data)
580,6,"Unique linked administrative registry data on immigrant and native Dutch intergenerational housing outcomes (children and grandchildren of immigrants and native Dutch in the Netherlands, collected in 2018)"
581,13,N/A
582,1,Quebec Longitudinal Study of Kindergarten Children
583,3,Chinese Household Income Project survey data
584,1,China Health and Nutrition Survey (CHNS)
585,2,Administrative data for the Netherlands
586,14,Global Database of Intergenerational Mobility (GDIM)
587,14,"The paper uses three types of data: (a) survey data likely from a nationally representative survey (category 3, National Survey Data, though no exact survey name is provided); (b) administrative data (category 2, Administrative/Registry Data, with no specific dataset name provided); and (c) simulated data (which does not clearly fall into the listed categories, so it is categorized as 14, Others, with the label 'Simulated Data')."
588,3,European Union Statistics on Income and Living Conditions (EUSILC)
589,11,novel longitudinal dataset assembled from Swedish historical records (population registers)
590,5,Quasi-natural experimental data using US banking deregulation events (state-level bank competition measures linked to intergenerational mobility outcomes)
591,4,Chetty–Hendren intergenerational mobility dataset (Opportunity Atlas)
592,2,Administrative records from Taiwan
593,1,1982 Pelotas Birth Cohort Study
594,2,Norwegian administrative/registry data (income and migration records)
595,7,World Bank's Global Database on Intergenerational Mobility (GDIM)
596,4,Opportunity Atlas
597,2,Census tract and city-level data (administrative data from sources such as the US Census Bureau)
598,3,nationally representative Chinese household survey data
599,1,National Longitudinal Survey of Youth 1979
600,1,European Community Household Panel; European Union Statistics on Income and Living Conditions
601,3,European Values Study
602,1,Chinese Family Panel Studies (CFPS)
603,2,"Danish register data for 630,000 children and their parents"
604,6,New Zealand administrative records tracking a male cohort born 1963–1982 (exact dataset name not specified)
605,6,Census microdata linked with tax records
606,6,Swiss linked administrative data on intergenerational income (exact dataset name not specified)
607,2,U.S. Census of Governments; Opportunity Atlas (via Opportunity Insights)
608,3,2018 Household Survey on Territorial Dynamics and Wellbeing
609,4,Opportunity Atlas (for intergenerational mobility outcomes) and Big Data via satellite imagery (for urban spatial characteristics)
610,6,Gautreaux Program records linked with administrative data
611,13,N/A
612,1,Household Income and Labour Dynamics in Australia survey (10th wave)
613,13,N/A
614,1,NLSY (National Longitudinal Survey of Youth)
615,13,N/A
616,13,N/A
