year,category_1,measure_clusters,measure_1
2019,Regression‐based Measures,1,Regression‐based Net Wealth IGE
2019,Regression‐based Measures,2,Intergenerational Elasticity
2019,Regression‐based Measures,2,Intergenerational Elasticity
2019,Regression‐based Measures,2,Intergenerational Income Elasticity
2019,Regression‐based Measures,2,OLS
2019,Regression‐based Measures,2,Intergenerational Income Elasticity
2019,Others,3,Nine Complementary Indicators
2019,Regression‐based Measures,6,"Multi‐stage Regression (3SLS, Beta, Quantile, Threshold)"
2019,Transition Matrix / Probability Measures,4,Upward Mobility Rate (Bottom-to-Top Quintile)
2019,Rank‐based Measures,7,Intergenerational Rank Persistence
2019,Regression‐based Measures,1,Regression Coefficient (Wealth Transfer Impact)
2019,Absolute Mobility Measures,4,Absolute Treatment-effect Income Mobility
2019,Others,7,Sibling Correlation in Income
2019,Regression‐based Measures,2,Intergenerational Elasticity
2020,Absolute Mobility Measures,4,Relative
2019,Decomposition / Structural Approaches,0,Structural Model
2019,Decomposition / Structural Approaches,2,"Intergenerational Income Elasticity (IIE, Decomposition)"
2017,Regression‐based Measures,2,Intergenerational Elasticity
2018,Decomposition / Structural Approaches,0,Structural Measure
2019,Regression‐based Measures,2,Intergenerational Elasticity
2019,Regression‐based Measures,2,Intergenerational Elasticity using Credit Scores
2019,Regression‐based Measures,2,Intergenerational Elasticity
2019,Others,3,Snapshot (Cross‐sectional) vs. Dynamic Mobility Comparison
2019,Transition Matrix / Probability Measures,5,Occupational Transition Probabilities
2019,Regression‐based Measures,2,Intergenerational Elasticity (Regression)
2004,Absolute Mobility Measures,3,Wealth Ratio/Multiplier Mobility Measure
2019,Transition Matrix / Probability Measures,5,Off‐diagonal Origin–Destination Transition Probabilities
2019,Transition Matrix / Probability Measures,5,Transition Probability
2018,Regression‐based Measures,2,Intergenerational Elasticity
2020,Decomposition / Structural Approaches,0,Calibrated Structural Model Simulation
2020,Regression‐based Measures,6,Regression-based Mobility (Parental Education Impact)
2020,Regression‐based Measures,6,Multiple Regression on Maternal Net Worth/Poverty
2020,Decomposition / Structural Approaches,0,Counterfactual Simulation (College Allocation)
2018,Others,0,Intergenerational Wealth Mobility Framework
2019,Regression‐based Measures,2,Lifecycle-estimated IGE
2020,Absolute Mobility Measures,6,Racial Opportunity Gap
2020,Others,0,Genetic Assortative Mating
2015,Regression‐based Measures,6,Regression‐based Estimate
2020,Decomposition / Structural Approaches,3,Regime‐switch IGE Decomposition
2020,Absolute Mobility Measures,4,Absolute Earnings Mobility
2024,Decomposition / Structural Approaches,0,Structural IGE Parameter
2010,Regression‐based Measures,6,Regression-based Educational IGE
2018,Decomposition / Structural Approaches,7,Sibling Correlations (Decomposition by SES)
2020,Decomposition / Structural Approaches,0,Novel Decomposition (Marriage Sorting)
2017,Decomposition / Structural Approaches,0,Structural Model
2020,Others,4,Absolute Income Mobility
2020,Regression‐based Measures,2,Regression-based IGE
2020,Rank‐based Measures,7,Intergenerational Rank Association
2020,Others,3,Cross-dimensional Comparisons
2020,Decomposition / Structural Approaches,0,Decomposition of Income Correlation (Education Contribution)
2020,Regression‐based Measures,2,Intergenerational Elasticity
2020,Rank‐based Measures,5,Rank Correlation
2020,Regression‐based Measures,6,OLS
2003,Decomposition / Structural Approaches,0,Structural Model
2019,Absolute Mobility Measures,4,Regression-based (IGE)
2020,Regression‐based Measures,6,Mediation Model (Partial Mediation via Regression)
2020,Decomposition / Structural Approaches,0,Structural Equation Modeling (Social Welfare Mobility)
2020,Regression‐based Measures,2,Intergenerational Elasticity (Geometric
2019,Others,4,Absolute Mobility Measure
2020,Decomposition / Structural Approaches,0,Decomposition Analysis (One‐child Policy Impact)
2020,Regression‐based Measures,2,Intergenerational Elasticity
2009,Regression‐based Measures,2,Intergenerational Elasticity
2015,Regression‐based Measures,3,Simulated‐instruments Regression (Causal Effect on Mobility)
2020,Rank‐based Measures,4,Rank‐based Measure
2019,Regression‐based Measures,1,Regression‐based IGE
2020,Decomposition / Structural Approaches,0,"Structural Equation Modeling (Social, Educational, Occupational Mobility)"
2020,Others,4,Subjective Social Mobility
2018,Rank‐based Measures,7,Rank‐rank Model
2018,Regression‐based Measures,7,Rank‐Rank Regression (Relative
2020,Regression‐based Measures,6,2SLS Regression (Wealth-Child Income Link)
2021,Regression‐based Measures,2,Intergenerational Income Elasticity
2021,Regression‐based Measures,2,Intergenerational Income Elasticity
2021,Absolute Mobility Measures,4,Absolute Mobility Measure (Sons vs. Fathers)
2020,Decomposition / Structural Approaches,0,Structural Model
2019,Non‐parametric Approaches,1,New Non‐parametric Correlation Curve
2016,Regression‐based Measures,1,Intergenerational Elasticity
2011,Regression‐based Measures,3,Intergenerational Transmission of Human Capital (IGE analogue)
2015,Regression‐based Measures,2,Intergenerational Elasticity (Multiple Childhood Periods)
2024,Regression‐based Measures,2,Intergenerational Elasticity
2019,Regression‐based Measures,2,Intergenerational Persistence (Between‐groups Coefficient)
2018,Regression‐based Measures,1,Regression-based Elasticity for Income & Education
1999,Regression‐based Measures,2,Intergenerational Earnings Elasticity
2014,Regression‐based Measures,2,Intergenerational Income Elasticity (Lifetime Differences)
2019,Regression‐based Measures,2,Intergenerational Elasticity (Regression Slope)
2016,Regression‐based Measures,2,Intergenerational Elasticity
2018,Others,1,VES Parameter
2001,Decomposition / Structural Approaches,0,Structural Model
2010,Regression‐based Measures,2,Intergenerational Income Elasticity
2012,Regression‐based Measures,2,Intergenerational Income Elasticity
2012,Others,0,Structural Model
2010,Decomposition / Structural Approaches,0,Structural Decomposition (Education
2020,Regression‐based Measures,2,Intergenerational Earnings Elasticity
2011,Regression‐based Measures,2,Generalized Errors‐in‐Variables IGE
2013,Others,2,Inequality of Economic Opportunity (IEO
2016,Regression‐based Measures,6,Regression Coefficient (Parental Credit Risk Effect)
1998,Regression‐based Measures,1,Intergenerational Elasticity
2012,Decomposition / Structural Approaches,0,Structural Simulation
2019,Regression‐based Measures,2,Intergenerational Elasticity
2002,Others,4,Alternative Household‐level Mobility Measure
2019,Transition Matrix / Probability Measures,5,Transition Probabilities (Upward/Downward Occupational)
2018,Regression‐based Measures,6,Regression Coefficients (Educational Impact on Test Scores)
2020,Regression‐based Measures,3,Growth Model (Life‐course Income Trajectories)
2014,Transition Matrix / Probability Measures,5,Rank‐based Mobility (Rank‐rank slope)
2013,Regression‐based Measures,2,Intergenerational Elasticity
2017,Regression‐based Measures,1,Regression-based Mobility Gains Coefficient
2009,Decomposition / Structural Approaches,0,Structural/Model‐implied Mobility Parameter
2016,Rank‐based Measures,7,Rank‐based Wealth Mobility (Parent–child & Grandparent)
2019,Regression‐based Measures,6,Simulated Instruments Regression (Causal Effect on Lifetime Earnings)
1995,Decomposition / Structural Approaches,0,Structural Model
2008,Rank‐based Measures,7,Rank‐based Mobility (Top Percentile Focus)
2019,Regression‐based Measures,2,Intergenerational Elasticity
2010,Others,4,Parental Transfers
2016,Regression‐based Measures,2,Intergenerational Income Elasticity
2014,Regression‐based Measures,3,Regression‐based Income Mobility (IGE analogue)
2019,Decomposition / Structural Approaches,0,"Decomposition Analysis (Human Capital, Earnings, Marriage)"
2017,Non‐parametric Approaches,7,Non‐parametric Counterfactual Distribution Analysis
2012,Regression‐based Measures,1,Regression‐based Estimate
2012,Regression‐based Measures,1,"Regression‐based IGE (Birthweight, Grades, Height, Education)"
2008,Others,7,Sibling Correlations
2015,Others,3,Education as Inheritance
2012,Decomposition / Structural Approaches,0,Recursive Bivariate Probit (Causal Effect of Relative Mobility)
2016,Decomposition / Structural Approaches,0,Structural Model
2015,Regression‐based Measures,2,Intergenerational Elasticity
2016,Decomposition / Structural Approaches,0,Structural Model
2017,Regression‐based Measures,2,Intergenerational Income Elasticity
2011,Regression‐based Measures,2,Intergenerational Elasticity
2016,Decomposition / Structural Approaches,0,Structural Measure
2016,Regression‐based Measures,2,Intergenerational Elasticity
2021,Others,2,Intergenerational Elasticity
2021,Regression‐based Measures,6,Regression‐based Parent–child Correlation
2020,Transition Matrix / Probability Measures,5,Transition Probability Estimate (Industry Entry)
2021,Transition Matrix / Probability Measures,5,Transition Probabilities
2018,Transition Matrix / Probability Measures,5,Transition Matrix (Tercile
2021,Decomposition / Structural Approaches,0,Structural Simulation
2021,Regression‐based Measures,2,TS2SLS IGE
2019,Others,0,Questionnaire‐based
2018,Absolute Mobility Measures,4,Absolute Intergenerational Income Mobility
2019,Rank‐based Measures,7,Income Rank Association
2019,Rank‐based Measures,7,Rank‐rank Correlation
1995,Others,0,OLG Model
2021,Regression‐based Measures,1,Regression‐based Educational Elasticity
2019,Regression‐based Measures,1,Intergenerational Income Elasticity
2022,Rank‐based Measures,7,Rank‐rank Slope
2021,Others,0,Nash Equilibrium Model
2021,Regression‐based Measures,1,Two‐stage Least Squares Regression (Grandparent’s Wealth Effect)
2024,Decomposition / Structural Approaches,0,Structural Simulation
2021,Regression‐based Measures,2,Regression-based IGE (Occupational Mobility)
2021,Rank‐based Measures,7,Rank Difference (Income Percentile)
2021,Absolute Mobility Measures,4,Absolute Mobility Indicators (Upward/Downward Rates
2022,Decomposition / Structural Approaches,0,Counterfactual Structural Simulation (Sibling Correlations)
2019,Decomposition / Structural Approaches,1,Intergenerational Elasticity
2021,Rank‐based Measures,4,Rank‐based Mobility Estimator
2019,Decomposition / Structural Approaches,1,Decomposition into Mediation Channels (Great Gatsby Curve)
2021,Regression‐based Measures,6,Simple Regression with PCA
2021,Regression‐based Measures,3,Regression-based Income Dynamics
2021,Regression‐based Measures,1,Multilevel Regression (Relative Mobility IGE)
2021,Decomposition / Structural Approaches,7,Sibling Correlation
2021,Decomposition / Structural Approaches,0,Structural Model
2021,Rank‐based Measures,7,Rank-based
2019,Decomposition / Structural Approaches,0,Structural Model
2020,Decomposition / Structural Approaches,0,Decomposition
2023,Absolute Mobility Measures,4,Relative Mobility
2021,Transition Matrix / Probability Measures,5,Transition Probabilities
2020,Rank‐based Measures,7,Rank-based
2021,Regression‐based Measures,2,Intergenerational Elasticity
2018,Absolute Mobility Measures,4,Absolute Mobility
2021,Regression‐based Measures,7,Intergenerational Elasticity
2021,Regression‐based Measures,3,Intergenerational Elasticity
2021,Regression‐based Measures,6,Regression-based
2020,Transition Matrix / Probability Measures,5,Transition Matrix
2021,Transition Matrix / Probability Measures,5,Transition Probabilities
2020,Transition Matrix / Probability Measures,5,Transition Matrix
2021,Regression‐based Measures,1,Intergenerational Elasticity
2021,Regression‐based Measures,2,Intergenerational Elasticity
2018,Regression‐based Measures,2,Intergenerational Elasticity
2021,Regression‐based Measures,2,Intergenerational Elasticity
2024,Regression‐based Measures,1,Intergenerational Elasticity
2022,Rank‐based Measures,7,Rank-based
2021,Regression‐based Measures,6,Intergenerational Elasticity
2007,Regression‐based Measures,2,Intergenerational Elasticity
2021,Decomposition / Structural Approaches,6,Decomposition
2021,Decomposition / Structural Approaches,0,Structural Model
2021,Others,0,Neural Network Simulation
2022,Decomposition / Structural Approaches,0,Decomposition
2021,Rank‐based Measures,4,Rank-based
2021,Transition Matrix / Probability Measures,5,Transition Probabilities
2021,Transition Matrix / Probability Measures,4,Transition Probabilities
2021,Others,2,Others
2021,Regression‐based Measures,6,Intergenerational Elasticity
2013,Decomposition / Structural Approaches,2,Decomposition
2016,Others,4,Rank-based
1992,Others,3,Intergenerational Transfers
2008,Transition Matrix / Probability Measures,1,Transition Matrix
2021,Regression‐based Measures,1,Intergenerational Elasticity
2021,Rank‐based Measures,7,Multigenerational
2020,Regression‐based Measures,6,Regression Coefficient
2022,Regression‐based Measures,2,Intergenerational Elasticity
2022,Regression‐based Measures,2,Intergenerational Elasticity
2021,Regression‐based Measures,2,Intergenerational Elasticity
2022,Absolute Mobility Measures,4,Absolute Mobility
2011,Regression‐based Measures,1,Intergenerational Elasticity
2022,Decomposition / Structural Approaches,3,Decomposition
2021,Rank‐based Measures,7,Rank-based
2022,Regression‐based Measures,1,Intergenerational Elasticity
2022,Absolute Mobility Measures,5,Absolute Mobility
2022,Decomposition / Structural Approaches,0,Structural Model
2022,Rank‐based Measures,5,Rank-based
2022,Regression‐based Measures,1,Regression-based
2015,Decomposition / Structural Approaches,0,Decomposition
2018,Regression‐based Measures,2,Intergenerational Elasticity
2011,Transition Matrix / Probability Measures,5,Transition Probabilities
2011,Rank‐based Measures,5,Transition Probabilities
2013,Transition Matrix / Probability Measures,5,Transition Probabilities
2013,Regression‐based Measures,1,Intergenerational Elasticity
2010,Regression‐based Measures,3,Intergenerational Elasticity
2006,Others,0,Social Welfare Function
2018,Regression‐based Measures,2,Intergenerational Elasticity
2021,Regression‐based Measures,2,Intergenerational Elasticity
2008,Regression‐based Measures,2,Intergenerational Elasticity
2021,Decomposition / Structural Approaches,0,Structural Model
2018,Regression‐based Measures,1,Intergenerational Elasticity
2021,Regression‐based Measures,2,Intergenerational Elasticity
2021,Regression‐based Measures,2,Intergenerational Elasticity
2022,Transition Matrix / Probability Measures,5,Transition Matrix
2022,Regression‐based Measures,6,Regression-based
2022,Transition Matrix / Probability Measures,5,Absolute Mobility
2022,Regression‐based Measures,1,Intergenerational Elasticity
2022,Absolute Mobility Measures,4,Absolute Mobility
2022,Decomposition / Structural Approaches,0,Decomposition
2022,Transition Matrix / Probability Measures,5,Transition Matrix
2022,Rank‐based Measures,7,Rank-based
2022,Absolute Mobility Measures,4,Absolute Mobility
2022,Regression‐based Measures,1,Intergenerational Elasticity
2020,Regression‐based Measures,6,Regression-based
2022,Regression‐based Measures,3,Regression-based
2022,Decomposition / Structural Approaches,0,Markov Perfect Equilibrium
2022,Decomposition / Structural Approaches,0,Decomposition
2022,Decomposition / Structural Approaches,0,Decomposition
2022,Regression‐based Measures,2,Intergenerational Elasticity
2022,Regression‐based Measures,3,Intergenerational Elasticity
2022,Regression‐based Measures,2,Intergenerational Elasticity
2022,Regression‐based Measures,3,Intergenerational Elasticity
2022,Decomposition / Structural Approaches,6,Decomposition
2015,Decomposition / Structural Approaches,0,Structural Model
2010,Decomposition / Structural Approaches,2,Intergenerational Elasticity
2015,Regression‐based Measures,2,Intergenerational Elasticity
2022,Regression‐based Measures,2,Intergenerational Elasticity
2022,Regression‐based Measures,3,Regression-based
2022,Multigenerational Measures,3,Multigenerational
2022,Regression‐based Measures,2,Intergenerational Elasticity
2022,Regression‐based Measures,2,Intergenerational Elasticity
2022,Transition Matrix / Probability Measures,5,Transition Probabilities
2022,Regression‐based Measures,6,Intergenerational Elasticity
2022,Absolute Mobility Measures,4,Absolute Mobility
2022,Rank‐based Measures,7,Rank-based
2002,Regression‐based Measures,2,Intergenerational Elasticity
2022,Regression‐based Measures,3,Intergenerational Elasticity
2022,Rank‐based Measures,7,Rank-based
2022,Regression‐based Measures,3,Intergenerational Elasticity
2022,Rank‐based Measures,7,Rank-based
2021,Decomposition / Structural Approaches,2,Decomposition
2022,Absolute Mobility Measures,4,Absolute Mobility
2022,Transition Matrix / Probability Measures,5,Transition Matrix
2023,Regression‐based Measures,6,Income‐Achievement Gap
2022,Regression‐based Measures,2,Intergenerational Elasticity
2023,Rank‐based Measures,7,Rank-based
2023,Regression‐based Measures,2,Intergenerational Elasticity
2023,Regression‐based Measures,2,Intergenerational Elasticity
2023,Decomposition / Structural Approaches,3,Decomposition
2023,Regression‐based Measures,2,Intergenerational Elasticity
2023,Regression‐based Measures,2,Intergenerational Elasticity
2023,Regression‐based Measures,2,Intergenerational Elasticity
2023,Regression‐based Measures,2,Intergenerational Elasticity
2023,Transition Matrix / Probability Measures,5,Transition Probabilities
2023,Regression‐based Measures,2,Intergenerational Elasticity
2023,Regression‐based Measures,2,Intergenerational Elasticity
2023,Rank‐based Measures,7,Rank-based
2023,Decomposition / Structural Approaches,0,Structural Model
2023,Decomposition / Structural Approaches,2,Intergenerational Elasticity
2023,Regression‐based Measures,2,Intergenerational Elasticity
2023,Regression‐based Measures,6,Regression-based
2023,Multigenerational Measures,7,Multigenerational
2023,Rank‐based Measures,4,Relative Educational Positions
2023,Regression‐based Measures,1,Intergenerational Elasticity
2023,Regression‐based Measures,1,Intergenerational Elasticity
2023,Regression‐based Measures,6,Regression-based
2023,Regression‐based Measures,2,Intergenerational Elasticity
2023,Others,4,Others
2023,Decomposition / Structural Approaches,0,Decomposition
2023,Regression‐based Measures,2,Intergenerational Elasticity
2023,Absolute Mobility Measures,4,Absolute Mobility
2023,Regression‐based Measures,2,Intergenerational Elasticity
2023,Others,4,Others
2023,Rank‐based Measures,7,Rank-based
2023,Regression‐based Measures,2,Intergenerational Elasticity
2023,Regression‐based Measures,2,Intergenerational Elasticity
2023,Regression‐based Measures,6,Intergenerational Elasticity
2023,Others,3,Others
2023,Regression‐based Measures,2,Intergenerational Elasticity
2023,Others,3,Others
2023,Rank‐based Measures,4,Rank-based
2023,Rank‐based Measures,7,Rank-based
2023,Rank‐based Measures,7,Rank-based
2023,Rank‐based Measures,7,Rank-based
2023,Regression‐based Measures,2,Intergenerational Elasticity
2023,Rank‐based Measures,7,Rank-based
2023,Rank‐based Measures,7,Rank-based
2018,Regression‐based Measures,6,Regression-based
2023,Regression‐based Measures,6,Regression-based
2023,Regression‐based Measures,3,Intergenerational Elasticity
2023,Rank‐based Measures,7,Rank-based
2023,Transition Matrix / Probability Measures,5,Transition Probabilities
2023,Regression‐based Measures,4,Intergenerational Elasticity
2023,Regression‐based Measures,2,Intergenerational Elasticity
2023,Regression‐based Measures,2,Intergenerational Elasticity
2012,Regression‐based Measures,2,Intergenerational Elasticity
2023,Transition Matrix / Probability Measures,5,Transition Matrix
2024,Regression‐based Measures,3,Intergenerational Elasticity
2024,Multigenerational Measures,3,Multigenerational
2024,Regression‐based Measures,6,Intergenerational Elasticity
2024,Regression‐based Measures,2,Intergenerational Elasticity
2024,Regression‐based Measures,1,Intergenerational Elasticity
2024,Others,1,Others
2024,Regression‐based Measures,7,Rank-based
2024,Transition Matrix / Probability Measures,5,Transition Matrix
2024,Decomposition / Structural Approaches,1,Intergenerational Elasticity
2023,Others,4,Others
2024,Others,7,Heir Fraction
2024,Regression‐based Measures,2,Intergenerational Elasticity
2024,Regression‐based Measures,1,Intergenerational Elasticity
2024,Regression‐based Measures,3,Intergenerational Elasticity
2024,Rank‐based Measures,7,Rank-based
2024,Regression‐based Measures,6,Regression-based
2024,Others,1,Theoretical Measure
2024,Regression‐based Measures,3,Regression-based
2024,Others,3,Comparative Analysis
2024,Regression‐based Measures,2,Intergenerational Elasticity
2016,Regression‐based Measures,2,Intergenerational Elasticity
2024,Decomposition / Structural Approaches,0,Structural Model
2024,Absolute Mobility Measures,4,Absolute Mobility
2024,Regression‐based Measures,3,Intergenerational Elasticity
2024,Rank‐based Measures,4,Rank-based
2024,Others,7,Heirs Fraction
2024,Regression‐based Measures,1,Ordered Probit
2024,Regression‐based Measures,6,Regression-based
2024,Regression‐based Measures,1,Regression-based
2024,Regression‐based Measures,1,Intergenerational Elasticity
2024,Regression‐based Measures,7,Rank-based
2024,Rank‐based Measures,7,Rank-based
2024,Regression‐based Measures,2,Intergenerational Elasticity
2024,Rank‐based Measures,7,Rank-based
2024,Regression‐based Measures,1,Intergenerational Elasticity
2024,Regression‐based Measures,3,Intergenerational Elasticity
2024,Transition Matrix / Probability Measures,5,Transition Probabilities
2024,Regression‐based Measures,1,Regression-based
2024,Regression‐based Measures,6,Regression Model
2024,Regression‐based Measures,2,Intergenerational Elasticity
2024,Others,4,Others
2024,Others,4,Intergenerational Elasticity
2024,Regression‐based Measures,2,Intergenerational Elasticity
2024,Regression‐based Measures,1,Intergenerational Elasticity
2024,Decomposition / Structural Approaches,3,Decomposition
2024,Decomposition / Structural Approaches,0,Optimal Inheritance Tax Model
2024,Regression‐based Measures,2,Intergenerational Elasticity
2024,Rank‐based Measures,7,Rank-based
2024,Others,4,Others
2025,Transition Matrix / Probability Measures,5,Transition Matrix
2025,Rank‐based Measures,7,Rank-based
2025,Absolute Mobility Measures,4,Absolute Mobility
2025,Rank‐based Measures,7,Rank-based
2025,Rank‐based Measures,7,Rank-based
2024,Regression‐based Measures,3,Intergenerational Elasticity
2025,Regression‐based Measures,3,Intergenerational Elasticity
2025,Regression‐based Measures,6,Regression-based
2010,Others,0,Others
2011,Regression‐based Measures,6,Intergenerational Elasticity
2012,Regression‐based Measures,2,Intergenerational Elasticity
2006,Regression‐based Measures,1,Intergenerational Elasticity
2012,Regression‐based Measures,3,Intergenerational Elasticity
2014,Non‐parametric Approaches,3,Non-parametric
2014,Regression‐based Measures,6,Regression-based
2007,Decomposition / Structural Approaches,0,Structural Model
2004,Others,0,Structural Model
